00-00	SIFGAIF RENRQIANR XIANXYANR
16-03	Cov sefhuif danxyanr tianfranr niex jixbenv, sefhuif niex guirjiax gof baovhuf dor.
17-00	Nav hif nier
17-01	Noxdiex guanfdor nier caircanv xief niexxir qianrlif xief, tovlenv nier novdiex dav xief niexxir qianrlif xief.
17-02	Novdiex nier caircanv renfyif bordor tav dor.
18-00	Nav hif yer
18-01	Novdiex diefciv, lianrxinx niex zongxjiaof zifyour nier qianrlif xief; gaif qianrlif goxniex zongxjiaof sox xinfyanv gaivbianf niexxir zifyour xief, guanfdor sox davhar, gongxkaix sox mirmir jiaofyif, sirjianf, livbaif niex gaiflir gof goxniex zongxjiaof sox xinfyanv biaovsif niexxir zifyour xief.
19-00	Nav hif ger
19-01	Novdiex zuvzanx niex yifjianf huarbiaov niexxir zifyour xief; gaif qianrlif zuvzanx xief bor ganxser tav nier zifyour xief, renfhor meirgaif gof, guirgaif sivrev tav, xiaoxxir niex diefciv div, tir niex liex niexxir zifyour xief.
20-00	Niev hif
20-01	Novdiex horpinr dav yir niex sef jier niexxir zifyour xief niexxir qianrlif xief.
20-02	Renfhor nov beifper tuanrtiv naf daf bor qixlier tav dor.
21-00	Niev hif nav
21-01	Novdiex zirjier sox zifyour xianvzer niexxir daifbiaov gof guanfdor nier guirjiax zifliv xix canxyir niexxir qianrlif xief.
21-02	Novdiex guanfdor nier guirjiax gongxwuf canxjiax niexxir jixhuif dav zer nier qianrlif xief.
21-03	Novdiex nier yifzif kuaxkar qianrlir nier jixcuv; gaif yifzif dinfqix nier zenxzenf nier xianvjiv gof biaovxianf dor, xianvjiv puvbianf niex pinrdenv nier piaoftour qianr liex, minr jif tav niexxir tourpiaof sox gof dav zer niexxir piaof tour cenrxif gof riv dor.
22-00	Niev hif niev
22-01	Nov naof, sefhuif nier cenryanr naof riv bor, sefhuif baovzanf xief niexxir qianrlif xief, guanfdor nier zuxyanr niex renrger zifyour huarzanv bor div niexxir jinxjif, sefhuif niex wenrhuaf garhaf nier qianrlifdiex sirxianf niexxir qianrlif xief, gaifdux guirjiax xierqif zuf niex guirjif dav riv gof sirxianf nier, guirjiaxdiex nier zuvzir niex zixyanr qinrkuanf yixzaof nier.
23-00	Niev hif sov
23-01	Novdiex jief riv, zifyour jief xianvzer, gongxzenf niex horsir nier jief riv niexxir tiaorjanf xief, jief taif xix bifmianv niexxir baovzanf xief niexxir qianrlif xief.
23-02	Novdiex jief dav zer cour dav zer niexxir qianrlif xief, renfhor qirsif xief tav dor.
23-03	Jief riv maxdiex, hufniv gongxzenf niex horsir nier baofcour xief niexxir qianrlif xief, hofnief baovzenf daivxir: Gof guanfdor niex zovnirdiex novdiex nier senxhor tiaorjianf, biryaof zuf tovlenv nier sefhuif baovzanf xief dor.
23-04	Novdiex hufniv guanfdor nier lifyif weirhuf bor gongxhuif zuvzir, canxjiax neixxir qianrlif xief.
24-00	Niev hif rev
24-01	Novdiex hufniv hif niex sar riv tav niexxir qianrlif xief, gixzex wortuv xief: Jief riv zuf horliv xianfzif xief, dinfqix xinx liex bor hif nier qianflif.
25-00	Niev hif ongr
25-01	Novdiex guanfdor niex zovnirdiex nier jianfkanx niex hurlif weircir bor, gixzex div nier senxhor suivzunv (yer, sivbax, cov, yixliaor niex sefhuif hurriv biryaof xief) xianvsouf niexxir qianrlif xief; Jief taif, dif, canrhuif, novbar sefliex, laovgax zif liex sox tovlenv kongfzif tav tir nier qinrkuanf partir moursenx nenrlir bivlier zuf, baovzanf xianvsouf niexxir qianrlif xief.
25-02	Arniexdiex boxlirdiex terbier zaofguf niex davxir xianvsouf niexxir qianrlif xief. Boxlirdiex, hunxsenx sox huix hunxsenx, sefhuif baovhuf hufniv dav zer dor.
26-00	Niev hif wor
26-01	Novdiex hufniv jiaofyir jiersouf niexxir qianrlif xief, jiaofyir gof tongrqianr div tav dor, puvcir xix taif cuxjir niex jixbenv gaixduanf hofnief riv dor. Cuxjir jiaofyir yifwuf nier sif dor. Jifsur niex ziryer jiaofyir puvbianf serlir dor. Gaoxdenv jiaofyir cenrjir liex novdiex bor pinrdenv tongf pov dor.
26-02	Jiaofyir nier murdir: Congxhunf nov nier gofxinf huarzanv, renrqianr niex jixbenv zifyour tiv xix jiax qianr dor. Jiaofyir guirjiaxdiex, zongvzurdiex sox zongxjiaof jirtuanrdiex nier liaovgaiv, rongrrenv nier davcaf curjinf dor, Lianrhor Guir horpinr weirhuf niexxir hordongfdiex curjinf dor.
26-03	Nierbar gixzex nier boxlirdiex jiersouf dor jiaofyir nier zongvluif bor, youxxianx xianvzer nier qianrlif xief.
27-00	Niev hif nier
27-01	Novdiex zifyour sefhuif nier wenrhuaf senxhor canxjiax niexxir qianrlif xief, yifsur xianvsouf niexxir qianrlif xief, koxxior jinfbuf niex gof liex zuf niexxir hurlif dav siv niexxir qianrlif xief.
27-02	Novdiex guanfdor gof riv nier renfhor koxxior, wenrxior sox meivsur zorpinv liex zuf nier jinxsenr niex wurzir nier lifyif bor, baovhuf xianvsouf niexxir qianrlif xief.
28-00	Niev hif yer
28-01	Novdiex sefhuif niex guirjif nier zifxif naf daf div niexxir qianrlif xief, gaif zifxif wortuv, gaif xianxyanr gof hxaf nier qianrlif niex zifyour congxhunf sirxianf daivxir.
29-00	Niev hif ger
29-01	Novdiex sefhuif bor yifwuf xief, sefhuif wortuv guanfdor nier gofxinf zifyour congxhunf huarzanv daivxir.
29-02	Novdiex guanfdor nier qianrlif niex zifyour siv zuf, huarlir gof qiordinf nier xianfzif jiersouf liex, gaif xianfzif nier weiryir murdir novdiex nier qianrlir niex zifyour xief dor cenrrenf niex zunxzongf baovzenf qiordinf liex, minrzuv nier sefhuif wortuv daofder, gongxgongf zifxif nier puvbianf hurlif siryinf niexxir zenfdanf xixyaof qiordinf.
29-03	Gaif qianrlifdiex zifyourdiex siv, renfhor qinrxinf partir Lianrhor Guir nier zongxziv niex yanrzer weirbeif tav dor.
30-00	Sov hif
30-01	Gaif xianxyanr nier renfhor tiaorwenr, gaivsif renfhor guirjiax, jirtuanr sox nov renfhor gaif xianxyanr gof hxaf nier renfhor qianrlif niex zifyour pofhuaif niexxir hordongf sox xinrweir riv niexxir qianrlif xief zif tav dor.
