00-00	ansani hqwq da'almi mnshwr
01-01	sarye ansan azada tye hqwq tye 'zt dye a'tbar nal hkw dyyeye pida thindn . qdrt wlwn anhan kwn 'ql tye smjh 'ta thindi aye . hin kitye hk dwjhye nal bhrpi daslwk krrna tchahi da aye .
02-00	df'h 2
02-01	hr shkhs nsl, rng, jns, zban, mthhb, siasi, qwmi tye smaji ngandhye, jayedad, dym pl atye dw jhi hithit knwn qt' nzr anhan sarye hqwq tye azadian da hqdar hye jthan dath kr a'lan wtch kita ngye .
02-02	indye 'lawh in slslye wtch khin ansan nal awndye mlk di siasi, 'laqayei iabin ala qwami hithit di jiad tye kwyei frq nh kita wisi . tcha hye awnda mlk ia 'laqh azadiaatw liti hwwye, ghir khwd mkhtaria khwd mkhtari di dw jhi hdwd da pabnd hwwye .
03-00	df'h 3
03-01	hr shkhs kwn aprni jan, azadi tye thati btchyew da hq hasl hye .
04-00	df'h 4
04-01	kwyei shkhs banhaiaba nhi bnrra kye nh rkhiawisi . hr qsm di ghlami iaba thian dye karwbar tye pabndi hw si .
05-00	df'h 5
05-01	khin shkhs tye zlm ia aw kwn maria kttianh wisi . nan awndi bye 'zti kiti wisi tye nan hi lwkwn szadti wisi .
06-00	df'h 6
06-01	hr shkhs kwn hq hasl hye jw hr jatye qnwn awndi shkhsit kwn mrnye .
07-00	df'h 7
07-01	qnwn di nzr wtch sb brabr hn tye khin frq dye bghir qnwn dye hkwdyyein btchyew dye hq dar hn . in a'lan dye khlaf kwyei frq kitye w njrn ia frq wastye abharye w bdyrn di swrt atch sarye hkw dyyeye btchyew da hq rkhindn .
08-00	df'h 8
08-01	hr shkhs kwn anhan kman dye khlaf qnwni tcharh jwyei da pwra hq hasl hye jnhan nal ayein ia qnwn di trfwn mlye hwyeye awndye hqwq khtm thindye hwwn .
09-00	df'h 9
09-01	khin shkhs kwn ghir qnwni triqye nal nh grftar kita wisi nh hrast wtch rkha wisi tye nh hi mlk twn bahr kddhia wisi .
10-00	df'h 10
10-01	hr shkhs kwn hkw dyian hq hasl hye jw awndye hqwq tye frayed da t'in ia awndye khlaf khin fwjdari mqdmye di sma't azad tye ghir janbdar 'dalt dye khlye ajlas wtch ansaf nal kiti wndyye .
11-00	df'h 11
11-00	hr shkhs dyindye atye kwyei mqdmh qayem thiwye awn twrrin bye gnah smjhye wndyrn da ahqdar hye jin twrrin lwndye khlaf khli 'dalt wtch qnwn dye mtabq jrm thabt nh jhisi atye lwkwn aprni sfayei pish krrn da apwra mwq' nh dta wisi .
11-01	khin shkhs kwn, ihw dyyeye km ia ghlti di jiad tye, jimbrra krrn wilye mlki iabin ala qwami qnwn wtch jrm shmar nh thind aha, khin jrm wtch pkrr ia nh wisi .
12-00	df'h 12
12-01	khin shkhs di nji ia ghr ilw zndgi atye kht w ktabt ia msil jwl wtch najayez triqye nal dkhl andazi nh kiti wisi tye nh i khin di 'zt ia nik nami tye hmlh kita wisi . hr shkhs kwn hq hasl hye jw qnwn ihw dyyei md akhlt ia hmlye khrrn lwkwn mhfwzr khye .
13-00	df'h 13
13-00	hr shkhs kwn azadi nal aprnye mlk wtch hr ja tye awn wndyn atye rhwrn dahq hasl hye .
13-01	hr shkhs kwn aprnye mlk smit hr mlk kwn tchhwrrn atye aprnye mlk waps w ndyrn da hq hasl hye .
14-00	df'h 14
14-00	hr khin kwn zlm tye ziadti knwn btchrn kitye tye ddw dyhye mlkan wtch pnah hasl krrn atye awndye knwn fayedye tchawrn da hq hasl hye .
14-01	aye hq anhan 'dalti karrwayeian knwn btchrn kitye ast'mal nhin kita wndy sgind ajhirrian ghir siasi jrayem ia ihw dyyeye kman di wjh nal kitian windn jhirrye aqwam mthdh dye mqasd tye aswlan dye khlaf hin .
15-00	df'h 15
15-00	hr shkhs kwn qwmit da hq hasl hye .
15-01	kwyei shkhs najayez twr tye qwmit knwn mhr wm nh rkhia wisi atye nh i khin kwn qwmit tbdil krrn da hq diwrn knwn ankar kita wisi .
16-00	df'h 16
16-00	balgh mran tye 'wrtan kwn nsl, qwmit ia mthhb di khin pabndi dye bghir brnijrn tye ghr wsawrn da pwra hq hasl hye . dwhan kwn nkah, prniwye di zndgi atye tlaq dye m'amlye wtch hkw dyyeye hqwq hasl hn .
16-01	shadi hk dwjhye di mkml rda mndi nal thiwnrri tchahi di aye .
16-02	knbh, wsib di ftri tye jiadi akayei hye atye wsib tye riast lwkwn thfz ddiwrn dye thmh dar hn .
17-00	df'h 17
17-00	hr ansan kwn klhaiad wjhian nal ml kye jayed awr khrn da hq hasl hye .
17-01	khin shkhs kwn zbrdsti awndi jayed aw knwn mhr wm nh rkhia wisi .
18-00	df'h 18
18-01	hr ansan kwn swtch, dmira tye mthhb di azadi da pwra hq hasl hye . indye mtabq bndh azadi nal aprnye mthhb ia 'qidye kwn tbdil kr sngdye atye klhaiad w jhian nal ml kye sr 'am ia klhi jatye, aprnye mthhb ia 'qidye di tbligh, 'badt atye mthhbi rsman azadi nal ada kr sngdye .
19-00	df'h 19
19-01	hr mkhs kwn azadi nal aprni rayeye qayem krrn atye ryeye diwrn da hq hasl hye . indye mtabq ansan azadi nal rayeye qayem kr sngdye tye khin thriyeye nal khin mlk twn 'lm tye nzriat hasl kr sngdye tye hr jatiyen aprnye nzriat tye khialat pdya skdye .
20-00	df'h 20
20-00	hr shkhs kwn pra mn triqye nal mil mlap atye kh' krrn tye ttw lye bnawrn ahq hasl hye .
20-01	khin shkhs kwn khin ttw lye wtch shaml thiwrn kiyeye mjbwr nhin kita wndy sngda .
21-00	df'h 21
21-00	hr shkhs kwn aprnye mlk di hkwmt wtch brah rast ia azadi nal tchrnye hwyeye nmayendian dye thriyeye hsh ghnrn da hq hasl hye .
21-01	hr shkhs kwn aprnye mlk wtch srkari mlazmt hasl krrn dahkw dyian hq hasl hye .
21-02	lwkan di slah, hkwmt dye akhtiarat di jiad hw si . in slah da azhar, m'iad pwri thiwrn tye asli antkhabat dye thri'ye kita wisi . antkhabat wtch hr khin kwn wwtt pawrn dahkw dyian mwq' dta wisi atye wwttng azadi nal tye hfih andaz wtch thisi .
22-00	df'h 22
22-01	wsib dar kn hwdrn di wjh nal hr shkhs kwn smaji thfz dahq hasl hye . aw kwn aye di hq hasl hye jw aw mlk nzam tye wsayel dye mtabq atye qwmi kw shsh tye bin ala qwami t'awn nal ihw dyyeye aqtsadi, m'ashrti tye thqafti hqwq hasl krye jimbrrye awndi 'zt tye wqar tye shkhsit di t'mir tye trqi kiyeye drwri hn .
23-00	df'h 23
23-00	hr shkhs kwn km kar tye azadi nal rwzi rzgar krrn, km da mnsfanh tye saz gar mahwl atye bye rwzgari dye khlaf btchyew da hq hasl hye .
23-01	hr shkhs kwn khin frq dye bghir hkw dyyeye km dye kitye hkw dyyeye m'aw dye da hq hasl hye .
23-02	km krn wala hr shkhs mnsfanh tye mnasb m'awdye da hq rkhindye . jimbrr alwndye tye lwndye bal btchian kitye 'zt di hiati da damn hwwye atye awndye wtch drwrt dye mtabq smaji thfz dye bye thrian w lwadha kitaw ndyye .
23-03	hr shkhs kwn fayedian dye btchyew kitye tjar ti ttw lye bnrr awrn tye anhan wtch shaml thiwrn da hq hasl hye .
24-00	df'h 24
24-01	hr shkhs kwn aram tye dl wnd lawrn da hq hasl hye . indye wtch km dye mnasb awqat atye tnkhwah dye nal tchhttian di shw ltan shaml hn .
25-00	df'h 25
25-00	hr shkhs kwn aprni tye aprnye bal btchian di sht tye bhlayei kitye tchngi zndgi da hq hasl hye . awkwn khwrak, lbas, rhayesh 'laj m'aljye atye w sib dian dwjhbian shw ltan mlrnian tchahi dian hn atye bye rzgari, bimari, m'zwri, rnddipa, bddhipaia ws knwn bahr ihw dyyeye halat dye khlaf jnhan wtch rzgar tchhtt w ndyye, btchyew da hq hasl hye .
25-01	bal tye awndi ma dwhin khas dikh bhal tye amdad dye hq dar hin . sarye balan kwn bhanwin aw shadi knwn phlye dymye hwwn ia shadi dye b'd, w sib dye hkw dyyeye btchyew da hq hasl hye .
26-00	df'h 26
26-00	hr shkhs kwn t'lim da hq hasl hye . t'lim, shrw' tye mnddhla dye drjian knwn mft hwwrni tchahi di aye . fni tye pishh wranh t'lim wsi shwlt sb kitye hwwye atye 'ali t'lim di shwlt di liaqt dsi jiad tye sb kitye hkw dyyei hwwrni tchahi di aye .
26-01	t'lim da mqsd ansani shkhsit di mkml t'mir tye ansani hqwq tye jiadi azadian da akhtram hwsi . ihh sarian qwman atye nsli ia mthhbi grwpan dye wtch, mfahmt dw sti tye rwadari kwn wdhisi atye amn qayem rkhrn kitye aqwam mthdh di sr grmian da angwarn krisi .
26-02	waldin kwn in ngal da hq hasl hye jw aw aprnye balan kwn aprni mrdi dye mtabq t'lim diwa sngdn .
27-00	df'h 27
27-00	hr shkhs kwn wsib di thqafti zndgi wtch azadi nal shaml thiwrn, awndye knwn mzh ghrn atye sayens di trqi tye awndian shwltan knwn fayedye tchawrn da hq hasl hye .
27-01	hr shkhs kwn hq hasl hye jw awndye anhan akhlaqi tye madi fayedian da btchyew kitaw ndyye jhirrye awndi sa yens ijad ia adlmi ia fnkar lnh tkhliq di wjh nal lwkwn mldn .
28-00	df'h 28
28-01	hr shkhs ihwdyyein smaji tye bin alaqwami nzam wtch shaml thiwrn da hqdar hye dybndye wtch in a'lan dye mtabq hqwq tye azadian dtian windian hwwn .
29-00	df'h 29
29-00	hr shkhs tye wsib dian thmh darian di hwndn jindye wtch awndi shkhsit kwn azadi nal mkml trqi mldi hye .
29-01	aprni azadian tye hqwq knwn fayedh tchawrn wtch hr shkhs anhan pabndian da khial rkhisi jhirrian bian dye hqwq tye azadian dye btchyew kitye atye jmhwri wsib wtch akhlaq tye lwkan dye amn tye bhlayei dye tqadye pwrye krrn kitye qnwn di tr fwn layeye widn .
29-02	ihh hqwq tye azadian khin swrt wtch aqwam mthdh dye mqsdan tye aswlan dye khlaf nyein dtian wnj sngdian .
30-00	df'h 30
30-01	in a'lan di khin ngalh da ihh mtlb nyein ngda wnj sngda jw indye thri'ye khin mlk, grwp ia shkhs kwn dw jhian dye hqwq tye azadian di khlaf wrzi krrn kitye kwyei kar gzari da hq hasl thi ngye .
