00-00	GAIRM CHOITCHEANN AIR COIRICHEAN A' CHINNE-DAONNA
04-01	Cha bhi neach air a chumail fo thrailleachd neo fo dhaorsa. Bithidh trailleachd agus traill-mhalairt air a thoirmeasg na uile chruth.
05-00	Bonn 5.
05-01	Cha bhi neach air a smachdachadh gu pian neo gu deiligidhean an-iochdmhor, mi-dhaonna neo truaillidh.
06-00	Bonn 6.
06-01	Tha coir aig gach neach a bhith air a choimhead mar bhall den chinne-daonna ann an sealladh an lagha.
07-00	Bonn 7.
07-01	Tha na h-uile co-ionnan fa chomhair, agus mar sin airidh air dionachd an lagha. Tha gach neach airidh air an aon dion ann an aghaidh eadar-dhealachaidh sam bith a bhriseas a' Ghairm seo agus an aghaidh brosnachaidh sam bith a chuirear air chois airson eadar-dhealachadh a dheanamh.
08-00	Bonn 8.
08-01	Tha coir aig gach neach air furtachd eifeachdach bho na cuirtean naiseanta airson gniomhan a tha briseadh nan coirichean dleasdanach a tha air an toirt seachad tron lagh.
09-00	Bonn 9.
09-01	Cha bhi neach air a chur an sas neo ann an greim neo air fhogarrachadh gu mi-laghail.
10-00	Bonn 10.
10-01	Tha coir aig gach neach gum faigh e eisdeachd phoblach ann an lan-cheartas bho chuirtean neo-eiseimeileach agus neo-leththromach nuair a tha a choirichean air an ceasnachadh agus nuair a tha gniomhan eucorach air a chur as a leth.
11-00	Bonn 11.
11-00	Tha coir aig gach neach aig a bheil eucoir dhioghaltach air a chur as a leth a bhith air a mheas neo-ciontach gus an teid a chionta a dhearbhadh a-reir an lagha aig deuchainn phoblach far am bheil gach barrantas a tha feumail saor dha airson a dhionachd.
11-01	Chan fhaod neach a bhith air a mheas ciontach mar thoradh air gniomh neo dearmad nach robh na chionta dhioghaltach fo laghan naiseanta neo eadar-naiseanta aig an am san deach an gniomhachadh. Ni mo na sin chan fhaodar cain nas truime a chur air neach na bha freagarrach aig an am san deachaidh an eucoir a dheanamh.
12-00	Bonn 12.
12-01	Chan fhaodar neach sam bith a cheannsachadh le bhith a' buintinn ri phearsantachd, ri theaghlach, ri dhachaidh neo tro sgriobhadh agus ni mo a dh' fhaodar buintinn ri onair neo ri chliu. Tha uile choir aig gach neach air dion bhon lagh an aghaidh ionnsaighean den t-seorsa sin.
13-00	Bonn 13.
13-00	Tha coir aig gach neach air saorsa gluasaid agus saorsa comhnaidh an taobh a-staigh crioch gach stait.
13-01	Tha coir aig gach neach cead a bhith aige duthaich sam bith, eadhon a dhuthaich fhein, fhagail agus cuideachd cead gu tilleadh gu a dhuthaich fhein.
14-00	Bonn 14.
14-00	Tha coir aig a h-uile neach didean bho gheur-leanmhain a shireadh agus sitheachd fhaotainn ann an duthchannan eile.
14-01	Chan fhaodar a' choir seo a chleachdadh a thaobh thagraidhean nach eil poiliticeach neo a thaobh ghniomhan a tha an aghaidh thograidhean agus phrionnsabalan nan duthchannan Aonaichte.
15-00	Bonn 15.
15-00	Tha coir aig gach neach a bhith air ainmeachadh gu naiseanta.
15-01	Chan fhaodar a dhuthchas naiseanta, neo a choir air a dhuthchas naiseanta atharrachadh, aicheadh air neach air bith.
16-00	Bonn 16.
16-00	Tha e na choir aig gach fireannach is boireannach, a dh' aindeoin cinnidh is a tha air teachd gu aois, posadh agus teaghlach a steidheachadh. Tha iad dligheach air coirichean co-ionnan nam posadh re uine am posaidh agus ann an sgaoileadh a' phosaidh.
16-01	Chan fhaodar posadh a bhith air a chompairteachadh ach a mhain le saor-thoil gach ceile.
16-02	'S e an teaghlach aonad nadarra agus bunaiteach gach sluaigh agus mar sin airidh air a bhith air a dhion leis an t-sluagh agus an Stait.
17-00	Bonn 17.
17-00	Tha e na choir aig gach neach sealbhachd a bhith aige fhein a thuilleadh air sealbhachd ann an co-chomunn dhaoine eile.
17-01	Chan fhaodar a shealbhachd a thoirt bho neach gu mi-riaghailteach.
18-00	Bonn 18.
18-01	Tha e na choir aig gach neach saorsa smuain, saorsa cogais agus saorsa creidimh a bhith aige; tha a' choir seo a' gabhail a-steach saorsa airson a chreidimh 's a chreud atharrachadh, na aonar neo ann an comhlan dhaoine eile ann am follais neo gu diomhair agus am foillseachadh tre theagasg, tre aoradh agus tre bhith gan cleachdadh.
19-00	Bonn 19.
19-01	Tha coir aig gach neach air saorsa beachd agus labhairt; tha a' choir seo a' gabhail a-steach a bhith ag altruim bheachdan gun bhacadh sam bith agus a bhith a' sireadh agus a' toirt seachad eolais tro mheadhan sam bith a dh' aindeoin cnapan-starraidh a dh' fhaodadh a bhith anns an rathad.
20-00	Bonn 20.
20-00	Tha coir aig na h-uile saorsa a bhith aca airson co-chruinneachadh agus co-chomunn.
20-01	Chan fhaodar neach a cho-eigneachadh gu bhith na bhall de cho-chomunn sam bith.
21-00	Bonn 21.
21-00	'S e coir neach sam bith co-phairt a ghabhail ann an riaghaltas a dhuthcha gu pearsanta neo tro thaghadh riochdairean.
21-01	Tha coir aig na h-uile slighe fhosgailte a bhith aca airson seirbhis phoblach a dheanamh dhan duthaich.
21-02	Bithidh toil an t-sluaigh na bhunait airson barantas riaghlaidh agus bithidh seo air a dheanamh follaiseach ann a bhith a' cumail thaghaidhean tro bhotadh coitcheann a bhitheas air a chumail ann an diomhaireachd aig amannan airidh neo tro dhoighean saor-thaghach eile.
22-00	Bonn 22.
22-01	Tha coir aig gach neach, mar bhall den phoball air tearainteachd soisealta agus tha e airidh, tro oidhirpean naiseanta agus co-oidhirpean eadar-naiseanta a-reir eagrachadh is seilbh gach Stait, air gach coir eaconomaigeach, shoisealta agus chultarail a tha do-sheachanta feumail a chum urram agus saor-leasachadh a phearsantachd.
23-00	Bonn 23.
23-00	'S e coir gach neach a bhith ri obair, ri saorsa airson obair a thaghadh, ri cumhnantan obrach a tha ceart agus fabharach agus ri dion an aghaidh a bhith gun obair.
23-01	Tha coir aig gach neach, gun leth-bhreth sam bith, air paigheadh co-ionnan airson obrach cho-ionnan.
23-02	Tha coir aig gach neach a tha anns an obair air tuarasdal freagarrach a bheireadh dha fhein 's dha theaghlach bi-beo a bhiodh a-reir luach agus inbhe an duine eadhon ged a dh' fheumte leasachadh a dheanamh tro mheadhanan eile airson dion soisealta a bhith aige.
23-03	Tha coir aig gach neach air ceaird-chomainn a dhealbh agus e fhein a cheangal riutha airson dion a choirichean.
24-00	Bonn 24.
24-01	Tha coir aig gach neach air fois agus saor-thide comhla ri cunbhalachadh reusanta air uairean obrach maille ri laithean saora le paigheadh bho am gu am.
25-00	Bonn 25.
25-00	Tha coir aig na h-uile air aite comhnaidh a tha iomchaidh airson an slainte fhein is slainte an teaghlaich - sin a' gabhail na ghlacan biadh, aodach, taigheadas, leigh-aire agus seirbhisean soisealta - agus a thuilleadh air sin tha coir aca air dion ann an aghaidh call-obrach, tinneas, eu-cothrom, banntrachd, seann aois agus gainne beo-shlaint ann an suidhichean a tha thar an comais.
25-01	Tha mathaireachd agus leanabachd airidh air aire agus cuideachadh air leth. Tha gach leanabh, diolain neo a chaochladh, airidh air an dion shoisealta cheudna.
26-00	Bonn 26.
26-00	Tha foghlam na choir do gach neach. Bithidh foghlam an asgaidh, co-dhiu aig na h-irean bunaiteil. Bithidh foghlam bunasach sparraichte air gach neach. Bithidh foghlam teicneachail, proifeiseanta agus ard fhoghlam air bonn airidheachd, co-ionnan fosgailte do na h-uile neach.
26-01	Bithidh foghlam ag amas air lan-leasachadh pearsa an duine agus a chum neartachaidh tlachd ann an coirichean agus saorsan daonna. Bithidh foghlam a' brosnachadh tuigseachd, foighidinn agus cairdeas am measg dhuthchannan, am measg bhuidhnean cinneadail is crabhach, comhla ri a bhith a' cur air adhart oidhirpean nan Duthchannan Aonaichte a thaobh cumail na sithe.
26-02	Tha coir o thus aig parantan roghainn a dheanamh den t-seorsa foghlaim a tha freagarrach don cloinn.
27-00	Bonn 27.
27-00	'S e coir nan uile compairt a bhith aca ann am beatha chultarail an coimhearsnachd fhein, a bhith solasach anns na h-ealain is roinn a bhith aca anns gach maitheas a shruthas bho gach adhartas saidheansail.
27-01	Tha gach neach coireach air dion a bhith air na sochairean moralta agus saoghalta a tha a' sruthadh bho obair saidheansail, litreachail neo dealbhach ris am bheil e fhein.
28-00	Bonn 28.
28-01	Tha coir aig gach neach air ordugh soisealta agus eadar-naiseanta anns am bi coirichean agus saorsaidhean a' Ghairm seo air an toirt gu buil.
29-00	Bonn 29.
29-00	Tha dleasdanasan an crochadh air gach neach don choimhearsnachd sin a-mhain anns am bheil e comasach dha a mhiannan pearsanta a choilionadh.
29-01	Ann an cleachdadh a choirichean is a shaorsaidhean bithidh gach neach umhail do gach crich a chuireas an lagh air chois airson a bhith a' deanamh cinnteach gum bi coirichean agus saorsaidhean dhaoine eile air an coimhead agus bithidh e leagte ri na riatanais a tha moraltachd, rian pobaill agus maitheas coitcheann a' tagradh ann am poball deamocraiteach sam bith.
29-02	Chan fhaodar na coirichean agus na saorsaidhean sin a bhith air an cleachdadh air dhoigh sam bith ma tha iad a' ruith calg-dhireach an aghaidh thograidhean agus phrionnsabalan nan Duthchannan Aonaichte.
30-00	Bonn 30.
30-01	Chan fhaod ni anns a' Ghairm seo a bhith air a thuigsinn mar gum biodh e a' toirt cothroim do Stait, do chomhlan neo do dhuine, coir air pairt a ghabhail ann an gniomh sam bith a chur an ceill, a tha a' cuimseachadh air a bhith a' cur a bith aon de na coirichean neo na saorsaidhean a tha sgriobhte sios anns a' Ghairm seo.
