00-00	Prai tiksi kizilerde tjreler (pravolar) deklaratsiyazy
14-01	Polghan na kizinin par tjre khostadarnyn paskha khan-chirinde chazynchan chir tilirge paza pu chazynchan  chirnin tuzalanargha.
14-02	Pu tjrenyn  tuzalanargha charabas khachan khostadar tjstelche,  synynda politicheskai nimes  saibagh  itse,  alai  Pirikken Natsiyalarnyn Organizatsiyazynyn kharazyghtaryna paza printsipterine toghyra parchatkhan kirekter.
15-00	15 Statya
15-01	Polghan na kizinin grazhdanstvolygh polargha tjre par.
15-02	Pirdeezine charadylbincha poili  anyn  grazhdanstvozyn alai grazhdanstvo alystyraryn  pylastyrargha.
16-00	16 Statya
16-01	Chazy chitken ir paza ipchi kiziler tjrelig rasovai, natsionalnai alai religiya  tanygh khoostyra  pir de khyzyrghany chokh khonykh khonargha paza pozynyn sjbire testirge.  Olar tin tjrelernin tuzalanchalar  khonykh khonarda , khonykh tuzynda paza charylysta.
16-02	Khonykh khonargha charadylcha pos paza toldyra la ikibezinin khonykh khonchatkhannardyn charadyghlarynda.
16-03	Sjbire  jmenin jjn paza syn uiazy paza anyn tjre jmenin paza khaznanyn sarinan arachylaskha par.
17-00	17 Statya
17-01	Polghan na kizinin par tjre nime-noonyn eelenerge khaidi pos alyncha idjk, paskhalardyn khada.
17-02	Pirdeezine charadylbincha poili anyn nime-noo pylazargha.
18-00	18 Statya
18-01	Polghan na kizinin par tjre poili saghyskha,akh saghyskha paza  religiya; pu pravogha kirche pos alyncha pozynyn religiyazyn alystyryrgha alai kirtinis paza  pozynyn religiyazyna kirtinerge khaidi pos alyncha idjk, paskhalardyn khada, chonnyn alai pos alyncha ondaidyn egredigde, Khudaigha pazyrar tusta agh paza religioznai paza  ritualnai kibirler toldyrysta.
19-00	19 Statya
19-01	Polghan na kizinin par tjre pos ondailygh kirtiniske paza pos olardy chookhtirgha; pu tjrenin sanda par svoboda tudykh chokh pozynyn kirtinis tudynargha paza pos  ondailygh tilirge,  alargha paza taradargha informatsiyany paza ideyalardy khaidygh da  kirek nimelerdin khazna granitselerge daa kjrbin.
20-00	20 Statya
20-01	Polghan na kizinin par tjre pos ondailygh khorghys chokh chyylyghlargha paza assotsiatsiyalargha.
20-02	Pirdeezi piree assotsiatsiyaza kesteglig kirerge charadylbinche.
21-00	21 Statya
21-01	Polghan na kizinin par tjre pos khazna ustirynda aighazargha kjni alai  pos tabylghan kizi khoostyra.
21-02	Polghan na kizinin par tjre tin khaznadaghy sluzhbagha kirer ondai pozynyn khaznazynda.
21-03	Chonnyn kestenizi elge pravitelstvovanyn  tjstigi polargha kirek; pu kestenis pozyna iskirgeni  periodicheskai paza syn tabyghlarda tabargha kirek, khaizy prai tiksi paza tin tabygh tjrelig irtirerge kirek chazyt tabyghlar khoostyra alai paskha  tin formaldar khoostyra,  tabyghlar svobodazyna chitkiche pirerge.
22-00	22 Statya
22-01	Polghan na kizinin par tjre jmenin chleni polyp, sotsialnai chitkiche pirergene paza kirek toldyrghanyna annyn pozynyn sinin pilingeni polyzargha paza annyn alyncha omazy pos jzizi ekonomicheskai, sotsialnai i kulturnai oblastarda pravolaryn natsionalnai kestenis khoostyra paza chonnar arazyndaghy khabazygh paza polghan na khaznanyn strukturazy paza  resurstary khoostyra.
23-00	23 Statya
23-01	Polghan na kizinin toghyskha par tjre, poili toghys talliryna, syn paza ondailygh toghys ondailargha paza toghys chokh polghannyn toghyr arachylaany.
23-02	Polghan na kizinin par tjre pirde diskriminatsiya chokh tin toghys echen tin tjlirge.
23-03	Polghan na toghynchatkhan kizinin par tjre orta paza syn syiykh pirgenine, kizi churtazyna pozyna paza anyn sjbirezine turyzar chitkiche pirerge, paza kirek polza ,khozylghany paskha sotsialnai kirek nimeler chitkiche pirerge.
23-04	Polghan na kizinin par tjre  professionalnai soyuztar tjstirge paza professionalnai  soyuztarza  kirerge  pozynyn  kireksinisterin arachylirga.
24-00	24 Statya
24-01	Polghan na kizinin tjre tynanargha paza  man tuskha par, ol sanda saghystygh toghys keni khyzyrghany paza tjleglig periodicheskai otpuska tjre par.
25-00	25 Statya
25-01	Polghan na kizinin par tjre andag churtas sinine, ol sanda as-tamakh, kipazakh, churt, imneg  synykhtagh paza prai kirek sotsialnai polyzygh, khaizy khazykh paza chakhsy khonykh pozyna paza anyn sjbirine khabas pirerge kirek, paza tjre toghys chokh polar tusta, aghyrygh, kinek polghany, jkis polghany, ulughlanybyssa kirt tusta alai paskha da kirekte khachan churtirgha kirek nimeler chidirgeni ol pyrolygh nimes ondailar kilis parghan tusta.
25-02	Iche polghany paza olghan tuzy alyncha synykhtagha paza polyzygha tjre pircheler. Prai palalar khonykhta alai ba chokh tjrenner tin sotsialnai arachylynystyn tuzalanarga kirekter.
26-00	26 Statya
26-01	Polghan na kizinin egredige tjre par. Egredig tike polargha kirek pastagy paza ortyn ugredig teerge andagh polargha kirek.  Pastagy egredig obyazatelnai polargha kirek. Tekhnicheskai paza  professionalnai egredig praizyna kiliskek polargha kirek, paza pjzik egredig praizyna tin kiliskek polghan na kizinin keligi tjsta polarga kirek.
26-02	Egredig ailandyrybyzargha kizinin toldyra jskenine ailandyrybyzargha kirek paza kizinin tjrelerine paza jjn pos ondailargha ulughlanys jskenine. Egredig prai chonnar aroazynda,rasovai paza religioznai gruppalar arazynda udur-tjdir piliskenine, sydamagha paza ynarkhaskha polyzarga kirek,  paza  Pirikken Natsiyalarnyn  Organizatsiyanyn amyr churtas turyzary toghyzyna khabazargha kirek.
26-03	Iche-pabalar  prioritetnai tjreelig postarynyn kichig chastygh palalargha egredig kjrim tallirgha.
27-00	27 Statya
27-01	Polghan na kizinin par tjre pos chon jmezinin kulturnai churtasta poili aralazargha, iskusstvanyn tyn khynyp tuzalanargha, nauchnai progresste aralazarga  paza anyn paiynan tuzalanarga.
27-02	Polghan na kizinin par tjre arachylyskha anyn moralnai paza materialnai kireksinsterin,  khaizy ol avtory polchatkhan nauchnai, literaturnai alai  khudozhestvennai toghystarnyn saltary  polchalar.
28-00	28 Statya
28-01	Polghan na kizinin sotsialnai paza chonnar arazyndaghy chaa chokh, amyr churtaskha, khach an pu Deklaratsiyada pazylghan pravolar paza svobodalar tooza toldyrargha charir,tjre par.
29-00	29 Statya
29-01	Polghan na kizinin par obyazannostar jmezinin alnynda, khaida la anyn omazyna pos paza prai sarinyn tyyrgha ondai polar.
29-02	Pravolarnyn  paza svobodalaryn toldyrarynda  polghan na kizi zakonnan paza chon arazyndaghy kizi pravolarnan kjrilgen (ogranichenieler) (khyzyrchatkhan meralar)  la taradylchalar kizinin pravolarnyn paza praizynyn jjn svobodalary ulughlap sanai paskhalarynyn pravalaryna paza svobodalaryna kirek sanaskhany paza ulughlaany chitkiche pirgeni echen paza moraldyn, chon arazyndaghy iptig polghany paza chonnyn  chakhsy churtastyn demokraticheskai jmede  syn kireksinister toldyraryn echen.
29-03	Pu pravolar paza svobodalar toldyrghany Pirikken Natsiyalarnyn Organizatsiyazynyn kharazyghlaryna paza printsipterine khaidi de toghyr polbaskha kirek.
30-00	30 Statya
30-01	Pu Deklaratsiyada pir dee nime paskha khaznanyn, chonnyn, khaidagh-da jmenen alai alyncha kiznen  khaidagh daa toghystan aighazar alai pu Deklaratsiyada pazylghanny saibir  pravo chonnarnyn pravolaryn chokh ider pedinin saibabchatkhan tip  saba charydylbazyn.
