00-00	A NUCAMA SINANXUN CA AXA ANU TIMECE UNICAMAN ESAQUIN CAXA:
09-01	Uinu 'ice unixbi ca anubi 'uchacema 'icebi betsi uni ain cueencesa oquin sipuace 'itima 'icen. Sipunu 'ice ca anubi 'inun entima 'icen. Ain menua ca betsi menu cuantanun xutima 'icen.
10-00	10.
10-01	Unin uisa nu 'ace 'icea betsi uni a 'aisamonun quixun ami mananquin cacexun ca an bana menioce 'apun betsi uni manance a unin banaribi aserabi cara usa 'ice quixun 'unanti 'icen, uni rairinenribi ismainun. Upi oquin istancexuinshi ca cati 'icen, uisa cara a uni oti ice quixun, gobiernonen ain quiricanu meniosabi oquin.
11-00	11.
11-00	Uinu 'ice uni cara uni itsin ami manania, a ca an bana menioce 'apun pain upi oquin sinanti 'icen, sapi ca nu 'atima 'acema 'ice quixun. Gobiernonen cacesabi oquin pain ca isti 'icen uisa nucama cara 'axa quixun. Uni rairinen ismainun ca axa ami manance unicaman bana cuanan amia manancance a unin banaribi cuanan an a uni unance unin banaribi cuati 'icen. Cuaxuinshi ca aserabi uisa cara a uni 'iaxa quixun upi oquin 'unanti 'icen.
11-01	Uisai cara gobiernonen bana quia usoquinshi ca an bana menioce 'apun a 'uchace uni aserabi ain nu 'atima 'ace istancexun uisa cara oti ice usoquin 'ati 'icen. Anun a nu 'aisama 'ace nete ain fecha isquin ca an bana menioce 'apun a fecha gobierno quice bana betisoima a bana quicesabi oquinshi axa 'uchace uni ati icen.
12-00	12.
12-01	Uinu 'ice uninbi ca ain cueencesa oquinshi betsi uni 'imainun ain xanu 'imainun ain bechice ubiotima 'icen, ain xubunu ca atsintima 'icen, ain quirica betsi unin bemice 'imainun quirica an buanmice ca rairinen bitima 'icen. Usa 'ain ca uinu ice unixbi, a unix ca 'aisama ice quixun uni rairi sinanmi 'atimati banatima 'icen. Usai banacebetanbi an bana menioce apun gobiernonen cacesabi oquin menioti 'icen.
13-00	13.
13-00	Uinu cara uni cuainsa tania, anu ca cuanti 'icen; ain netenu 'aisch uinu cara tsotisa tania ca uni anu tsoti 'icen.
13-01	Ui unix cara ain netenuax nete itsinu cuainsa tania ax ca cuanti 'icen. Amanu 'itancex ain netenu uteceinsa tani ca uti 'icen.
14-00	14.
14-00	Uix cara ain netenuxun betsi betsi oce 'ia ax ca temeranuxma betsi netenu cuainsa tani cuanti 'icen.
14-01	Ain nu 'atima 'ace cupi gobiernonen menioquin 'atimoce usa uni ca ain netenuax temerati rabanan betsi netenu cuantima 'icen.
15-00	15.
15-00	Camabi uni ca ain netenu iti icen.
15-01	Ene nete minan 'aishbi ca minanma 'iti 'ice quixun ca unin betsi uni catima 'icen. Betsi netenu 'isa tanquin ca unin usai 'inuxun gobiernobetan menioti 'icen.
16-00	16.
16-00	Betsi betsi unix ca quia: Uni canice ixunbi ca betsi netenu ice xanu bitima 'icen, ca betsi banan banace xanu bitima 'icen, ca an rabice dios rabicema xanu bitima 'icen. Usa unix quicesai ca 'itima 'icen. Unin usa xanu canice 'ice bisa tanquin ca biti 'icen, a xanu cueencebetan. Atux 'isa tani ca bechicenu 'iti 'icen. Gobiernonen iscex ca a uni ain xanube senen 'icen, xenibua 'ainbi.
16-01	Nuce bene cueenquinshi ca xanu biti 'icen, a anuribi cueenia ca biti 'icen.
16-02	Tuacama ain tita ain papabe 'aquiananti ca asabi 'icen. Usai upiti bucunun ca camabi unin sinanti 'icen. 'Apunribi ca usai 'inun sinanxunquin 'aquinti 'icen.
17-00	17.
17-00	Uni menu 'isa tania ca uni itsin menu 'inun enti 'icen. Xuburibi 'imainun anu nunu cara uni 'isa tania ca uni itsin a nunu 'inun enti 'icen. 'Aisa tanquin uni rairibetan meniotancex ca a nu ainainshima, rairinanribi 'iti 'icen.
17-01	Unin ca ain cueencesa oquinshi betsi unin nu bitima 'icen.
18-00	18.
18-01	Camabi unin ca ain cueencesa oquin sinanti 'icen; uni rairinen ubiocema ca 'iti 'icen. Uisoquin cara ain dios rabitisa tania usoquin ca 'ati 'icen. Usaquin sinanxunbi ca amiribishi 'aisa tanquin sinantecenti 'icen; uni rairinen ubiocema ca 'iti 'icen. En rabice diosan iscex ca betsi betsi nu 'ati 'aisama 'ice quixun sinance uni ca betsi unin a ain cueencesabi oquin 'anun enti 'icen. Usa ain ca ain diosmi catameisa tania betsi unin a 'axunma 'anun catima 'icen. An rabice dios ca anbi rabiti 'icen. 'Aisa tani ca uni rairibe timequin abetan rabiti 'icen. Rabiquin ca 'aisa tanquin rairi uniribi ain dios nuiquin 'unanmiti 'icen.
19-00	19.
19-01	Camabi unin ca ain cueencesa oquin sinanti 'icen. Ca ubiocema 'iti icen. Ca betsi unin cace bana 'aisa tanquin sinanti 'icen. Betsi netenu 'ice uniberibi ca 'unanmiananti 'icen. Usai 'i ca ubiocema iti 'icen. Usaribi oi ca ain sinance nu nui banatisa tani banati 'icen; ca ubiocema 'iti 'icen.
20-00	20.
20-00	Uni rairibe timtisa tani ca uni upi oquiinschi sinanx timeti 'icen.
20-01	Uinu 'ice uninbi ca betsi unin abetan nu 'aisama tania ubioxun nu 'amitima 'icen.
21-00	21.
21-00	Camabi unin ca libreta electoralnu 'ixun ain cueencesa oquin 'apu caisquin votacion 'ati 'icen.
21-01	Gobiernonen ain netenu 'ice unicama 'aquinun menioce nucama ca camabi uninan 'icen. Ca esa 'icen: Bai cha anun ca carrocama 'imainun unicama cuainsa tani cuanti 'icen. Anun quirica buanmiti correo anun ca unin 'aisa tanquin ain quirica buanmiti 'icen. Usai ca 'iti 'icen.
21-02	Uisa gobierno cara a netenu 'ice unicama cueenia, usa ca ain gobierno 'iti 'icen. Uisa gobierno cara a unicama cueenia 'unanun ca libreta electoralnu 'ice unicaman quiricanu cueneoquin uicama cara ain 'apu 'iti cueenia quixun 'unanun 'ati 'icen. Camabi uni ain sinancesabi oquin ca uix 'apu 'iti cara cueenia, ain ane quiricanu cueneoti icen. Cueneoce ca uni itsin 'unantima 'icen, anbi cueneoce ca iti 'icen. Camabi uni ca betsibe senen 'icen. Usa 'aish ca camabi uni gobierno quicesabi ol libreta electoralnu 'iti 'icen.
22-00	22.
22-01	An nu 'atima 'acema 'aish ca uinu 'ice unixbi rabinima betsi uni 'icesai nu meetinu ianan uni rairibe nuianance 'ianan ain rairinen nu 'ace 'icesaribi oi 'isa tani iti 'icen. Uni usai 'icema 'aish temerala ca uni itsin 'aquinti 'icen, ain 'apunribi meniocesabi oi ca 'aquince iti icen. Uni ain netenuax cara uisa nu cara 'icebe tenmeria ca betsi netenu 'ice gobiernonenribi 'aquinsa tanquin 'aquinti 'icen.
23-00	23.
23-00	Camabi unin nu meetisa tanquin ca nu meeti 'icen. Anu nu meeti cara 'aisa tania a nu meeti meraquin ca 'ati 'icen. An nu meemice unin ca ain uni 'atimotima 'icen. Nu meeti 'alma 'ain ca 'apun nu meeti meranun 'aquinti 'icen.
23-01	Ui uni cara, uisa cara ain bana 'ice, camabi uni ca senen 'icen. Usa 'ixun ca upi oquin nu meece 'ixun betsi unin 'acesaribi oquin ain cupi biti 'icen.
23-02	Ui unin betsi uni nu meexunce 'ixun ca ain cupi biti 'icen, a 'imainun ain xanu 'imainun ain becicecama upiti bucunun. Ain cupi 'itsamashi bice 'aish 'aquinsa 'ice ca apun anun a 'aquinti menioti 'icen.
23-03	An nu meece uni rairi unibe timequin betsibe betsibe aquiananisa tanquin, ulsoquin cara ain nu meeti 'ati 'ice quixun sinanan uisa cara ain nu meeti ice quixun acama sinanux timetia ca uni itsin usaquin anun enti icen.
24-00	24.
24-01	Camaxbi nu meetancex tantiti ca asabi 'icen. 'Urainra tantiquinma nu meetancex ca tantiti 'icen. Anun tantiti nete gobiernonen menlocesabi oquin ca unin nu meequinmabi ain cupi biti 'icen.
25-00	25.
25-00	Camabi uni 'imainun ain xanu 'imainun ain bechicecama esai 'iti ca asabi ''icen: 'insincema chuamarua, pitinu, chupanu, anu itinu, insince 'aish ronu 'iti. Uni ain nu meeti 'alma, uni insince, uni betsice, xanu casunamece, uni xeni acama anun upiti 'iti 'alma 'ain, ain aintsin 'aquiniama ca a 'aquinti 'apun menioti 'icen.
25-01	Tuanu xanucama 'imainun tuacamaribi upiti inun ca 'aquince iti icen. Betsi tuacama 'icesaribitia 'inun ca unin xanumi sece' oce tuacama beruance iti icen.
26-00	26.
26-00	Camabi tua ca escuelanu atsintisa tani atsinti 'icen. Cuploquinma ca primaria 'ati pain atsinti 'icen. Camabi tuaratsu ca escuelanu cuanti 'icen. Ui unicama cara escuela tecnica anu atsintisa tania ca anu cuanti 'icen, apun meniosabi oi. Secundaria cenutancexun betsi nuribi unantisa tani ca betsi escuelanuribi atsinti 'icen, ain nota asabi ain.
26-01	Escuelanuxun ca quiricanu cueneoce nuishi 'unanmicema 'iti 'icen. Anuxun ca alumnocama betsi nu 'atiribi 'unanmice iti 'icen, 'imainun ca upi oquian alumnonen sinanti aribi 'unanmice 'iti 'icen. Betsi menu 'ice unicama 'imainun betsi banan banace unicama 'imainun Nucen Papa Diosmi sinance unicama 'imainun ami sinancema unicama, camabi nusaribi uni 'aish unibe nuibananti ca 'unanmice 'iti 'icen. Usaquin sinanmicex ca gobiernocaman xuce unicama timexun cueencesabi oi unicama betsibe nishanani 'acananti 'aima iti icen.
26-02	Betsi unin cacesamaira oquin ca ain titabetan ain papan cati 'icen, uisa escuelanuxuinra cara ain bechicenen nu 'unanti ice quixun.
27-00	27.
27-00	A emanu 'ice unicaman 'acesa oquin ca anu 'ice uni rairinen 'aisa tanquin usaribi oquin 'ati 'icen. A emanu 'ice unicaman sinancesa oquin ca anu 'ice uni rairinen 'aisa tanquin usaribi oquin sinanti 'icen, camaxunbi nu 'ati upi oquin 'unanan upiti bucunun.
27-01	An nu 'ace uni 'imainun an nu cueneoce uni anpan 'ace 'ain ca betsi unix, en 'ace ca quiax quitima 'icen. Usai betsi unix quiti rabanan ca an nu 'ace unin 'aisa tanquin an 'ace nu a 'apu 'unanmiti 'icen.
28-00	28.
28-01	Ene quiricacama quicesabi oi camabi uni uni itsin ublocema upiti bucuti 'inun ca camabi netenu ice unin ain aintsi 'aquinti 'icen.
29-00	29.
29-00	Camabi unin ca ain emanu 'ice unicama 'imainun a 'urama 'ice ain caibucama 'aquianan atubetan ain ema 'imainun mecama upi imiti icen. Usaquin 'ai cuni ca unix masa sinancema 'aish upiti 'iti 'icen.
29-01	Unix ubloce 'aish upiti bucucema 'imainun unin nu 'atima 'aquin uni itsiribi nu 'atima 'amiti 'imainun betsi betsi nu sinanquin uni rairi tsuaquirumiti usai 'iti rabanan ca gobiernonen ain unicaman cuati bana menioia. Usa oquin menloce banacama ca ain unicaman cuati 'icen.
29-02	Gobiernocaman xucex timce unicaman upi oquin sinanquin ca ene banacama cueneoxa. Usaribi oquin ca camabi unin ene bana isquin, usaquin sinanquin 'ace ca enex ice quixun upi oquin sinanti 'icen. An 'ace unicaman sinance bana ca betsiotima 'icen.
30-00	30.
30-01	Ene banacama betsioquin ca uinu 'ice uninbi uni rairicama upiti bucunun quixun sinanquinma, 'ex cueencesa oquin 'anun ca a bana quia quixun sinantima 'icen. Uni rairi betsi unibe timececama 'imainun gobiernonu ice apucamanribi ca usa oquin sinantima icen.
