00-00	UNIVERZALNO DEKLARACIJA BASO CACIPA E MANUSESKERE
23-02	Sako ko kerola buti isiole cacipa basi cacikanutno thaj sukarutno pocinipa koja so leske thaj leskere familijake sigurini egzistencija koja so i sukar e manusikane dingitetske so, dzikote valjane, ka ovel dopherdi avere bucencar kotar i socijalno preventiva.
23-03	Sako isile cacipa te formirani thaj the khuvel ko sindikati baso arakhiba ple interesija.
24-00	Dzeno 24
24-01	Sakone isi cacipa ki ferije thaj rekreacija, chivindoj odote e gndakoro granicipe baso bucakoro vakti thaj palovakteskere pocime ferije.
25-00	Dzeno 25
25-00	Sakone isi cacipe baso dzivdipasko standardi so sigurinela sastipa thaj sukaripa, lekse thaj leskere familijake, chivindoj ote o xabe, o urjavipe, o cer, doktoreskoro arakibe taj o trubupe kotar o socijalno funkcionerja sar em o cacipe e siguripako ki situacija ko bizobuti, nasvalipa, bizoralipe, phivlipa, phuripa ja avera situacije ko nasaviba e bucengoro baso ikeripe e trujalipaskoro biatxinalipe kotar leskiri volja.
25-01	O daja thaj o cave isiolen cacipa basi ulavno arakibe thaj pomostaripe. Sa o chave, bijande ko nicai ja avri olestar, dzivdinena jekhutno socijalno arakiba.
26-00	Dzeno 26
26-00	Sako isiole cacipa ko sikljobe. O sikljoibe trubul te ovel bipocimo barem ko fundamentalno thaj xarne skole. I fundamni skola si moralno. I texnicko thaj i profesionalno skola trubul te ovel asavki te avel sarinenge jekutni upri baza ko lengoro takati.
26-01	O sikljoibe valjani te avol ki linija ko baro progeresi e manusikane personakoro thaj zoralipa e kandibasko e manusikane cacipasko thaj e fundamentalno tromanipa. Odova valjani te pomozini o xacariba, sabrluko thaj o dostluko maskaro sa o nacije, rasno thaj religiozno grupacija, sar em i buti e Unijakere nacijengoro baso ikeripe o sansari.
26-02	O dat thaj i daj isiolen avgo cacipa te alosaren ki savi sikljovni ka dzan olengere chave.
27-00	Dzeno 27
27-00	Sakone isi cacipe tromano te participirini ko kulturakoro dzivdipe ko amalipe, te dzivdini ko arti thaj te participirini ko sikljovno progresi tgaj ko lacipe so odotar ikljola.
27-01	Sakone isiole cacipa basi preventiva e moralne thaj e materijalne interesija so ikljovena kotar sakona sikljovno, lilarno thaj artikani aktivnost kasko kerdo si vov.
28-00	Dzeno 28
28-01	Sakone isi cacipe ko amalikano thaj maskarenacionalno sistemi kaj so o cacipe thaj o tromalipe sikavde ki akaja deklaracija saj te oven realizirme za sar si.
29-00	Dzeno 29
29-00	Sakone isi obligacije prekal o amalikanipe kova so dela sanse tromane thaj sa te bajrakeri pli persona.
29-01	Ko kheribe ple cacipa thaj tromanipe sakova manus saj te ovel teljardo numa ko okola granicipa so si gndinde e kriseja nameraja te kerelpe phindzardipsa thaj sunipa e cacipaskoro thaj e tromanipasko e averengo em nameraja te kerel po cefi, o cacikane rodipaja e moralesko, e javno sistemsko thaj i fundamentalno gudlosukariba ko demokratikano amalipe.
29-02	Akala cacipa thaj tromanipa ki nasavi situacija nasti the kherempe kontra o fundija thaj o cikata e Unijakere nacijenge.
30-00	Dzeno 30
30-01	Ni jekh rezolucija kotar akaja Deklaracija nasti te interpretirinenpe sar cacipe bilo save rastrake, grupake ja dzeneske so kerola bilo savi buti ja te kerel bilo savi buti ki linija po pheravipe e cacipasko thaj e tromanipasko so ikerdzona ki akaja Deklaracija.
