00-00	Kizhini toolaghanynan uzhun deklaratsiyazy
01-01	Parchyn kizhi, po charykka tughchadyp, ten, posh tughcha. Kizhiler saghyshtygh, aktygh tughchalar, kizhilerge pashka kizhilerbe arghyshtanyshtargha kerek.
02-00	Statyazy 2
02-01	Parchyn kizhi pashka kizhilerbe, ylar kaidygh da chon-kalyktan shykkanyngha, tizhi ba, er kizhi ba polghanyngha,  kaidygh da tilbe chooktashkanyngha,  kaidygh da partiyadan shyghara sananghanyngha, pai ba, chok kizhi ba polghanyngha pirda korben,  ten ulugh toolaghan polzyn, pashka kizhilerbe ten posh chatsyn.
03-00	Statyazy 3
03-01	Parchyn kizhi  posh chatsyn, any kem da tegbezin.
04-00	Statyazy 4
04-01	Pirda kizhi kul polbazyn, kaidygh da kizhini kul ederge, kul edip sadyrgha charabas.
05-00	Statyazy 5
05-01	Pirda kizhi pashka kizhige shaptyrbazyn, kystattyrbazyn, moghattyrbazyn, kaide da chabal ettirbezin.
06-00	Statyazy 6
06-01	Parchyn kizhi, ol kaida da chadyp, pashka kizhilerge ulugh toolattyrzyn.
07-00	Statyazy 7
07-01	Parchyn kizhi, ol kaidygh da chozaktygh, tilligh polza, po deklaratsiyagha kore, chozak any pashka kizhilerbe ten kor-turzyn.
08-00	Statyazy 8
08-01	Parchyn kizhi, any ulugh toolabanchyghannarynda, charghygha kirzin, aan keregin charghychy mattap korup, on etsin.
09-00	Statyazy 9
09-01	Pirda kizhi eede le tuttyrghan polbazyn, noo-noo cherden shyghara surulbezin.
10-00	Statyazy 10
10-01	Parchyn kizhi, any charghygha tuzhurgennerinde, azhyldyra, shyn charghy charghylazyn.
11-00	Statyazy 11
11-01	Parchyn kizhi, ol kyial etken tep nainaghannarynda, aan kyialy etkenin on charghychy kat shygharbanche, ol kyialy chok kizhi tep adalzyn.
11-02	Noo da kizhi, tem-tem alynda kyial edip, naa la shykkan chozakka kore, charghygha tuzhurbezin. Turbede oduryp, shyghyp, am, naa la shykkan chozakka kre, polghanynan kadyghaarak etpezinner.
12-00	Statyazy 12
12-01	Noo da kizhinin saghyzhyn sananghanyngha, semyazy chatchan eminge, aan paskan katka, aan toldin aghyngha kem da kirbezin, arlashpazyn.
13-00	Statyazy 13
13-01	Parchyn kizhi kaiagha chorerge sanaza, anda chorzin, kaida chadargha sanaza, anda chatsyn, kaidygh da kaan cherinde.
13-02	Parchyn kizhi pozunyn cherinen kaiagha sanaza, agha parzyn, ailanar polza, pozunyn cheringe ailanzyn.
14-00	Statyazy 14
14-01	Parchyn kizhi, any cherinen shyghara  surgennerinde, kaiagha da tezerge sanaza, tessin.
14-02	Kizhi teze odurze-oorlaza, piriktegen kalyk organizatsiyanyn chozaktaryngha kore, agha poluzhargha charabas.
15-00	Statyazy 15
15-01	Parchyn kizhi grazhdanstvolygh polzyn.
15-02	Kemge da aan grazhdanstvozyn eede le alyb-alargha charabas.
16-00	Statyazy 16
16-01	Er kizhi tizhi kizhibe, er sheninge chetkennerinde, noo da nebege, shyraiyngha, kudaigha putkeninge, chon-kalyghyngha korben, alyshsynnar.
16-02	Ozere le sananysh-kelip, alyshsynnar.
16-03	Semya, ol kalyktyn polugu. Anan aara kalyk agha polushsyn.
17-00	Statyazy 17
17-01	Parchyn kizhi chaghyska da, kemme da pirge da polza, em-mal tutsyn.
17-02	Kemnen da tutkan em-maly pashka kizhibe eede le aldyrbazyn.
18-00	Statyazy 18
18-01	Parchyn kizhi nooda uzhun sanaza, anan uzhun sanazyn, kaidygh da kudaigha  puderge sanaza, agha putsin, chaghyska da, kemme pirge, kozha da, kizhilerdin kozunche da, kizhige kordurben da pozunyn chozaghyn tutsyn.
19-00	Statyazy 19
19-01	Parchyn kizhi noo la sanargha sanaza, any sanazyn, noo la aidargha sanaza, any aitsyn, noo la tilerge, tabargha sanaza, any tapsyn, kem da any kaidygh cherde da toktatpazyn.
20-00	Statyazy 20
20-01	Parchyn kizhi abyr chyylyzhargha sanaza, abyr chyylyshsyn.
20-02	Kemni da kushpe chyylyshka kiiriderge charabas.
21-00	Statyazy 21
21-01	Parchyn kizhi kaan-torezi kereginge arlazhargha sanaza, pozu da, pozunyn kizhiny yzyp, arlashsyn.
21-02	Parchyn kizhi, pozunyn cherinde kaan-torezi kereginge kirerge sanaza, pashka kizhilerbe ten kirzin.
21-03	Kaan-torezi kalyktyn sanaghanyn ukchalar, ol kalyghy kaan-torezinge tutcha, kalyktyn sanaghany posh ughulzyn.
22-00	Statyazy 22
22-01	Parchyn kizhi, kalyk arazynda choruup, chakshy chadargha, katchy polargha, pai polargha kerek nebelerin alzyn.
23-00	Statyazy 23
23-01	Parchyn kizhi kaida ishterge sanaza, anda ishtezin, chakshy cherde ishtezin, ish chok kalbazyn.
23-02	Parchyn kizhi, pirda kystatpan, ishtep ten ulush alzyn.
23-03	Parchyn ishtepchyghan kizhi, pozu, aan semyazy chakshy pai chadargha, cheder akcha alzyn.
23-04	Parchyn kizhi pozunyn kereginen uzhun profsoyuz pudurzin, pashka profsoyustaryngha kirzin.
24-00	Statyazy 24
24-01	Parchyn kizhi tynanargha kerek polza, tynanzyn, oiun oinargha sanaza, oinazyn, uzhy-pazhy chok tem ishtebezin, otpusktygh polzyn.
25-00	Statyazy 25
25-01	Parchyn kizhi agha kerek chiizhin chiizin, kerek kebin kessin, kerek eminde chatsyn, kazyktygh polargha, pashka da kerek nebeni alzyn, ish chok pol-parza, kaar-parza, palyghlygh, aghrygh pol-parza, pashka da shedikterge kir-parza, cheder akchalygh polzyn,
25-02	Korsaktygh epchi, kichigh pala matap polushtygh polzynnar. Suras pallar aba-icheligh pallarba ten polzynnar.
26-00	Statyazy 26
26-01	Parchyn kizhi katka urgenzin. Akcha toleben katka shkolda urgenzin. Tort klaska toonche parchyn pala  urgenzin.  Tekhnikalygh,  professiyalygh shkollarda  urgenerge sanazalar, urgenzinner. Institutka urgenerge sanazalar, saghysh chetse, urgenzinner.
26-02	Katka  urgenip,  kizhiler pozunyn kuttaryn azhyp korzinner,  pashka kizhilerdi toolazynnar,  religiyalaryngha,  chon-kalyktaryngha korben,  toolazynnar,  piriktegen kalyktardyn organizatsiyazynyn keregin edip, abyr-kazyk edip chatsynnar.
26-03	Aba-icheleri pozunyn kichigh pallaryngha katka urgener cherin kaida sanazalar, anda tabalzynnar.
27-00	Statyazy 27
27-01	Parchyn kizhi chulun kereginge kirerge sanaza, kirzin, pilim kereginge kirerge sanaza, kirzin, ishtegen paiyn alzyn.
27-02	Kem da, pilim nebeni, ker sos, chooghash pas-salza, aan ishtegenin ulugh toolazynnar, askailabazynnar.
28-00	Statyazy 28
28-01	Parchyn kizhi kalyktar, kizhiler aralarynda, po deklaratsiyada paskan nebelerge kore, ulugh toolattyrzyn, askailatpazyn.
29-00	Statyazy 29
29-01	Parchyn kizhinin aan pozunyn chon-kalyghynan alynda odush par; ol odushti chonkalyghyngha tolep, kizhi pozunyn kudyn azhylyp, yryzyn-uluzhin alcha.
29-02	Parchyn kizhini, ol posh, ten polchyghanda, any chozak la toktatcha; ol chozak pashka kizhilerdin pozhyn, ten polchyghanyn toolapchyghan chozaghy.
29-03	Parchyn kizhinin pozhy, teni piriktegen kalyktar organizatsiyazynynkh kereginen toghra polbazyn.
30-00	Statyazy 30
30-01	Po deklaratsiyada paskan nebeleri pir le kaan cherin, pir chon-kalyktyn keregin tutchan nebeleri ebes; kemge da, po deklaratsiyada paskan nebelerin chok ederge charabas; po deklaratsiyada paskan nebeleri,  kizhilerge polush-kelip,  pistin chakshy chadyiybys pudurzinner.
