00-00	Nai pravosalni Vseobshchai Deklaratsiyani
19-01	Nai taoni mene tedyuchii murunku bimi mutei. Tei murumbi goi gurumbe tedevenkichemi, khengeldi umi mutei. Neandoani tei pravo bi. Ei pravochi irichi: khai granitsasalba-da bodoami, mene murumbi golani biuri, khamacha-da medeveni khai-da khem erdendi gelemechiuri, baori, naisalba savambori.
20-00	Khorinchia statya
20-00	Nai taoni khengel mirnei sobraniesaldu, assotsiatsiyasaldu bimi mutei.
20-01	Uive-de, chikhalasi naiva, khavoi-da assotsiatsiyachi ivenkichevesi.
21-00	Khorin emunchie statya
21-00	Nai taoni stranai mene beedii-nu, goi sondekhan naisal aldandiani-nu dalachami mutei.
21-01	Nai taoni mene stranadoi gosudarstvennai debondo debomi mutei.
21-02	Gosudarstvodu baldi golosal murunchi – pravitelstvo giani tekheni. Geren gurun murundulechi stranadu tondo sondensalba osivambori. Tainai golosovaniedu sondei naisal khem emutudi pravoku osivachi geleuri.
22-00	Khorin dyueechie statya
22-01	Nai taoni, obshchestvo chlenni bimi, neani ekonomicheskai, sotsialnai, kulturnei udedu mene gebui eurichemi, khengeldi uremi baldigoani, neani stranadoani baldi golosal goi-goi boadu baldi golosaldi gese dia diavari belechivechi geleuri. Tei naisal taoni pravochi.
23-00	Khorin iliachia statya
23-00	Nai taoni pravoni: debori, mene murundulei debongoi sonderi, terek bi, ulen uslovieku debondo debori, debon ana osidiani khorichako biuri.
23-01	Nai taoni goi naidi emutu debondola emutu turimbe gelemi mutei.
23-02	Deboi nai taoni, neandoani, neani denkandoani isi turimbe geleuridi pravoku; turini isiasini osini, gosudarstvo neambani belechidieni pravoku.
23-03	Nai taoni neani intereseveni kandei profsoyuzava angomi, tei profsoyuzachi iumi aya pravoku.
24-00	Khorin duechie statya
24-01	Deboi nai taoni teimi, turinku otpuskava gelemi mutei. Tei neani pravoni.
25-00	Khorin toingiachia statya
25-00	Nai taoni, mene guchi denkambi ayadi, elgiechimeri baldigoachi, deko, siaptangiko, tetueku, enusidueri, okchichi guchi densi gurunku biuridi pravoku. Debon ana osiochiani, enusidueni, debomi mutesidueni, naon derediguchieni, sagdangochiani, alban belechiveni gelemi muteini. Tei nai taoni pravoni.
25-01	Nuchi purilku ekesel, nuchi puril chu manga emutu etekhimbe, belechimbe geleuridi pravokul. Khemtu puril, ediku baokhan bimiu, edi ana baokhan bimiu, emutudi alban belechidieni, kandeidiani bivechi geleuri. Tei neanchi pravochi.
26-00	Khorin nyungiechie statya
26-00	Nai taoni tachiochioridi pravoku. Nachalnai, obshchai obrazovanie taman ana bigileichi. Khemtu puril nachalnai obrazovanieva bagilaichi. Tekhnicheskei, professionalnai, uvui obrazovanieva mutei gurun khem bagichi.
26-01	Obrazovanie naiva ulen, masi, goi nai pravosalbani, svobodasalbani kidurive tachiochigini. Obrazovanie dia diavari, goi golosalba derelemi, alichami biurive, Obedinennai Natsiyasal Organizatsiyani mirbe kandeivani belechiurive tachiochigini.
26-02	Aminsal, eninsel nuchi purilberi khaido-da tachiochigoachi mene sonderidi pravokul.
27-00	Khorin nadachia statya
27-00	Nai taoni mene murundulei obshchestvo kulturnei bindueni, iskusstvova ulesimi, nauchnai progressadu uchastvovalami, benchiembeni takorami muteuridi pravoku.
27-01	Nai taoni moralnai, materialnai intereseselbi – mene nauchnai, kulturnei, khudozhestvennai debonsalbi – kandemi muteuridi pravoku.
28-00	Khorin dyakpochia statya
28-01	Nai taoni sotsialnai guchi mezhdunarodnai poryadokba geleuridi pravoku. Tei pravo ei Deklaratsiyadu niruvukhen nai pravosalbani, svobodasalbani tede opovandini.
29-00	Khorin khuyuechie statya
29-00	Nai taoni khengeldi, ten ulendi urei, bii obshchestvodu ne taodanko.
29-01	Nai taoni mene pravosalbi, svobodasalbi tede opovandidoi, demokraticheskai obshchestvodu bi goi nai pravosalbani, svobodasalbani, obshchestvennai poryadokbani, geren gurun benchiembechi giandola sagini, kidugini .
29-02	Tei pravosalba, svobodasalba tede opovandidoi, khali-da Obedinennai Natsiyasal Organizatsiyani tseliselni, printsipeselni khangiaktolani tami achasi.
30-00	Gochiachia statya
30-01	Khaiva-da ei Deklaratsiyadu niruvukhembe, khavoi-da gosudarstvodo-nu, naisal khopandoachi-nu, padi naido-nu pravosalba guchi svobodasalba abanagoami tagoachi pravova buvuriem, otolimi achasi.
