00-00	Pangawedar indik Hak-Hak Azasi Manusia
10-01	Saluiring janma sajeroning sasama pada maduwe hak ring peradilan sane adil lan terbuka saking pengadilan sane bebas tur nenten memihak, sajeroning ngerajegang hak lan swadharmanipun tur ring saluiring danda (tuntutan pidana) sane katiwakang ring ragane.
11-00	Paos 11
11-01	Saluiring janma sane katuntut sangkaning katarka maparisolah ngelanggar hukum durung dados kasengguh salah, sadurung kabuktiang kasalahanipun manut hukum olih pengadilan, tur ring pengadilan inucap polih jaminan sane kasaratang nindihan raga.
11-02	Nenten wenten janma sane dados kasalahang kadalih melaksana ngelanggar hukum sangkaning pelaksana utawi kalengahan sane nenten marupa pelanggaran hukum manut undang-undang nasional wiadin internasional, ritatkala saparisolah punika kalaksanayang. Taler nenten kapatutang niwakang danda sane lebih abot saking danda sane sepatutipun katiwakang ritatkala pelanggaran hukum punika kalaksanayang.
12-00	Paos 12
12-01	Saluiring janma nenten dados kausak-asik urusannyane swang-swang, kulawarganipun, pakurenanipun, utawi paiketan swalapatraipun sakita arep, taler nenten kadadosang mariceda. Saluiring janma maduwe hak polih pengayoman hukum sane jagi kaanggen ngarepang saparisolah kaon ring arep.
13-00	Paos 13
13-01	Saluiring janma maduwe hak kabebasan malaksana (sane patut) tur magenah ring wawidangan swang-swang negara.
13-02	Saluiring janma maduwe hak melancaran ring swang-swang negara, makta padruwenipun, tur mewali malih ring panegara duwene.
14-00	Paos 14
14-01	Saluiring janma maduwe hak ngaruruh tur ngerasanin suaka (pengayoman) saking negara seosan jagi kaanggen ngayomin deweknyane saking katut buri.
14-02	Hak punika nenten kedadosang kaangge marep ring sungketa tutburi sane sumeken medal sangkaning saparisolah sane kaon, sane tan wenten paiketan ring politik, utawi sangkaning saparisolah sane piwal ring tujuan miwah dasar Perserikatan Bangsa-Bangsa.
15-00	Paos 15
15-01	Saluiring janma maduwe hak kewarganegaraan (kewangsaan).
15-02	Saluiring janma nenten dados sakama-kama kabancut kewarganegaraanipun (kewangsanipun) wiadin maduwe hak ngentosin kewarganegaraan (kewangsaan).
16-00	Paos 16
16-01	Lanang lan istri sane sampun daha-truna, tanpa kawatesin kewangsaanipun, kewarganegaraanipun wiadin agama, maduwe hak makurenan utawi mawiwaha tur ngewangun kulawarga. Ipun maduwe hak sane pateh ring sapari indik pawiwahan, ring sajeroning makurenan, wiadin ritatkala palas makurenan.
16-02	Pawiwahan wantah dados kalaksanayang yaning calon penganten pada saling lulut asih.
16-03	Kulawarga inggih punika paiketan sangkaning titah ring sajeroning pagubugan, tur maduwe hak polih pengayoman saking pagubugan wiadin negara.
17-00	Paos 17
17-01	Saluiring janma maduwe hak maderbe artha, ndiri (newek) wiadin sareng-sareng janma lianan.
17-02	Saluiring janma nenten dados kerampas padruwenannyane sakita karep.
18-00	Paos 18
18-01	Saluiring janma maduwe hak kebebasan mapaidep, unteng kayun lan ngagem agama, hak kabebasan magentos agama utawi kepercayaan, lan kebebasan nyengguhang agama utawi kepercayaan malarapan ngajahin, ngelaksanayang, ngaturang bakti tur nganutin ajaran agama punika, ndiri-ndiri wiadin sareng-sareng janma seosan, ring arep pagubugan wiadin ndiri (ndewek).
19-00	Paos 19
19-01	Saluiring janma bebas maduwe tetimbangan wiadin ngamedalang tetimbangan, tanpa gangguan ngeruruh, nerima tur ngamedalang gatra lan pakayunan malarapan sarana napi ja, tanpa ngetang wates-wates wewidangan.
20-00	Paos 20
20-01	Saluiring janma maduwe hak kebebasan mapupul lan ngewangun sekha tanpa ngangge kekerasan.
20-02	Saluiring janma nenten dados kapaksa mangda ngiring nyarengin sekha.
21-00	Paos 21
21-01	Saluiring janma maduwe hak nyarengin ngemargiang pemerintahan negarannyane secara langsung utawi malarapan wakil-wakil sane kapilih secara bebas.
21-02	Saluiring janma sami-sami pateh maduwe hak kabisekayang utawi kalinggihang dados prajuru ring sajeroning ngemargiang pemerintahan negarannyane.
21-03	Pakayunan para janma musti kadadosang pinaka dasar kewenangan pemerintah; pakayun puniki musti kasinahang marupa pemilihan umum sane kamargiang sangkaning manah lascarya tur nirmala, malarapan hak pilih tur dudonan sane pateh, malarapan pemungutan suara sane singid utawi ngangge tata cara seosan sane nyamin kebebesan nguwehin suara.
22-00	Paos 22
22-01	Saluiring janma, pinaka krama pagubugan, maduwe hak jaminan sosial, ngelaksanayang hak ekonomi, sosial lan budaya sane pinih kabuatang jagi ngawangiang kaprabawan lan numbuhang kepribadian, malarapan utsaha-utsaha nasional wiadin nyarengin utsaha internasional (sajagat), manut kadi tata cara lan kekuatan swang-swang negara.
23-00	Paos 23
23-01	Saluiring janma maduwe hak ring pekaryan, maduwe hak kabebasan milih pakaryan, maduwe hak ring tata cara ngelaksanayang pekaryan sane adil miwah ngewetuang aget lan maduwe hak pangayoman sumangdane tan kicalan pangupajiwa.
23-02	Saluiring janma, tanpa pabinayan, maduwe hak ring pangupahan sane pateh ring pakaryan sane pateh.
23-03	Saluiring janma sane makarya maduwe hak ring pangupahan sane adil tur ngewetuang aget sane nyamin kahidupan sane dahat mapikenoh ring padewekan wiadin kulawargannyane, pingkalih yaning wantah perlu kewewehin antuk pengayoman sosial sane siosan.
23-04	Saluiring janma maduwe hak ngewangun tur ngeranjing ring paguyuban utawi sekha buruh sane jagi ngayomin saluir pabuatannyane.
24-00	Paos 24
24-01	Saluiring janma maduwe hak mesandekan wiadin liburan, pingkalih wates-wates galah mekarya sane patut pingkalih polih libur berkala, tur tetep nampi upah.
25-00	Paos 25
25-01	Saluiring janma maduwe hak ring taraf hidup sane cukup, mangda sida nemu kerahayuan lan kesejahteraan padewekan wiadin kulawarganipun, taler hak ring pangan, paumahan, pangupapira kerahajengan pingkalih pelayanan sosial sane kabuatang, tur maduwe hak ring jaminan ritatkala nganggur/magang, sungkan, cacad, balu, sampun lingsir, utawi kehanan siosan sane mekhawinan kekirangan pangupajiwa.
25-02	Ibu lan anak-anak maduwe hak polih pangupapira wiadin wantuan sane dahat istimewa. Saluiring anak alit sane embas saking pawiwahan wiadin babinjat, musti polih pengayoman sosial tanpa pabinayan.
26-00	Paos 26
26-01	Saluiring janma maduwe hak polih pendidikan. Pendidikan punika musti gratis, paling nenten ring tingkat sekolah rendah wiadin pendidikan dasar. Pendidikan rendah musti kewajibang (nenten dados tan kelaksanayang). Pendidikan teknik lan jurusan sane sampun ketah mangda kabukak ring saluiring janma, taler pendidikan tinggi mangda prasida keranjingang olih para janmane sami nganutin tata cara sane pateh medasar antuk kepatutan.
26-02	Pendidikan punika musti matatujon ngewerdiang angga sarira tur mangda prasida ngajiang hak azasi manusia wiadin kebebasan-kebebasan. Pendidikan punika mangda prasida ngewetuang saling pengertian, mulatsarira, tur pasawitran ring saluiring wangsane sami, paguyuban ras pingkalih agama, tur musti ngemajuang pemargin Perserikatan Bangsa-Bangsa ring sajeroning ngupapira perdamaian.
26-03	Irerama utawi guru rupaka maduwe hak sane mautama ring sajeroning milih saluiring pendidikan sane pacang katiwakang ring okan-okannyane.
27-00	Paos 27
27-01	Saluiring janma maduwe hak nyarengin ring sajeroning kehidupan kebudayaan, ngerasayang kaluihan kesenian, lan sareng ngerasayang kemajuan tur namtamin pakenoh ilmu pengetahuan.
27-02	Saluiring janma maduwe hak pangayoman marep ring keuntungan moril wiadin material, sane kamoling antuk hasil karya ilmiah, kesusastraan wiadian kesenian sane prasida kaortayang.
28-00	Paos 28
28-01	Saluiring janma maduwe hak marep ring tatanan sosial wiadin internasional, tur hak-hak lan kebebasan-kebebasan sane mungguh ring sajeroning pangawedar puniki prasida kalaksanayang.
29-00	Paos 29
29-01	Saluiring janma sami maduwe swadarma marep ring pagubugan ring dija ugi ipun prasida ngewerdiang kepribadianipun malarapan antuk kabebasan sane banget pisan.
29-02	Ring sajeroning ngelaksanayang hak-hak lan kebebasan-kebebasanipun, swang-swang manusa musti nganutin wates-wates sane kapagehang olih undang-undang sane matatujon nyamin pangangken wiadin ngewangiang hak-hak lan kebebasan-kebebasan manusa seosan, lan ring pakraman nganutin tata cara sane adil ngenenin kesusilaan, ketreptian miwah kejagaditaan jagat sajeroning sane demokratis.
29-03	Hak-hak lan kebebesan-kebebasan puniki ring sajeroning pelaksanaanipun nenten dados matungkasan ring tatujon lan prinsip-prinsip Perserikatan Bangsa-Bangsa.
30-00	Pasal 30
30-01	Ring sajeroning pangawedar puniki tan dados katarka tur nguwehin inggian negara, paguyuban, utawi silih tunggal janma, hak nyarengin saluir pekaryaan, utawi ngelaksanayang saparisolah sane matujon ngerusak hak-hak lan kebebasan-kebebasan sane mungguh ring sajeroning pangawedar puniki.
