00-00	hkrzh lkl vay 'vlm vdvr zkvyvt hadm
05-00	s'yp h.
05-01	la yhyh adm ntvn l'ynvyym, vla lychs av l'vnsh akzryym, vlty anvshyym av mshfylym.
06-00	s'yp v.
06-01	kl adm zkay lhyvt mvkr vkl mqvm kashyvt vfny hchvq.
07-00	s'yp z.
07-01	hkl shvvym lfny hchvq vzkzaym lla hflyh lhgnh shvvh shl hchvq. hkl zkaym lhgnh shvvh mfny kl hflyh hmfyrh at mtsvvt hhkrzsh hzat vmfny kl hsth lhflyh kzv.
08-00	s'yp ch.
08-01	kl achd zkay ltqnh y'ylh mt'm vchy hdyn hlavmyym hmvsmkym ngd m'shym hmfyrym at zkvyvt hysvd shnytnv lv 'l fy hchvqh vhchvqym.
09-00	s'yp t.
09-01	la yyasr adm, la yy'tsr vla yvglh vavfn shryrvty.
10-00	s'yp y.
10-01	kl adm zkay, mtvk shvyvn gmvr 'm zvltv, lmshft hvgn vfvmvy shl vyt-dyn klty tlvy vlla mshva fnym vsh'h shvaym lqvv' zkvyvtyv vchvvvtyv vlvrr kl ashmh flylyt shhvvah ngdv.
11-00	s'yp ya.
11-01	adm shnashm v'vyrh flylyt chzqtv shhva zkay, 'd shla hvkchh ashmtv kchvq vmshft fvmvy shvy nytnv lv kl h'rvvvt hdrvshvt lhgntv.
11-02	la yvrsh' adm v'vyrh flylyt 'l m'shh av 'l hznchh shla nchshvv vsh'tm l'vyrh flylyt lfy hchvq hlavmy av hvynlavmy. la yvtl 'vnsh chmvr mh'vnsh shhyh nvhg vzmn sh'vr at h'vyrh hflylyt.
12-00	s'yp yv.
12-01	la yha adm ntvn lht'rvvt shryrvtyt vchyyv hfrtyym, vmshfchtv, vm'vnv, vchlyft mktvym shlv vla lfgy'h vkvvdv av vshmv hfvv. kl adm zkay lhgnt hchvq vfny ht'rvvt av fgy'h valh.
13-00	s'yp yg.
13-01	kl adm zkay lchvfsh tnv'h vmgvrym vtvk kl mdyvh.
13-02	kl adm zkay l'zvv kl arts, lrvvt artsv, vlchzvr al artsv.
14-00	s'yp yd.
14-01	kl adm zkay lvqsh vlmtsva vartsvt achrvt mqlt mrdyfvt.
14-02	ayn lhstmk 'l zkvt zv vmqrh shl hashmh flylyt shmqvrh hamyty vm'shy fsh' la-mdynyym av vm'shym shhm vnygvd lmtrvtyhn vl'qrvnvtyhn shl havmvt hmavchdvt.
15-00	s'yp tv.
15-01	kl adm zkay lazrchvt.
15-02	la tyshll madm azrchvtv drk shryrvt vla tqvfch drk shryrvt zkvtv lhchlyp at azrchvtv.
16-00	s'yp tz.
16-01	kl aysh vashh shhgy'v lfrqm rshaym lvva vvryt hnshvayn vlhqym mshfchh, lla kl hgvlh mt'my gz', azrchvt av dt. hm zkaym lzkvyvt shvvt vm'shh hnshvayn vtqvft hnshvayn vvsh't vyfvlm.
16-02	nyshvayn y'rkv rq mtvk hsmh chvfshyt vmlah shl vny hzvg hmyv'dym.
16-03	hmshfchh hya hychydh htv'yt vhvsysyt shl hchvrh vzkayt lhgnh shl hchvrh vhmdynh.
17-00	s'yp yz.
17-01	kl adm zkay lhyvt v'l qnyn, vyn lvdv vvyn vychd 'm achrym.
17-02	la yyshll madm qnynv drk shryrvt.
18-00	s'yp ych.
18-01	kl adm zkay lchyrvt hmchshvh, hmtsfvn vhdt; chyrvt zv kvllt at hzkvt lhmyr at dtv av at amvntv vltt vtvy ldtv av lamvntv, lvdv av ktsyvvr, vrshvt hychyd av vrshvt hrvym, drk hvrah, nvhg, fvlchn vshmyrt mtsvvt.
19-00	s'yp yt.
19-01	kl adm zkay lchyrvt hd'h vhvtvy, lrvvt hchyrvt lhchyq vd'vt lla kl hfr'h, vlvqsh ydy'vt vd'vt, vlqvln vlmsrn vkl hdrkym vlla syygy gvvlvt.
20-00	s'yp v.
20-01	kl adm zkay lchyrvt hhtasfvt vhhtagdvt vdrky shlvm.
20-02	la ykfv 'l adm hshtyykvt lagvdh.
21-00	s'yp ka.
21-01	kl adm zkay lhshttp vhnhlt artsv, vyn hshttfvt yshyrh vvyn drk ntsygvt shvvchrh vvchyrvt chvfshyvt.
21-02	kl adm zkay lshvyvn vknysn vknysh lshyrvt vmngnvn shl artsv.
21-03	rtsvn h'm hva hysvd lsmkvth shl hmmshlh. h'm ydy' at rtsvnv vvchyrvt kshrvt hnshnvt l'ytym mzzmnvt, lfy zkvt vchyrh kllyt vshvvh vvhtsv'h chshayt, av lfy sdr shl vchyrh chvfshyt kyvtsa vzsh.
22-00	s'yp kv.
22-01	kl adm, kchvr hchvrh, zkay lvtchvn svtsyaly vzkay ltvv' shhzkvyvt hklklyvt hsvtsyalyvt vhtrvvtyvt, shhn chyvnyvt lkvvdv kadm vlhtftchvt hchvfshyt shl ayshyvtv, yvvtchv vmshmts lavmy vvshytvp f'vlh vynlavmy vhtam largvnh vlavtsrvtyh shl hmdynh.
23-00	s'yp kg.
23-01	kl adm zkay l'vvdh, lvchyrh chvfshyt shl 'vvdtv, ltnay 'vvdh tsvdqym vhvgnym vlhgnh mfny avtlh.
23-02	kl adm, lla kl hfkyh, zkay lshkr shvvh v'd 'vvdh shvvh.
23-03	kl 'vvd zkay lshkr tsvdq vhvgn, ashr yvtych lv vlvny vytv qyvm hravy lkvvd hadm shyvshlm, am yhyh tsvrk vkk, 'l ydy amts'ym achrym shl hgnh svtsyalyt.
23-04	kl adm zkay lagd agvdvt mqtsv'yvt vlhtstrp lagvdvt kdy lhgn 'l 'nynyv.
24-00	s'yp kd.
24-01	kl adm zkay lmnvchh vlfnay, vvkll zsh hgvlt sh'vt h'vvdh vmydh hmtqvlt 'l hd't vchvfshh vshkr l'ytym mzvmnvt.
25-00	s'yp kh.
25-01	kl adm zkay lrmt chyym navth lvryavtm vlrvvchtm, shlv vshl vny vytn. lrvvt mzvn, lvvsh, shykvn, tyfvl rfvay, shyrvtym svtsyalyym kdrvsh vzkvt lvtchvn vmqrh shl avtlh, mchlh, ay-kvshr l'vvdh, almvn, zqnh av mchsvr achr vnsyvvt shaynn tlvyvt vv.
25-02	amhvt vyldvt zkayvt ltyfvl myvchd vlsyv'. kl hyldym, vyn shnvldv vnshvayn av shla vnshvayn, yhnv vmydh shvvh mhgnh svtsyalyt.
26-00	s'yp kv.
26-01	kl adm zkay lchynvk. hchynvk yntn chynm, lfchvt vshlvym hrashvnym vhysvdyym; hchynvk vshlv hrashvn hva chvvh. hchynvk htkny vhmqtsv'y yhyh mtsvy lkl, vhchynvk hgvvh yhyh ftvch lkl vmydh shvvh sh'l ysvd hkshrvn.
26-02	hchynvk ykvvn lfytvchh hmla shl hayshyvt vltyfvch ychs kvvd lzkvyvt hadm vlchyrvyvt hysvdyvt; hchynvk ytfch hvnh, svvlnvt vydydvt vyn kl h'mym vhqyvvtsym hdtyym vhgz'yym, vysyy' lmamts shl havmvt hmavchdvt lqyym at hshlvm.
26-03	lhvrym zkvt vkvrh lvchvr at drk hchynvk lylyhm.
27-00	s'yp kz.
27-01	adm zkay lhshttp tvk chyrvt vchyyv htrvvtyym shl htsyvvr, lyhnvt mhamnvyvt vlhyvt shvtp vhtqdmvt hmd' vvvrktv.
27-02	kl adm zkay lvgnt hayntrsym hmvsryym vhchmryym hkrvkym vkl ytsyrh md'yt, sfrvtyt, av amnvtyt shhya fry rvchv.
28-00	s'yp kch.
28-01	kl adm zkay lmshtr svtsyaly vvynlavmy, shvv afshr yhyh lqyym vmlvan at hzkvyvt vhchrvyvt ashr nqv'v vhkzsh zv.
29-00	s'yp kt.
29-01	kl adm ysh lv chvvvt klfy hkll, ky rq vtvk hkll ntvnh lv hafshrvt lhtftchvt hchvfshyt vhmlah shl ayshyvtv.
29-02	la yvgvl adm vzkvyvtyv vvchyrvyvtyv, frt lavtn hhgvlvt shnqv'v vchvq 'l mnt lhvtych at hhkrh vzkvyvt vvchyrvyvt shl hzvlt vat ychs hkvvd alyhn, vkn at mylvy hdryshvt htsvdqvt shl hmvsr, shl hsdr htsyvvry vshl tvvt hkll vtvk chvrh dmvqrtyt.
29-03	l'vlm la yshtmshv vzkvyvt vvchyrvyvt alh vnygvd lmtrvtyhn vl'qrvnvtyhn shl havmvt hmavchdvt.
30-00	s'yp l.
30-01	shvm dvr vhkrzsh zv la ytfrsh kaylv hva va lhqnvt lmdynh, ltsyvvr av lychyd kl zkvt shhya l'svq vf'vlh av lvts' m'shh shtklytm lqfch kl zkvt av chyrvt mn hzkvyvt vhchyrvyvt hqvv'vt vhkrsh zat.
