00-00	jierenquanxuanyan
08-01	renherendangxianfayifalusuofuyuyidejibenquanlizaoshoubaihaishi, youquanyouhegedeguojiafatingduijikuanbaihaizuoyouxiaodebujiu. 
09-00	di9tiao
09-01	renherenwuhuiyongjiayirenyipi, jujinyifangzhu. 
10-00	di10tiao
10-01	renrenlongpingdengdeyouquanyou1gedulierwupianyidefatingjinxinggongzhengdehegongkaideshenxun, yiquedingyidequanliheyiwubingpandingduiyitichuderenhexingshizhikong. 
11-00	di11tiao
11-01	fanshouxingshikonggaozhe, bizaiwujinghuodebianhushangsuoxude1qiebaozhengdegongkaishenpaneryifazhengshiyouzui, youquanhushiweiwuzui. 
11-02	renherenderenhexingweiyiwuxingwei, zaiqifashengshiyiguojiafayiguojifaguoguowugouchengxingshizuizhe, wuhuiyonghupanweifanyouxingshizui. xingfawuhuiyongzhongyufanzuishishiyongdefaluguiding. 
12-00	di12tiao
12-01	renherendesishenghuo, dou, cuohepixinwuhuiyongrenyiganshe, yiderongyuhemingyuwuhuiyongjiayigongji. renrenyouquanxiangshoufalubaobi, yiwushoujikuangansheyigongji. 
13-00	di13tiao
13-01	renrenzaigeguojingneiyouquanziyouqianxiheyi. 
13-02	renrenyouquantoutuorenheguojia, baokuoyijiajideguojiazainei, bingyouquandaoquyideguojia. 
14-00	di14tiao
14-01	renrenyouquanzaiqitaguojiataohexiangshoubihuyibimianbaihai. 
14-02	zaizhenzhengyouyuwuzhengzhixingdezuixingyiweinilianheguodezongzhiheyuanzedexingweierhuqisudedaizhixia, wuhuiyongyuanyongjihaoquanli. 
15-00	di15tiao
15-01	renrenguoguoyouquanxiangyouguoji. 
15-02	renherendeguojiwuhuiyongrenyiboduo, yiwuhuiyongfourenqigaibianguojidequanli. 
16-00	di16tiao
16-01	chengnianzhangfuchamou, wushouzhongzu, guojiyizongjiaoderenhexianzhiyouquanhunjiahechenglijiating. yinzaihunyinfangmian, zaijiehunqijianhezaijiechuhunyueshi, zheyoupingdengdequanli. 
16-02	zhiyoujingzhangfuchamoushuangfangdeziyouhewanquandetongyi, zetongdihun. .
16-03	jiatingshitianrandehejibendeshehuidanyuan, bingzheshoushehuiheguojiadebaobi. 
17-00	di17tiao
17-01	renrendeyoudandudecaichansuoyouquanyijitongtarenheyoudesuoyouquan. 
17-02	renherendecaichanwuhuiyongrenyiboduo. 
18-00	di18tiao
18-01	renrenyousixiang, daoxinghezongjiaoziyoudequanli;cixiangquanlibaokuogaibianyidezongjiaoyixinyangdeziyou, yijidanduyijiti, gongkaiyimimideyijiaoyi, shijian, libaihejielubiaoshiyidezongjiaoyixinyangdeziyou. 
19-00	di19tiao
19-01	renrenyouquanxiangyouzhuzhanghefabiaoyijiandeziyou;jigequanlibaokuochiyouzhuzhangerwushouganshedeziyou, heyibangrenhemeijiehebulunguojietao, jieshouhechuandixiaoxihesixiangdeziyou. 
20-00	di20tiao
20-01	renrenyouquanxiangyouhepingjihuihejieshedeziyou. 
20-02	renherenwuhuiyonghulishuyumou1tuanti. 
21-00	di21tiao
21-01	renrenyouzhijieyiyibangziyouxuanzededaibiaocanyuzhilibenguodequanli. 
21-02	renrenyoupingdengjihuicanjiabenguogongwudequanli. 
21-03	renmindeyizhishizhengfuquanlidejichu;zhe1yizhizheyidingqidehezhenzhengdexuanjuyuyibiaoxian, erxuanjuzheyijupubianhepingdengdetoupiaoquan, bingyiwujimingtoupiaoyixiangdangdeziyoutoupiaochengxujinxing. 
22-00	di22tiao
22-01	meigeren, zuoweishehuide1yuan, youquanxiangshoushehuibaobi, bingyouquanxiangshouyidegerenzunyanherengedeziyoufazhansuobixudejingji, shehuihewenhuafangmiangekuanquanlideshixian, jikuanshixianshiyibangguojiaxialiheguojihezuobingyizhaogeguodezuzhiheziyuandaizhi. 
23-00	di23tiao
23-01	renrenyouquanzuogong, ziyoushitoulu, xiangshougongzhengheheshidezuogongtiaojianbingxiangshoumianyushiyedebaobi. 
23-02	renrenyoutonggongtongchoudequanli, wushourenheqishi. 
23-03	mei1gezuogongderen, youquanxiangshougongzhengheheshidebaochou, baozhenghuyijiajihejiashuyou1gefuherendezunyandeshenghuotiaojian, biyaoshibingpeidaqitafangshideshehuibaobi. 
23-04	renrenyouweiweihuyideliyierzuzhihecanjiagonghuidequanli. 
24-00	di24tiao
24-01	renguoguoyouxiangyouxiuxiheyouxiandequanli, baokuozuogongshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-01	renrenyouquanxiangshouweiweichiyijiajihejiashudejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yizhe, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, binge, canfei, shougua, shuailaoyizaiqitabunengbidedaizhixiasangshitaochennenglishi, youquanxiangshoubaobi. 
25-02	muqinhejianziyouquanxiangshoutebiezhaoguhedouwuxian. 1qiejianzi, wulunhunshengyifeihunsheng, guoguozhexiangshoutongyangdeshehuibaobi. 
26-00	di26tiao
26-01	renrenguoguoyoushoujiaoyudequanli, jiaoyuzhemianfei, zhishaozaichujihejibenjieduanzheanni. chujijiaoyuzheshuyiwuxingzhi. jishuhetoulujiaoyuzhepubiansheli. gaodengjiaoyuzhegenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuzhecujingeguo, gezhongzuyigezongjiaojituanjiandezhikong, rongrenheyouyi, bingzhecujinlianheguoweihuhepingdegexianghuodong. 
26-03	bamuduiqizinusuoyingshoudejiaoyudekuanyang, youyouxianxuanzedequanli. 
27-00	di27tiao
27-01	renrenyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbuheyichanshengdefuli. 
27-02	renrenduihuyisuochuangzuoderenhekexue, wenxueyimeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaobidequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1kuanshehuideheguojidezhixu, zaijikuanzhixuzhong, benxuanyansuozaidequanliheziyouhuidanghuodechongfenshixian. 
29-00	di29tiao
29-01	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhongyidegexingzetongdedaoziyouhechongfendefazhan. 
29-02	renrenzaixingshiyidequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingjihaoxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-03	jihaoquanliheziyoudexingshi, wulunzairenheqingxingxiaguoguowuhuiyongweinilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	jigexuanyanderenhetiaowen, wuhuiyongjieshiweimoxurenheguojia, jituanyigerenyouquanjinxingrenhezhizaipohuaijigexuanyansuozaiderenhequanliheziyoudehuodongyixingwei. 
