00-00	Declaraziun universala dils dretgs humans
02-00	Art. 2:
02-01	Mintga persuna sa far valer tut ils dretgs e tut las libertads proclamadas ella Declaraziun presenta senza distincziun, particularmein da razza, da colur, da schlatteina, da religiun, d’opiniun politica ni autra, d’origin naziunal ni social, da possess, da naschientscha ni d’autras circumstanzas.
02-02	Plinavon vegn ei fatg negina distincziun fundada sin il statut politic, giuridic ni internaziunal dallas tiaras ni dils territoris, dils quals ina persuna deriva, che quella tiara ni quei territori seigi independents, sut tutela, nunautonoms ni suttamess ad in’autra limitaziun da suveranitad.
03-00	Art. 3:
03-01	Mintga human ha il dretg da veta, da libertad e da segirtad dalla persuna.
04-00	Art. 4:
04-01	Negin astga vegnir tenius en sclavaria ni en survitid; la sclavaria ed il commerci da sclavs ein scumandai en tut lur fuormas.
05-00	Art. 5:
05-01	Negin astga vegnir suttamess alla tortura, ni a peinas ni a tractaments crudeivels, inumans ni degradents.
06-00	Art. 6:
06-01	Mintga human ha il dretg da vegnir renconuschius dapertut sco persunalitad giuridica.
07-00	Art. 7:
07-01	Tut ils humans ein eguals avon la lescha ed han senza distincziun il dretg da protecziun eguala encunter tutta discriminaziun che violass la Declaraziun presenta ed encunter tutta provocaziun ad ina tala discriminaziun.
08-00	Art. 8:
08-01	Mintga persuna ha il dretg da protecziun legala avon las giurisdicziuns naziunalas cumpetentas encunter acts che violeschan ils dretgs fundamentals garanti ella Constituziun ni ella lescha.
09-00	Art. 9:
09-01	Negin astga vegnir arrestaus, detenius ni exiliaus arbitrariamein.
10-00	Art. 10:
10-01	Mintga persuna ha il dretg, en egualitad cumpleina, che siu cass vegni tractaus gestamein e publicamein d’in tribunal independent ed imparzial, il qual decida davart ses dretgs e sias obligaziuns ni davart la validitad da tutta tgisa penala drizzada encunter ella.
11-00	Art 11:
11-00	Mintga persuna tgisada d’in act punibel ei innocenta tochen che sia cuolpa ei cumprovada legalmein en in process public, nua che tut las garanzias necessarias per sia defensiun ein vegnidas segiradas ad ella.
11-01	Negin vegn condemnaus per acziuns ni omissiuns che valevan il mument ch’ellas ein vegnidas commessas buca sco act punibel tenor il dretg naziunal ed internaziunal. Medemamein astga la peina buc esser pli gronda che quella applicabla il mument ch’igl act punibel ei vegnius commess.
12-00	Art. 12:
12-01	Negin astga daventar igl object d’intervenziuns arbitraras en sia veta privata, sia famiglia, siu domicil ni sia corrispundenza, ni d’attaccas encunter sia honur e sia reputaziun. Mintga human ha il dretg da protecziun legala encunter talas intervenziuns ni talas attaccas.
13-00	Art. 13:
13-00	Mintga persuna ha il dretg da circular libramein e d’eleger siu domicil egl intern d’in stadi.
13-01	Mintga persuna ha il dretg da bandunar mintga tiara, era sia atgna, e da turnar en sia tiara.
14-00	Art. 14:
14-00	En cass da persecuziun ha mintga persuna il dretg dad encurir asil e da survegnir asil en autras tiaras.
14-01	Quei dretg sa buca vegnir invocaus en cass da persecuziun pervia da delicts buca politics ni pervia d’acziuns che cunterfan allas miras ed als principis dallas Naziuns Unidas.
15-00	Art. 15:
15-00	Mintga human ha il dretg d’ina naziunalitad.
15-01	Negin astga vegnir privaus arbitrariamein da sia naziunalitad ni dil dretg da midar naziunalitad.
16-00	Art 16:
16-00	Um e dunna cun vegliadetgna adattada han il dretg da maridar e da fundar ina famiglia senza restricziuns concernent la razza, la naziunalitad ni la religiun. Els han ils medems dretgs arisguard il matrimoni, duront il matrimoni e tier sia dissoluziun.
16-01	Il matrimoni sa esser conclus sulettamein cun il consentiment liber e cumplein dils conjugals futurs.
16-02	La famiglia ei igl element natiral e fundamental dalla societad e sto vegnir protegida dalla societad e dil stadi.
17-00	Art. 17:
17-00	Mintga persuna ha il dretg d’haver ina proprietad atgna ni communabla cun auters.
17-01	Negin astga vegnir privaus arbitrariamein da sia proprietad.
18-00	Art. 18:
18-01	Mintga persuna ha il dretg dalla libertad da patratg, da cunscienzia e da religiun; quei dretg cumpeglia la libertad da midar religiun ni perschuasiun sco era da manifestar l’atgna religiun ni l’atgna perschuasiun sulet ni en communitad, publicamein ni privat, ell’instrucziun, ella pratica, el cult ed ell’execuziun da ritus.
19-00	Art. 19:
19-01	Mintga persuna ha il dretg dalla libertad d’opiniun e d’expressiun, quei che cumpeglia il dretg da buca vegnir mulestaus pervia dall’atgna opiniun sco era il dretg dad encurir, retscheiver, derasar, senza risguardar cunfins, las informaziuns e las ideas cun tut ils mieds d’expressiun.
20-00	Art. 20:
20-00	Mintga persuna ha il dretg dalla libertad da reuniun e d’associaziun pascheivla.
20-01	Negin astga vegnir obligaus da far part dad in’associaziun.
21-00	Art. 21:
21-00	Mintga persuna ha il dretg da participar al guvern dall’atgna tiara, directamein ni cun l’intermediaziun da representants eligi libramein.
21-01	Mintga persuna ha sut cundiziuns egualas il dretg d’access allas funcziuns publicas da sia atgna tiara.
21-02	La voluntad dil pievel ei il fundament dall’autoritad dallas pussonzas publicas; quella voluntad duei s’exprimer en elecziuns periodicas e honestas cun dretg d’elecziun general ed egual en votaziun secreta ni tenor ina procedura equivalenta che garantescha la libertad da votar.
22-00	Art. 22:
22-01	Mintga persuna ha sco commembra dalla societad il dretg da segirtad sociala; ella sa pretender d’obtener ils dretgs economics, socials e culturals indispensabels per sia dignitad e per il svilup liber da sia persunalitad, quei entras sforzs interns dil stadi ed ella cooperaziun internaziunala, risguardond l’organisaziun e las resursas da mintga tiara.
23-00	Art. 23:
23-00	Mintga persuna ha il dretg da lavur, da tscharna libra da sia lavur, da cundiziuns da lavur gestas e cunvegnentas e dalla protecziun encunter disoccupaziun.
23-01	Tuts han il dretg, senza discriminaziun, d’in salari egual per lavur eguala.
23-02	Tgi che lavura ha il dretg d’ina remuneraziun gesta e commensurada che segirescha ad el ed a sia famiglia in’existenza conforma alla dignitad humana e che vegn cumpletada, sche necessari, cun auters mieds da protecziun sociala.
23-03	Mintga persuna ha il dretg da fundar ensemen cun auters sindicats e da s’affiliar a sindicats per defender siu interess.
24-00	Art. 24:
24-01	Mintga persuna ha il dretg da repaus, particularmein d’ina limitaziun raschuneivla dil temps da lavur, e da vacanzas periodicas pagadas.
25-00	Art. 25:
25-00	Mintga human ha il dretg d’in standard da viver sufficient per segirar la sanadad ed il beinesser da sesez e da sia famiglia. Quei concerna particularmein l’alimentaziun, la vestgadira, la habitaziun, la tgira medicinala sco era ils survetschs socials necessaris. El ha il dretg da segirtad, sch’el ei disoccupaus, malsauns, invalids, vieus, attempaus ni sch’el ha piars ils mieds da subsistenza pervia da circumstanzias ch’el sa buc influenzar.
25-01	Mumma ed affon han il dretg d’agid e d’assistenza speciala. Tut ils affons, ch’els seigien naschi el matrimoni ni ordeifer il matrimoni, gaudan la medema protecziun sociala.
26-00	Art. 26:
26-00	Mintga persuna ha il dretg d’instrucziun. L’instrucziun sto esser gratuita, silmeins quei che concerna l’instrucziun elementara e fundamentala. L’instrucziun elementara ei obligatoria. L’instrucziun tecnica e professiunala sto esser accessibla a tuts; igl access als studis superiurs sto esser libers a tuts en cumpleina egualitad tenor lur merits.
26-01	L’instrucziun duei haver en mira il svilup cumplein dalla persunalitad humana e rinforzar il respect dils dretgs humans e dallas libertads fundamentalas. Ella duei promover la capientscha, la toleranza e l’amicezia denter tut las naziuns e tut las gruppas da razza ni da religiun sco era sustener las activitads dallas Naziuns Unidas per il manteniment dalla pasch.
26-02	Ils geniturs han da prioritad il dretg d’eleger il gener dall’instrucziun per lur affons.
27-00	Art. 27:
27-00	Mintga human ha il dretg da prender part libramein alla veta culturala dalla communitad, da guder ils arts e da participar al progress scientific ed als benefecis che resultan da quel.
27-01	Mintga human ha il dretg da protecziun dils interess morals e materials derivonts da tutta producziun scientifica, litterara ni artistica, dalla quala el ei igl autur.
28-00	Art. 28:
28-01	Mintga persuna ha il dretg ch’ei regia sin il camp social e sin il camp internaziunal in uorden, el qual ils dretgs e las libertads menziunai ella presenta Declaraziun sappien contonscher in effect cumplein.
29-00	Art. 29:
29-00	Mintga human ha duers enviers la communitad, ella quala suletta ei pusseivel il svilup liber e cumplein da sia persunalitad.
29-01	Ella realisaziun dils dretgs e dallas libertads ei mintga human suttamess sulettamein allas limitas stabilidas entras la lescha per segirar la renconuschientscha ed il respect dils dretgs e dallas libertads dils auters e per satisfar allas exigenzas dalla morala, digl uorden public e dil beinesser general en ina societad democratica.
29-02	Quels dretgs e quellas libertads astgan en negin cass vegnir realisai encunter las miras ed ils principis dallas Naziuns Unidas.
30-00	Art. 30:
30-01	Negina disposiziun dalla presenta Declaraziun astga vegnir interpretada aschia ch’in stadi, ina gruppa ni ina persuna hagi il dretg da sviluppar in’activitad ni d’accumplir in act che ha en mira la destrucziun dils dretgs e dallas libertads menziunai en quella Declaraziun.
