00-00	maanava ayitivaasikam pilibada visva prakaasanaya
08-01	aanddukrama vyavastaavalin hoo niitiyen hoo pradaanaya vii aeti muulika minis ayitivaasikam ullanganaya kiriimakadii baladaarii jaatika adikaranayakin pratikarma yodaa gaeniimee himikam saema pudgalayaku satu vee.
09-00	9 vana vagantiya
09-01	balahatkaarayen at addanguvatta gaeniimatta hoo at addanguvee radaa taebiimatta hoo pittuvahal kiriimatta hoo kisima pudgalayaku baajanaya nokala yutuya.
10-00	10 vana vagantiya
10-01	tamangee ayitivaasikam haa yutukam pilibadava hoo tamntta viruddava yam aparaada coodanaavak pilibadava hoo niscaya kiriima sadahaa saadaarana vuut, vivrta vut, svaadiina apaksapaata naddu vibaagayakatta saema taenaettakuma puurna samaanatvayen yuktava himikam labayi.
11-00	11 vana vagantiya
11-01	danddana varadak sambandayen coodanaa laeba sitti saema pudgalayekuttama, niityaanukuula vivrta adikarana vibaagayakin varadakaru bava oppuvana tek nirdoosiyaku lesa salakanu laebiimattat, ee adikaranayeedii tama nidahasatta karunu penvaa sittiimatta vuvamanaa siyalu avasyataa noadduva laebiimattat, himikam aetteeya.
11-02	yam varadak hoo pramaada doosayak kisivakugen sidu vuu avastaaveedii ema kaalayee pavatina jaatika hoo antarjaatika niitiyehi ema varada hoo pramaada doosaya danddanaya varadak see nosadahanva paevati nam ema varadatta hoo pramaada doosayatta ohu varadakaruvaku lesa nosaelakiya yutuya. danddana varada kala kaalayeedii valanguva paevati dadduvamakatta vaddaa vaeddi dadduvamak evaeni varadakaruvaku udesaa nopaenaviya yutuya.
12-00	12 na vagantiya
12-01	kisima pudgalayakugee paudgalika jiivitayatta (rahas baavayatta) pavulatta, nivasatta hoo lipi ganudenuvalatta balen aegili gaesiima hoo garutvayatta hoo vaedagat baavayatta pahara gaesiima hoo nokala yutuya. ebadu aegili gaesiim hoo pahara gaesiimvalatta viruddava niitiyee raekavarana laebiimee ayitiya saema pudgalayaku satuva aeta.
13-00	13 vana vagantiya
13-01	saema pudgalayakuttama tama raajya siimaava aetulata nidahasee gamanaagamanayatta haa padinciyatta himikam tibee.
13-02	svakiiya ratta da aetuluva kavara deesayakin hoo ivatva yaamattat, tama rattatta aapasu paeminiimattat saema pudgalayakuttama himikam aeta.
14-00	14 vana vagantiya
14-01	paripiiddanayangen midii videesayaka abayaaraksaava seviimatta haa paya bukti vidiimatta saema pudgalayakuttama himikam aeta.
14-02	deesapaalanamaya novuu aparaadavalin udgatavana coodanaa haa eksat jaatiingee aramunuvalatta pattahaeni kriyaavan nisaa paena nagina coodanaavalatta lak vuuvan sambandayen yatta kii himikam kriyaatmaka novanu aeta.
15-00	15 vana vagantiya
15-01	saema pudgalayakuttama jaatikatvayakatta himikam aeta.
15-02	kisima pudgalayaku satu jaatikatvaya balen ahoosi nokala yutu atara, ohugee jaatikatvaya venas kiriimatta ohutta aeti ayitiya paehaera nogata yutuya.
16-00	16 vana vagantiya
16-01	puurna viyatta pat siyalu strii purusayanva jaatiya, jaatikatvaya hoo aagama aadii kisidu siimaavak notakaa vivaaha vii pavulak aeti kiriimee ayitiya aetteeya. vivaaha viimeedii menma vivaahaya avalangu kiriimeedii da ovun samaana ayitivaasikam darayi.
16-02	vivaahayatta aetulat kala yuttee esee aetulat vana strii purusa dedenaagee sampuurna nidahas kaemaetta pitta pamanaki.
16-03	samaajayee svaabaavika vuut, muulika vuut, samuuha eekakaya vana pavula samaajayee haa raajyayee raekavarana laebiimee ayitiya darayi.
17-00	17 vana vagantiya
17-01	saema pudgalayakuttama taniva menma havulee da deepala ayitiya sadahaa ayitivaasikam aetteeya.
17-02	kisiveku satu deepala balen ahimi kiriimatta nohaekiya.
18-00	18 vana vagantiya
18-01	siitiimee, hrdasaaksiya daeriimee haa aagama aedahiimee nidahasa bukti vidiimee ayitivaasikama saema pudgalayakuma satuva aeta. tama aagama hoo visvaasayavenas kiriimee nidahasat, tanivama hoo anyayan samaga samuuha vasayen, paudgalikava menma prasiddiyee tama aedahiim haa aagama prakatta kiriimee, igaenviimee, pilipaediimee, vandanaa kiriimee haa anugamanaya kiriimee nidahasat eyatta aetulat vee.
19-00	19 vana vagantiya
19-01	tama nidahas mataya daeriimatta haa prakaasa kiriimatta saema pudgalayakuttama ayitiya aeta. anungee baadaavak nomaetiva, tama mata daeriimattat, deesa siimaa nosalakaa kavara maadyayakin hoo toraturu laebiimatta haa diimattat aeti ayitiya da iitta aetulat ya.
20-00	20 vana vagantiya
20-01	saamakaamiiva ekraesviimee haa sangam paevaetviimee ayitiya saema pudgalayaku satuva aeta.
20-02	samiti samaagamvalatta baediimatta kisivekutta balakala nohaeka.
21-00	21 vana vagantiya
21-01	kelinma hoo  nidahasva tooraagat niyoojitayin magin hoo tama rattee rajayatta sahabaagi viimatta saema pudgalayakuttama ayitiya aeta.
21-02	tama rattee raajya seevayatta aetulat viimatta saema pudgalayakuttama samaana ayitivaasikam aeta.
21-03	rajayee balatalavala padanama vannee janataavagee kaemaettaya. mee kaemaetta prakaasa vannee sarvajana canda balaya anuva rahasee dena candayen hoo iitta samaana svaadiina canda krama magin kalin kalatta avyaaja lesin pavatvana canda vimasiim magini.
22-00	22 vana vagantiya
22-01	samaajayatta ayat pudgalayaku vasayen saema pudgalayakuttama samaaja aaraksaava himi vee. saema raajyayakama sanvidaanaya haa sampatvalatta anukuulava tamangee garutvayattat, tama paurusatvayee vardanayattat atyaavasyavana aartika, samaajayika haa sanskrtika ayitiin jaatika prayatnayangen haa jaatyantara sahayoogiitaavayen da ee ee raajyayangee sanvidaana haa sampatvalatta anukuulava da saaksaat kara gaeniimee himikama saema pudgalayakuma satuva aetteeya.
23-00	23 vana vagantiya
23-01	vaedda kiriimattat, tama raekiyaava nidahasva tooraa gaeniimattat, saadaarana vuut, yukti yukta vuut caedda kiriimee pahasukam laebiimatta menma viraksaa vipatin aaraksaava laebiimattat, saema pudgalayekuttama himikama aetteeya.
23-02	kisidu viseesataavak hoo venaskamak nomaetiva samaana vaeddatta samaana vaettup laebiimee ayitiya saema pudgalayaku satuva aeta.
23-03	vaedda karana saema pudgalayakuttama tamantta haa tama pavulatta minis garutvaya raekena jiivanayakatta avasya saadaarana vaettupak laebiimattat, avasya vuvahot avaseesa samaaja aaraksaavantta raekavarana atkara gaeniimattat ayitiya aeta.
23-04	svakiiya ayitivaasikam aaraksaa kiriima sadahaa vrttiiya samiti aeti kara gaeniimatta haa eevaatta baediimattat saema pudgalayekuttama ayitiyak aeta.
24-00	24 vana vagantiya
24-01	vaedda karana pae ganan pilibada siimaavak aetiva kalin kalatta laebena vaettup sahita nivaaddu dinayan da aetuluva viveeka gaeniimee ayitiya saema pudgalayakuma satu vee.
25-00	25 vana vagantiya
25-01	ahaara, aedum, nivaasa saa saukya seevaa aaraksaava da avasya samaajaseevaa aaraksaava da aetiva tamangeet tama pavuleet saukyayatta haa yahapatatta pramaanavat jiivana tattvayak bukti vidiimattat raekiyaava ahimiviima, roogaabaada, dubalataava, vaendabu viima, mahalu bava haa venat tamantta paalanaya nokala haeki aapadaavalin jiivikaava duskara vuu vitta raekavarana laebiimattat saema pudgalayakuttama ayitiyak aeta.
25-02	maatr baavaya haa ladaru baavaya viseesa upakaara baa aaraksaavatta uruma tattvayooya. vivaahaka hoo avivaahaka mavvarungen laebena siyaluma daruvoo samaana aaraksaavatta himikam aettooya.
26-00	26 vana vagantiya
26-01	adyaapanaya laebiimatta saema pudgalayakuttama ayitiyak aetteeya. praatamika haa muulika avastaavaladii pamanakvat adyaapanaya nomilayee viya yutuya. praatamika adyaapanaya anivaarya viya yutuya. kaarmika haa vrttiiya adyaapanaya laebiimatta saamaanyayen avastaava saelasiya yutu vana atara daksataa padanam kotta usas adyaapanaya atkara gaeniimee avastaava samaanava saelasiya yutuya.
26-02	minis paurusatvaya paripuurna sanvardanayatta pat karana atattat, maanava ayitivaasikam haa muulika svaadiinataavayan pilibada garutvaya prabala vana artavat, adyaapanaya yomukaraviya yutuya. minis prajaavagee siyalu raajyayan, jaatiin haa aagamika kanddaayam atara anyonya avaboodayat, upeeksaava haa mitratvayat vardanaya vana andamin ee adyaapanaya sakasviya yutuya. saamaya udesaa eksat jaatiin gena yana kriyaamaargayatta da, eya anubalayak viya yutuya.
26-03	tama daruvantta diya yuttee kumana adyaapanayak daeyi tooraa gaeniimee mul ayitiya mavpiyan satuya.
27-00	27 vana vagantiya
27-01	samaajayee sanskrtika jiivitayatta nidahasee sahabaagii vannattat, kalaaven aasvaadaya bukti vidiimatta haa vidyaatmaka diyunuvatta sahabaagii vii ehi pratipala bukti vidimattat saema pudgalayakuttama ayitiyak aetteeya.
27-02	tamangee kartrtvayen nispaadita vidyaatmaka, saahityamaya hoo kalaatmaka krtiyakin janita vana adyaatmika haa bautika pala prayoojana raeka gaeniimee ayitiya saema pudgalayaku satuva aeta.
28-00	28 vana vagantiya
28-01	mema prakaasanayehi sadahan ayitivaasikam haa svaadiinataavayan paripuurnava saaksaat karagata haekivana samaaja haa jaatyantara rattaavakatta saema pudgalayakuttama ayitiyak aeta.
29-00	29 vana vagantiya
29-01	pudgalayakugee paurusatvaya nidahas paripuurna sanvardanayakatta patkara gaeniimehi laa ittu kalayutu samaaja yutukam raesak saema pudgalayaku kerehima paevarii aeta.
29-02	pudgalayaagee ayitivaasikam haa svaadiinataavayan kriyaatmaka viimeedii siimaavan tibiya yuttee hudek anyayangee ayitivaasikam haa svaadiinataa aaraksaaviima pinisat, prajaatantravaadii samaajayaka mahajana saamaya haa podu subasiddiya aaraksaa viima pinisat paenavena niiti paddatiyak magin pamani.
29-03	eksat jaatiingee paramaartayan haa pratipattivalatta pattahaeni vana andamakin mema ayitivaasikam haa svaadiinataavayan kriyaatmaka nokala yutuya.
30-00	30 vana vagantiya
30-01	mee prakaasanayehi sadahan kisidu ayitivaasikamak hoo svaadiinataavayak vaenayi yana andamee kisima kriyaamaargayakatta ayitiyak kisidu raajyayakatta, kanddaayamakatta hoo pudgalayakutta atvana andamee arta niruupanayak mee prakaasanayehi kavari vagantiyakin hoo nokala yutuya.
