00-00	UNIVERZALNA DEKLARATSIJA ZA ChOVEKOVITE PRAVA
21-03	Voljata na narodot kje bide osnovata na vlasta, voljata na narodot kje se izrazuva na povremeni i avtentichni izbori, shto kje se odrzhuvaat, so univerzalno i ednakvo pravo na glas i so tajno glasanje ili spored soodvetnite protseduri na slobodno glasanje.
22-00	Chlen 22
22-01	Sekoj, kako chlen na opshtestvoto, ima pravo na sotsijana sigurnost i ima pravo da gi ostvauva svoite ekonomski, sotsijalni i kulturni prava, nedelivi od negovoto dostoinstvo i slobodniot razvoj na negovata lichnost, i toa preku natsionalni napori i megjunarodna sorabotka i vo soglasnost so poredokot i potentsijalite na sekoja drzhava.
23-00	Chlen 23
23-01	Sekoj ima pravo na rabota, sloboden izbor na rabotno mesto, pravedni i povolni uslovi za rabota i zashtita od nevrabotenost.
23-02	Sekoj, bez kakva i da e diskriminatsija, ima pravo na ednakva plata za ista rabota.
23-03	Sekoj koj raboti ima pravo na praveden i soodveten nadomestok shto nemu i na negovoto semejstvo kje im obezbedi dostoinstven zhivot, a koj nadomestok kje bide nadopolnet, do kolku e neopkhodno, so drugi sredstva na sotsijalna zashtita.
23-04	Sekoj ima pravo da osnova i da se zachlenuva vo sindikati zaradi zashtita na negovite interesi.
24-00	Chlen 24
24-01	Sekoj ima pravo na odmor i slobodno vreme, vkluchuvajkji gi tuka i razumnoto ogranichuvanje na rabotnoto vreme i pravoto na povremen platen odmor.
25-00	Chlen 25
25-01	Sekoj ima pravo na zhivoten standard shto nemu i na negovoto semejstvo kje im obezbedi zdravje i dobrobit, vkluchuvajkji khrana, obleka, zhivealishte i meditsinska grizha i neopkhodni sotsijalni uslugi, i pravo na osiguruvanje vo sluchaj na nevrabotenost, bolest, invalidnost, vdovstvo, starost ili vo drug sluchaj na nedostatochni sredstva za zhivot poradi okolnosti shto se nadvor od negovata kontrola.
25-02	Na majkite i na detsata im pripagjaat posebna grizha i pomosh. Site detsa, bez ogled na toa dali se vonbrachni ili ne, kje ja uzhivaat istata sotsijalna zashtita.
26-00	Chlen 26
26-01	Sekoj ima pravo na obrazovanie. Obrazovanieto kje bide besplatno, barem na nivo na osnovno obrazovanie. Osnovnoto obrazovanie kje bide zadolzhitelno. Tekhnichkoto i struchnoto obrazovanie kje bidat opshto dostapni, a pristapot kon visokoto obrazovanie kje bide dostapno za site vrz osnova na zasluzhenite otsenki.
26-02	Obrazovanieto kje bide nasocheno kon tselosniot razvoj na chovekovata lichnost i kon zajaknuvanje i pochituvanje na chovekovite prava i osnovni slobodi. So nego kje se unapreduva razbiranjeto, tolerantsijata i prijatelstvoto megju site narodi, rasni i religiozni grupi i kje se unapreduvaat aktivnostite na Obedinetite natsii za odrzhuvanje na mirot.
26-03	Roditelite imaat prvenstvenoto pravo da go izberat vidot na obrazovanieto shto kje im bide dadeno na nivnite detsa.
27-00	Chlen 27
27-01	Sekoj ima pravo slobodno da uchestvuva vo kulturniot zhivot na zaednitsata, da uzhiva vo umetnosta i da go spodeluva nauchniot napredok i negovite blagodeti.
27-02	Sekoj ima pravo na zashtita na moralnite i materijalni interesi shto proizleguvaat od koe i da e nauchno, literaturno ili umetnichko delo, chij avtor e toj.
28-00	Chlen 28
28-01	Sekoj ima pravo na opshtestven i megjunaroden poredok, vo koi pravata i slobodite navedeni vo ovaa Deklaratsija mozhat da bidat tselosno realizirani.
29-00	Chlen 29
29-01	Sekoj ima dolzhnosti kon zaednitsata vo koja edinstveno e vozmozhen slobodniot i tselosen razvoj na negovata lichnost.
29-02	Pri koristenjeto na svoite prava i slobodi, sekoj chovek kje podlezhi samo na takvi ogranichuvanja, kakvi shto se opredeleni so zakon, so edinstvena tsel da se osigura dolzhnoto priznavanje i pochituvanje na pravata i slobodite na drugite i so tsel da se zadovolat predmetnite baranja vo vrska so moralot, javniot red i opshtata blagostojba vo edno demokratsko opshtestvo.
29-03	Ovie prava i slobodi vo nitu eden sluchaj ne mozhat da bidat koristeni na nachin shto e sprotiven na tselite i printsipite na Obedinetite natsii.
30-00	Chlen 30
30-01	Niedna odredba od ovaa Deklaratsija ne mozhe da se tolkuva, kako da i dava kakvo i da e pravo na nekoja drzhava, grupatsija ili poedinets da dejstvuvaat ili da storat nekoj akt so tsel za rushenje na pravata ili slobodite predvideni so ovaa Deklaratsija.
