00-00	IHMISOIKKEUSDEKLARASJUUNI
17-00	Artikkeli 17.
17-00	Jokhaisella oon oikkeus omaisuutheen joko yksin tahi muitten kans.
17-01	Keneltaekhaeaen ei ole lupa vieae haenen omaisuutta ilman eelytystae.
18-00	Artikkeli 18.
18-01	Jokhaisella oon oikkeus ajatuksen, omantunnon ja uskonon vaphautheen; taemae oikkeus meinaa ette jokhaisella oon vaphaus vaihettaat oman uskonon eli uskon, eli ette jokhaisella oon vaphaus yksin tahi toisten kans julkisesti tahi privaatisti ilmoittaat haenen uskonttoo eli uskoo opettamala, harjoittamalla, rukkoilemalla ja oman uskon tavala.
19-00	Artikkeli 19.
19-01	Jokhaisella oon oikkeus mielipitheesseen ja sen esile tuomisheen; taemae oikkeus pittaeae sisaelae vaphauen pittaeaet omat meiningit ilman ette toiset sekkainthaan niihin, ja vaphauen hakkeet, ottaat vasthaan ja jakkaat tiettoo ja ajatuksii minkae tahansa tietokanaaliin laepi maitten rajoista perustamatta.
20-00	Artikkel 20.
20-00	Jokhaisella oon oikkeus vaphaasti olla myoetae rauhalisissa kokkouksissa ja yhistyksissae.
20-01	Kethaeaen ei ole lupa pakoittaat mihinkhaeaen yhistyksheen eli organisasjuunhiin.
21-00	Artikkeli 21.
21-00	Jokhaisella oon oikkeus olla myoetae styyraeaemaessae ommaa maata, joko suorhaan tahi vaphaasti valituitten representanttiitten kautta.
21-01	Jokhaisella oon oikkeus yhenlaishiin julkishiin tienasthiin omassa maassa.
21-02	Kansan tahto oon julkisen esivallan pohjana; taemae tahto tullee naekkyyvaeksi reekelinmukaisissa ja toelisissa vaaliissa, joissa oon ylheinen ja kaikile yhenlainen aeaenioikkeus, ja joissa oon salainen aeaenestaeminen eli muu yhenlainen vapaa aeaenestaemistapa.
22-00	Artikkeli 22.
22-01	Jokhaisella oon samfynnin jaesenennae oikkeus sosiaalisheen turvhaan, ja jokhaiselle annethaan maholisuus niihin oekonoomishiin, sosiaalishiin ja kylttyyrishiin oikkeukshiin mikkae oon taeheliset haenen arvole ja vaphaale eistymiselle nasjunaaliin toimiin ja internasjunaalin yhtheistyoen kautta, ja sen jaelkhiin mikkae oon staatin organisasjuunit ja resyrsit.
23-00	Artikkeli 23.
23-00	Jokhaisella oon oikkeus tyoehoen, tyoen vaphaasseen valittemisheen, oikkeuenmukaishiin ja hyvhiin tyoesuhtheissiin, ja suojhaan tyoettoemyyttae vasthaan.
23-01	Jokhaisella oon diskrimineeraamatta oikkeus samhaan palkkhaan samasta tyoestae.
23-02	Jokhaisella tyoetae tekkeevaellae oon oikkeus oikheuenmukaisheen ja hyvhaeaen makshoon joka turvaa haenele ittele ja haenen perheele ihmisarvoisen olemassaolon, ja jos oon tarvet niin saaha muunlaisen sosiaalisen suojan.
23-03	Jokhaisella oon oikkeus perustaat faakiforeeningin ja tulla myoetae faakiforeeninkhiin, ja naein suojata omat interessit.
24-00	Artikkeli 24.
24-01	Kaikila oon oikkeus lephoon ja vapaa-aikhaan, ja siksi jaerkkeevaesti rajatthuun tyoeaikhaan ja reekelinmukaisheen feerihaeaen palkan kans.
25-00	Artikkeli 25.
25-00	Jokhaisella oon oikkeus elaemaenstandardhiin joka turvaa haenen ja haenen perheen tervheyen ja hyvinvoinin, johon raeknaethaeaen ruvan, vaattheet, asumapaikan ja terveyenhoion ja tarpheeliset sosiaaliset avut, ja jokhaisella oon oikkeus kans turvhaan sillon ko jaeaepi ilman tyoetae, sairastuu, menettaeae tyoekyvyn, tullee vanhaksi eli ko menettaeae elaemaenehot mikkae ei ole haenen ittensae kaesissae.
25-01	Aeitiilae ja lapsiila oon oikkeus eriliikaisheen hoithoon ja aphuun. Kaikile lapsile kuuluu sama sosiaalinen suoja, oon het syntynheet sitte avioliitossa eli sen ulkopuolela.
26-00	Artikkeli 26.
26-00	Jokhaisella oon oikkeus saaha opetusta. Opetus pittaeae olla ilman, kuitenki peruskoulussa. Perusopetus pittaeae olla pakolinen kaikile. Kaikila pittaeae olla maholisuus saaha faaki- ja ammattiopetusta, ja kaikila pittaeae olla samat maholisuuet korkkeemphaan opetuksheen sen jaelkhiin mikkae heaen omat kyvyt oon.
26-01	Opetuksen moolina oon eistaeaet ihmisen persoonallisuutta kokonhansa ja lujenttaat ihmisoikkeuksiitten ja perusvaphauksiitten kunnioittamista. Opetus pittaeae eesauttaat ymmaerystae, toleranssii ja ystaevyyttae kaikkiin nasjuuniitten, kanssoin ja uskonollisten joukkoin vaelilae, ja kuurota Yhistynheitten Kanssoin rauhantyoetae.
26-02	Vanhiimiila oon ensioikkeus valita kummoista opetusta heaen lapsile annethaan.
27-00	Artikkeli 27.
27-00	Jokhaisella oon oikkeus vaphaasti olla myoetae samfynnin kylttyyrielaemaessae, nauttiit kynstiistae ja olla jakamassa tietheen eistystae ja hyoettyi.
27-01	Jokhaisella oon oikkeus siihen ette haenen moraaliset ja materiaaliset interessit saahaan suojan sen taehen ko haen oon luonu tietheelisen, kirjalisen eli kynstilisen tyoen.
28-00	Artikkeli 28.
28-01	Jokhaiselle haeyttyy anttaat semmoisen sosiaalisen ja internasjunaalin oorningin missae taemaen deklarasjuunin oikkeuet ja vaphauet saatethaan taeyesti tehhae toelisiksi.
29-00	Artikkeli 29.
29-00	Jokhaisella oon velvollisuuksii haenen samfynnissae ko tyhae siinae haenen persoonalla oon maholisuuet vaphaasti ja taeyesti eistyyt.
29-01	Ko naeitae oikkeuksii ja vaphauksii harjoitethaan, saatethaan jokhaista rajoittaat tyhae silloin ko nouatethaan net lait mikkae turvathaan ja kunnioitethaan toisten oikkeuksii ja vaphauksii, ja ko moraali, julkinen oorninki ja yhtheinen hyvinvoiminen demokraattisessa samfynnissae niin maeaeraeae.
29-02	Naeitae oikeuksii ja vaphauksii ei piae mishaeaen tilassa pittaeaet niin ette net oon Yhistynheitten Kanssoin moolii ja prinsiippii vasthaan.
30-00	Artikkeli 30.
30-01	Mithaeaen taessae deklarasjuunissa ei piae tulkita niin ette yksikhaeaen staatti, joukko eli persoona saa oikkeuen olla myoetae eli harjoittaat sellaista tekkoo minkae meininkinnae oon tuhota taemaen deklarasjuunin mainittemat oikkeuet ja vaphauet.
