00-00	ansani hqwq ka 'almi mnshwr
26-00	hr shkhs kw t'lim ka hq hye. t'lim mft hw gi, km sye km abtdayei awr bniadi drjwn min. abtdayei t'lim jbri hw gi. fni awr pishh wranh t'lim hasl krnye ka 'am antzam kia jayeye ga awr liaqt ki bna pr a'lia t'lim hasl krna sb kye lyeye msawi twr pr mmkn hw ga.
26-01	t'lim ka mqsd ansani shkhsit ki pwri nshwwnma hw ga. awr wh ansani hqwq awr bniadi azadiwn kye ahtram min adafh krnye ka thri'h hw gi. wh tmam qwmwn awr nsli ia mthhbi grwhwn kye drmian bahmi mfahmt, rwadari awr dwsti kw trqi dye gi awr amn kw brqrar rkhnye kye lyeye aqwami mthdh ki srgrmiwn kw agye brrhayeye gi.
26-02	waldin kw as bat kye antkhab ka awlin hq hye kh an kye btchwn kw ks qsm ki t'lim di jayeye gi.
27-00	df'h 27.
27-00	hr shkhs kw qwm ki thqafti zndgi min azadanh hsh linye, adbiat sye mstfid hwnye awr sayens ki trqi awr as kye fwayed min shrkt ka hq hasl hye.
27-01	hr shkhs kw hq hasl hye kh as kye aun akhlaqi awr madi mfad ka btchaw kia jayeye jw asye isi sayensi, 'lmi ia adbi tsnif sye, js ka wh msnf hye, hasl hwtye hin.
28-00	df'h 28.
28-01	hr shkhs isye m'ashrti awr bin alaqwami nzam min shaml hwnye ka hqdar hye js min wh tmam azadian awr hqwq hasl hw skin jw as a'lan min pish kr dyeye gyeye hin.
29-00	df'h 29.
29-00	hr shkhs pr m'ashrye kye hq hin. kiwnkh m'ashrye min rh kr hi as ki shkhsit ki azadanh awr pwri nshwwnma mmkn hye.
29-01	apni azadiwn awr hqwq sye fayedh atthanye min hr shkhs srf isi hdwd ka pabnd hw ga jw dwsrwn ki azadiwn awr hqwq kw tslim kranye awr an ka ahtram kranye ki ghrd sye ia jmhwri nzam min akhlaq, amn 'amh awr 'am flah w bhbwd kye mnasb lwazmat kw pwra krnye kye lyeye qanwn ki trf sye 'ayed kyeye gyeye hin.
29-02	ih hqwq awr azadian ksi halt min bhi aqwami mthdh kye mqasd awr aswl kye khlaf 'ml min nhin layei ja sktin.
30-00	df'h 30.
30-01	as a'lan ki ksi tchiz sye kwyei isi bat mrad nhin li ja skti js sye ksi mlk, grwh ia shkhs kw ksi isi srgrmiwn min msrwf hwnye ia ksi isye kam kw anjam dinye ka hq pida hw js ka mnsha an hqwq awr azadiwn ki tkhrib hw jw ihan pish ki gyei hin.
