00-00	EKIWANDIIKO EKY'ABANTU BONNA EKIFA KU DDEMBE LY'OBUNTO
02-01	Buli muntu agwana afune eddembe eryo gerwako mu KIWANDIIKO kino awatali kusolola kwona okw'engeri yonna okuyinza okusinziira ku:- ggwanga, langi y'olususu okuba omusajja oba mukazi, olulimi, eddini endowooza ye ku by'obufuzi oba ekintu ekirala ensi oba abantu mwasibuka, ebintu byalina obuzaale bwe oba ensonga endala yonna.
03-00	Ekitundu 3.
03-01	Buli muntu ateekwa okubeerawo nga mulamu nga yegazaanya awatali kutaataganyizibwa mu ngeri yonna.
04-00	Ekitundu 4.
04-01	Tewali muntu assanidde kufugibwa buddu, obuddu n'obusuubuzi bw'abaddu tebukirizibwa mu nsi.
05-00	Ekitundu 5.
05-01	Tewali muntu asanidde, kutulugunnyizibwa okubonerezebwa oba okuyisibwa mu ngeri eteri ya buntu emutyoboola.
06-00	Ekitundu 6.
06-01	Buli muntu amateeka gateekwa okumubala era n'okumuyisa ng'omuntu buli wantu wonna.
07-00	Ekitundu 7.
07-01	Abantu bonna benkanankana mu maaso g'amateeka era bateekwa okukuumibwa amateeka awatali kusosola. Abantu bonna bateekwa kukumibwa kyenkanyi eri obusosoze obufutyanka EKIWANDIIKO kino oba obubawaliirizza okusosola mu ngeri eyo.
08-00	Ekitundu 8.
08-01	Buli muntu ateekwa okukkirizibwa okutwala ensonga ze mu mbuga entuufu ez'eggwanga zikolebweko singa nga eddembe lyerimuweebwa mu Constitution ne mu mateeka liba lijolongeddwa.
09-00	Ekitundu 9.
09-01	Tewali muntu anakwatibwanga oba okusibibwanga oba okusibibwa oba okuwangangusibwa mu ngeri etegoberera mateeka.
10-00	Ekitundu 10.
10-01	Buli muntu awatali kusosola, ateekwa okuwozesebwa mu lwatu ate mu bwenkanya mu kooti eyeemala era eterina kyekubira, bwabanga annonya okukakasa onuyinza obumuweebwa mu mateeka singa waliwo omusango ogumenya amateeka ogumuvunaanibwa.
11-00	Ekitundu 11.
11-01	Buli muntu yenna avunaanibwa omusango oguliko ekibonerezo ateekwa okubalibwa nga taliiko musango okutuusa nga kikakasibbwanti ddala yaguzza okusinziira mu mateeka era ateekwa okuwozesebwa mu kooti mu lwatu nga aweereddwa na buli mukisa gwonna okwetaasa.
11-02	Tewali muntu n'omu anabalibwanga nga azzizza omusango ogumubonerezesa, kino nga kisinzira kukikolwa kye yakola oba kyatakola, mu kiseera ekyemabega, kyokka nga mu kiseera ekyo ekikolwa kyeyakola oba kyeyalemwa okukola kyali tekittekwa kumubonerezesa, okusinziira mu mateeka g'eggwanga eryo oba ag'amawanga amalala Bwanabanga ateekwa okubonerezebwa mu kiseera weyazziza omusango ogwo.
12-00	Ekitundu 12.
12-01	Eddembe ly'omuntu yenna eyo gyabera amaka ge era n'ebbaluwa ze tebitaataganyizzibwe nga oba okwazibwa mu ngeri etegoberera mateeka, so n'erinnya lye teriweebuulwenga oba okulebulwa. Buli muntu ateekwa okukuumibwa amateeka aleme kutaataaganyizibwa oba okulumbibwa mu ngeri eyo.
13-00	Ekitundu 13.
13-01	Buli muntu alina eddembe okugenda oba okusula wonna wayagala, munda w'ensalo ez'eggwanga lye.
13-02	Buli muntu wa ddembe okufuluma okuva mu ggwanga lyona, kino nga kitwaliramu n'eggwanga lye, wamu n'okudda mu ggwanga lye.
14-00	Ekitundu 14.
14-01	Omuntu ayigganyizibwa waddembe okunoonya obubudamo mu ggwanga eddala era n'okusanyukira mu bubudamo obwo.
14-02	[missing]
15-00	Ekitundu 15.
15-01	Buli muntu ateekwa okufuna eggwanga ettongole gyabalirwa ng'omutuuze.
15-02	Tewali muntu yenna anagyibwangako obutuuza bw'eggwanga lye wadde okugaanibwa okukyusa obutuuze bwe okubugya mu ggwanga erimu okubuuza mu ddala.
16-00	Ekitundu 16.
16-01	Omusajja oba omukazi omukulu atuuse okwesalirawo, taakomerwenga mu ngeri yenna obutawasa oba okufumbirirwa n'okuzaala abaana, olw'olulyo mwasibuka, olw'eggwanga lye oba lwe'eddini ye. Omusajja n'Omukazi balina onuyinza n'eddembe ebyenkanankana nga tebannafumbiriganwa, oba nga bafumbiriganiddwa oba oluvannyuma lw'obufumbo bwabwe okusattululwa.
16-02	Amaka gwe musingi gw'eggwanga ogw'obuwangwa olwekyo abantu ne gavumenti basaanye okugakuuma obutiribiri.
16-03	[missing]
17-00	Eitundu 17.
17-01	Buli muntu waddembe okwefunira ebintu bye kululwe oba nga yeetabye ne n'abantu abalala.
17-02	Tewali muntu yenna anaggyibwangako ebintu bye mu ngeri etagoberera matteka.
18-00	Ekitundu 18.
18-01	Buli muntu alina eddembe ery'okwerowooleza okwawula ekirungi n'ekibi n'okulondawo eddini gyanasoma. Eddembe lino lizingiramu obuyinza okukyusa eddini oba enzikiriza ye, n'obuyinza obubwe ku lulwe oba wamu n'abantu abalala, mu lwatu oba mu kyama, okwolesa eddini oba enzikiriza ye, ngayigiriza oba ngateeka mu nkola eddini ye byemulagira, nga asinza oba ngakuuma byemugamba.
19-00	Ekitundu 19.
19-01	Buli muntu wa ddembe okubeera n'endowooza ye era n'okwogera oba okuwandiika nga bwalowooza. Eddembe lino lizingiramu n'ebeetu ery'okugugubira ku ndowooza ye awatali kitaattaagaayizibwa, okusaka okufuna wamu n'okusaasaanya amawulire n'ebirowoozo okuyita mu mikutu gyonnna watali kukomerwa.
20-00	Ekitundu 20.
20-01	Buli muntu ayinza okwetaba mu nkugaana ez'eddembe wamu n'abantu abalala.
20-02	Tewali n'omu anakakibwanga okwetaba mu nkunganaa awamu n'abantu abalala.
21-00	Ekitundu 21.
21-01	Buli muntu waddembe okwetaba mu nfuga y'eggwenga lye.
21-02	Buli muntu alina obuyinza obwenkanankana n'obw'omulala obumusobozesa okutuukirira ebitongole bya gavumenti y'ensi ye ebiweereza abantu bonna awatali kukugirwa.
21-03	[missing]
22-00	Ekitundu 22.
22-01	Buli muntu wa ggwanga alina obuyinza okutuula ne bantu banne ngatebenkedde mu ddembe. Kino kimusobozese okutuuka ku biruubirirwa eby'ekitiibwa by'obuntun'okulongongoosa empisa ze, okuyita mu kukola kw'eggwanga lye oba okukolagana n'awamanga nga amalala, okusinziira ku nteekateeka n'enkozesa 'obugagga bwe'eggwanga mu by'enfuna, ey'embeera z'abantu n'eby'obuwangwa ebitayinza kwewalika mu kukulakulana kuno.
23-00	Ekitundu 23.
23-01	Buli muntu alina eddembe n'obuyinza okukola. Ateekwa okwerondera ekika ky'omulimu ekimuggyamu era ekirina embeera emusobozesa okukola obulungi, wamu n'okukirizibwa oba okuyambibwa singa omulimu ogwo gumuweddeko.
23-02	Buli mukozi ateekwa okussasulwa empeera entuufu emuggyamu, emusobozesa ye yennyini n'abantu ab'amaka ge okweyimirizawo nga abantu balamu. Bwekiba kyetagisa empeera y'omukozi eyinza okwongerezebwako ensako endala ezimusobozesa okwetaasa ebyo ebimugwako ng'omuntu nga tabyetegekedde.
23-03	[missing]
23-04	[missing]
24-00	Ekitundu 24.
24-01	Buli muntu ateekwa okuwummula n'okuweera. Asaana akole essawa zakigero buli lunaku era abeere n'ekiseera eky'okwewummuzaamu buli mwaka, kyokka nga empeera ye ey'ekiseera ekyo emuweebwa.
25-00	Ekitundu 25.
25-01	Buli muntu ateekwa okubeera n'omutindo gw'obulamu ogumusobozesa okubeerawo nga mulamu bulungi mu mubiri , ye yennyini n'abantu abamakage, ng'afuna emmere, ebyambalo, ennyumba n'okujjanjabwa singa alwadde era nga asobola okweyambisa ebyo gavumenti y'eggwanga lye by'ekolera abantu baayo okusitula embeera y'obulamu bwabe. (Social Services). Buli muntu, asaana okuyambibwa aleme kweralikirira bwaba nga omulimu gumuweddeko, oba afuuse kateyaamba oba afuuse Ssemwandu oba Nnamwandu oba ngatuusibbwa mu mbeera etemusobozesa kufuna nsiimbi kyokka nga kino siyakyeretedde yekka.
25-02	Abakyala abazadde wamu n'abaana bateekwa okulabirirwa n'okuyambibwa mu ngeri ey'enjawulo. Abaana bonna oba bazadde baabwe bafumbo mu mateeka oba si bafumbo bagwana okulabirirwa kyenkanyi nga abantu.
26-00	Ekitundu 26.
26-01	Buli muntu ateekwa okuyigirizibwa. Okuyigizibwa kunabanga kwa bwerere mu myaka egisooka ne mu masomero agasookerwamu. Okuyigirizibwa okusookerwako kunabanga kwa buwaze. Amasomero agayigiriza eby'emikonono n'emirimu egy'ekikugu ganaateekebwangawo, era buli muntu alina ebisannizo n'obusobozi anaweebwanga omukisa okusomera mu magunjukiro agawaggulu.
26-02	Ebyenjigiliza binaluubiriranga okugunjula abantu muby'amagezi n'empisa nga biteeka essira ku kusaamu ekitiibwa eddembe ly'obuntu n'emisingi gyalyo. Binakubirizanga okuteegeeragana okw'abantu ab'ensi n'eddini ez'enjawulo; era binakolaganiranga wamu n'ekibiina ky'Amawanga Amagatte mu kuleetawo emirembe mu baantu.
26-03	[missing]
27-00	Ekitundu 27.
27-01	Buli muntu waddembe okwetaba mu by'obuwangwa ebyensiye era n'okusanyukira ebikolebwa abalina amagezi oba ebitone ebyobuwangwa, n'okugabana ku miganyulo egivudde mukukulakulana kwa sayansi.
27-02	Buli muntu agwanidde okutaasibwa okuva mu kabi akayinza okutuuka ku mpisa ze oba kwebyo ebimusanyusa mu nsi, kino nga kisinziira ku magezi aga sayansi ebitabo ebibi oba ebifaananyi eby'ekigwenyufu ebiba bikoledwa abaantu.
28-00	Ekitundu 28.
28-01	Embeera y'abantu ab'eggwanga lye oba ab'omumawanga amalala ng'esobozesa omuntu okufuna eddembe ly'obuntu nga bwe liwandiikiddwa mu KIRAGIRO kino.
29-00	Ekitundu 29.
29-01	Buli muntu alina obuvunanyizibwa eri abantu b'ensi ye, kubanga bano bokka abamusobozesa okukikukulanya mumpisa ne mungeri endala zonna.
29-02	Omuntu nga akaayanira eddembe lye ery'obuntu ekinamukolangako kyokka ge mateeka ago agateekebwawo okunyweza, okutongoza wamu n'okusaamu ekitiibwa eddembe ly'abalala n'okukuuma empisa ennungi mu bwenkanya oba okukuuma eddembe lya bonna oba amateeka ago ogakuuma obulungi bwa abantu bonna ab'eggwanga eriddukanyizibwa ku demokolasi.
29-03	[missing]
30-00	Ekitundu 30.
30-01	Tewali nsonga yonna mu KIRANGIRIRO kino enetapoutibwanga mu ngeri etegeeza nti ewa ebbeetu abantu b'eggwanga oba ekibinja ky' abantu okwenyigira oba okwetaba mu kikolwa kyonna ekigenderera okuzikiriza eddembe ly'obuntu eriwandiikiddwa mu KIRANGIRIRO kino.
