00-00	HAKKEEJI BII-ADAMA TABITINAADI NDER DUUNIYAARU
11-00	Kiitanaado do sari’a woodi daama tammire goonga sey to dum tabitini rellere goonga maako be sari’a yeeso koowa saydi o hokkaama ko haani ngam reentaaki.
11-01	Walaa gooto nangirtee aybe kiita ngam nanki o wodii godum maa bo rellere wadugo godum nder lesdi maako maa bo duunjyaaru, wookati nde dum wadaa. Non boo o yowantaake teddudum kiita buruka ko o wadi wookati o wadi kiita kan.
12-00	Yebre 12re
12-01	Walaa nedde gooto gadanteedo naatalmaaku nder lamaruuji maako, iyaalu maako,baade maako be defte e dereeji maakonon nyaamki nedaaku maako e mangu maako. Koomoye woodi baawde e neddaaku deeneteedi be kiita dow naatalmaku ngun e torruki mo.
13-00	Yebre 13re
13-00	woode hakke wancuki e joonde nder keerol koondiye lesdi.
13-01	Koomoye hokkaama baawd daluki koondiye lesdi, haa e lesdi maako, o woodi baawde wuytuki lesdi maako.
14-00	Yebre 14re
14-00	Koomoye woodi baawde tefuki e weltinaaki weerde lesdi ngondi to o welnaayi e lesdi maako.
14-01	2.Ka’a daama ummintaake ngam torra laatiika naa ka kiita siyaasa koo bo sanadu kiita e hiitaaki kin luutanii ko Kawtal Hoore Lesde Dunyaary darni.
15-00	Yebre 15re
15-00	Koomoye woodi hakke laataaki bii lesdi.
15-01	Bii-aadama fuu teetantaake laataaki maako bii lesdi naa bee daliila cembiddum.
16-00	Yebre 16re
16-00	Worbe e rewbe kewtube walaa ko hadata be te’te’ndirki ngam asili, lesdinkaakkuko bo dina, hambe mari hakke te’ugo be ngada gorko e deekiraawo. Be ngoodi hakkeeji potooji wookati teegal, baawo teegal wadaama e wookati saakaaki magal
16-01	Teegal sey to te’oobe narri nden ngal habete.
16-02	Wadugu iyaalu dum ko fina tawa kadibo dum tuggere e fudoode ummaatoore kadimaa dum haani reeneeki.
17-00	Yebre 17re
17-00	Koomoye woodi baawde mara njawdi feere maako maa bo be wobbe.
17-01	Walaa bii-aadama sendetee bee njawdi muudum bee sembe.
18-00	Yebre 18re
18-01	Koomoye woodi baawde yaaki endimaaku e miillo maako, llamiiri maako, diina maako; baude de’e hawtuub e ndimaaku waylutuki diina maako, goongdinki maako bee ndimaaku, feere maako maa bo nder ummaatoore bee wobbe bee kuubnol maa bo coondol, nden holla diina maako maa bo goongdinki maako e janginki, huutirki, ibaada, e reentaaki.
19-00	Yebre 19re
19-01	Koomoye woodi baawde yaaki ndimaaku ra’yu bee wannginki de baawde hawtii e maruki ra’ayu e wannginki de’e baawde naa bee natalmaaku nden boo tefa, jaba nden naadina habaru e ra’ayuuji nder koongale datal naa bee waanneeki e keerolji
20-00	Yebre 20re
20-00	Koomoye woodi baawde naatuki kawtal ngal hakkiilo waaltiingo.
20-01	Walaa billanteedo maatuki kawtal
21-00	Yebre 21re
21-00	Koomoye woodi hakke naatuki nder gomnati lesdi maako dow laawol naadeeki maa bo subeeki.
21-01	Koomoye woodi hakke huwuki nder gomnati lesdi muudum.
21-02	Gidaadi yimbe woni erseese laamu gomnati siyaasa, tidaadi di’I boo edi mbanga wookati-wookati be cubol goonga laatotoongol weedaango potoowol e daama subuki bee siri wadeeki e suudi maa boo wanginee
22-00	Yebre 22re
22-01	Koomoye, laataaki maako gooto nder ummaatoore woodi hakke reenaneeke hersa bee andeeki, nder kuude o huwani lesdi bee walluuki duuniyaaru no haandi bee siriiji bee baawde koongaye gomnati wuttudu mardi e joododaaki yimbe e baawde.
23-00	Yebre 23re
23-00	Koomoye woodi baawde huuwa,to yidinee adilaaku no yidaa hakke maako boo reene taa o rella kuugal.
23-01	Koomoye, naa bee nyaameeki jarful, woodi hakke yobeeki cede ko foti kuugal maako.
23-02	Koomoye kuwoowo woodi hakke adilaaku e ko haani o yobee ngam yonkintaaku maako e iyaalu maako e reenuki neddaaku mabbe, to haajaama boo wallite.
23-03	Koomoye woodi hakke wadugo kawtal yimbe koo boo nasta kawtal ngam reenugo nedaaku maako.
24-00	Yebre 24re
24-01	Koomoye woodi daama foptiinde e siwtaare, haa e haadingo saa’aaji kuugal e poptiinde yobeteende.
25-00	Yebre 25re
25-00	Koomoye woodi hakke yonkintaaku no haanidi ngam njamu maako e iyaalu maako, haa e nyaamdu, koltal, baade bee maagani bee ko yonkintaaku buka fuka bee reeneeke to o rellii kuugal, nyawu, naunaaki, maayde gorko, nayeeku koo boo rellere nanki beldum ngam ko buri sembe maako.
25-01	Inniraagu e Mbaccaku woodi hakke faabeego no haani e walliteego. Bacci fuu, marbe baaba e be ngala haani faabe wallite bano koowa
26-00	Yebre 26re
26-00	Koomoye woodi hakke jangineeki, jangineeki laatake doole haanaa yobanee ceede diga fraamari haa sakandari, laatiidum wookati doole neddo janga, non boo andal luggungal haani wallitee.
26-01	Andal laatake huuccinaama kadimaa laataake doole ngam nyaamki yeeso bii-aadama e tabitinki ndimaaku maako. Andal wallitai bibbe Aadama andootira, wallotira munyindira be soobootira. Du’um wallitay andindirk, munyal, soobaaku hakkunde ley, asluuji, diinaajinden boo dum wallita kuude Majlisa Kawtal Hoore Duniyaaru.
26-02	Inniraabe hokkaama daama subuki naw’u andal bibbe mabbe haani be ndokke.
27-00	Yebre 27re
27-00	Koomoye woodi daama e hakke naatuki ko laati dum al’aada maako diidi o welnitoroodum haa e Sanaa’aaji e nafuudaaji mum.
27-01	Koomoye woodi daama reenuki al’aada e ne’eeji di o diidi.
28-00	Yebre 28re
28-01	Koomoye wooodi , nder joodideeki maa bo umrinkaaku duniyaaru, naftira be ko diida nder derewol ngo’ol.
29-00	Yebre 29re
29-00	Koomoye woodi laruura yowanaa ngam to woni ngam bo don tan mari daama yonkintaaku maako no haani.
29-01	Nder yonkintaaku koomoye e dogginki hakke maako koomoye o laatoto les keeraadi ba di keeridina bee sarii’a ngam tan dalila reentaaki tabitinki e reentuki tabitinki hakkeeji e rimduki e umrooje ngam wobbe e fottinki bee adilaaku e tabitinki ne’aare e joonde jam e feesaarender deemukuraadiyya ummaatoore.
29-02	Di’i hakkeeji e rimduki laatataako naftirteedi to yaadaayi bee gidaadi Majlisa Kawtal Hoore Duniyaaru.
30-00	Yebre 30re
30-01	Walaa ko woni nder derewol ngo’ol fassirteeno hollirta ngam koondiye lesdi maa bo ummaatoore maa bo neddo hibuki daama wadugo sa’ani gaddoojum wonnere.
