00-00	ktikaawaad᩠w᩠yaᩢmnuscaa᩠t
05-00	khoa 5
05-01	kx᩠nodaiᩢcᩢthuukkh᩠naa᩠bkaa᩠bkae᩠nᩢ bᩢkᩢdaiᩢrᩢ᩠bkaa᩠rl᩠ngotoo᩠s ph᩠dimnusthm᩠m᩼tᩴaacᩢaa bᩢdaiᩢ
06-00	khoa 6
06-01	tukkx᩠nocᩢdaiᩢya᩠amrᩢ᩠blᩢnᩢ᩠bthuuek᩠nᩢ waape᩠nkx᩠nohe᩠muuerk᩠nᩢtaa᩠mk᩠roh᩠maa᩠yatukᪧtii
07-00	khoa 7
07-01	tukkx᩠noph᩠yangp᩠yangk᩠nᩢtaa᩠mk᩠roh᩠maa᩠ya lᩢmiisit᩠thitiicᩢdaiᩢrᩢ᩠bkaa᩠rkuᩢmkh᩠waa᩠ngr᩠kᩢsaa taa᩠mk᩠roh᩠maa᩠yadᩢ᩠w᩠yaph᩠yangp᩠yangk᩠nᩢ braaascaa᩠kseya᩠ngᩢkaa᩠rle᩠kuuebrib᩠titoa lᩢkaa᩠rl᩠wnglᩢᩴaakhoaktikaa bᩢkᩢkaa᩠rs᩠nosoahuueke᩠duuekaa᩠rle᩠kuuebrib᩠tᩢ
08-00	khoa 8
08-01	tukkx᩠nomiisit᩠thitiicᩢdaiᩢkaa᩠rr᩠kᩢcaa᩠ksaa᩠rkh᩠angr᩠rᩢ caa᩠kkaa᩠ra᩠nᩢdaiᩢthuukl᩠wnglᩢᩴaa taa᩠mtiit᩠nomiist᩠thitaa᩠mk᩠roh᩠maa᩠yape᩠nguueme᩠nguue
09-00	khoa 9
09-01	kx᩠nophuuᩢdaiᩢcᩢthuukyaᩢ᩠b kh᩠ngᩢkx᩠ak hrauueluue᩠bh᩠niise doo᩠yabᩢmiihe᩠tucᩴaape᩠nbᩢdaiᩢ
10-00	khoa 10
10-01	tukkx᩠nomiist᩠thiph᩠yangp᩠yangk᩠nᩢte᩠mtii naikaa᩠rtiicᩢdaiᩢrᩢ᩠bkaa᩠rpicaarraatiipe᩠nthm᩠m᩼ lᩢp᩠duuepheuue᩠yacaa᩠ksaa᩠la᩠nᩢmiip᩠ngsrlᩢt᩠yangthm᩠m᩼ naikaa᩠rkᩴaah᩠nodsit᩠thilᩢh᩠nᩢaatiikh᩠angt᩠no lᩢkaa᩠rhe᩠dph᩠dirᩢaa᩠yarae᩠ngtuka᩠nᩢ tiit᩠nothuukkaa᩠whaa
11-00	khoa 11
11-01	tukkx᩠notiithuukkaa᩠whaawaa he᩠dph᩠dik᩠roh᩠maa᩠yarᩢaa᩠yarae᩠ng miisit᩠thitiicᩢdaiᩢrᩢ᩠bkaa᩠rsn᩠niraa᩠nwaiᩢk᩠arwaa pe᩠nphuuᩢbᩢdaiᩢhe᩠dd᩠ngᩢn᩠nᩢᩢ traaa᩠btoateᩢᩢaath᩠nguuepoadaiᩢrᩢ᩠bkaa᩠rk᩠wds᩠abtaa᩠mk᩠roh᩠maa᩠ya lᩢdaiᩢrᩢ᩠bkaa᩠rp᩠duuepheuue᩠ya lᩢt᩠nodaiᩢrᩢ᩠bkhaa᩠mnaikaa᩠rtoasuuᩢkᩢ᩠bkdii
11-02	cᩢthuuekx᩠nodaiwaa miik᩠waa᩠mph᩠dirᩢaa᩠yarae᩠ng a᩠nᩢke᩠duuecaa᩠kkaa᩠rhe᩠d kaa᩠rlwe᩠nᩢdaiᪧ a᩠nᩢbᩢdaiᩢc᩠dᩢpe᩠nk᩠waa᩠mph᩠dirᩢaa᩠yarae᩠ng taa᩠mk᩠roh᩠maa᩠yahae᩠ngcaa᩠t bᩢkᩢk᩠roh᩠maa᩠yarh᩠waa᩠ngbrate᩠s naikaalme᩠auuehe᩠dn᩠nᩢᩢbᩢdaiᩢ lᩢcᩢl᩠ngotoo᩠sa᩠nᩢh᩠nᩢk helauueatiicaiᩢyauume᩠auuehe᩠dk᩠waa᩠mph᩠din᩠nᩢᩢ bᩢdaiᩢ
12-00	khoa 12
12-01	phuuᩢaidcᩢl᩠wnglᩢᩴaakheᩢᩢaapaidoo᩠yabᩢmiihe᩠tubᩢdaiᩢ t᩠nguuenaihoare᩠nuue sthaa᩠ntiiyauu hrauuenaikaa᩠rsuuesaa᩠r bᩢkᩢcᩢthuukduukae᩠wrnainaamcuues᩠yang yao᩠ss᩠kᩢbᩢdaiᩢ tukphuuᩢmiit᩠thi naikaa᩠rdaiᩢrᩢ᩠bkaa᩠rkuᩢmkh᩠waa᩠ngcaa᩠kk᩠roh᩠maa᩠yal᩠wnglᩢᩴaa duuaek᩠wr d᩠ngᩢkaa᩠wwaiᩢn᩠nᩢᩢ
13-00	khoa 13
13-01	tukkx᩠nomiisit᩠thiserii hae᩠ngkaa᩠rt᩠wᩢngh᩠nuengnaithsaa᩠ntiiyauu paa᩠yanaikhe᩠tkh᩠angme᩠nguuen᩠nᩢᩢᪧ
13-02	tukkx᩠nomiisit᩠thitiicᩢa᩠akn᩠akbrate᩠saidᩢ r᩠wmpaith᩠nguuebrate᩠skh᩠angt᩠wokeᩢaa lᩢkaa᩠rp᩠akkx᩠nuuemaaya᩠ngᩢbrate᩠skh᩠angt᩠no
14-00	khoa 14
14-01	tukkx᩠nomiisit᩠thitiicᩢsae᩠wnghaa lᩢya᩠ngᩢᩢaaasai᩠yanaibrate᩠sa᩠nuue pe᩠auueh᩠niiphai᩠yacaa᩠kkaa᩠rte᩠kte᩠ng kaa᩠rkhᩢaa kaa᩠rhae᩠m
14-02	cᩢaᩢaa᩠ngsit᩠thibᩢdaiᩢ naire᩠nguuetiike᩠duuepe᩠namu a᩠nᩢbᩢk᩠aᩢngkaa᩠yakᩢ᩠bdᩢ᩠w᩠yakaa᩠rme᩠nguue bᩢkᩢ a᩠nᩢkh᩠dᩢkᩢ᩠bkhoaaᩢaa᩠ngh᩠maa᩠ya lᩢ hlaᩢkkaa᩠rkh᩠angshbcaacaa᩠t
15-00	khoa 15
15-01	tukkx᩠nomiisit᩠thinaikaa᩠rthuuekaa᩠rr᩠wmcaa᩠t
15-02	kx᩠nodaicᩢthuukt᩠dᩢsecaa᩠kkaa᩠rr᩠wmcaa᩠t doo᩠yabᩢmiihe᩠tubᩢdaiᩢ bᩢkᩢthuukkh᩠dᩢhᩢaa᩠msit᩠thi caa᩠kkaa᩠rp᩠yarkaa᩠rr᩠wmcaa᩠tbᩢdaiᩢ
16-00	khoa 16
16-01	caa᩠yalᩢya᩠ngi tiimiiaaayaute᩠mth᩠wᩢrbribur᩠raal᩠wᩢ miisit᩠thitiicᩢwiwaahk᩠nikhae᩠k lᩢtaet᩠ngᩢᩢh᩠nᩢaare᩠nuue doo᩠yabraaascaa᩠kseya᩠ngᩢkhoahᩢaa᩠mdaiᪧ a᩠nᩢk᩠aᩢngkaa᩠yakᩢ᩠bdᩢ᩠w᩠ya ce᩠auuecaa᩠t r᩠wmcaa᩠t saasnaa taa᩠ngkᩢmiisit᩠thiph᩠yangp᩠yangk᩠nᩢnaikaa᩠rwiwaah rh᩠waa᩠ngkaa᩠rwiwaah lᩢkaa᩠rkhaa᩠dcaa᩠kkaa᩠rwiwaah
16-02	kaa᩠rwiwaah cᩢhe᩠ddaiᩢkᩢme᩠auuemiik᩠waa᩠mpra᩠aᩢmya᩠am  doo᩠yap᩠ngsrte᩠mtii kh᩠angphuuᩢtiimiicetnaakxaiwiwaah
16-03	kaa᩠rre᩠nuuepe᩠nhlaᩢkthm᩠mcaa᩠t lᩢhlaᩢkkeᩢᩢaakh᩠angkh᩠angs᩠ngok᩠mo lᩢmiisit᩠thitiicᩢdaiᩢrᩢ᩠b kaa᩠rkuᩢmkh᩠waa᩠ngcaa᩠ks᩠ngᩢk᩠molᩢbaa᩠nᩢme᩠nguue
17-00	khoa 17
17-01	tukkx᩠nomiisit᩠thipe᩠nceᩢᩢaakh᩠angs᩠mob᩠tᩢ dᩢ᩠w᩠yat᩠nokoydᩴ᩠ya lᩢyaaa᩠ngdᩴ᩠yak᩠nᩢkᩢ᩠bdᩢ᩠w᩠yaphuuᩢa᩠nuue
17-02	phuuᩢcᩢthuukt᩠yangs᩠mob᩠tᩢdoo᩠yabᩢmiihe᩠tucᩴaape᩠nbᩢdaiᩢ
18-00	khoa 18
18-01	tukkx᩠nomiisit᩠thi naip᩠ngsrkh᩠angk᩠waa᩠mkx᩠ditaa᩠mmneaah᩠wocai lᩢ saasnaa sit᩠thiniir᩠wmpaith᩠nguue kaa᩠rp᩠yarsaasnaa bᩢkᩢk᩠waa᩠mce᩠auuethuuekh᩠angt᩠no doo᩠yakaa᩠rs᩠ar kaa᩠rbrib᩠tᩢ sk᩠krbuucaa lᩢkaa᩠rhe᩠dpithiikm᩠m᩼ bᩢwaakoydᩴ᩠yahrauuenaikaa᩠rhe᩠dr᩠wmkᩢ᩠bphuuᩢa᩠nuue saathaarrt᩠wopai bᩢkᩢs᩠wrt᩠wokoydᩴ᩠ya
19-00	khoa 19
19-01	tukkx᩠nomiisit᩠thinaip᩠ngsr hae᩠ngk᩠waa᩠mk᩠dueh᩠nᩢlᩢkaa᩠rsᩴaadae᩠nga᩠ak sit᩠thiniir᩠wmpaith᩠nguue kaa᩠rtiicᩢya᩠amrᩢ᩠bthuueuuᩢaak᩠waa᩠mh᩠nᩢ doo᩠yabraaascaa᩠kseya᩠ngᩢ kaa᩠rkae᩠dk᩠ngᩢᩢtiicᩢsae᩠wnghaa lᩢrᩢ᩠bkhaa᩠wsaa᩠rlᩢk᩠waa᩠mk᩠dueh᩠nᩢ doo᩠yawithiidaiᪧ doo᩠yabᩢwe᩠nseya᩠ngᩢkhe᩠tdae᩠n
20-00	khoa 20
20-01	tukkx᩠nomiisit᩠thinaip᩠ngsr hae᩠ngkaa᩠rpra᩠aᩢmbrasumlᩢt᩠ngᩢᩢmukcumdoo᩠yasn᩠ti
20-02	phuuᩢdaicᩢthuukb᩠ngᩢkᩢ᩠bhuuekheᩢᩢaamukcumdaimukcumh᩠nuengbᩢdaiᩢ
21-00	khoa 21
21-01	tukkx᩠nomiisit᩠thitiicᩢdaiᩢmiis᩠wrdaiᩢs᩠wrpe᩠n nairrpabaa᩠lkh᩠angt᩠no cᩢpe᩠ndoo᩠yasuue bᩢkᩢdoo᩠yaphaa᩠nkaa᩠rle᩠kuuetae᩠ndaiᩢ doo᩠yap᩠ngsr
21-02	tukkx᩠nomiisit᩠thitiicᩢkheᩢᩢaath᩠nguue kaa᩠rcoythae᩠mt᩠wopai naibaa᩠nᩢme᩠nguuekh᩠angt᩠nodaiᩢ doo᩠yaph᩠yangp᩠yangk᩠nᩢ
21-03	khoapra᩠aᩢmcaikh᩠angkx᩠nome᩠nguue t᩠aᩢnghuuepe᩠nraa᩠khe᩠ngᩢᩢaakh᩠angbaa᩠nᩢme᩠nguue khoapra᩠aᩢmcaik᩠nᩢnii cᩢdaiᩢsᩴaadae᩠nga᩠ak phaa᩠nkaa᩠rle᩠kuuet᩠ngᩢᩢtaa᩠mtiikᩴaah᩠nodwelaawaiᩢ doo᩠yakaa᩠raaasai᩠yakaa᩠ra᩠aks᩠yang kaa᩠rl᩠ngokxnae᩠n doo᩠yaph᩠yangp᩠yangk᩠nᩢ
22-00	khoa 22
22-01	tukkx᩠no nairaantiipe᩠ns᩠wrh᩠nuengkh᩠angs᩠ngᩢk᩠mo miisit᩠thinaikaa᩠rh᩠mᩢᩢrkae᩠ntaa᩠ngs᩠ngok᩠mo lᩢmiisit᩠thinaikaa᩠rkheᩢᩢaath᩠nguueraantaa᩠ngkaa᩠rkaaᩢkhaa᩠ya lᩢtaa᩠ngwd᩠rnthm᩠m᩼ a᩠nᩢcᩴaape᩠nsᩴaarᩢ᩠bnaamcuues᩠yangkh᩠angt᩠no lᩢkaa᩠rbuk᩠klikphaawkh᩠angt᩠no daiᩢdoo᩠yap᩠ngsr pra᩠aᩢmk᩠nᩢnii doo᩠yak᩠waa᩠mkh᩠dᩢcaikh᩠angcaa᩠t lᩢ kaa᩠rr᩠wmmuuek᩠nᩢrh᩠waa᩠ngbrate᩠s lᩢtaa᩠mraankh᩠angkx᩠wokh᩠angnaitaelame᩠nguue
23-00	khoa 23
23-01	tukkx᩠nomiisit᩠thinaiw᩠yakkaa᩠r naikaa᩠rle᩠kuuehe᩠dkaa᩠rdaiᩢdoo᩠yap᩠ngsr taa᩠mkhoaktikaaa᩠nᩢyautithm᩠m᩼ a᩠nᩢpe᩠nbrayaooc᩠n᩼toaw᩠yakkaa᩠r lᩢnaikaa᩠rkuᩢmkh᩠waa᩠ngtoakaa᩠rtiibᩢmiiw᩠yakkaa᩠r
23-02	tukkx᩠nomiisit᩠thidaiᩢrᩢ᩠bkaacᩢaa᩠ngph᩠yangp᩠yangk᩠nᩢ naikaa᩠ra᩠nᩢhe᩠muueuuerk᩠nᩢ doo᩠yabᩢmiikaa᩠rle᩠kuuebrib᩠tᩢtaebrakaa᩠rdai
23-03	tukkx᩠notiihe᩠dkaa᩠r miisit᩠thitiicᩢdaiᩢrᩢ᩠bkaacᩢaa᩠ngdᩢ᩠w᩠yayautithm᩠m᩼lᩢpe᩠nbrayaooc᩠n᩼ tiicᩢdaiᩢrᩢ᩠bkhaa᩠mkaet᩠not᩠wolᩢh᩠nᩢaare᩠nuue a᩠nᩢpe᩠ns᩠ngik᩠nguuek᩠wrkaecuues᩠yangkh᩠angmnus᩼ lᩢk᩠nᩢhaa᩠kcᩴaape᩠n kᩢcᩢt᩠aᩢngdaiᩢrᩢ᩠bkaa᩠rkuᩢmkh᩠waa᩠nga᩠nuueᪧtaa᩠ngs᩠ngok᩠mo te᩠muuethae᩠mthae᩠ngᩢ
23-04	tukkx᩠nomiisit᩠thitiicᩢkoat᩠ngᩢᩢlᩢkheᩢᩢaar᩠wm mukcumkx᩠nohe᩠dkaa᩠r   pe᩠auuecᩢdaiᩢkuᩢmkh᩠waa᩠ngs᩠wrdaiᩢs᩠wrpe᩠nkh᩠angt᩠no
24-00	khoa 24
24-01	tukkx᩠nomiisit᩠thinaikaa᩠rya᩠ngᩢᩢseᩢaa welaapeᩢaakaa᩠r r᩠wmt᩠nguuekaa᩠rcᩴaak᩠dᩢwelaakaa᩠r taa᩠ms᩠mok᩠wr lᩢw᩠nᩢh᩠yaudkaa᩠rpe᩠nw᩠wngpe᩠nkraaa᩠w doo᩠yaya᩠ngᩢdaiᩢrᩢ᩠bkaacᩢaa᩠ng
25-00	khoa 25
25-01	tukkx᩠nomiisit᩠thinaimaatraraa᩠nkaa᩠rpe᩠nyauu a᩠nᩢk᩠nguuek᩠wr sᩴaarᩢ᩠bpaa᩠yayauudii lᩢ k᩠waa᩠mpe᩠nyauukh᩠angt᩠nolᩢh᩠nᩢaare᩠nuue r᩠wmth᩠nguueaaahaa᩠r krae᩠nguuenungh᩠yaᩢ᩠ang tiiyauuaaasai᩠ya lᩢkaa᩠rr᩠kᩢsaapaa᩠yah᩠moayaaa lᩢkaa᩠rdaiᩢrᩢ᩠bkᩢᩴaathae᩠mtaa᩠ngs᩠ngᩢk᩠motiicᩴaape᩠n lᩢmiisit᩠thik᩠waa᩠mh᩠mᩢᩢrkae yaaa᩠mpeᩢaakaa᩠r ce᩠bkhaiᩢ pe᩠nh᩠mᩢaa᩠ya theᩢᩢaakae bᩢmiih᩠nᩢaakaa᩠ra᩠nuue a᩠nᩢhe᩠nuueaseaᩴaanaa᩠ckh᩠angt᩠no
25-02	maelᩢluuk miisit᩠thitiicᩢdaiᩢrᩢ᩠bkaa᩠rduulaer᩠kᩢsaa lᩢkaa᩠rcoyhelauueape᩠npise᩠s luukt᩠ngᩢhlaaa᩠ya bᩢwaacᩢke᩠duuehai᩠m naikaa᩠rtae᩠ngngaa᩠nhrauuebᩢkᩢtaa᩠m cᩢt᩠aᩢngdaiᩢrᩢ᩠bkaa᩠rkuᩢmkh᩠waa᩠ng caa᩠ks᩠ngᩢk᩠mohe᩠muuerk᩠nᩢ
26-00	khoa 26
26-01	tukkx᩠nomiisit᩠thinaikaa᩠rs᩠kuesaa kaa᩠rs᩠kuesaacᩢdaiᩢhuuefrii tiikekᩢnaic᩠nᩢᩢhe᩠ngᩢᩢaa lᩢkaa᩠rs᩠kuesaac᩠nᩢᩢmuul kaa᩠rs᩠kuesaac᩠nᩢᩢmuul cᩢdaiᩢpe᩠nkaa᩠rb᩠ngᩢkᩢ᩠b kaa᩠rs᩠kuesaawicaak᩠waa᩠mruuᩢlᩢwicaalᩢ᩠yangt᩠wo cᩢdaiᩢp᩠duuek᩠wᩢaa᩠ngdoo᩠yat᩠wopai lᩢkaa᩠rs᩠kuesaac᩠nᩢᩢsuungkh᩠nuuepai cᩢdaiᩢp᩠duuesᩴaarᩢ᩠btukkx᩠nokheᩢᩢaas᩠kuesaadaiᩢ ph᩠yangp᩠yangk᩠nᩢ taa᩠mraanhaec᩠nᩢᩢkaa᩠rs᩠kuesaa
26-02	kaa᩠rs᩠kuesaacᩢdaiᩢhuuepe᩠npaitaa᩠ng wd᩠rnaakaa᩠rpe᩠nyauukh᩠angmnus᩼yaaa᩠ngte᩠mtii lᩢya᩠ngᩢkxeᩢaaro᩠btoasit᩠thimnuscaa᩠t lᩢp᩠ngsrphaa᩠b hlaᩢkkaa᩠rhuueh᩠mᩢᩢrkae᩠nhae᩠nᩢrkhae᩠ng cᩢdaiᩢp᩠nᩢrae᩠ng huuemiikhn᩠tithm᩠m᩼ bᩢkᩢsaasnaa lᩢpe᩠nm᩠timaitraiitoa mnuscaa᩠t ce᩠auuecaa᩠t saasnaa lᩢcᩢdaiᩢp᩠nᩢrae᩠ngh᩠nᩢaakaa᩠rkh᩠angshbcaacaa᩠t pe᩠auuer᩠kᩢsaawaiᩢs᩠nguuesn᩠tisukh
26-03	bitaamaadaa miisit᩠thinaikaa᩠rc᩠dᩢle᩠kuuekaa᩠rs᩠kuesaabe᩠nguuet᩠noᩢ huueᩢkaeluukkh᩠angt᩠no
27-00	khoa 27
27-01	tukkx᩠nomiisit᩠thitiicᩢkheᩢᩢaar᩠wm naitaa᩠ngwd᩠rnthm᩠m᩼kh᩠angbcaak᩠modoo᩠yap᩠ngsr a᩠nᩢcᩢm᩠wryae᩠muuecai naitaa᩠ngsilblᩢ tiicᩢmiis᩠wrnaik᩠waa᩠mcreuue᩠nya lᩢkurbrayaooc᩠n᩼taa᩠ng wit᩠yaaasaa᩠stra᩼
27-02	tukkx᩠nomiisit᩠thitiicᩢdaiᩢrᩢ᩠bkaa᩠rkuᩢmkh᩠waa᩠ng s᩠wrdaiᩢs᩠wrpe᩠ntaa᩠ngsiilthm᩠m᩼ lᩢtaa᩠ngwt᩠thu a᩠nᩢpe᩠npe᩠npho᩠lmaacaa᩠k kaa᩠rtae᩠ngsᩢaa᩠ngdai taa᩠ngwit᩠yaaasaa᩠stra᩼ kaa᩠rtae᩠ngtae᩠mᩢ lᩢtaa᩠ngsilb a᩠nᩢt᩠nope᩠nphuuᩢp᩠anga᩠ak
28-00	khoa 28
28-01	tukkx᩠nomiisit᩠thinairb᩠yabtaa᩠ngs᩠ngᩢk᩠mo lᩢrh᩠waa᩠ngbrate᩠s a᩠nᩢcᩢpe᩠ntaa᩠nghuuesᩴaare᩠cpho᩠lte᩠mtii taa᩠msit᩠thilᩢp᩠ngsr d᩠ngᩢtiikᩴaah᩠nodwaiᩢnaiktikaaa᩠nᩢnii
29-00	khoa 29
29-01	tukkx᩠nomiih᩠nᩢaatiitoabcaak᩠mo dᩢ᩠w᩠yakaa᩠rwd᩠rnaabuk᩠klikphaa᩠bkh᩠angt᩠no doo᩠yap᩠ngsrte᩠mtii cᩢhe᩠ddaiᩢkᩢtaenaibcaak᩠moteᩢaan᩠nᩢᩢ
