00-00	NSA‘ NGA NJU TE PA MFEE KET MUN NYUTU
11-00	Nshie mun’ue pe nsome’i na, pum na mbe ndi’ po nga gbu sa’, kuka ken ki’re nguo kwete mgbu sa’ shi te nda sa’, me ndo nguere, na yue loya njetne yi mfer’i pokeri na.
11-01	Pe ntap ndo’ suo’i sa’ ndun nshie mun, lo’ te ngeket pua shu shi ghet ke shu shi rie, fu’ yie ka a ndi’ po fubken tum te ken ngu ke’ ken nju mansie. Mo’ nke shi pe mbi’ ndo’ njap nsuo sa’ ndun mun a ret nja’ yue a pembi te mbe yi mgbete te fu’ fubken na.
12-00	Mgbeti mbete 12
12-01	Nshie mun yie ndi’ yue pe ndo’ mbe mbib’i ne yi lo’ nyi te nga wumeshi yi’she, pa nshut nda’i, li’ shu’i ke lerewa shi, shi nushe ntu nte mi pua ngetne nga shi yi mboket. Nshie mun nyutu ghet mfee ket tue’she lo’ puo ken meshi’ yi nku yue pe mbe mbib’i ke yi mbe nushe’ i ne.
13-00	Mgbeti mbete 13
13-00	Nshie mun nyutu ghet mfee ket ghet ku yi nketne ne yi nsho’ li’ shu’i (nka’shi) te nshie ngu.
13-01	Nshie mun nyutu ghet mfee ket yi ntum nshie ngu, mbu ngu’i, mbit nku njetne yi mbutne ntuum.
14-00	Mgbeti mbete 14
14-00	Te ka pe mbe nta’ ve mun na, mbu i ghet mfee ket yi nta’ li’ kebkebe mbit, nku kwete li’ kebkebe te shimo’ ngu.
14-01	Yire yi mfee ket ndi’ yu rie te pa veve yue mun ghet puu ngure na, ke te ngetne nga yue a ndi’ yuni pua nsa’ nga nju mansie na.
15-00	Mgbeti mbete 15
15-00	Nshie mun nyutu ghet mfee ket yi mbe ntumsie ndi la’.
15-01	A ndi yetni ne yue pe nkuot ntumsie la’ puo mun, ke yue pe nkuot mfee ket yi kupshe ntumsie la’pue’i na.
16-00	Mgbeti mbete 16
16-00	Lo’ te lum li,memba po memgbie nghetket mfee ket yi ndame mbit njetne yi nsen nguet mun, shi tie nto’ne nga tum, nga la’ puen ke nga nyinyi puen ne. Pe ghet ket na mfee ket te lam po nguenengue, lo’ te wume lam pua fu’ yie ka pe no lam ma.
16-01	Kutlam shu na po te ndi nshut pua peeme pe’gha yi ndame.
16-02	Nguet mun pua nki map mbadem mun lo’ fem nshin mo’nke mbi ghet mfee ket kwete shi lo’ puo mbadem mun pua nsa’ngu.
17-00	Mgbeti mbete 17
17-00	Nshie mun, yi’she ke me ru puen ne, ghet mfee ket ghet ku yi yum.
17-01	Pe ma njetni yi nve mun nkuot ku yu’i.
18-00	Mgbeti mbete 18
18-01	Nshie mun nyutu ghet mfee ket ku rem ngam, yi, ne nga nyinyi; yire yi ntupshe yi nget ku kupshe nga nyinyi ke ghet ku ghet nga nyinyi yi’she ke te puomshe me ndonguere ke me luemshe, lo’ te yu lere, gu ngeri, fa ngure ne nyinyi pua ghet gu mgbete ntuot nga nyinyi.
19-00	Mgbeti mbete 19
19-01	Nshie mun pua ne mfee ket ghet ku ghet wupme ne yi nshukere, yire yi ntupshe mfee ket yi mbe shi yetne yi kwete nkamket ngam me shi’ gu wupme shi ne mfee ket yi njetne yi nta’ yi nkwete mbit nsam gu pesa’kue pua wupme te nshie manje yi nsame.
20-00	Mgbeti mbete 20
20-00	Nshie mun pua ne mfee ket ghet ku ghet puomshe ne ghet nda nshut puomshe te fueshe.
20-01	Pe fa pe yie yiri mun i pe mun nda puomshe.
21-00	Mgbeti mbete 21
21-00	Nshie mun ghet mfee ket yi nshare tesu te pesa’kue npa ngu’i, ke me mun ntene, ke njem puenpue pe sha’ sh sh  na.
21-01	Nshie mun ghet mfee ket yi nget ntu nte te nsa’ngu’i lo’te nguenengue mbgete ken yi kwete.
21-02	Ku ntu pa te ngu pe na yire mbe meyue’ne (to’she) ne pawa nsa’ngu. Yire yi ku ntuum pe na yitkeri te nshoshi po lo’ te shisho’ nzenket te gu pe rap fu’, nere nshie mun sho’ yi nguengue yie momap, me luem ke yue pe nsho ’mo’ nza feeni shi yit mun mbe na.
22-00	Mgbeti mbete 22
22-01	Nshie mun, me ru lala pa te ngu, ghet mfee ket yi mbe ne ten ntuum wume mb ne mun. A na tet nga shi lo’te yi kwete luum ntuum pa mfee ket shushu’ mbet pam, fane puen te la’ ne nga yi ntuet puen yue a nkpa’she njit te nga wume shi na, pua nga luere punte ntu nte mi na, lo’ te ma’si’ ngu pua shane wume ngu ngu, mbe njue’ne te nga yi nsh she ne nga mbetpam nshie ngu.
23-00	Mgbeti mbete 23
23-00	Nshie mun nyutu ghet mfee ket fa’, ku sho’ fa’ shi, lo’te mgbete fa’ yue a pua yi ghapshe ngue ngue ne shire lem tuum pua yi nen manje ne nga shu ndem na.
23-01	Gu puen ghetket mfee ket nguenengue pee te nguenengue fa’ shi rane mi mbe.
23-02	Nshie nga fa’ ghet mfee ket pee a pe yetni mbit mbe yi shire ntuum mbe nshare’i pua ngur’i te wume yue a yune pua wume ndun mun nyutu na, nzishipe yi mbe nsham pa mebu’re te shimo’mmanje yieka a ntane na.
23-03	Nshie mun ghet mfee ket yi njup nda nshut tue’she see mbetpam pua shimo’ puen mbi pit njetne yi nyi te shire shue nda shut meshi’ tue’she see shi.
24-00	Mgbeti mbete 24
24-01	Nshie mun ghet mfee ket gbune nwet pua pa fone fu’ndem ntamme peket mgbete fu’ fa’ne ngab ngab’ue a pua yi pee te pe rap fu’ na.
25-00	Mgbeti mbete 25
25-00	Nshie mun pua ne mfee ket kwete ntu nte wume njetne a pe yi fu’she njap nwet, nshu mboker’i ne shi nguer’i, ntamme meshi’ njupayu, ma’shue’, nda nshu, yure shi, lane pe fa’ fet puen te la’, yue pe ghet shet nga shi na I ghet mfee ket puo-ghame nsa’ngu me yue i mbe shi fa’ na te ya na, ne kuluemshe na, te kuu na, te rene na ke te shi mo’ mbe yue ku wume sie puo’i, lo’te nkamket ngam’ue a ndi’ te ku ntu’i na.
25-01	Nda ve pua pon kpa’she nget mfee ket yi nkwete ghame ne mfere yue a pua shetti na. Gu pon, mbu pon njem na ngum nshin nguenengue tue’she pa te la’.
26-00	Mgbeti mbete 26
26-00	Nshie mun nyutu ghet mfee ket yu lere (kuu wupme). A na njit mi kuu wupme pe po ndem ndem, nkueshi yetne yi mbe yu lere me njieshi (pum yu lere) yue a pua meyue’ne mbit mbe nkpare’na. Njieshe yu lere pua po yitkeri. Yu lere ntu mbue ne yi yi fa’ na njit mi pe sam. mbe njit yup ndalerewa ngutngure me nsa’ne ne puen me mfu’ ku ngur’ap.
26-01	A na njit mi yu lere pe nsheene runket fu’she ntu nte mun nyutu ne suo ku yi mfa puo pa mfee ket mun nyutu ne mkpara’ fone ku ghet ngam. A na njit luere nju’ngam mumshe ne sun me fane ngu ngu ne gu lap lap tum tum ke nga nyinyi, shi lane tamkut te ngetne nga nda shut ngu ngu mbone, meshi’ shushu’ fueshe.
26-02	Pa mveve, te faku, ghetket mfee ket yi nsho’ nga yu lere yue pe yetne yi mfa ne pon pap na.
27-00	Mgbeti mbete 27
27-00	Nshie mun ghet mfee ket yi ngum fueshi tu wume ntuot mbone mun, yi nsee te pa ghere ntu mbue ne yi ndu’nga wuo nku su te yi yu ghere pua ngamboker’i.
27-01	Nshie mun ghet mfee ket yi kwete tue’she te see nga ntuot pua mbetpam tum te yu fu’she yi yi yu ghere, yi yi yu tuete ke yi yi yu ghere ntu mbue yue i ghet na.
28-00	Mgbeti mbete 28
28-01	Nshie mun ghet mfee ker’ue a mbe nsa’ lo’ te fane puen pua ngu ngu, mgbete ken kuka pa mfee ket pua ku ghetket ngam te yire yi nsa’ nga nju njetne yi mbe wumkeri ntuum na.
29-00	Mgbeti mbete 29
29-00	mun nyutu ghet kup kup mfa mfe ndun mbone mun na yue a li mi fone pua runket tamkut te ntu nte mi yetne yi mbe na.
29-01	Te rune pa mfee ker’i pua luum ntuum te kwete ku ghetket nga shi, nshie mun na mkpem nwor’i te ndut ndut ken meshi’ wume pua fa puo pa mfee ket pua ku ghet ngam ne monta a lo’ mfa pu ne ndu nga kuu wupme ngamboket, mgbete nga nsa’ngu ne nshuboket mbadem mun te ngu shutu.
29-02	A ma njetni mi shire pa mfee ket pua ku ghet ngam lo’ mbe mfa’ne pua gu pa sha’ne gu mgbete nsa’ ngam nda shut ngu ngu mbone.
30-00	Mgbeti mbete 30
30-01	Mo’ nshie me yue’ne lo’ te yire yi nsa’ ngam ma njetni suo ku nshie nsa’ ngu, lap lap puen ke ndi mun ne, ne yi nget nshie mfee ket te ghet pesa’kue yue pe fa a nye’re pa mfee ket puo ku ghetket ngam’ue pe ntanke ntuum ma.
