00-00	OPCA DEKLARACIJA O PRAVIMA COVJEKA
11-00	Clan 11.
11-01	Svako ko je optuzen za krivicno djelo ima pravo da se smatra nevinim dok se na temelju zakona krivnja ne dokaze na javnom pretresu na kojem je imao sva jamstva potrebna za svoju odbranu,
11-02	Niko se ne smije smatrati krivim za krivicno djelo na temelju bilo kakvog cina ili propusta koji nisu predstavljali krivicno djelo u smislu nacionalnog ili medunarodnog prava u vrijeme kada su oni bili pocinjeni. Isto tako ne smije se izricati teza kazna od one koja se mogla primjeniti kada je krivicno djelo pocinjeno.
12-00	Clan 12.
12-01	Niko na smije biti izvrgnut samovoljnom mijesanju u njegov privatni zivot, obitelj, dom ili prepisku, niti napadajima na njegovu cast i ugled. Svako ima pravo na zastitu zakona protiv ovakvom mijesanju ili napadu.
13-00	Clan 13.
13-01	Svako ima pravo na slobodu kretanja i stanovanja unutar granice svake drzave.
13-02	Svako ima pravo da napusti bilo koju zemlju, ukljucujuci svoju vlastitu i da se vrati u svoju zemlju.
14-00	Clan 14.
14-01	Svako ima pravo da trazi i uziva u drugim zemljama utociste pred progonima.
14-02	Na to se pravno ne moze pozivati u slucaju progona koji su zaista izazvani nepolitickim zlocinima ili djelima protivnim ciljevima i nacelima Ujedinjenih nacija.
15-00	Clan 15.
15-01	Svako ima pravo na drzavljanstvo.
15-02	Niko ne smije samovoljno biti lisen svojeg drzavljanstva niti mu se smije odreci pravo da promijeni svoje drzavljanstvo.
16-00	Clan 16.
16-01	Punoljetni muskarci i zene bez ikakvih ogranicenja u pogledu rase, drzavljanstva ili vjere, imaju pravo da sklope brak i da osnuju obitelj. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegova trajanja i prilikom njegova razvoda.
16-02	Brak se sklapa samo uz slobodan i potpun pristanak onih koji namjeravaju stupiti u brak.
16-03	Obitelj je prirodna i osnovna drustvena jedinica i ima pravo na zastitu drustva i drzave.
17-00	Clan 17.
17-01	Svako ima pravo da sam posjeduje imovinu, a isto tako da je posjeduje u zajednici s drugima.
17-02	Niko ne smije samovoljno biti lisen svoje imovine.
18-00	Clan 18.
18-01	Svako ima pravo na slobodu misli, savjesti i vjere; to pravo ukljucuje slobodu promijeniti svoju vjeru ili vjerovanje i slobodu da se, bilo pojedinacno ili u zajednici s drugima, javno ili privatno, ispoljava vjera ili vjerovanje ucenjem, vrsenjem, obredima i odrzavanjem.
19-00	Clan 19.
19-01	Svako ima pravo na slobodu misljenja i izrazavanja; ovo pravo ukljucuje slobodu misljenja bez tudeg misljenja a isto tako i trazenje, primanje i saopcavanje obavjestenja i ideja bilo kojim sredstvima i bez obzira na granice.
20-00	Clan 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruzivanja.
20-02	Niko ne moze biti primoran da pripada nekom udruzenju.
21-00	Clan 21.
21-01	Svako ima pravo da sudjeluje u upravi svoje zemlje, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svako ima pravo na jednak pristup javnim sluzbama u svojoj zemlji.
21-03	Volja naroda treba da bude osnova vladine vlasti; ta volja treba da se izrazava u povremenim i istinskim izborima, koji treba da se provode opcim i jednakim pravom glasa, tajnim glasanjem ili odgovarajucim postupcima slobodnog glasanja.
22-00	Clan 22.
22-01	Svako, kao clan drustva, ima pravo na socijalno osiguranje i pravo da ostvaruje ekonomska, socijalna i kulturna prava neophodna za svoje dostojanstvo i za razvoj svoje licnosti putem drzavne pomoci i medunarodne suradnje a u skladu s organizacijom i sredstvima svake drzave.
23-00	Clan 23.
23-01	Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravicne i povoljne uvjete rada i na zastitu od nezaposlenosti.
23-02	Svako, bez razlike, ima pravo na jednaku placu za jednaki rad.
23-03	Svako ko radi ima pravo na pravicnu i povoljnu naplatu koja njemu i njegovoj obitelji osigurava covjeka dostojni opstanak i koja se, po potrebi, dopunjuje drugim sredstvima socijalne zastite.
23-04	Svako ima pravo da radi zastite svojih interesa obrazuje sindikate i da stupa u njih.
24-00	Clan 24.
24-01	Svako ima pravo na odmor i dokolicu ukljucujuci razumno ogranicenje radnih sati i periodicne placene praznike.
25-00	Clan 25.
25-01	Svako ima pravo na zivotni standard koji odgovara zdravlju i dobrobiti njega samoga i njegove obitelji, ukljucujuci hranu, odjecu, stan i lijecnicku njegu i potrebne socijalne usluge, kao i pravo na osiguranje za slucaj nezaposlenosti, bolesti, nesposobnosti, udovista, starosti ili drugog pomanjkanja sredstava za zivot u prilikama koje su izvan njegove moci.
25-02	Majka i dijete imaju pravo na narocitu brigu i pomoc. Sva djeca, bilo rodena u braku ili izvan njega, treba da uzivaju istu socijalnu zastitu.
26-00	Clan 26.
26-01	Svako ima pravo na obrazovanje. Obrazovanje treba da bude besplatno, bar u osnovnim i nizim stupnjevima. Osnovno obrazovanje treba da bude obavezno. Tehnicko i strucno obrazovanje treba da bude opcenito pristupacno, a i vise obrazovanje treba takode da bude svima pristupacno na temelju sposobnosti.
26-02	Obrazovanje treba da bude usmjereno na puni razvitak ljudske licnosti i na ucvrscavanje postivanja covjekovih prava i osnovnih sloboda. Ono treba da unapreduje razumijevanje, snosljivost i prijateljstvo medju svim narodima, rasnim i vjerskim skupinama, i treba da unapreduje djelatnost Ujedinjenih nacija na odrzavanju mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vstu obrazovanja za svoju djecu.
27-00	Clan 27.
27-01	Svako ima pravo da slobodno sudjeluje u kulturnom zivotu zajednice, da uziva u umjetnosti i da ucestvuje u znanstvenom napretku i u njegovim koristima.
27-02	Svako ima pravo na zastitu moralnih i materijalnih interesa koji proisticu ma od kojeg znanstvenog, knjizevnog ili umjetnickog proizvoda kojemu je autor.
28-00	Clan 28.
28-01	Svako ima pravo na drustveni i medunarodni poredak u kojem prava i slobode izlozene u ovoj Deklaraciji mogu biti potpuno ostvarene.
29-00	Clan 29.
29-01	Svako ima obaveze prema zajednici iz koje je jedino moguce slobodno i puno razvijanje njegove licnosti.
29-02	U vrsenju svojih prava i sloboda svatko treba da bude podvrgnut samo onim ogranicenjima koja su odredena zakonom iskljucivo u cilju osiguranja duznog priznanja i postivanja prava i sloboda drugih i u cilju zadovoljenja pravicnih zahtjeva morala, javnog poretka i opceg blagostanja u demokratskom drustvu.
29-03	Ta prava i slobode ni u kojem slucaju ne mogu se primjenjivati protivno ciljevima i nacelima Ujedinjenih nacija.
30-00	Clan 30.
30-01	Nista se u ovoj Deklaraciji ne moze tumaciti kao pravo ma koje drzave, skupine ili osobe da sudjeluje u bilo kojoj djelatnosti ili da vrsi bilo kakvu djelatnost usmjerenu na unistavanje bilo kojih ovdje izlozenih prava i sloboda.
