00-00	Iru-dee yikowa-do ferii-dee fatima lizii
21-02	Teedi biya-dee wenbire soolim keena bedee boyuu teedi-dee keti-dee kabaaziya, tete too ila daciri-ciri wenki kiila kamaata balati fatima dama-ro bika bila deyi-deyi-daa yaa musire-daa yaa nibaani natiri tidamaana tina ne na wenbi bitebila tete deyi-deyi-daa waala kamaata kiwili wenbire soolim kim.
22-00	Wede 22
22-01	Iru baa weeni iwe iraa-daa ne wena yiko iraa wenba badaa iwe ne befere iroozi. Biila tilasi ibiizi iyuu ariziki, zamoo na taadewa dee yiko wenti tidamaana idee iruti ne na iditinga idee biizan-daa bode ; biiliina teedi-daa-dee kookari na idee duulinya-dee cowure bidamaana teedi-dee yikowa ne.
23-00	Wede 23
23-00	Binboozi iru baa weeni ila timere yaa iditinga ilizi idee timere deyi-deyi-daa kama bikala icoo bika timere feyi.
23-01	Bimoona baringa bowena feriti deyi-deyi a bigee baala timere bidakeena tarii.
23-02	Weeni iringa wanlam timere ne, biila tilasi iyuu feriti deyi-deyi nde wenbi bite bila ibeemi idee koobire deyi-deyi-daa ne yaa wenbi ringa binbiizi bifere boroozi ne.
23-03	Iru baa weeni wena yiko isuu bowude yaa isina bowude wenbi bite bila boyoo befere badi boroozi ne.
24-00	Wede 24
24-01	Iru baa weeni wena yiko iyuu feezire yaa amuuze yaa befere yi timere-dee leeri-dee feriti deyi-deyi nde yaa timere-daa-dee nibaawu suluu-dee yiko.
25-00	Wede 25
25-00	Iru baa weeni wena yiko idi bitalayi na bifere idee alaafiya-ro yaa idee alaafiya cowure ina igoobire wenbi biila bi kidiim yaa kusuudi yaa yaadoode yaa idee alaafiya beemi na idee zamoo-daa cowuu. Binboozi befere iroozi a bigee idoyuuta timere yaa kudom waagba-yi yaa igee madafiya yaa weeni ideelu yaa iwaalu waazi ne yaa weeni waala kuboni yaa weeni weebedi idee arisiki ne bidekeena izoolim.
25-01	Wenba bewe luruu-dee saati-daa ne na biya kumuwaa wena yiko basina we. Bu baa weeni baaluru-yi hiiye-daa yaa hiiye woro ne moona befere baringa boro.
26-00	Wede 26
26-00	Binboozi baa weeni icaa tilii. Tilii caadi waala tilasi kila faala. Baa tilii caadi ringa tala faala, biila tilasi biya kumuwaa dengi ila faala. Biya kumuwaa-dee wilii kee doole ge. izamusi-dee tilii caadi waala tilasi baa weeni ibo ila ki. Binboozi bu baa weeni ibiizi ibo lowu-lowu ngi a bigee weedi iyuu wenbi binboozi ne.
26-01	Tilii caadi waala tilasi bika kiyele baa weeni icoo duulinya-daa iyuu idi bika kiyele iraa ringa itili dama-dee yikowa-dee girima na bedee kezenbiidi tijaaree ne. Binboozi kisina wenbi bidamaana iraa-dee bangmati banii dama ne, na bedee dama cem, na nyooziti bidamaana teedi, bowudewa na adiiniwa-dee dama-daa suu na dudo kisina teedi-dee bowude baayaa de sisi Nations Unies ne-dee time-dee biiza-daa bode.
26-02	Caanaa wena yiko badu bebiya tilii caadi wenki bozoolee ne.
27-00	Wede 27
27-00	Iru baa weeni wena yiko ifu iraa wenba izoolee ne, idi bedee nuuzi timere-dee anfaaniwa, bika isina-we tilii kifati-dee caadi-daa na iyuu bidee anfaaniwa.
27-01	Baa weeni wena yiko beketi idee kpina na idee iruti-dee hakiwa bidamaana idee kpina kifala lam, na idee takaradawa waangmaa ne na idee nuuzi timere dudo.
28-00	Wede 28
28-01	Iru baa weeni wena yiko iyele bofu mara nyazi yikowa na kezenbiidi tiwe bowuti tina ti-daa ne bidamaana zamoo yaa duulinya ringa ne.
29-00	Wede 29
29-00	iru baa weeni wena wenbi biiboozi ila zamoo wenki ki-daa idee cere-cere kowe ne.
29-01	Biila tilasi idee yikowa-dee fuule na idee wannii niini na idee kezenbiidi, itili sisi bidomoona ifele teedi-dee mara kama baa weeni iyuu itili na ifa iraa-dee yikowa na kezenbiidi-dee girima. Na dudo, buduu ibiizi ifa teedi na iru baa weeni-dee cowure niini girima bidamaana zamoo wenki-daa baa weeni wena idi ne.
29-02	Bidomoona yikowa na kezenbiidi tim tiliina tindi na wenbi laadasi-dee bowude baayaa de sisi Nations Unies waangmaa basii isi banumnaa tiro ne.
30-00	Wede 30
30-01	Bidoboozi naaru ikeezi mara ana adee naburu nyazi wenbi bidamaana teedi yaa teedi kujuu dinaa yaa ila wenbi bite bunuudi yikowa yaa kezenbiidi-dee tom tiwe takarada kina ki-daa ne.
