00-00	PEUNYATAAN UMUM TEUNTANG HAK ASASI MANUSIA
01-00	Pasai 1
01-01	Bandum manusia lahee bebah merdeka deungon hak ngon martabat nyang sama. Ngon akai taseumikee, ngon atee tameurasa bandum geutanyoe lagee syedara.
02-00	Pasai 2
02-01	Tiep ureung na hak saban bandum bebah lam grak, bebah lam bicara meunan keuh dikheun lam Peunyataan Umum Peureulee that-that tapham wahee syedara Peunyataan PBB nyan hana keucualie rupa ngon hie, puteh ngon itam inong ngon agam, brok ngon tarie dipandang sahie uroe ngon malam.
02-02	Basa, agama, sukee ngon bangsa hana dipeubida, meunan cit sikap politek pangkat, hak milek, gasien ngon kaya dipandang seurupa, wahai pocut adek keududukan politek, hukom nangroe ureung sidroe-droe (merdeka, jajahan, atawa seuteungoh jajahan) hame ditilek dan disidek, hanjeut dihiroe duek bak sajan, dong pieh bak saban.
03-00	Pasai 3
03-01	Ureung droe-droe bak jameun jinoe hanjeut boh atoe keu ureung lingka kareuna na hak udeep droe di dalam donya hame tapeukarue wahee syeedara.
04-00	Pasai 4
04-01	Hana sidroe ureung bak jameun jinoe jeut boh atoe keu ureung lingka (tapeubudak, taprah, tajajah, tapeurugoe) buet nyan dilarang jinoe ngon teuma.
05-00	Pasai 5
05-01	Tan sidroe ureung patot tasiksa jeut tadeura peuturot palak atawa tahukom ban-ban na hawa atawa tahina ban-ban na galak.
06-00	Pasai 6
06-01	Tiep-tiep ureung cit na hak droe na hak meungakue di likeu hukom tapeulaku ureung nyan sebagoe pribadi dro hanjeut beurangsoe tapubuet kon-kon.
07-00	Pasai 7
07-01	Tiep ureung saban bak mata hukom salah ngon beuna ta kalon teuma tiep ureung na hak lindongan hukom tan na bida deungon laen manusia. Patot hai rakan tanyoe tapuphom hanjeut hai ampon tapeubida-bida jelaih nyan meuneuntang Peunyataan Umum Teuntang Hak-Hak Asasi Manusia.
08-00	Pasai 8
08-01	Tiep ureung na hak teurimong nyan le ureung carong dikheun “pemulihan efektif” dari nyang diseubut “pengadilan nasional yang kompeten” yakni keu seugala tindakan nyang meulangga “hak-hak fundamental” nyang dijok ke gob nyan le undang-undang dasa atawa hukom.
09-00	Pasai 9
09-01	Hana sidroe ureung hai cutwa inseun jeut ban seuwenang-wenang didrop ngon ditheun atawa diboh dipeuaseng di uteun di rimba atawa dengan laen cara nyang tak semeuna-meuna.
10-00	Pasai 10
10-01	Bandum ureung, hai teungku raja ateuh peuradilan na saban hak peuradilan nyang adee ngon teubuka lee peungadilan bebah hana meumihak.
11-00	Pasai 11
11-01	Barangasoe didakwa lee hukom hanjeut hai kaom tapeugah salah preh dilee peungadilan teubuka peugot putosan deungon jaminan jeulah peungadilan bebah.
11-02	Hana sidroe ureung jeut tapeusalah yoh goh jeulah meulangga hukom Seubab salah ngon beuna goh lom sah yoh goh diputoih lee tuanku hakim.
12-00	Pasai 12
12-01	Hukom nasional dan internasional pieh dipeugah hanjeut kheun salah watee buet nyan teujadi hanjeut peubeurat hukoman si salah dari nyang haroih teujadi hai teungku sidi.
13-00	Pasai 13
13-01	Tiep-tiep ureung na hak dijak hoe-hoe nyang galak bandum ureung na hak, hai cut adoe taduek lam bataih-bataih saboh nanggroe.
13-02	Tiep-tiep ureung nak hak droe pinah dari saboih nanggroe u laen nanggroe teumasok nanggroe jieh keudroe dan wo teuma u nanggro droe.
14-00	Pasai 14
14-01	Bandum ureung deungon niet droe na hak weh u rantoe mita suaka nyang keuh cara wahei samlakoe tapeuplueng droe dari hukom rimba.
14-02	Bek tapeusaban wahei nyak awan ngon peunjahat kon politek nyang dipeuplueng droe atawa buet ngon tindakan nyang meulawan dasa ngon tujuan PBB bunoe.
15-00	Pasai 15
15-01	Tiep ureung na hak maseng-maseng droe meugantoe nanggroe pat nyang suka meunan kheun PBB wahee pang nanggroe teuntang gantoe meugantoe warga neugara.
15-02	Hana barangsoe ban mangat asoe droe peubateu hak warga neugara ureung sidroe-droe atawa ban-ban galak peutulak hak ureung nyang meuganto warga neugara lagee pinah seung.
16-00	Pasai 16
16-01	Meunyoe ban bandum galak bok rambot hana lee lagot kuneng boh langsat meunyoe inong ngon agam umue jih ka cot beudoh hai rakan meukawen leugat agam atawa inong kana hak jih hak meunikah ngon meukeuluarga. Hak meukawen ngon meuchree pih hana pandang bangsa, warga neugara ngon agama.
16-02	Oreung nyang meukawen, hai puteh licen ta kheun mungken ngon pilihan droe lintoe ngon dara baroe peujatoh pilihan han jeut jitham lee barangsoe.
16-03	Ayah, ma ngon aneuk-aneuk, nyoe na meunan takheun, hai aneuk teungku di barat saboh keusatuan alamiah masyarakat nyang mendasa, bandum na lindongan dari negara ngon masyarakat.
17-00	Pasai 17
17-01	Na hak ateuh atra bagi tiep-tiep ureung sidroe-droe atawa beusama han jeut dipeukarue le sidroe-droe ureung.
17-02	Bandum geutanyoe bebah tapeumeugah peuteubit peundapat hansoe jeut ceugah informasi ngon asoe pikeran bebah ta mita bebah teurimong ngon tapeutrok tan bataih wilayah.
18-00	Pasai 18
18-01	Tiep ureung na hak, wahei nyak intan ateuh kebeubasan pikeran, agama ngon atee nuranie teumasok meuganto agama atawa kepeucayaan meunan keuh dipeupham lee Peunyataan Umum PBB supaya meusampo, wahee samlako ajaran nyan haroih tapeuaja, tapeubuet, tapeutaat, sidroe-droe atawa beusama, di likeu umum atawa sidroe-droe ngon beurangsoe.
19-00	Pasai 19
19-01	Bandum geutanyoe bebah tapeumeugah bebah tasanggah, bebah tapeunyoe hana sidroe ureung jit diceugah peu-peu nyang tapeugah ban saban uroe mita, teurimong ngon peutrok informasi dan asoe pikeran, pieh hanjeut soe tham pieh bebah tangeui tiep media hana batasan di dalam nanggroe atawa lua rantoe.
20-00	Pasai 20
20-01	Tanyoe pieh na hak meusapat-sapat ta peuduek rapat ta peugah haba hanjeut soe ceugah han jeut soe umpat hanjeut soe na tham ngon cara paksa.
20-02	Na hak bak tanyoe beudong kumpolan meukawan-kawan ikot peumilu han jeut soe paksa ikot kumpolan geutanyoe bebah that-that bak tameuikue.
21-00	Pasai 21
21-01	Ikot peumilu langsung ngon bebah pileh wakilah nyang tapeucaya bek salah pileh awak wakilah bacut meusalah pileh nyang buya.
21-02	Meunang ngon taloe kon masalah jujoe ngon ade paleng utama na hak taturot lam pameurintah meunyoe nyoe ceudah pimpen neugara.
21-03	Nyang hanjeut tatulak keuheundak rakyat lam bandum teumpat lam kuasa neugara keuheundak rakyat haruih peuteugah peundapat liwat peumilu nyang jujoe, adee, bebah, rahasia peumilu meuseuti murnie ngon teutap umum, seudeurajat, bebah ngon rahsia jeut cih ngon cara laen nyang sama mantap tapi nyang peunteng bebah ngon rahsia.
22-00	Pasai 22
22-01	Tiep ureung, seubagoe warga masyarakat na hak ateuh jaminan sosiai nyang utama oreung nyang paleng meukarat bek tok dimita hareukat deungon meugadee nyang bandum peureulee demi martabat droe sidroe pribadi nyang timoh bebah merdeka rot useuha-useuha lam nanggroe ngon lua rantoe nyang diuroih ngon sumber daya tiep neugara.
23-00	Pasai 23
23-01	Tiep ureung na hak ateuh buet useuha bebah dipileh peu nyang jieh suka jieh pieh na hak ateuh syarat-syarat buet nyang adee seureuta hak lindongan dari peunganggoran.
23-02	Tiep-tiep ureung, hai agam meutuah, hanjeut na diskriminasi dalam hai upah keu buet yang saban, beurat ngon ringan inong ngon agam hanjeut na bida.
23-03	Tiep ureung keureuja na hak keu upah nyang adee dan meu-untong, nyang ka jeulah nyang na jamenan udeep, nyang na martabat na lindongan sosiai, keu dro ngon keurabat.
23-04	Tiep ureung na hak peudong kumpolan dan tamong syarikat-syarikat seukeureuja nyang na nyan keuh cara peulindong droe dari kaom majikan nyang seuwenang-wenang.
24-00	Pasai 24
24-01	Ureung keureuja kon budak dolat nyang patoh bulat bak tuanku raja tanyo pieh na hak tameusyarikat keu tameumupakat ke seujahteura.
25-00	Pasai 25
25-01	Tiep ureung na hak ke tarap udeep jroh na jaminan keusehatan ke droe ngon aneuk binoe teumasok hak keu ie ngon bue, pakaian ngon rumoh keusejahteraan ngon jaminan sosiai haruih dihiroe jaminan pieh beuna ke awak menganggoe yang saket ngon cacat, trep ngon baroe nyang janda-janda ngon lanjot usia seureuta kaom nyang kureung beulanja.
25-02	Ma ngon aneuk bek meutangilang bak na beureujang rawatan ngon bantuan bandum aneuk, teumasok nyang lahee hareum jaminan sosiai neugara haroih na keu awak nyan.
26-00	Pasai 26
26-01	Hak tiep aneuk tamong sikula, wahee ya ayah nyang hana biaya, paleng ubit sikula rendah peundidikan reundah meuseuti peuwajib supaya tiep aneuk sikula teureutib. Peundidikan teukeunik ngon jurusan haroih jeulah haruih teupeuhah luah keu ureung lingka meunan cit lom peundidekan tenggi haroih cit keu ureung lingka sama seukali.
26-02	Peundidekan meuseuti peukeumang pribadi dan peukong peunghargaan hak asasi “Kebebesan fundamental” bek hana taturi bandum nyan saban peunteng lagee bue ngon ie.
26-03	Aneuk miet lagee ie biet ngon bue puteh suci murni lagee kertah goh teutuleh oreungtua, inong ngon agam, wajeb tapham awak nyan haroih dibimbeng watee pileh peundidekan.
27-00	Pasai 27
27-01	Nyoe na sikula oreung jeut ceudah carong dipeugah seugala rupa seubab nyan peureule na keubebasan peukeumang ileume ngon keubudayaan.
27-02	Nyang hana mudah ta cipta karya karya ileumee, seuni, sastra ngon budaya uleh seubab nyan peureule lindongan karya ilmiah, seuni, sasteura ngon budaya.
28-00	Pasai 28
28-01	Tiep-tiep ureung na hak ateuh saboih tatanan, sosia ngon internasiona, meunan bak tapham lam tatanan nyan, hak-hak dan keubebasan lam Peunyataan nyo, peureulee teulaksana peunoh bak sajan.
29-00	Pasai 29
29-01	Tiep-tiep ureung, hai bungong kareung na keuwajiban keu masyarakat luah masyarakat teumpat tiep-tiep ureung peukeumang keupribadian ngon hana batah.
29-02	Tiep-tiep ureung na hak ngon keubebasan lam tapeujalan, meunan peureulee takheun tiep ureung haruih tundok keu batasan-batasan yakni undang-undang ngon peuraturan tujuan undang-undang, taakue, tapeuhormat hak ngon keubebasan ureung laen, dan keu tapeujalan syarat-syarat nyang adee lam akhlak, keutertiban, dan keseujehteraan umum lam masyarakat demokratis.
29-03	Hak ngon kebebasan nyan, hai nyak bintang sama seukali hanjeut meuteuntang ngon tujuan dan prinsep-prinsep Peusyarikatan Bangsa-Bangsa.
30-00	Pasai 30
30-01	Han jeut na saboih dalam Peunyataan nyoe ta peusalah tafsee, hai bungong padee yakni meupeujok hak keu saboh neugara, keulompok atawa ureung si droe-droe. Yakni hak teulibat lam tiep keugiatan nyang meukeusud meupeurusak hak-hak ngon keubebasan nyang na dalam Peunyataan nyoe salah tafsee nyan hanjeut na beu ubee ujung padee.
