00-00	OJE KA K’ELA KODAH NOCE LE AA
25-00	Odudu ace lͻdah ko l’oyei ͻlam ni cika jͻ lafyiya lͻce meml’ogbehi genebece kͻce ti k’ipͻnu kunu, eg’ͻda le b’odule, ͻda oliye, ege ojeyi nyletu aman be k’ͻle ti kojikpei tͻkp’iye kOce, okplici kͻce ti gͻda ohoi ni cegba.
25-01	Ene omͻi tig ͻi wei gͻce duu go jei tuwa hͻhͻi ti go bi yuwa ͻtabͻ. Oi duu nee kwͻha ni ma lipu golekwu gOco aman kwee olekw gOco no cika lojei tuwa ti go kwula huwa jojinle.
26-00	OKA 26
26-00	Oce duu lͻdah go ginͻkpa ga jͻkpa. Okpa oje cika wa gehi, ͻwͻda nͻ nye fye gba okwaje gͻkpa oje cika wagehi gͻ ca wotila gͻce duu gͻ lokwaje gͻkpa oje ya ipu ginͻkpa. Okpa oje gͻbu cika wota jͻce duu ni dͻka go je gͻbu tei gabͻ nowu gunu jͻ.
26-01	Okpa oje ciko wͻda ni ce jͻce je gͻbu ipu ko jlakwei genebece ͻce meml’o jukpafyu jͻdah nͻce le abͻ kei-nu nya ti go labͻ lei-dj nͻce le aa. Okpa oje ca I ce lo jei kͻda je gͻbu, odjmabͻ hela ta meml’oyema ti ace ͻmpa, aman be k’edͻ gace ogbowoico ͻmpa, ͻ ke i ce jukͻlͻ g’United Nations ohigb’ͻgbͻtu ko yͻ ipu gece nya je gͻbu.
26-02	Aw’ada lͻdah gi jedͻ gͻkpa oje ni wei kai-wa ni ke lͻhii ko je luwa.
27-00	OKA 27
27-00	Odudu ace lͻdah ko lab’ipu ͻda atͻ gei kaje duu nͻ la, ͻwͻda nͻ h’ͻtu, gͻdah lile gukͻlͻ gabͻ duu nace gaje lͻ  byi hai ya.
27-01	Odudu ace lͻdah ko lei kw’aje aman be ipu gukOl’abͻ duu, kw’ije nͻce wo, kw’ͻkpa nͻce ta, ͻce ni w’ondu-nu aa lͻdah higbei k’ohili ni yipu kunu tig ͻda ni bi yekwu.
28-00	OKA 28
28-01	Ei onla yͻ jͻce duu, ipu gege nya nela kͻdah yi yabͻ kͻce ti go labͻ lei-dj kͻce ni yO ka lipu kͻkpa nya ilei kila ip’ace kece nya aa.
29-00	OKA 29
29-00	Odudu ace ciko lukͻlͻ eye aman be fy’oye nͻ bi abO yO ipu’ͻle nͻ la, hibi ipu goya lea, de no labͻ lei-dj kͻce meml’oje tijijinkpa genebece ͻce ilei gila ma.
29-01	Ipu kͻdah kabͻ-ͻce duu ne nͻ bi yO yͻda duu aa, gͻ bi ya tei kabͻ nͻdah kei kaje myla ta ko ya, ohigb’ͻgbͻtu meml’ojegͻbu gͻ yei gaje duu ti go ca ce j’olabͻ lei-dj gͻce ti gͻdah gabͻ gͻce lojima.
29-02	Ipu gͻdah gabͻ gͻce ni ka ne ti g’olabͻ lei-dj gͻce ni ka ne, ͻce duu gͻ byͻ yͻkͻlͻ ni gi by’ͻgbͻtu waje n no.
30-00	OKA 30
30-01	Olͻdah duu ipu gͻdah gabͻni je ka lipu gͻkpa ce jͻce duu n kwee igwu igwu gace duu n go bei gipu gͻda oya duu ni by’ͻda obya waje, aman gͻ byͻda duu n ikwei gͻdah gabͻ gei nu n.
