00-00	shijierenquanxuanyan
25-00	renrenyouquanxiangshouweiweichitabenrenhejiashudejiankanghefulisuoxudeshenghuoshuizhun, baokuoshiwu, yipian, zhufang, yiliaohebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, shougua, shuailaohuozaiqitabunengkongzhideqingkuangxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-01	muqinhertongyouquanxiangshoutebiezhaoyuanhexiezhu. 1qiertong, wulunhunshenghuofeihunsheng, douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-00	renrendouyoushoujiaoyudequanli, jiaoyuyingdangmianfei, zhishaozaichujihejibenjieduanyingruci. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-01	jiaoyudemudezaiwuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelejie, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-02	fumuduiqizinusuoyingshoudejiaoyudezhonglei, youyouxianxuanzedequanli. 
27-00	di27tiao
27-00	renrenyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-01	renrenduiyouwutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	renrenyouquanyaoqiu1zhongshehuideheguojidezhixu, zaizhezhongzhixuzhong, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-00	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhongtadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-01	renrenzaixingshitadequanliheziyoushi, zhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiwubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-02	zhexiequanliheziyoudexingshi, wulunzairenheqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	benxuanyanderenhetiaowen, budejieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingwei. 
