00-00	shijierenquanxuanyan
07-01	subetenorenha, fanoxianioitepingdengyashi, mata, ikanaruchabiemonashinifanopingdengnabaohuoshoukeruquanlioyousuru. subetenorenha, konoxuanyanniweifansuruikanaruchabieniduishitemo, mata, sonoyounachabieososonokasuikanaruxingweiniduishitemo, pingdengnabaohuoshoukeruquanlioyousuru. 
08-00	di8tiao
08-01	subetenorenha, xianfayouhafaluniyotteyueraretajibendequanlioqinhaisuruxingweiniduishi, quanxianoyousuruguoneicaipansuoniyoruxiaoguodenajiujioshoukeruquanlioyousuru. 
09-00	di9tiao
09-01	herenmo, hoshiimamanidaibu, jujin, youhazhuifangsarehen. 
10-00	di10tiao
10-01	subetenorenha, zijinoquanlijibiyiwubingbinizijiniduisuruxingshizerengajuedingsarerunidangtatte, dulinogongpingnacaipansuoniyorugongpingnagongkainoshenlioshoukerukotonitsuitewanquannipingdengnoquanlioyousuru. 
11-00	di11tiao
11-01	fanzuinosuzhuioshouketazheha, subete, zijinobianhunibiyaonasubetenobaozhangoyueraretagongkainocaipannioitefalunicongtteyouzuinolizhenggaarumadeha, wuzuitotuidingsareruquanlioyousuru. 
11-02	herenmo, shixingnoshiniguoneifayouhaguojifaniyorifanzuiogouchengshihenkattazuoweiyouhabuzuoweinotameniyouzuitosarehen. mata, fanzuigaxingwaretashinishiyongsareruxingfayorizhongixingfahakeserarehen. 
12-00	di12tiao
12-01	herenmo, zijinosishi, jiazu, jiatingmoshikuhatongxinniduishite, hoshiimamaniganshesare, youhamingyujibixinyongniduishitegongjioshoukehen. renhasubete, konoyounagansheyouhagongjiniduishitefanobaohuoshoukeruquanlioyousuru. 
13-00	di13tiao
13-01	subeterenha, geguonojingjieneinioiteziyouniyizhuanjibijuzhusuruquanlioyousuru. subeterenha, geguonojingjieneinioiteziyouniyizhuanjibijuzhusuruquanlioyousuru. 
13-02	subeterenha, ziguosonotaizurenoguosubeterenha, ziguosonotaizurenoguoomolichiquri, jibiziguoniguiruquanlioyousuru. omolichiquri, jibiziguoniguiruquanlioyousuru. 
14-00	di14tiao
14-01	subeterenha, pohaisakainobinanotaguoniqiume, katsu, koreotaguodexiangyousuruquanlioyousuru. 
14-02	konoquanliha, honmanifeizhengzhifanzuiyouhaguojilianhenomudejibiyuanzenifansuruxingweiomopparayuanyintosurusuzhuinochangheniha, caiyongdekihen. 
15-00	di15tiao
15-01	subeterenha, guojiomotsuquanlioyousuru. 
15-02	herenmo, hoshiimamanisonoguojioduoware, youhasonoguojiobiangengsuruquanliofourensarehen. 
16-00	di16tiao
16-01	chengniannonannuha, renzhong, guojiyouhazongjiaoniyoruikanaruzhixianomoshoukechengniannonannuha, renzhong, guojiyouhazongjiaoniyoruikanaruzhixianomoshoukehenhen, hunyinshi, , hunyinshi, katsujiatingotsukurukatsujiatingotsukuruquanlioyousuru. chengniannonannuha, hunyinzhongjibisonojiexiaonijishi, hunquanlioyousuru. chengniannonannuha, hunyinzhongjibisonojiexiaonijishi, hunyinniguanshipingdengnoquanlioyousuru. yinniguanshipingdengnoquanlioyousuru. 
16-02	hunyinha, hunyinnoyisioyousuruliangdangshizhenoziyoukatsuwanquannaheyiniyottenomichenglisuhunyinha, hunyinnoyisioyousuruliangdangshizhenoziyoukatsuwanquannaheyiniyottenomichenglisuru. ru. 
16-03	jiatingha, shehuinozirankatsujichudenajituandanweijiatingha, shehuinozirankatsujichudenajituandanweiyashiyashi, shehuijibiguonobaohuoshoukeruquanli, shehuijibiguonobaohuoshoukeruquanlioyousuru. oyousuru. 
17-00	di17tiao
17-01	subetenorenha, dandudeyouhatanozhetogongtongshitecaichanosuoyousuruquanlioyousuru. subetenorenha, dandudeyouhatanozhetogongtongshitecaichanosuoyousuruquanlioyousuru. 
17-02	herenmo, hoshiimamanizijinocaichanoduowareherenmo, hoshiimamanizijinocaichanoduowarehenhen. . 
18-00	di18tiao
18-01	subeterenha, sixiang, liangxinjibizongjiaonoziyouoxiangyousuruquanlioyousuru. konoquanliha, zongjiaoyouhaxinnianobiangengsuruziyoubingbinidandudeyouhatanozhetogongtongshite, gongdeniyouhasideni, bujiao, xingshi, libaijibiyishiniyottezongjiaoyouhaxinnianobiaomingsuruziyouohanmu. 
19-00	di19tiao
19-01	subeterenha, yijianjibibiaoxiannoziyouoxiangyousuruquanlioyousuru. konoquanliha, gansheoshoukehen, zijinoyijianomotsuziyoubingbiniarayurushouduanniyori, mata, guojingoyueerutofoutonikakawarihen, qingbaojibisixiangoqiume, shouke, jibichuaneruziyouohanmu. 
20-00	di20tiao
20-01	subeterenha, pinghedenajihuijibijieshenoziyouoxiangyousuruquanlioyousuru. 
20-02	herenmo, jieshenishusurukotooqiangzhisarehen. 
21-00	di21tiao
21-01	subeterenha, zhijieniyouhaziyounixuanchusaretadaibiaozheotongjite, ziguonozhengzhinicanyusuruquanlioyousuru. 
21-02	subeterenhaziguonioitehitoshikugongwunitsukuquanlioyousuru. 
21-03	renminnoyisiha, tongzhinoquanlinojichutonarana. konoyisiha, dingqinokatsuzhenzhengnaxuanjuniyottebiaomingsarena. konoxuanjuha, pingdengnoputongxuanjuniyorumonoyana, mata, mimitoupiaoyouhakoretotongdengnoziyougabaozhangsarerutoupiaoshouxuniyottexingwarena. 
22-00	di22tiao
22-01	subeterenha, shehuino1yuantoshite, shehuibaozhangoshoukeruquanlioyoushi, katsu, guojiadenulijibiguojidexieliniyori, mata, geguonozuzhijibiziyuanniyingjite, zijinozunyantozijinorengenoziyounafazhantoniqiankehenjingjide, shehuidejibiwenhuadequanlinoshixianniduisuruquanlioyousuru. 
23-00	di23tiao
23-01	subeterenha, laodongshi, zhiyeoziyounixuanzeshi, gongpingkatsuyoulinalaodongtiaojianoquebaoshi, subeterenha, laodongshi, zhiyeoziyounixuanzeshi, gongpingkatsuyoulinalaodongtiaojianoquebaoshi, jibishiyeniduisurubaohuoshoukeruquanlioyousuru. jibishiyeniduisurubaohuoshoukeruquanlioyousuru. 
23-02	subeterenha, ikanaruchabieomoshoukesubeterenha, ikanaruchabieomoshoukehenhen, tongdengnolaodongniduishi, tongdengnobaochouoshouke, tongdengnolaodongniduishi, tongdengnobaochouoshoukeruquanlioyousuru. ruquanlioyousuru. 
23-03	laodongsuruzheha, subete, zijijibijiazuniduishiterenjiannozunyannifusawashiishenghuoobaolaodongsuruzheha, subete, zijijibijiazuniduishiterenjiannozunyannifusawashiishenghuoobaozhangsurugongpingkatsuyoulinabaochouoshouke, katsu, biyaonachangheniha, tanoshehuidebaohushouduanzhangsurugongpingkatsuyoulinabaochouoshouke, katsu, biyaonachangheniha, tanoshehuidebaohushouduanniyottebuchongoshoukeruniyottebuchongoshoukerukotogadekiru. kotogadekiru. 
23-04	subeterenha, zijinoliyiobaohusurutamenilaodongzuheozuzhishi, jibikorenijiarususubeterenha, zijinoliyiobaohusurutamenilaodongzuheozuzhishi, jibikorenijiarusuruquanlioyousuru. ruquanlioyousuru. 
24-00	di24tiao
24-01	subeterenha, laodongshijiannohelidenazhixianjibidingqidenayougeixiuxiaohanmuxiuxijibiyuxiaomotsuquanlioyousuru. 
25-00	di25tiao
25-01	subeterenha, yishizhu, yiliaojibibiyaonashehuideshishedengniyori, zijijibijiazunojiankangsubeterenha, yishizhu, yiliaojibibiyaonashehuideshishedengniyori, zijijibijiazunojiankangjibifuzhini10fennashenghuoshuizhunobaochisuruquanlibingbinishiye, jibing, xinshenzhanghai, peiouzhejibifuzhini10fennashenghuoshuizhunobaochisuruquanlibingbinishiye, jibing, xinshenzhanghai, peiouzhenosiwang, laolingsonotabukekangliniyorunosiwang, laolingsonotabukekangliniyorushengkirarehenshengkirarehenchangheha, baozhangoshoukeruquanlioyouchangheha, baozhangoshoukeruquanlioyousuru. suru. 
25-02	mutozitoha, tebienobaohujibiyuanzhuoshoukeruquanlioyousuru. subemutozitoha, tebienobaohujibiyuanzhuoshoukeruquanlioyousuru. subetenoertenoertongha, dichutongha, dichudearutofoutoowenwadearutofoutoowenwahenhen, tongjishehuidebaohuoxiangyousuru. , tongjishehuidebaohuoxiangyousuru. 
26-00	di26tiao
26-01	subeterenha, jiaoyuoshoukeruquanlioyousuru. jiaoyuha, subeterenha, jiaoyuoshoukeruquanlioyousuru. jiaoyuha, semetesemetechudengnojibijichudenoduanchudengnojibijichudenoduanjienioiteha, wuchangjienioiteha, wuchangyanayana. chudengjiaoyuha, yiwude. chudengjiaoyuha, yiwudeyanayana. jishujiaoyujibizhiyejiaoyuha, . jishujiaoyujibizhiyejiaoyuha, 1banniliyongdekirumo1banniliyongdekirumoyanayana, mata, gaodengjiaoyuha, nengliniyingji, subetenozhenihitoshi, mata, gaodengjiaoyuha, nengliniyingji, subetenozhenihitoshikukaifangsareteikukaifangsareteinana. 
26-02	jiaoyuha, rengenowanquannafazhanbingbinirenquanjibijibendeziyounozunzhongnojiaokeomudetoshijiaoyuha, rengenowanquannafazhanbingbinirenquanjibijibendeziyounozunzhongnojiaokeomudetoshinana. . jiaoyuha, subetenoguoyouharenzhongdemoshikuhazongjiaodejituannoxianghujiannolijie, kuanrongjibiyoujiaoyuha, subetenoguoyouharenzhongdemoshikuhazongjiaodejituannoxianghujiannolijie, kuanrongjibiyouhaoguanxiozengjinshi, katsu, pinghenoweichinotame, guojilianhehaoguanxiozengjinshi, katsu, pinghenoweichinotame, guojilianhenohuodongocujinsurumononohuodongocujinsurumonoyanayana. . 
26-03	qinha, ziniyuerujiaoyunozhongleioxuanzesuruyouxiandequanlioyousuru. qinha, ziniyuerujiaoyunozhongleioxuanzesuruyouxiandequanlioyousuru. 
27-00	di27tiao
27-01	subeterenha, ziyounishehuinowenhuashenghuonicanjiashi, yunshuojianshangshi, jibikexuenojinbutosubeterenha, ziyounishehuinowenhuashenghuonicanjiashi, yunshuojianshangshi, jibikexuenojinbutosonoenhuitoniazukaruquanlioyousuru. sonoenhuitoniazukaruquanlioyousuru. 
27-02	subeterenha, sonochuangzuoshitakexuede, wenxuedeyouhameishudezuopinsubeterenha, sonochuangzuoshitakexuede, wenxuedeyouhameishudezuopinsakaisakaishengzurujingshendejishengzurujingshendejibiwuzhideliyiobaohusareruquanlioyousuru. biwuzhideliyiobaohusareruquanlioyousuru. 
28-00	di28tiao
28-01	subeterenha, konoxuanyannijiegeruquanlijibiziyougawanquannishixiansarerushehuidejibiguojidezhixuniduisuruquanlioyousuru. 
29-00	di29tiao
29-01	subeterenha, sonorengenoziyoukatsuwanquannafazhangasosubeterenha, sonorengenoziyoukatsuwanquannafazhangasonozhongniatsutenomikenengdearushenozhongniatsutenomikenengdearushehuiniduishiteyiwuofuu. huiniduishiteyiwuofuu. 
29-02	subeterenha, zijinoquanlijibiziyouoxingshisurunidangtatsuteha, tarennoquanlijibishiyousubeterenha, zijinoquanlijibiziyouoxingshisurunidangtatsuteha, tarennoquanlijibishiyounozhengdangnachengrenjibizunzhongobaozhangsurunozhengdangnachengrenjibizunzhongobaozhangsurukotobingbiniminzhudeshehuiniokotobingbiniminzhudeshehuiniokekerudaode, gongnozhixurudaode, gongnozhixujibi1bannofuzhinozhengdangnayaoqiuomantasukotoomopparamudetoshitefaluniyottedingjibi1bannofuzhinozhengdangnayaoqiuomantasukotoomopparamudetoshitefaluniyottedingmeraretazhixianninomifusuru. meraretazhixianninomifusuru. 
29-03	koreranoquanlijibiziyouha, ikanaruchanghenimo, guojilianhenomudejibiyuanzenifanshitekoreranoquanlijibiziyouha, ikanaruchanghenimo, guojilianhenomudejibiyuanzenifanshitexingshishitehanaraxingshishitehanarahenhen. . 
30-00	di30tiao
30-01	konoxuanyannoikanaruguidingmo, izurekanoguo, jituanyouhagerenniduishite, konoxuanyannijiegeruquanlijibiziyounopohuaiomudetosuruhuodongnicongshishi, youhasonoyounamudeoyousuruxingweioxinguquanliorenmerumonotojieshishitehanarahen. 
