00-00	Inimoiguste uelddeklaratsioon
18-00	Artikkel 18.
18-01	Igal inimesel on oigus motte-, suedametunnistuse ja usuvabadusele; see oigus kaetkeb vabadust oma usku voi veendumusi muuta, samuti vabadust vabalt kuulutuada oma usku voi veendumusi nii ueksikult kui ka koos teistega avalikult voi eraviisiliselt opetuse, jumalateenistuse ja religioossete ning rituaalsete kombetalituste kaudu.
19-00	Artikkel 19.
19-01	Igal inimesel on oigus veendumuste vabadusele ja nende veendumuste vabalt avaldamisele; see oigus kaetkeb vabadust takistamatult oma veendumustest kinni pidada ja vabadust informatsiooni ja ideid otsida, saada ja levitada igasuguste abinoudega ja riigipiirist soltumata.
20-00	Artikkel 20.
20-00	Igal inimesel on oigus rahumeelse kogunemise ja liitumise vabadusele.
20-01	Kedagi ei voi sundida uekskoik millisesse assotsiatsiooni astuma.
21-00	Artikkel 21.
21-00	Igal inimesel on oigus kas vahetult voi siis vabalt valitud esindajate kaudu oma maa valitsemisest osa votta.
21-01	Igal inimesel on oigus vordsele paeaesule oma maa riigiteenistusse.
21-02	Valitsuse voimu aluseks peab olema rahava tahe; see tahe peab vaeljenduma perioodislistes ja voltsimata valimistes, mis tuleb laebi viia ueldise ja vordse valimisoiguse alusel salajase haeaeletamise teel voi teistes samataehenduslikes vormides, mis tagavad haeaeletamise vabaduse.
22-00	Artikkel 22.
22-01	Igal inimesel kui ka uehiskonna liikmel on oigus sotsiaalsele kindlustatusele ja tema vaeaerikuse saeilitamiseks ning tema isiksuse vabaks arenemiseks vajalike oiguste teostamisele majanduslikul, sotsiaalsel ja kultuuri alal rahvuslike joupingutustega ja rahvusvaheli koostoeoe kaudu ning vastavalt iga riigi struktuurile ja vahenditele.
23-00	Artikkel 23.
23-00	Igal inimesel on oigus toeoele, toeoe vabale valikule, oiglastele ja soodsatele toeoetingimustele ning kaitsele toeoepuuduse eest.
23-01	Igal inimesel on ilma igasuguse diskrimineerimiseta vordsele tasule vordse toeoe eest.
23-02	Igal toeoetajal on oigus oiglasele ja rahuldavale tasule, mis tagab inimvaeaerilise elatuse temale endale ja ta perekonnale ja mida vajaduse korral taeiendatakse sotsiaalkindlustuse teiste vahenditega.
23-03	Igal inimesel on oigus on luua ametuehinguid ja oma huvide kaitseks ametuehingutesse astuda.
24-00	Artikkel 24.
24-01	Igal inimesel on oigus puhkeajale ja vaba aja veetmisele, kaasa arvatud toeoepaeeva moistlik luehendamine ja tasutav perioodiline puhkus.
25-00	Artikkel 25.
25-00	Igal inimesel on oigus sellisele elatustasemele, sealhulgas toit, riietus, korter, arstiabi ja vajalik sotsiaalne teenindamine, mis on noutav tema enda ja perekonna tervise ja heaolu hoidmiseks, ja oigus kindlustatusele toeoepuuduse, haiguse, invaliidsuse, lesestumise ja vanaduse saabumise korral voi monel muul elatusvahenditest ilmajaeaemise juhul inimestest endast olenemata pohjustel.
25-01	Emadus ja vaeikelapseiga annavad oiguse erilisele hooldusele ja abile. Koigile lastele, olgu nad siis suendinud abielus voi vaeljaspool abielu, peab osaks saama uehesugune sotsiaalne kaitse.
26-00	Artikkel 26.
26-00	Igal inimesel on oigus haridusele. Haridus peab olema tasuta vaehemalt alg- ja ueldhariduse osas. Algharidus peab olema kohustuslik. Tehniline ja kutseharidus peab olema kaettesaadav koigile ja korgem haridus vordselt kaettesaadav koigile vastavalt igauehe voimetele.
26-01	Haridus peab olema suunatud inimisiksuse taeielikule arendamisele ja inimoigustest ning pohivabadustest lugupidamise suurendamisele. Haridus peab kaasa aitama vastastikusele moistmisele, sallivusele ja soprusele koigi rahavaste, rassilise ja usuliste ruehmituste vahel ning soodustama Uehinenud Rahvaste Organisatsiooni tegevust rahu saeilitamisel.
26-02	Vanematel on oma laste hariduse valikul eesoigus.
27-00	Artikkel 27.
27-00	Igal inimesel on oigus uehiskonna kultuurielust vabalt osa votta, kunsti nautida, teaduse progressi oma panus anda ja selle progressi huevesid kasutada.
27-01	Igal inimesle on oigus oma moraalsete ja materiaalsete huvide kaitsele, mis johtuvad teaduslikest toeoedest, kunsti- ja kirjandusteostest, mille autoriks ta on.
28-00	Artikkel 28.
28-01	Igal inimesle on oigus sotsiaalsele ja rahvusvahelisele korraldusele, kus kaeesolevas deklaratsioonis toodud oigusi ja vabadusi on voimalik taeies ulatuses rakendada.
29-00	Artikkel 29.
29-00	Igal inimesel on kohustused uehiskonna ees, kus ainuueksi ongi voimalik tema isiksuse vaba ja taeielik arenemine.
29-01	Oma oiguste ja vabaduste teostamisel peab iga inimene alluma vaid sellistele piiramistele, mis on seadusega kehtestatud ainsa eesmaergiga tagada teiste inimeste oiguste ja vabaduste tarvilik tunnustamine ja austamine ning moraalist, avalikust korrast ja ueldise heaolu nouetest kinnipidamine demokraatlikus uehiskonnas.
29-02	Nende oiguste ja vabaduste rakendamine ei voi mingil juhul olla vastuolus Uehinenud Rahvaste Organisatsiooni eesmaerkide ja pohimotetega.
30-00	Artikkel 30.
30-01	Kaeesolevas deklaratsioonis ei tohi midagi tolgendada kui oiguse andmist monele riigile, isikute ruehmale voi ueksikisikutele tegutsemiseks voi tegudeks, mis on suunatud kaesolevas deklaratsioonis toodud oiguste ja vabaduste kaotamisele.
