00-00	OPCA DEKLARACIJA O PRAVIMA COVJEKA
05-01	Nitko ne smije biti podvrgnut mucenju ili okrutnom, necovjecnom ili ponizavajucem postupku ili kaznjavanju.
06-00	CLANAK 6.
06-01	Svatko ima pravo da se svagdje pred zakonom priznaje kao osoba.
07-00	CLANAK 7.
07-01	Svi su pred zakonom jednaki i imaju pravo, bez ikakve diskriminacije, na jednaku zastitu zakona. Svi imaju pravo na jednaku zastitu protiv bilo kakve diskrimininacije kojom se krsi ova Deklaracija i protiv svakog poticanja na takvu diskriminaciju.
08-00	CLANAK 8.
08-01	Svatko ima pravo na djelotvorna pravna sredstva putem nadleznih nacionalnih sudova zbog djela kojima se krse osnovna prava koja mu pripadaju temeljem ustava i zakona.
09-00	CLANAK 9.
09-01	Nitko ne smije biti podvrgnut samovoljnom uhicenju, zatvoru ili izgonu.
10-00	CLANAK 10.
10-01	Svatko ima pravo da ga u punoj jednakosti posteno i javno saslusa neovisan i nepristran sud radi utvrdivanja njegovih prava i obveza i bilo kakve kaznene optuzbe protiv njega.
11-00	CLANAK 11.
11-01	Svatko optuzen za kazneno djelo ima pravo da se smatra nevinim dok se na osnovi zakona krivnja ne dokaze na javnoj raspravi na kojoj je imao sva jamstva potrebna za svoju obranu.
11-02	Nitko se ne smije smatrati krivim za kazneno djelo na osnovi bilo kakvog cina ili propusta koji nisu bili kazneno djelo prema nacionalnom ili medunarodnom pravu u vrijeme kada su bili pocinjeni. Isto tako ne smije se izricati teza kazna od one koja se mogla primijeniti kada je kazneno djelo pocinjeno.
12-00	CLANAK 12.
12-01	Nitko ne smije biti izvrgnut samovoljnom mijesanju u svoj privatni zivot, obitelj, dom ili dopisivanje, niti napadajima na svoju cast i ugled. Svatko ima pravo na zastitu zakona protiv takvog mijesanja ili napada.
13-00	CLANAK 13.
13-01	Svatko ima pravo na slobodu kretanja i stanovanja unutar granica svake drzave.
13-02	Svatko ima pravo napustiti bilo koju zemlju, ukljucujuci svoju vlastitu, i vratiti se u svoju zemlju.
14-00	CLANAK 14.
14-01	Svatko ima pravo traziti i uzivati u drugim zemljama utociste pred progonima.
14-02	Na to se pravo ne moze pozivati u slucaju progona koji su izazvani nepolitickim zlocinima ili djelima protivnima ciljevima i nacelima Ujedinjenih naroda.
15-00	CLANAK 15.
15-01	Svatko ima pravo na drzavljanstvo.
15-02	Nitko ne smije samovoljno biti lisen svoga drzavljanstva niti mu se smije odreci pravo da promijeni svoje drzavljanstvo.
16-00	CLANAK 16.
16-01	Punoljetni muskarci i zene, bez ikakvih ogranicenja u pogledu rase, drzavljanstva ili vjere, imaju pravo sklopiti brak i osnovati obitelj. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegova trajanja i prilikom njegova razvoda.
16-02	Brak se sklapa samo uz slobodan i potpun pristanak onih koji namjeravaju stupiti u brak.
16-03	Obitelj je prirodna i osnovna drustvena jedinica i ima pravo na zastitu drustva i drzave.
17-00	CLANAK 17.
17-01	Svatko ima pravo da sam posjeduje imovinu, a isto tako da je posjeduje u zajednici s drugima.
17-02	Nitko ne smije samovoljno biti lisen svoje imovine.
18-00	CLANAK 18.
18-01	Svatko ima pravo na slobodu misli, savjesti i vjere; to pravo ukljucuje slobodu da promijeni svoju vjeru ili vjerovanje i slobodu da, bilo pojedinacno ili zajedno s drugima, javno ili privatno, ocituje vjeru ili vjerovanje ucenjem, prakticnim vrsenjem, obredima i odrzavanjem.
19-00	CLANAK 19.
19-01	Svatko ima pravo na slobodu misljenja i izrazavanja; ovo pravo ukljucuje slobodu misljenja, bez tudeg mijesanja, a isto tako i trazenje, primanje i priopcavanje obavijesti i ideja bilo kojim sredstvima i bez obzira na granice.
20-00	CLANAK 20.
20-01	Svatko ima pravo na slobodu mirnog okupljanja i udruzivanja.
20-02	Nitko ne moze biti primoran pripadati nekom udruzenju.
21-00	CLANAK 21.
21-01	Svatko ima pravo sudjelovati u upravi svoje zemlje, neposredno ili preko slobodno izabranih predstavnika.
21-02	Svatko ima pravo na jednak pristup javnim sluzbama u svojoj zemlji.
21-03	Volja naroda treba da bude osnova drzavne vlasti; ta se volja mora izrazavati povremenim i slobodnim izborima, uz opce i jednako pravo glasa, tajnim glasovanjem ili odgovarajucim postupcima slobodnog glasovanja.
22-00	CLANAK 22.
22-01	Svatko, kao clan drustva, ima pravo na socijalno osiguranje i pravo ostvarivati gospodarska, socijalna i kulturna prava potrebna za svoje dostojanstvo i za razvoj svoje osobnosti putem drzavne pomoci i medunarodne suradnje, a u skladu s organizacijom i sredstvima svake drzave.
23-00	CLANAK 23.
23-01	Svatko ima pravo na rad, na slobodan izbor zaposlenja, na pravicne i povoljne uvjete rada i na zastitu od nezaposlenosti.
23-02	Svatko bez razlike ima pravo na jednaku placu za jednaki rad.
23-03	Svatko tko radi ima pravo na pravicnu i povoljnu placu koja njemu i njegovoj obitelji osigurava covjeka dostojni opstanak i koja se, po potrebi, dopunjuje drugim sredstvima socijalne zastite.
23-04	Svatko ima pravo radi zastite svojih interesa osnivati sindikate i stupati u njih.
24-00	CLANAK 24.
24-01	Svatko ima pravo na odmor i dokolicu, ukljucujuci razumno ogranicenje radnih sati i periodicne placene dopuste.
25-00	CLANAK 25.
25-01	Svatko ima pravo na zivotni standard koji odgovara zdravlju i dobrobiti njega samoga i njegove obitelji, ukljucujuci hranu, odjecu, stan i lijecnicku njegu, te potrebne socijalne usluge, kao i pravo na osiguranje u slucaju nezaposlenosti, bolesti, nesposobnosti, udovistva, starosti ili drugog pomanjkanja sredstava za zivot u prilikama koje su izvan njegove moci.
25-02	Majka i dijete imaju pravo na posebnu skrb i pomoc. Sva djeca, rodena bilo u braku ili izvan njega, moraju uzivati istu socijalnu zastitu.
26-00	CLANAK 26.
26-01	Svatko ima pravo na obrazovanje. Obrazovanje mora biti besplatno, bar u osnovnim i nizim stupnjevima. Osnovno obrazovanje mora biti obvezatno. Tehnicko i strucno obrazovanje mora biti opcenito pristupacno, a vise obrazovanje takoder mora biti pristupacno svima na osnovi sposobnosti.
26-02	Obrazovanje mora biti usmjereno punom razvitku ljudske osobe i na ucvrscenje postovanja covjekovih prava i osnovnih sloboda. Ono mora unapredivati razumijevanje, snosljivost i prijateljstvo medu svim narodima, rasnim i vjerskim skupinama i mora unapredivati djelatnost Ujedinjenih naroda na odrzanju mira.
26-03	Roditelji imaju prvenstveno pravo birati vrstu obrazovanja za svoju djecu.
27-00	CLANAK 27.
27-01	Svatko ima pravo slobodno sudjelovati u kulturnom zivotu zajednice, uzivati u umjetnosti i sudjelovati u znanstvenom napretku i u njegovim koristima.
27-02	Svatko ima pravo na zastitu moralnih i materijalnih interesa koji proistjecu od ma kojeg znanstvenog, knjizevnog ili umjetnickog djela kojemu je autor.
28-00	CLANAK 28.
28-01	Svatko ima pravo na drustveni i medunarodni poredak u kojem prava i slobode navedeni u ovoj Deklaraciji mogu biti potpuno ostvareni.
29-00	CLANAK 29.
29-01	Svatko ima obveze prema zajednici iz koje je jedino moguce slobodno i puno razvijanje njegove osobnosti.
29-02	U izvrsavanju svojih prava i sloboda svatko mora biti podvrgnut samo ogranicenjima odredenima zakonom iskljucivo radi osiguranja duznog priznanja i postovanja prava i sloboda drugih i radi zadovoljenja pravicnih zahtjeva morala, javnog poretka i opceg blagostanja u demokratskom drustvu.
29-03	Ta prava i slobode ni u kojem se slucaju ne mogu primjenjivati protivno ciljevima i nacelima Ujedinjenih naroda.
30-00	CLANAK 30.
30-01	Nista se u ovoj Deklaraciji ne moze tumaciti kao pravo ma koje drzave, skupine ili osobe da sudjeluje bilo u kojoj djelatnosti ili da cini bilo kakvu radnju usmjerenu unistenju bilo kojih ovdje navedenih prava i sloboda.
