00-00	DECLARATSIA UNIVERSALA TI-NDREPTURLI-A OMLUI
04-01	Cana nu poati s-hiba tsanut tu sclavilji ica supuniri: sclaviljea shi comertslu cu sclavi s-azaptaseashti tu tuti formili.
05-00	Articlul 5
05-01	Cana nu lipseashti s-hiba loat la pidipseari ica la comportari ninjilaoasa, niumineasca shi-arshionasa ica la ghizai.
06-00	Articlul 6
06-01	Cafi un ari-ndreptu pisti tut s-hiba pricanascut ca un subiectu juridic.
07-00	Articlul 7
07-01	Tuts suntu egalji dininti-a nomlui shi au andreptu, fara cana soi di discriminari, la egala apurari-a nomlui.
08-00	Articlul 8
08-01	Cafi un ari-ndreptu ca tribunalili natsionali efectiv s-lu-apura di frandzearea-a-ndrepturlor fundamentali cari lj-suntu pricanascuti cu constitutsia shi nomurli.
09-00	Articlul 9
09-01	Cana nu poati dupa vrearea-a varnului s-hiba ancljis, detsanut, niti avinat.
10-00	Articlul 10
10-01	Cafi un ari-ndreptul egal didip la giudicarea-ndreapta shi publica dininti-a tribunalui independent shi obiectiv cari va s-detsida ti-ndrepturli-a lui shi obligatsiili sh-ti orighina-a cafi unlui act criminal tsi-lji si aruca-a lui.
11-00	Articlul 11
11-00	Cafi un acuzat ti act criminal ari-ndreptur s-hiba lugurist ca nu-i cabati pana tsi pi bazaa nomlui, cabatea nu s-confirma la un protses public la cari lj-suntu asigurati tuti garantsii lipsiti ti apurarea-a lui.
11-01	Cana nu poati s-hiba giudicat ti acti ica omisiunji cari nu fac act criminal dupa-ndreptul natsional ica internatsional tu chirolu candu suntu fapti. Tut ashi nu poati s-hiba curmata ma greaua ghizai di atsea cari putea s-hiba aplicata tu chirolu candu-i faptu actlu criminal.
12-00	Articlul 12
12-01	Cana nu poati s-hiba dupa vrearea-a altului loat la minteari tu bana-lji particulara, taifa, casa ica corespondentsia nitsi la agudeari pi tinjiea shi namuzea. Cafi un ari-ndreptu la apurari di nomlu contra-a ahtariljei minteari ica agudeari.
13-00	Articlul 13
13-00	Cafi un ari-ndreptul la libertati di minari shi alidzeari-a loclui ti mincheani tu sinurli-a unlui stat.
13-01	Cafi un ari-ndreptul s-fuga dit cari tsi s-hiba stat, inclusiv shi-a lui, shi sh-si toarna tu statlu-a lui.
14-00	Articlul 14
14-00	Cafi un di avinatslji ari-ndreptul s-cafta shi sh-si harseasca di azil tu altili stati.
14-01	La-ndreptul aestu cana nu poati s-apeleadza tu cazlu candu avinarea easti bazata pi un act criminal di natura nipolitica ica protsedura contra-a scopurlor shi printsipiilor a Natsiunilor Uniti.
15-00	Articlul 15
15-00	Cafi un ari-ndreptul la una tsitatsenii.
15-01	Cana nu poati dupa vrearea-a altului s-hiba alasat fara tsitatsenii nitsi fara di-ndreptul ca s-u alaxeasca tsitatsenia.
16-00	Articlul 16
16-00	Barbatslji majori shi muljeri fara cana soi di limitari di punctul di rasa, tsitatsenia ica pisti, au andreptul s-intra tu caruna shi s-faca taifa. Elji suntu egalji la intrarea tu caruna, tut chirolu pana dutsi caruna shi la aspardzearea-a ljei.
16-01	Caruna poati s-faca cu libera shi completa cailachi-a inshilor cari intra tu caruna.
16-02	Taifa easti nucleulu natural shi fundamental a sotsietatiljiei shi ari-ndreptul la afireari di partea-a sotsietatiljei shi-a statlui.
17-00	Articlul 17
17-00	Cafi un ari-ndreptu s-aiba aveari, singur, ma sh-deadun cu altsa.
17-01	Cana nu poati dupa vrearea-a altului s-hiba alasat fara di aveari.
18-00	Articlul 18
18-01	Cafi un ari-ndreptul la libertatea-a mindueariljei,a sinidisiljei shi-a pistiljei; andreptul aestu u includi shi alaxeaarea-a pistiljei shi-a caidiiljei shi libertatea ca omlu singur ica-n comunitati cu altsalji, public ica particular shi-u manifesteadza pistea ica caidiea pi calea di-nvitsatura, practicari-a pistiljei shi sh-li faca aradzli.
19-00	Articlul 19
19-01	Cafi un ari-ndreptu lalibertatea sh-mindueasca shi s-exprima, tsi luacatsa shi-ndreptul s-nu hiba cartit ti minduearea-lji, ma shi-ndriptatea ca s-cafta, s-aproachi shi s-tinda informatsii shi idei cu cari tsi s-hiba instrumenti shi independent di sinurli.
20-00	Articlul 20
20-00	Cafi un ari-ndreptu shi libertatea la fronima adunari shi uneari.
20-01	Cana nu poati s-hiba pimtu zorlea s-pricada la vara asotsiatsii.
21-00	Articlul 21
21-00	Cafi un ari-ndreptu s-ljea parti la condutsirea cu lucri publitsi tu statlu-a lui, direct ica prin liber aleptsaljei reprezentantsa.
21-01	Cafi un ari-ndreptu pi baza egala s-intra tu slujba publica tu statlu-a lui.
21-02	Vrearea-a miletljei easti baza-a puteariljei a statlui; vrearea aesta lipseashti s-hiba spusa la alidzerli perioditsi shi liberi cari va s-faca cu-ndreptul gheneral shi egal la votari, cu votarea secreta ica una protsedura adecvata cari u-asigura libertatea-a votariljei.
22-00	Articlul 22
22-01	Cafi un, ca membru-a sotsietatiljei, ari-ndreptu la asigurarea sotsiala shi-ndreptul sh-realizeadza-ndrepturi economitsi, sotsiali shi culturali lipsiti la namuzea-a lui sh-ti libera developari-a personalitatiljei a lui, cu agiutolu-a statlui shi-a colaborariljei internatsionala, shi conform cu organizatsia shi institutsiili-a statlui a lui.
23-00	Articlul 23
23-00	Cafi un ari-ndreptupi lucru, la libera alidzeari la intrarea tu lucru, la-ndreapti shi buni conditsii ti lucrari shi la apurarea di nilucrari.
23-01	Cafi un, fara cana alidzeari, ari-ndreptu la plata egala ti idviul lucru.
23-02	Cafi un cari lucreadza ari-ndreptu la-ndreapta shi buna plata cari-a lui shi-a taifaljei a lui la asigura exiestentsii cari corespundi la namuzea umineasca shi cari, fu ca va s-lipseasca, va s-hiba completata cu altsa paradz di apurarea sotsiala.
23-03	Cafi un ari-ndreptu s-fondeadza shi s-intra tu sindicat ti-apurea-a interesilor a lui.
24-00	Articlul 24
24-01	Cafi un ari-ndreptu la discurmari shi njirari, inclusiv shi limitarea cu chifiri-a oaraljei ti lucru shi advili perioditsi cu plata.
25-00	Articlul 25
25-00	Cafi un ari-ndreptu la un standard ti banatic cari lj-asigura shi ghinistari, a lui shi-a taifaljei a lui, inclusiv harnearea, anvishtearea, casa, shi matrita-a iaturlui shi slujba sotsiala tsi-i lipsita, ma shi-ndreptul la asigurari tu caz di armaneari fara lucru, langoari, niputeari, anvidueari, ausheatic shi altili cazuri di chireari-a paradzlor ti existentsii di tsircumstantsili independenti di vrearea-a lui.
25-01	Dadili shi ficiorlji au andreptul di una matrita spetsiala shi agiutor. Tuts ficiorlji, faptsa tu caruna ica nafoara di ea s-harsescu di idvea apurari sotsiala.
26-00	Articlul 26
26-00	Cafi un ari-ndreptul la-nvitsatura. Anvitsarea lipseashti s-hiba fara palteari, canai tu sculiili primari shi di calificari. Sculia primara easti obligatorii. Educatsia tecnica shi di calificari lipseashti s-hiba actsesibila ti tuts una turlii pi baza di atsea cum suntu cadari.
26-01	Anvitsarea lipseashti s-hiba andreapta ti-mplina developari-a personalitatiljei a omlui shi-nvartushearea-a tinjiseariljei a-ndrepturlor a omlui shi libertatsli fundamentali. Atsea lipseashti s-li agiuta acachisearea, aravdarea shi uspitsaljea anamisa di tuti miletsli, grupatsii di rasa shi pisti, ma shi activitatea-a Natsiunilor Uniti shi vigljearea-a irinjiljei.
26-02	Parintsalji lu-au andreptul cu prioritati ca s-la u-aleaga sculia-a ficiorlor a lor.
27-00	Articlul 27
27-00	Cafi un ari-ndreptu liber s-ljea parti tu bana culturala-a comunitatiljei, sh-si harseasca pi arta shi s-ljea parti la developarea di shtiintsa shi la hairea tsi vini di-aclotsi.
27-01	Cafi un ari-ndreptu la apurarea-a interesilor morali shi materiali cari es dit cafi una creatsii di shtiintsa, literara ica artistica-a curi creator easti el.
28-00	Articlul 28
28-01	Cafi un ari-ndreptu la progres sotsial shi internatsional tu cari andrepturli spusi tu aesta Declaratsii pot ta s-hiba realizati complet.
29-00	Articlul 29
29-00	Cafi un ari obligatsiili-a lui fatsa di comunitatea cari mash ea lji-asigura naintari libera shi completa-a personalitatiljei a lui.
29-01	La realizarea-a-ndrepturlor shi-a libertatslor a lui cafi un poati s-hiba supus mash la atseali limitari cari suntu prividzuti cu nomlu cu scupolu ca s-asigura pricanushtearea lipsita shi tinjisearea-a-ndrepturlor shi-a libertatslor a alantor shi cu scoplu ti satisfatsirea-a andreaptilor caftari-a moralui, sistemlu public shi ghinistarea publica tu sotsietatea democratica.
29-02	Aesti-ndrepturi shi libertats di cana turlii nu pot sa si realizeadza contra-a scopurlor shi-a printsipiilor a Natsiunilor Uniti.
30-00	Articlul 30
30-01	Nitsi una determinari dit aesta Declaratsii nu poati s-hiba tulmacita ca-ndreptul ti cafi un stat, grupa ica insu ta s-u faca cari tsi s-hiba activitati ica s-faca catsi s-va s-hiba lucru shutsata la calcarea-a-ndrepturlor shi-a libertatslor cari suntu bagati tu ea.
