00-00	INSAN HUeQUQLARI HAQQINDA UeMUMI BEYANNAME
25-00	Her bir shexs onun oezuenuen ve ailesinin sehhet ve rifahini temin etmek uesuen lazim olan, qida, geyim, tibbi xidmet ve lazimi sosial teminat da daxil olmaqla heyat seviyyesi hueququna ve ishsizlik, xestelik, elillik, dul qalma, qocaliq ve ondan asili olmayan sebebler uezuenden yashayish vasitelerinin itirilmesi zamani teminat hueququna malikdir.
25-01	Analiq ve ushaqliq xuesusi qaygi ve yardim almaq hueququna malikdirler. Hem nikah neticesinde hem de nikahdan kenar dogulmush ushaqlar eyni sosial muedafieden istifade etmelidirler.
26-00	Madde 26
26-00	Her bir shexsin tehsil hueququ var. En azi ibtidai ve uemumi tehsil pulsuz olmalidir. Ibtidai tehsil icbari olmalidir. Her kes texniki ve peshe tehsili almaq imkanina malik olmalidir, ali tehsil de her kesin qabiliyyeti esasinda hamiya eyni derecede mueyesser olmalidir.
26-01	Tehsil insan shexsiyyetinin tam inkishafina ve insan huequqlari ve esas azadliqlara hoermetin artirilmasina yoeneldilmelidir. Tehsil xalqlar, irqi ve dini qruplar arasinda qarshiliqli anlashmanin, doezuemluelueyuen ve dostlugun moehkemlendirilmesine ve Birleshmish Milletlerin suelhue qoruma sahesinde fealiyyetine yardim etmelidir.
26-02	Valideynler oez azyashli ushaqlarinin tehsil noevuenue sesmekde uestuenlueye malikdirler.
27-00	Madde 27
27-00	Her bir shexs cemiyyetin medeni heyatinda serbest ishtirak etmek, incesenetden hezz almaq, elmi tereqqide ishtirak etmek ve onun faydasindan istifade etmek hueququna malikdir.
27-01	Her bir shexs mueellifi oldugu elmi, edebi, ve incesenet eserlerinin neticesinde meydana sixan maddi ve menevi menafelerinin qorunmasi hueququna malikdir.
28-00	Madde 28
28-01	Her bir shexsin bu Beyannamede eks olunmush huequq ve azadliqlarin tam temin olundugu sosial ve beynelxalq duezuem hueququ var.
29-00	Madde 29
29-00	Her bir shexs yalniz onun azad ve tam inkishafi muemkuen oldugu cemiyyet qarshisinda vezifeler dashiyir.
29-01	Oez huequq ve azadliqlarini heyata kesirerken her bir shexs yalniz ele mehdudiyyetlere meruz qala biler ki, onlar qanun terefinden digerlerinin huequq ve azadliqlarinin taninmasi ve hoermet olunmasinin temin edilmesi ve demokratik cemiyyetin exlaqi, ictimai asayish ve uemumi rifah teleblerini oedemek meqsedile teyin edilmish olsun.
29-02	Bu huequq ve azadliqlarin heyata kesirilmesi Birleshmish Milletler Teshkilatinin meqsed ve prinsiplerine zidd olmamalidir.
30-00	Madde 30
30-01	Bu Beyannamede hes ne her hansi doevlete, shexsler qrupuna ve ayri-ayri shexslere Beyannamende elan olunmush huequq ve azadliqlarin mehvine yoenelmish her hansi fealiyyetle meshgul olmaq ve ya her hansi hereketi toeretmek hueququnun verilmesi kimi tefsir oluna bilmez.
