00-00	AENTSU NINIURIN CHICHAME MASHINIU AMIKTIN
02-01	Mash nunkanmania aents matsatka ainia au,ju papi kakaram aarma, nii amikiartin tama etserkamuiti. Tura nua, aishmankash, nii chikich yuusrin takakiatsha; yaja nunkanmania achitkiaitiat, chikich aentsjaish apatkar iyamka metekrat ainiaji. Aents chikich aentsjai pachitkiaitiat, niisha kuitia takakchaitiat, turuskesh takakuitiat, yaja nunkanam akiniaitkiusha chikich aetnsjaish metekrak ainiawai. Tuma asamtai aents nisha iirka akush juu nunkanam pujatikia, penker pujusar, kakaram papi aarma ana aun tukeumiktiniaitji.
02-02	Nunisan aents mash nunkanam niisha pujuinia ausha, ni uuntrin umirin asar, maanitsuk, ankan penker pujusarat tusar ju papi aarman umikiartinaiti.
03-00	TAMA MENAINT
03-01	Aents niisha yajania akusha tuke ju papinkia amiktin ainiawai. Tura penker ankan pujustin, kajernaitsuk, awatnaitsuk pujusartin ainiawai.
04-00	TAMA AINTIUK
04-01	Aents ti iniatai, waitkiatia, tii takakmaritiktai, aents surutai, ainiana auka najashtin tama kakaram papi aarma awai. Tura aents niisha penker puja anankar, yaja nunkanam jukir surukchatnuiti. Tura shuara muuke tsupikiar surukchatnuiti.
05-00	TAMA EWEJ
05-01	Aents ainia au nankamsar awattrashtiniaiti. Tura waitkiasar apujsashtiniaiti. Tura chikich shuar tunamaru ainia ausha wishikrar, usukiar, misu ukuinkiar natsanmai ekamsachminiaiti.
06-00	TAMA UJUK
06-01	Aents chikich ainia au, waitmenmai amajainia wainkiurkia uunt ainia au warik ujakartiniaitji. Kakaram chichamjai asutiawarat tusar, tura nuya ayampruktin awai.
07-00	TAMA TSENKENT
07-01	Kakaram chicha m juamunmaka, aents mash metek akiniawaru asamtai yaimkiartiniaiti. Aentsu awatin, waitmenmai amajainiakuinkia uunt anaikiamu elinia au, ju chichaman uminiachkui asutiamu aartiniaiti. Aents chikich aentsun, kajereak shainch iis ajakuinkia; wijiainkia metekchaitme takuish; aentstikia chikich aentsjaish metek asar ayamrumaktiniaitji.
08-00	TAMA YARUSH
08-01	Mash aents amia au, kakaram chicham .iwiartainiam, waumak yaimiainiachkuinkia, aents kajertsuk, kakaram chichaman umikiarat tusar yainkiartiniaitji.
09-00	TAMA USUMTAI
09-01	Aents nankamas weka wainkiursha, aantar achikiar sepunam enkeachminiaiti. Tura nankamsar nii nunkenia, nii matsatkamurinia yaja nunkanam jukishtiniaiti.
10-00	TAMA NAWE
10-01	Chikich aents akuisha, kakaramchichamjainkia metekkrakainiawai. Tuma asamtai aents nankamsarkia sepunam enkeachminiaiti. Tura nankamsarkia ni matsatkamurinia, irutkamurinia enkemar yaja nunkanam jukichminiaiti.
11-00	TAMA NAWE CHIKICHIK
11-00	Aents chikich aentsun antar kasamka wainkidchiat, waurkir kasarrikayi tichatnuitji. Kasamka wainkia asarkia, aents uunt anaikiamu eketu ujaktiniaitji. Chikich aents umitmakun, nii aentsri iniamrasha aminiaiti. Nuna penker nekami tusar aya untak untak iruntrar iwiaratin ainiawai. Tura nii shuari ii chichamejai chicharak ayamrakuinkia anturkatin ainiawai.
11-01	Ekuatura uuntri kakaram papi aarma iisar umikiartin ainiawai. Aents tunaku, nu papijiai sepunam urutma nantua pujustata, kuitniasha urutmana akikmaktinait tusar nu chicham penker nekatin ain.iawai. Ekuatura uuntri kakaram papi aarma, aents umitsuk nankamas nukap tsawant .sepunam enkeachminiaiti, aentsank nankamsar nukap kuit akikmakta tusarkia aents anankashtiniaiti.
12-00	TAMA NAWE JIMIAR
12-01	Aents aantar, chikich shuaran jeen nankamas waniachminiaiti. Tura aentsan antar nii jeen enkema nii imiatkinrin takaschatnuiti, tura entrar waintiuar awatchatnuiti. Tura tsanumashtiniaiti. Aentsank wait chichamnasha etserkenikia wekaishtinaiti. Nuna tura Ekuatura untri wainkiunka kakaram chichanijai ju aentsun asutiatnuiti.
13-00	TAMA NAWE MENAINT
13-00	Shuar nankamas ni nunkenchu wekasashtiniaiti. Tura aents tui pujustiniait nunasha ninki wakeruk jui pujustatjai titiniaiti.
13-01	Aents ni nunkenia jinki, yaja nunkanam pachitsuk weminiaiti. Tura nu aents, ni nunke waketkitiaj takunka, uyumatsuk waketkitnuiti.
14-00	TAMA NAWE AINTlUK
14-00	Aents ainia au nankamas chikich aents kajerkamka, ni nunkenia jinki chikich nunkanam pachitsuk weminiaiti. Ju aentska yaja nunkanam pujustaj takunka ni wakeramu tsawantin, uwitin pujusminiaiti.
14-01	Aents niisha yaja nunkanam wetasa puja, turuskesh wea, itiurchat chi.cham jurukchamniaiti. Chicham Naciones Unidas-num ejeramu aa asamtai.
15-00	TAMANAWE EWEJ
15-00	Aents ni nunke akinia asa, tuke nu nunkanam achitkia atiniaiti. Tumaasamtai Ekuatura untri tuke yainma atiniaiti.
15-01	Aents ni nunke akinia, chikich nunkanam wetaj tau itiurchat amasachminiaiti, tumaitkuish chikich nunkanam pujustaj tusa wakera suritkiashtiniaiti.
16-00	TAMA NAWE UJUK
16-00	Aeshman natsa, nua natsa ainia au, pachitsuk ni aents wakeramurijai nuatnaik turuskesh, nuatak pujusminiaiti. Inkish tura tarimiat aents akusha, chikich aents ARUTMAM- (Dios) enentaimtin akusha, yajania. nunka pachikia akusha, pachitsuk nuatak, nuatnaik ni shuarijiainajanairar pujusminiaiti. Tura aentsank ajapnaiyataj takusha pachitsuk ajapnayaimnia ainiawai.
16-01	Aeshman, nuajai mae wakerunai ajasar nuatnaikiarmin ainiawai. Nua, aeshman imian nuatak, nuatnaik pujuschamnia enentaimkiunka turachminiaiti, ayatkish tsanink pujusminiaiti.
16-02	Aents nuatnaik nuwen, uchirin takakuka, irutkamunam, matsatkamunam paan ajasar pujusartiniaiti, tuma asamtain Ekuatura untrinkia chicham yajauch akuish pachitsuk ayamrutinawai.
17-00	TAMA NAWE TSENKENT
17-00	Aents ni jeen sumaku asa, ni nerentin atiniaiti. Jean, ajan takakuinkia niniuk atiniaiti, tumaitkush matsatkamunmash, initkamunmash chikich aentsjai irunar takakmasaruitkuinkia niniu ainiawai.
17-01	Aentsu jeencha, twra ajarincha, warin achat mash niniu asarmatai, aantrar nunka atankir aents jurukchatnuiti tama aarma awai.
18-00	TAMA NAWE YARUSH
18-01	Aents pachitsuk ni wakeramun, ankan enentaimin aatiniati, tura niisha ARUTMARIN enentaimtin arhliniaiti. Tura pachitsuk ni ARUTMARIN, ni enentai yapajia, ankan penker pachitsuk pujusmin ainiawai. Nuna turuiniakuinkia umas turuskesh paant ajasar warinkish ARUTMAN wararsamnia ainiawai.
19-00	TAMA NAWE USUMTAI
19-01	Aents ni enentaimmian, ishamtsuk chikich aetns ainia aun ujaktin ainiawai. Tura aentsank chikich aents ainia au, metekrakka enentaimin ainiatsui, tumaitiak itiurchat aents chichaku asarmatai, itiurchat amasashtiniaiti. Chicham penker nekar tuinkish etserkamu atiniaiti ishamtsuk.
20-00	TAMA NAWE JIMIAR
20-00	Aents maanitsuk penker pujuinia shiir awajsar yainkiar iruntrar nuamtak penker pujustiniaiti.
20-01	Turasha aents irunar nuamtak tsanink pujustajtsa nakitia, antrar utsukchatnuiti.
21-00	TAMA NAWE JIMIAR CHIKICHIK
21-00	Mash aents Ekuatura untri chichame etserkui, umirkatnuitji. Ekuatura untri, aents anaik takakmasta tusa apujsamujai penker iruntrar takakmastiniaitji.
21-01	Aents Ekuaturnum pachitkia asa tuinkish pachiniaik takakmastiniaiti.
21-02	Aents ni aentsrijiai, anaik ekentsamu, Ekuatura untri arantuktiniaiti. li aentsri anaikiar ekemtsami tusarkia, papinium ajaptainiam anaikiar, ekentsamu atiniaiti.
22-00	TAMA NAWEJIMIAR JIMIAR
22-01	Aents mash ankan uyumatsuk penker enentaimsar pujusarat tusar, Ekuatura untri ii aentsri yaintiniaiti. Chikich nunkanmaya uunt anaikiamu akusha, Ekuatura uuntri pachitsuk yainkiartin ainiawai.
23-00	TAMA NAWE JIMIAR MENAINT
23-00	Aents ni takatan wakerak emkema takakmasminiaiti. Chikich aents takakmana aentsank niisha metek iisma atiniaiti. Uchi takakma puja ajapamu akuish tuke ayamrukma atiniaiti.
23-01	Aents nuwa, tura aishman akusha chikich aentSjai metek iisma atiniaiti. Aents nakitrar muijkiamu achatnuiti.
23-02	Aents ni aijiai metek takakma puja, kuit metek 'akikma atiniaiti. Waras kuitiah achik ni nuwen, ni aishrin, ni uchirin pushi sumarak, apatkun sumarat ayurat tusar. Ni aentsrijai penker irunar, waras wariniaksha sumak yuawarat tusar. Nuna Ekuatura uuntri ayamruktiniaiti.
23-03	Ni matsatkamurin, ni irutkamurin aents iruntrar, ni nunken tesawar achikman ayamrumakar penker pujusarat tusar, chicham jurukmia awai.
24-00	TAMA NAWE JIMIAR AINTlUK
24-01	Aentsun tuke takakmas ayamratin tama awai. Tura tsawant ankan akuish tuke ayamratin ainiawai. Ni wakeramun takakmasar, ayamratin ainiawai, tura ankantan jusar tuinkish wear ayamratin ainiawai.
25-00	TAMA NAWE JIMIAR EWEJ
25-00	Aents tsukamtsuk, entsatairincha tuke taku, ni jee pujutairi ankan penker pujusartiniaiti. Sunkurmaku akusha tsuamatainiam wear tsuakan sumakar tsuamartin ainiawai. Yurumtainiash tuke takaku aartiniaiti. Aentsan aents takatnum ajapamu akuish Ekuatura untrinkia tuke ayamruktin atiniaiti. Aents tunamar jaakuish, sunkurmak pujakuish, wajema pujakuish, untach ajas pujakuish, tura warinkish ni pujamurin emenkakmataish tuke ayamrumakma atiniaiti.
25-01	Nuwa ajamtin, tura uchi kuir ainiana ausha, penker yainma atiniaiti. Uchi takusar ajapamu akuish, Ekuatura untrin ayamrukma atiniaiti tama aarma awai.
26-00	TAMA NAWE JIMIAR UJUK
26-00	Uchi kuer ainia au tuke unuimiatainiam unuimiartin ainiawai. Uchi unuimiartinkia kuitchaiti, Ekuatur yaimiu asamtai. Uchikia mash tuke unuimiartin ainiawai, Ekuatura untri utsua asamtai. Aentsan natsasha nuu nankamas unuimiarmin ainiawai. Ninki kakaram ajasar unuimiarartin ainiawai.
26-01	Aents unuimian emtikia, nuu aran nankamaki unuimiaki wean yayawai. Tura ju aentska tumaki weak warinkish nekaki, penker chikich aentsjaish irunar amikrnanaiki wetin ainiawai.
26-02	Apawach, nukuach ainia auka, ni uchirin nii wakeramu unuimiarat tusar utsuktin ainiawai.
27-00	TAMA NAWE JIMIAR TSENKENT
27-00	Aents ni pu]ustinrin, ni nekatairin, iis penker pujustaj tau tuinkish pachinaik irunar penker pujusmij taun utsukma atiniaiti. Tura aents mash iruntrar emkatin enentai achikiar, ara arant unuimiarar, emkatin enentai achikiar pujustin ainiawai.
27-01	Aents imiatkinia najanan, chikich aents nii najana aitkiash jukichminiaiti, nuna Ekuatura uuntri tuke ayamrukma atiniaiti.
28-00	TAMA NAWE JIMIAR YARUSH
28-01	Kakaram papi jui aarmaka, mash ju nunkanam pujati tuke umiktiniaitji. Wari Ekuaturnum tura yajanunkanam aents tuakar ju papin penker aararu asamtai.
29-00	TAMA NAWE JIMIAR USUMTAI
29-00	Aents mash iruntrar ankan penker enentaimsarpujusarmi tusar, uunt anairamu matskamuham pujuinia yainma atiniaiti.
29-01	Aents ainia au ankan penker pujusarmi tusar wakeriniaka, chikich aents ainia aujai kajernaitsuk, manitsuk pujusartin ainiawai. Tuma asamtai mash iruntrar metek pujuiniak, Ekuatura uuntri kakaram papi arman umikiartin ainiawai.
29-02	Aents mash ankan penker pujusarmij tusar wakeruiniaka, ju kakaram papi arma tuke umikiartin ainiawai.
30-00	TAMA MENAINTIU NAWE
30-01	Ju kakaram papi arman nekawaru asar aents tuke umikiartin ainiawai. Aents junanekawar, ankan penker pujusarat tusar, uunt chikichkimsar surimkiartiniaiti. Tura chikich aents ainiana ausha nunaka surimkiachartin ainiawai. Ju kakaram chicham apipium aarman mash aentstikia umikiartin aji.
