00-00	Declaracion Universal dos Dereitos das Persoas
27-01	Toda persoa ten dereito a tomar parte libremente na vida cultural da comunidade, a gozar das artes e a participar no progreso cientifico e nos beneficios que del resulten.
27-02	Toda persoa ten dereito a proteccion dos intereses morais e materiais que lle correspondan por razons das produccions cientificas, literarias ou artisticas das que sexa autor.
28-00	Artigo 28ª.
28-01	Toda persoa ten dereito a que se estableza unha orde social e internacional na que os dereitos e liberdades proclamados nesta Declaracion se fagan plenamente efectivos.
29-00	Artigo 29ª.
29-01	Toda persoa ten deberes respecto a comunidade, xa que so nela pode desenvolver libre e plenamente a sua personalidade.
29-02	No exercicio dos seus dereitos e no disfrute das suas liberdades, toda persoa estara soamente suxeita as limitacions establecidas pola lei co unico fin de asegurar o reconecemento e o respecto dos dereitos e liberdades dos demais, e de satisfacer as xustas esixencias da moral, da orde publica e do benestar xeral nunha sociedade democratica.
29-03	Estes dereitos e liberdades non poderan ser, en ningun caso, exercidos en oposicion os propositos e principios das Nacions Unidas.
30-00	Artigo 30ª.
30-01	Nada na presente Declaracion podera ser interpretado no sentido de que confire algun dereito o estado, a un grupo ou a unha persoa, para emprender e desenvolver actividades ou realizar actos tendentes a supresion de calquera dos dereitos e liberdades proclamadas nesta Declaracion.
