00-00	Igooyoo bo gbeeinno maravn
11-01	Mvnm aban haan sa mara le sa booi, baa maan tiiti le sa yvvn wee tetegenin- i.
12-00	Nvvnngo 12
12-01	Haa ya yvvn wee su yvvnnanko bo gvvn le toi .Ho ya mara re jinan yvvn pee bo zika.
13-00	Nvvnngo 13
13-00	Yvvn wee pee, hvn maan yaa boo hvn kori druyan re di pee.
13-01	Hvn maan yvgv le yaa saako nanko ri, le goi lei bo saako ri.
14-00	Nvvnngo 14
14-00	Mvnm bo sa tokprigo yvvn wee ri bo saako ri, hvn maan yvgv laa niin saako nanko ri.
14-01	A mvnm hvn he kpvvnko wee le ho koi, here mara re haa maan jinan bo zikai.
15-00	Nvvnngo 15
15-00	Yvvn pee ho ya saako hvnnvn hvn gu ti. Haa ya bo ba yvvn wee le hvn kai saak’re hvn gu tii.
15-01	A mvnm hvn wee gori, hvn maan yeleka le he saako nanko see.
16-00	Nvvnngo 16
16-00	Mvnm heen le yere bo dan le, mara re yan boongo le bo le woo le sa gusege taa.
16-01	Haa ya bo ba yvvn wee le hvn lei.
16-02	[missing]
17-00	Nvvnngo 17
17-00	Yvvn le yvvn pee hvn maan he zvnngo tosee.
17-01	Haa ya bo su yvvn wee bo zvnngo hvnnvn jigai.
18-00	Nvvnngo 18
18-01	Yvvn le yvvn pee hvn maan jaba miin hvn kori. Mvnm hvn kori, hvn maan kpere yeego, mvnm hvn kori, hvn maan yaa aso’n, mvnm hvn kori, hvn maan nja gboko. Hvn maan hege boo hvn kori pee.
19-00	Nvvnngo 19
19-01	Yvvn le yvvn pee hvn maan dv gvvn’n hvn kori.Ba maan ka gvvn’n hvn dv tiri le gbegei le sa tetege niin.
20-00	Nvvnngo 20
20-00	Yvgo bere kori pee bo maan yogo’m miin bo kori.
20-01	Haa ya bo ba yvvn wee le hvn san yogomiyo wee niin.
21-00	Nvvnngo 21
21-00	Yvvn le yvvn pee hvn maan he aba’n bo heevn waloogo.
21-01	A hvn maan si bere ho ya bo he here heevn winnin saak’ re di.
21-02	[missing]
22-00	Nvvnngo 22
22-01	Ho ya aba’n daa yvvn pee le hvn maan yin bo gbee, le here hvvn he pee, maan cere le yaan, le bo yinngmo maan gu bara.
23-00	Nvvnngo 23
23-00	Mara re yan boongo yvvn pee le hvn he heevn, le yin ho pemweyo, le minnin bo gusogo.
23-01	Yvvn pee hvn maan san yogomiyo re hvn kori’n, le ho daa hvnri bo heehebeni.
23-02	[missing]
23-03	[missing]
24-00	Nvvnngo 24
24-01	Yvvn’n hvn he heevn pee, ho ya bo yaan prevn le hvn wuni.
25-00	Nvvnngo 25
25-00	Yvvn wee pee, ho ya hvn yin niinlom ceresege le maan le minnin bo gbee, le maan lo bo gbee ri, le maan si bo nvvndigo, le maan yin yogo ceresege le dio, hinnin le bo yere, le bo bugo.
25-01	Ho ya bo daa kunlaasogo, le bugo ri. Biin le biin pee, ho ya bo daa hvnri.
26-00	Nvvnngo 26
26-00	Yvvn le yvvn pee ho ya bo bilayee. Haa ya bugo bere wei svga le bo ji le bilabei. Bugo bilago re he bako le yan yvvn pee.
26-01	Here bilago re le ho tiinka be igooyoo bo gbeeinngo mara winnin. Here le ho de bo ji miin ho ya bo ninsi yvgo kasayo’n le dan.
26-02	Biin bo sira le bo yinnan, bere ho ya bo si bilag’re koi bo kori bo yan bo biin.
27-00	Nvvnngo 27
27-00	Yvvn le yvvn pee hvn maan daa le bo tiinka dugu zvnnvn, le dugu helom.
27-01	Mvnm wee tii bo yinhalijo le si zvnngo wee, le hinnin togo. Ho ya mara le jinan bo zika le yvvn wee para ho suko hvnnvn.
28-00	Nvvnngo 28
28-01	Ho ya saak’re pee ho yin totogoningo, le kwanngo bai boowee, le hvvn pee hvn maan di here mara winnin gvvn bii dv mvnnvn.
29-00	Nvvnngo 29
29-00	Yvvn wee pee, marare tiinka here ho ya hvn he le yan yvgo bere bo le bere niin woori.
29-01	Ho ya hvvn taa pee bo yinngmo kaa yvgo bere tu bo gbeeinno mara winnin.
29-02	[missing]
30-00	Nvvnngo 30
30-01	Mara winnin bi tiinka’m pee, wee’a nan boongo yvvn wee, laa aba’n wee, le hvn maan dv lee han-vn di tii.
