00-00	ansani hqwq ka 'almi mnshwr
02-01	hr shkhs an tmam azadiwn awr hqwq ka msthq hye jw as a'lan min bian kiye gyeye hin, awr as hq pr nsl, rng, jns, zban, mthhb, awr siasi tfriq ka ia ksi qsm kye 'qidye, qwm, m'ashrye, dwlt, ia khandani hithit wghirh ka kwyei athr nh prrye ga.
02-02	as kye 'lawh js mlk ia 'laqye sye kwyei shkhs t'lq rkhta hye, as mlk ia 'laqye ki siasi kifit, dayerh akhtiar, ia bin alaqwami hithit ki bna pr as shkhs sye kwyei amtiazi slwk nhin kia jayeye ga, tchahye wh mlk ia 'laqh azad hw, twliti hw, ghir mkhtar hw, ia siasi aqtdar kye lhaz sye ksi dwsri bndsh ka pabnd hw.
03-00	df'h 3
03-01	hr shkhs kw apni jan, azadi, awr thati thfz ka hq hasl hye.
04-00	df'h 4
04-01	kwyei shkhs ghlam ia lwnddi bna kr nh rkha ja skye ga. ghlami awr bardh frwshi, tchahye as ki kwyei shkl bhi hw, mmnw' qrar di jayeye gi.
05-00	df'h 5
05-01	ksi shkhs kw jsmani athit, ia zalmanh, ansanit swz, ia thlil slwk ia sza nhin di jayeye gi.
06-00	df'h 6
06-01	hr shkhs kw hq hasl hye kh hr mqam pr qanwn as ki shkhsit kw tslim krye.
07-00	df'h 7
07-01	qanwn ki nzr min sb brabr hin awr bghir ksi tfriq kye qanwn kye andr aman panye kye brabr kye hqdar hin. as a'lan ki khlaf wrzi min jw tfriq ki jayeye ia tfriq kye liye trghib di jayeye, as sye sb brabr kye btchaw kye hqdar hin.
08-00	df'h 8
08-01	hr shkhs kw isye af'al kye khlaf jw ayein ia qanwn min diye gyeye bniadi hqwq kw tlf krtye hwn, baakhtiar qwmi 'daltwn min mwthr triqye sye tcharh jwyei krnye ka pwra hq hasl hye.
09-00	df'h 9
09-01	ksi shkhs kw mhd hakm ki mrdi pr grftar, nzrbnd, ia jlawtn nhin kia jayeye ga.
10-00	df'h 10
10-01	hr ik shkhs kw iksan twr pr hq hasl hye kh as kye hqwq w frayed ka t'in ia as kye khlaf ksi 'ayed krdh jrm kye barye min mqdmye ki sma't azad awr ghir janbdar 'dalt kye khlye ajlas min mnsfanh triqye sye hw.
11-00	df'h 11
11-00	isye hr shkhs kw js pr kwyei fwjdari ka alzam 'ayed kia jayeye, bye gnah shmar kiye janye ka hq hasl hye tawqtikh as pr khli 'dalt min qanwn kye mtabq jrm thabt nh hw jayeye awr asye apni sfayei pish krnye ka pwra mwq' nh dia ja tchka hw.
11-01	ksi shkhs kw ksi isye f'l ia frwgthasht ki bna pr jw artkab kye wqt qwmi ia bin alaqwami qanwn kye andr t'ziri jrm shmar nhin kia jata tha, ksi t'ziri jrm min makhwth nhin kia jayeye ga.
12-00	df'h 12
12-01	ksi shkhs ki nji zndgi, khangi zndgi, ghrbar, ia kht w ktabt min mn manye triqye pr mdakhlt nh ki jayeye gi awr nh hi as ki 'zt awr nik nami pr hmlye kiye jayein gye. hr shkhs kw hq hasl hye kh qanwn asye hmlye ia mdakhlt sye mhfwz rkhye.
13-00	df'h 13
13-00	hr shkhs kw hq hasl hye kh asye hr riast ki hdwd kye andr nql w hrkt krnye awr skwnt akhtiar krnye ki azadi hw.
13-01	hr shkhs kw as bat ka hq hasl hye kh wh ksi bhi mlk sye tchla jayeye tchahye wh mlk as ka apna hw, awr asi trh asye apnye mlk min waps ajanye ka bhi hq hasl hye.
14-00	df'h 14
14-00	hr shkhs kw itha rsani sye dwsrye mlkwn min pnah ddhwnddnye, awr pnah ml jayeye tw as sye fayedh atthanye ka hq hasl hye.
14-01	ih hq an 'dalti karrwayeiwn sye btchnye kye liye ast'mal min nhin laia ja skta jw khalstan ghir siasi jrayem ia isye af'al ki wjh sye 'ml min ati hin jw aqwami mthdh kye mqasd awr auswlwn kye khlaf hin.
15-00	df'h 15
15-00	hr shkhs kw qwmit ka hq hasl hye.
15-01	kwyei shkhs mhd hakm ki mrdi pr apni qwmit sye mhrwm nhin kia jayeye ga awr as kw qwmit tbdil krnye ka hq dinye sye ankar nh kia jayeye ga.
16-00	df'h 16
16-00	balgh mrdwn awr 'wrtwn kw bghir ksi isi pabndi kye jw nsl, qwmit, ia mthhb ki bna pr lgayei jayeye shadi biah krnye awr ghr bsanye ka hq hasl hye. mrdwn awr 'wrtwn kw nkah, azdwaji zndgi, awr nkah fskh krnye kye m'amlh min brabr kye hqwq hasl hin.
16-01	nkah friqin ki pwri awr azad rdamndi sye hw ga.
16-02	khandan, m'ashrye ki ftri awr bniadi akayei hye, awr wh m'ashrye awr riast dwnwn ki trf sye hfazt ka hqdar hye.
17-00	df'h 17
17-00	hr ansan kw tnha ia dwsrwn sye ml kr jayedad rkhnye ka hq hasl hye.
17-01	ksi shkhs kw zbrdsti as ki jayedad sye mhrwm nhin kia jayeye ga.
18-00	df'h 18
18-01	hr ansan kw azadi' fkr, azadi' dmir, awr azadi' mthhb ka pwra hq hasl hye. as hq min mthhb ia 'qidye kw tbdil krnye awr kuhlye 'am ia nji twr pr, tnha ia dwsrwn kye sath ml jl kr 'qidye ki tbligh, 'ml, 'badt, awr mthhbi rsmin pwri krnye ki azadi bhi shaml hye.
19-00	df'h 19
19-01	hr shkhs kw apni rayeye rkhnye awr azhari rayeye ki azadi ka hq hasl hye. as hq min ih amr bhi shaml hye kh wh azadi kye sath apni rayeye qayem krye awr srhdwn ka khial kiye bghir js thri'ye sye tchahye 'lm awr khialat ki tlash krye, anhin hasl krye, awr an ki tbligh krye.
20-00	df'h 20
20-00	hr shkhs kw pur amn triqye sye mlnye jlnye awr anjmnin qayem krnye ki azadi ka hq hasl hye.
20-01	ksi shkhs kw ksi anjmn min shaml hwnye kye liye mjbwr nhin kia ja skta.
21-00	df'h 21
21-00	hr shkhs kw apnye mlk ki hkwmt min brahi rast ia azadanh twr pr mntkhb kiye hwyeye nmayendwn kye thri'ye hsh linye ka hq hasl hye.
21-01	hr shkhs kw apnye mlk min srkari mlazmt hasl krnye ka brabr ka hq hasl hye.
21-02	'wam ki mrdi hkwmt kye aqtdar ki bniad hw gi. ih mrdi wqtan fwqtan isye hqiqi antkhabat kye thri'ye zahr ki jayeye gi jw 'am awr msawi rayeye dhndgi sye hwn gye awr jw khfih wwtt ia as kye msawi ksi dwsrye azadanh triqi rayeye dhndgi kye mtabq 'ml min ayein gye.
22-00	df'h 22
22-01	m'ashrye kye rkn ki hithit sye hr shkhs kw m'ashrti thfz ka hq hasl hye awr ih hq bhi kh wh mlk kye nzam awr wsayel kye mtabq qwmi kwshsh awr bin alaqwami t'awn sye isye aqtsadi, m'ashrti, awr thqafti hqwq kw hasl krye, jw as ki 'zt awr shkhsit ki azadanh nshwwnma kye liye lazm hin.
23-00	df'h 23
23-00	hr shkhs kw kam kaj, rwzgar kye azadanh antkhab, kam kaj ki mnasb w m'qwl shrayet, awr bye rwzgari kye khlaf thfz ka hq hasl hye.
23-01	hr shkhs kw ksi tfriq kye bghir msawi kam kye liye msawi m'awdye ka hq hasl hye.
23-02	hr shkhs jw kam krta hye, isye mnasb w m'qwl mshahrye ka hq rkhta hye jw khwd as kye awr as kye ahl w 'ial kye liye ba'zt zndgi ka damn hw, awr js min agr drwri hw tw m'ashrti thfz kye digr thraye' sye adafh kia ja skye.
23-03	hr shkhs kw apnye mfadat kye btchaw kye liye tjarti anjmnin qayem krnye awr an min shrik hwnye ka hq hasl hye.
24-00	df'h 24
24-01	hr shkhs kw aram awr frst ka hq hasl hye js min kam kye ghnttwn ki mnasb hdbndi awr tnkhwah smit mi'adi t'tilat bhi shaml hin.
25-00	df'h 25
25-00	hr shkhs kw apni awr apnye ahl w 'ial ki sht awr flah w bhbwd kye liye mnasb m'iari zndgi ka hq hasl hye js min khwrak, pwshak, mkan, awr 'laj ki shwltin, awr dwsri drwri m'ashrti mra'at shaml hin; awr bye rwzgari, bimari, m'thwri, biwgi, brrhapa, ia isye halat min rwzgar sye mhrwmi jw as kye qbdh qdrt sye bahr hwn, kye khlaf thfz ka hq hasl hye.
25-01	ztchh awr btchh khswsi twjh awr amdad kye hqdar hin. tmam btchye, khwah wh shadi sye phlye pida hwyeye hwn ia shadi kye b'd, m'ashrti thfz sye iksan twr pr mstfid hwn gye.
26-00	df'h 26
26-00	hr shkhs kw t'lim ka hq hasl hye. t'lim mft hw gi, km az km abtdayei awr bniadi drjwn min. abtdayei t'lim lazmi hw gi. fni awr pishh wranh t'lim hasl krnye ka 'am antzam kia jayeye ga awr liaqt ki bna pr a'lia t'lim hasl krna sb kye liye msawi twr pr mmkn hw ga.
26-01	t'lim ka mqsd ansani shkhsit ki pwri nshwwnma hw ga, awr wh ansani hqwq awr bniadi azadiwn kye ahtram min adafh krnye ka thri'h hw gi. wh tmam qwmwn awr nsli ia mthhbi grwhwn kye drmian bahmi mfahmt, rwadari, awr dwsti kw trqi dye gi, awr amn kw brqrar rkhnye kye liye aqwami mthdh ki srgrmiwn kw agye brrhayeye gi.
26-02	waldin kw as bat kye antkhab ka awlin hq hasl hye kh an kye btchwn kw ks qsm ki t'lim di jayeye gi.
27-00	df'h 27
27-00	hr shkhs kw qwm ki thqafti zndgi min azadanh hsh linye, adbiat sye mstfid hwnye, awr sayens ki trqi awr as kye fwayed min shrkt ka hq hasl hye.
27-01	hr shkhs kw hq hasl hye kh as kye aun akhlaqi awr madi mfadat ka thfz kia jayeye jw asye isi sayensi, 'lmi, ia adbi tsnif sye, js ka wh msnf hye, hasl hwtye hin.
28-00	df'h 28
28-01	hr shkhs isye m'ashrti awr bin alaqwami nzam min shaml hwnye ka hqdar hye js min wh tmam azadian awr hqwq hasl hw skin jw as a'lan min pish kr diye gyeye hin.
29-00	df'h 29
29-00	hr shkhs kye aus m'ashrye ki janb frayed hin js min rh kr hi as ki shkhsit ki azadanh awr pwri nshwwnma mmkn hye.
29-01	apni azadiwn awr hqwq sye fayedh atthanye min hr shkhs srf isi hdwd ka pabnd hw ga jw dwsrwn ki azadiwn awr hqwq kw tslim kranye awr an ka ahtram kranye ki ghrd sye, ia jmhwri nzam min akhlaq, amn 'amh, awr 'am flah w bhbwd kye mnasb lwazmat kw pwra krnye kye liye qanwn ki trf sye 'ayed ki gyei hin.
29-02	ih hqwq awr azadian ksi swrt min bhi aqwami mthdh kye mqasd awr aswlwn kye khlaf 'ml min nhin layei ja sktin.
30-00	df'h 30
30-01	as a'lan ki ksi tchiz sye kwyei isi bat mrad nhin li ja skti js sye ksi mlk, grwh, ia shkhs kw ksi isi srgrmiwn min msrwf hwnye ia ksi isye kam kw sranjam dinye ka hq pida hw js ka mnsha aun hqwq awr azadiwn ki tkhrib hw jw ihan pish ki gyei hin.
