00-00	NONSIAMEN DEU DRET DEU Z-OMEI PA LA TARA TENTEIRA
02-01	Chatuen se puod privalei de ta leu dret moe libiarta feurtida din sai, sen pavun deiparsiamen, nieu be de rassa, coulou, teira, linga, arlejieu, d'eivi peuletique v-ou eutremai, d'eurejina pa nasieu v-ou clhassa, de rechessa, de neissensa v-ou sitiazou de ta sorta.
02-02	De mai, soularon pavun deiparsiamen bei la sitiazou peuletica, juredeira, entrenasiuneira deu pai v-ou de la countrada partenenser, siache queu pai v-ou countrada sio endeipendent, sio tuetelad, sen dreit sieu v-ou seumetued bei cau que sio deviza de soubranessa.
03-00	Articlhe trei (3)
03-01	Chatuen partitueleir te le dreit de vieure, deilieure moe surad de sa proussouna.
04-00	Articlhe catre (4)
04-01	Pavuna proussouna siro eiclhavada v-ou eissarvida; l'eiclhavaio moe le coumiarse d'eiclhavei son deifendued mo que nen sio le biae.
05-00	Articlhe sin (5)
05-01	Pavuna proussouna siro trementada, nimai chatiada d'en biae bouriaud, loubid v-ou luetrissouz.
06-00	Articlhe Sei (6)
06-01	Chatuen te le dreit d'esse tratad mo na proussouna de dreit.
07-00	Articlhe se (7)
07-01	Toutei son parer davan la lei moe tenon dreit sen deiparsiamen d'esse parad pareiramen pa la lei. Toutei tenon le dreit d'esse parad pareiramen coutre ta leu reboessamen que cheupissesson le Nonsiamen prizent mai ta leu z-acanhamen v'en reboessamen tau.
08-00	Articlhe veu (8)
08-01	Chatuena proussouna te le dreit d'arcoue sartenad davan leu trebunau nasiuner couvenent endecoutre la fazenta que cheupisson leu dret de fon arcouneisud bei se pa la coustetuesieu moe pa la lei.
09-00	Articlhe nieu (9)
09-01	Narma puod l-esse lapad, emprezounad v-ou feidid pa cacha.
10-00	Articlhe die (10)
10-01	Chatuena proussouna te le dreit tenteiramen pareir de fai argueita sa razou dreituerouzamen moe davan toutei p'en trebunau endeipendent moe sen parti prez, que deitarmenaro sio seu dret moe eublejazou, sio la dreitessa de cau que sio eicourpada pa chatia, menada encoutre se.
11-00	Articlhe vounje (11)
11-01	Chatuena proussouna eicourpada de mau fai z-ei vedueda mo sen fauta jouca quela ti sidiessa eitada moutrada silan la lei passan en poursei badad ente siro eitada tenteiramen garantida de se poudei jutefia.
11-02	Pavuna proussouna siro coudanada pa de la fazenta v-ou mancamen que z-eron pa en deili envia le dreit nasuneir v-ou entrenasiuneir le men que son eitad coumetued. Pariramen, li balharon pavuna pena pu pezanta que li z-adiesson balhad le men deu deili.
12-00	Articlhe douje(12)
12-01	Toutei siron parad coutre la fourazou cachouza din lhu vida partitueleira, cha se v-ou din lhu letra moe coutre la rechada envia lhu eunou moe arnumada. Chatuena proussouna te le dreit d'esse parada pa la lei encoutre quela fourazou moe rechada.
13-00	Articlhe treje (13)
13-01	Toutei se poudon deiplassa deilieurei moe cheuzi lhu damouransa endin n'eito.
13-02	Chatuena proussouna puod tita cau que sio pai, nieu sieu, peu lai tourna.
14-00	Articlhe catorje (14)
14-01	Chatuena proussouna tarvelada te le dreit de sarcha n'artirada moe d'esse ratirada din deu pai autrei.
14-02	Queu dreit puod pa l-esse raclhamad si la proussouna z-ei setuetada pa razou de creme eurdenare v-ou pa vi fazentad endecoutre la fi moe prensipei de la Nasieu-Junida.
15-00	Articlhe tinze (15)
15-01	Chatuen partitueleir te le dreit d'esse sitadoun endacan.
15-02	Poudon enlouva bei narma sa sitadounaio v-ou le dreit de nen channha.
16-00	Articlhe seje (16)
16-01	Siteu l'aje d'enjendra, l'ome moe la fenna sen pavuna rastrenhansa de rassa, de nasieu, sitadounaio v-ou arlejieu se poudon marida, poudon gambi na familha. Tenon deu dret parer pa se marida, vieure maridad mai divoursa.
16-02	En maridaje puod ma l-esse couvendued bei la coussentizou lieura moe tenteira de leu maridad.
16-03	La familha z-ei la pessa nadra mai souladeira de la seusieto mai te le dreit d'esse parada pa quela ti moe pa l'eito.
17-00	Articlhe darasse (17)
17-01	Leu partitueler, te sou vou tensen tenon le dreit d'esse proupiatariei.
17-02	Narma se puod vei enlouva se be de cacha.
18-00	Articlhe dozieu (18)
18-01	Toutei son lieurei d'izamena, de segre lhu cousiensa moe arlejieu. De que razurta que poudon channha d'arlejieu v-ou d'eivejaire te sou v-ou tensen, davan toutei v-ou ma cha ilh, en ensenha, pratica, segre la divousieu, coumpi la seremouniansa.
19-00	Articlhe dazanieu (19)
19-01	Toutei son lieurei de lhu eivi moe de lhu parlaio, de que razurta le dreit d'esse pa coussedued pa se n'eivi mai queu de sarcha, rassebre, eiparsi la rensenha moe la z-eideia pa cauque biae que sio, sen l-esse empoechad pa la frontera.
20-00	Articlhe vin (20)
20-01	Toutei tenon le dreit de se massa moe vijana, ma que coutuerbesson pa.
20-02	Narma puod l-esse eubjelad de se vijana.
21-00	Articlhe vintavun (21)
21-01	Chatuena proussouna te le dreit de prene pa bei la derijansa mai goarna de se pai, sio mai de se, sio pa le biae de dalegad cheuvid lieuramen.
21-02	Toutei poudon deza pariramen la fousieu de rejentamen din lhu pai.
21-03	Le voulei deu puble soula le coumandamen deu rejentairei. Queu voulei te de se fai couneisse din de la z-ilesieu euneita que son d'esse tendueda ten pa n'autre, bei la voutazou de toutei, pareira, segreta v-ou en pourseda de tau biae que la voutazou damoure lieura.
22-00	Articlhe vintadou (22)
22-01	Chatuena proussouna, mo parsouneira de la seusieto, te le dreit de sediouransa. Li fau garanti la z-arsoursa, leu mia d'arlasieu moe de cutuera que feurtisson sa dineto, le deivourpamen lieure de sa proussounessa, pa l'ifuo nasiuneir moe la couperazou entrenasiuneira, d'acourdansa bei l'entrencamen moe la z-arsoursa ce chatuen pai.
23-00	Articlhe vintatrei (23)
23-01	Chatuena proussouna te le dreit d'eubra, de cheuvi se traba deilieure, de trabalha bei de la condesieu dreituerouza moe couvenenta mai d'esse parada coutre la menca de traba.
23-02	Toutei tenon le dreit d'en salarie pareir p'en traba pareir, sen gro de meipareiressa.
23-03	Cau que sio eubra te de dreit na paia dreituerouza moe sufizenta pa li garenti, mai bei sa familha, n'eitansa dina d'omei. Lha siro coupletada, si de bezoun pa ta leu mia de parazou seusiala.
23-04	Chatuen te le dreit de cria deu sendica bei deu z-autrei mai de se teira din-t-en sendico pa para seu z-antere.
24-00	Articlhe vintacatre (24)
24-01	Chatuen te le dreit de se peuza moe de se deivarti, nieu be de pa l-esse eublejad de trabalha tro lounten, mai de vi deu counji paiad tempourer.
25-00	Articlhe vintasin (25)
25-01	Chatuen te le dreit d'en live de vida sufizent pa feurti sa sando, sa beneitansa mai de sa familha, nieu be pa se nueri, se veiti, se riba, d-esse gandid mo fau; te vun dreit de sediouressa en ca de menca d'obra, de maleudio, d'eimangoutada, de veveto, de velhezizou v-ou mai din leu ca autrei de parda de seu mia de vieure pa sega d'aferi que lai puod re.
25-02	La mai moe l'afan siron judad moe seutendued de mai. Ta leu fan, sio neisud de maridad, sio de pa maridad, son parad te pariramen.
26-00	Articlhe vintasiei (26)
26-01	Toutei tenon le dreit d'esse ensenhad. L'ensenhamen te d'esse pa re, pa le min seu z-ilemen moe sa sola. L'ensenhamen ilementare z-ei na relha. Fau eiparsi l'ensenhamen fazenteir moe pourfesiuneir. Chatuen poudro deza l'ensenhamen soubro sen ma n'autra argueita que se merite.
26-02	L'ensenhamen issaiaro d'eipani le mier chatuena proussouna moe de pourdiala le raspe deu dret deu z-omei mai la libiarta de sola. Eifavouriro la couprenezou, le temperanje, l'amitio entremei ta la nasieu, moe ta leu vijan de rassa moe d'arlejieu mai le deivourpamen de la fazilha de la Nasieu-Junida pa seuva la poe.
26-03	Leu parent tenon le dreit pourmeir de cheuvi le biae d'endueca lhu fan.
27-00	Articlhe vintase (27)
27-01	Chatuen te le dreit de prene pa lieuramen bei l'obra de cutuera de la quemunansa, de jeuvi leu z-a moe de partaja le pourgrei de la siensa mai la beuvida que nen son eisida.
27-02	Chatuen eutouz siro parad pa se n'obra de siensa, letra v-ou a, to meralamen mo de garimentada.
28-00	Articlhe vintaveu (28)
28-01	L'odre seusiau moe entrenasiuneir te d'esse rejid de tau biae que leu dret mai libiarta soubre sai deilarjad pa queu nonsiamen sidiesson garentid d'ifei tenteir.
29-00	Articlhe vintanieu (29)
29-01	Chatuen partitueleir te deu deve enva la quemunansa din cau se puod ma coumpi le deivourpamen lieure e tenteir de sa proussounessa.
29-02	En jeuvi seu dret mai sa libiarto, chatuen z-ei ma devizad pa la lei bei le pourpau te sou de feurti l'arcouneissensa moe le raspe de leu dret mai libiarta eutruver mai pa coutenta leu bezoun jutefiad de la merala, de l'odre seusiau moe de la beneitansa de toutei din na seusieto dimoucrasseira.
29-03	Queu dret mai libiarta poudron jamoe l-esse jeuvid en coutrassa la fi mai prensipei de la Nasieu-Junida.
30-00	Articlhe trenta (30)
30-01	Pavuna endica deu Nonsiamen soubre sai puod l-esse entendueda mo si balhessa bei n'eito, en vijan, en partitueleir cauque dreit que sio d'arji v-ou de coumpi de la fazenta menada pa ditreure leu dret mai libiarta soubre-sai deilarjad.
