00-00	Upkatni  ilel  Bugadu biderityn
10-00	Dyagi statyan
10-01	Iletykin, okin nunanman seledenetyn, tedeve gelekteldenen, nunanni omachin tedemet, tonnot sudtu ichevkenmechin.
11-00	Dyan umukegi statyan
11-01	Iletykin, eru omachindu selevrekin, erun evki gunivre erdelen, okin zakonit tedevkendenen, tar-da dysuchinma budenetyn.
11-02	Ni-vel eru ona dyarin eden sot selemechin bisi, tar ileve esi  unkildyre shh egdytmerit, sud desutchenen.
12-00	Dyan ge statyan
12-01	Ni-vel,  ile indun,  nunanni dyugan binidun evki kamnikatchere,  dyulan, dukumachindun, itydun evki ire, tanna. Tar eruduk iletykin dysumachin.
13-00	Dyan ili statyan
13-01	Iletykin avadytykin gosudarstvadu bimche, girkumche.
13-02	Iletykin avadytykin gosudarstvoduk surumche, tartyki ememche-de.
14-00	Dyan dygi statyan
14-01	Iletykin eru asaktanduk mendu dyuvi bakamachin gel dunneldu, tadu-da bimche.
14-02	Er ile teden evki omachin bisi, okin ile tedet erue oran. Ile tedet-ta erue o ran, ema Obedinennai Natsiyal Organizatsiyanityn printsipil gunnevetyn.
15-00	Dyan tunni statyan
15-01	Iletykin grazhdanstvovat tedet bimche.
15-02	Ni-vel menni grazhdanstvovi esin achin omi, shhuntunmi-gu.
16-00	Dyan nyuni statyan
16-01	Dyan dyapkun annanilva ista, tedet asichi, edychi omachir.
16-02	Bee asichi, asi  – edychi, ayaraldyna men menmi, omachir.
16-03	Dyugan – obshchestvo yacheikan, gosudarstvo tariva dysuchimachin.
17-00	Dyan nady statyan
17-01	Iletykin idegevi, avduvi tedet umukin-gu, shhuntulnun-gu mennimedemechin.
17-02	Ni-vel ileduk idegeen, avduyan  tedet achina evki tyre.
18-00	Dyan dyapki statyan
18-01	Iletykin dyaldana, shhaldyana, bugatki murgune tedet bivki; tar tedendi ile shh untu bugatki murgune dyugeldyvdene; meneken-gu, gelnun-gu ilelnun, delumneke n-nu, tonnot-ku bugatki murgumchen.
19-00	Dyan egi statyan
19-01	Iletykin tedet menni dyaldatcherivi, gunnetynmi bivki; tar teden iledu bu deren gelektedemi, gadyami, savkandyami ulguvri, dyaldalvi avadytykirdi onayadi idu-vel bidene.
20-00	Dyur dyari statyan
20-01	Iletakin esi kusimuderildula suglanildula,  umunupkityldula tedet girkumachin.
20-02	Ni-vel avady-val umunupkittula enesit evki ivuvra.
21-00	Dyur dyar umukegi statyan
21-01	Iltykin nunnitchedevi menni dunnetvi tedet omachin, meneken-nu, sinmavchagu ilel belegedin.
21-02	Iletykin menni Dunneduvi gosudarstvennai sluzhbatki uret ivun bimche.
21-03	Tege omudyarivan  – pravitelstva enesin; tar omudyarin tedememeldu si nmandu bakamachin; upkatni, uretni-da sinmakittu teden omachin tar sinmandu.
22-00	Dyur dyar ge statyan
22-01	Iletykin, on obshchestva ilen, sotsialnai obespechenieve gamcha, tarit ile saricha nin ekonomicheskaidu, sotsialnaidu, kulturnaidu-da shhanildu gelevdyari bimche. Mezhdunarodnai sotrudnichestvo belegedin, gosudarstvotykin dekindyadin.
23-00	Dyur dyar ili statyan
23-01	Iletykin shhavavi tedet gamcha, shhava tedemeve sinmanman, tonno, ayamama ityl shhava dyarin, shhavaya achinduk dysuchinma bimche.
23-02	Iletykin uret shhava dyarin, uret shhava tamanin dyarin tedet gamcha.
23-03	SHHavamnitykin tonnoe,  shhegdye, ayamaya tamana tedet gamcha, tarit nunanni dyuganin  ayama bini omachin, shhavuvderildi geldi tamavurdi-da.
23-04	Iltykin shhavady umunupinmi ityvdyanamachin, meneken-de targachirdula umunipindula menni diveri dysuchin dyarin ivmachin.
24-00	Dyur dyar dygi statyan
24-01	Iletykin derumkichenma tedet bimche, irgechive  kamnichivunma shhavady tyrgani ya-da, tamavdyari derumkichenme-de.
25-00	Dyur dyar tunni statyan
25-01	Iletykin targachina biniya: debgee, tetye, dyuya, aitya, shhuntue-de ayaya tedet bimche, ekudyl iledu, nunanni dyugandu-da gelevderi. Okin ile shhavaya achin odyan, enuldyan, asiya-gu, edyya-gu sokorden, sagdandyan, shhuntu eru-gu odyan, teli ile tedet dysutchemechin.
25-02	Enin bine, kunakan bine tedet belene geledere. Upkat kunakar, amichi binel, amina achir binel, sotsialnai dysuchina bimchel.
26-00	Dyur dyar nyuni statyan
26-01	Iletykin tatygana tedet gamcha. Tatygan tamana achin bimche – nonopty, dulugu. Nonopty tatygan upkattu onat. Tekhnicheskaidy, professionalnaidy tamagan upkattu ieeldu ivun bimche, shhegdytku tatygan-da savka ileldu.
26-02	Iledu tatygan shhegdye, sarichane buderen; tyline, manichana, ayaraldyna-da avadytykir  tegel  sigdyledutyn.  Tatygan  Obedinennail  Natsiya Organizatsiyadutyn ayaraldyl dyarin  tedet belegemechin.
26-03	Amtyl menni shhuteldu tatyganmatyn sinmami tedet belemechir.
27-00	Dyur dyar nady statyan
27-01	Iletykin kulturnai binidu bisimechin, iskusstvovo ayavdyana, nauchnai progresstu uchastvoidyana, tariduk ayaya gadyana.
27-02	Iletykin menni nauchnai-gu, literaturnai-gu, khudozhestvennai-gu shhavavi tedet dysumachin.
28-00	Dyur dyar dyapki statyan
28-01	Iletykin sotsialnai, mezhdunarodnai-da itylva tedet bimche, tugi odyana ile teden, tynmukityn er Deklaratsiya dukuvnal omachir.
29-00	Dyur dyar egi statyan
29-01	Iltykin omachindi obshchestvo dyarin bisin, emadu nunan ayamamat shhegdynderen.
29-02	Ile teden, tynmukityn teli, kamnichivdyana okin shhuntu ilel tedetyn, ty nmukityn, itydu dukuvnal, bolgitchamechin.
29-03	Er ile teden, tynmukityn omachir Obedinennai Natsiyal Organizatsiyatyn edenetyn shhuski gundemi.
30-00	Ilan dyari statyan
30-01	Ekun-mal er Deklaratsiyadu evki esin tedet tanivra, dyaldane – on emadu-val gosudarstvodu, umuken-nu iledu shhavalmi-gu, omi-gu targachir omachilva, emal ilel tedelvetyn, tynmukilvetyn achinnimi, er Deklaratsiya dukuvnalvatyn.
