00-00	Keshe khokuklarynyn gomuni deklaratsiyase
25-01	SHHer keshe tormysh derezhesen toshermeslek bulgan tuklanuga, kiemte, torakka, meditsina yardemsne, sotsial khezmet kurseteluge, uzene shhem gailesene selametlek, mul tormysh teemin iteluge khokukly. Eshsez kalgan ochrakta, avyrganda, gariplengende, tol galganda, kartaiganda shhem bashka torle uzene beilenmegen sebepler belen tormysh itu charalaryn yugaltkanda shher keshenen tievle yardem adyrga khokuky bar.
25-02	Ana bulu shhem sabyilyk aerym terbiyage shhem yardemge khokuk bire. Nikakhly shhem nikakhtan tysh tugan barlyk balalar berdei sotsial yaklanganlykka iya.
26-00	26 statya.
26-01	SHHer keshe belem alyrga khokukly. Bigrek te bashlangych shhem gomuni belem alu bushlai bulyrga tiesh. Bashlangych belem alu mezhburi bulyrga tiesh. Tekhnik shhem professional belem alu shherkem ochen momkin bulyrga tiesh, yugary belem alu shherkemnen seletene karap bulyrga tiesh.
26-02	Belem alu, keshe shekhesenen useshene, keshe khokuklaryna shhem ton ireklerge khormetne arttyruga yunelderelgen bulyrga tiesh. Belem alu rasalar, dini osshmalar shhem khalyklar arasynda duslykka, kileshuchenlekke, sabyrlykka bulyshyrga. Berleshken Millerler Oeshmasyna tynychlykny saklauda yardem iterge tiesh.
26-03	Ata-analar uzlerenen kechkene balalaryna belem alunyn toren sailauda ostenlekle khokukka iya.
27-00	27 statya.
27-01	SHHer keshe zhemgyyatenen medeni tormyshynda irelke katnashyrga, syndy sengatten lezzet alyrga, fennen useshende katnashyrga, fen birgen bailyklardan faidalanyrga khokukly.
27-02	SHHer keshe, avtor bularak, fenni, edebi, synly sengat olkesendege khezmete netizheleren, uzenen ekhlakyi shhem matdi ikhtyyazhlaryn yaklarga khokukly.
28-00	28 statya.
28-01	SHHer keshe bu Deklaratsiyade yazylgan khokuklarny shhem ireklerne tulysyncha tormyshka ashyrga torgan khalykara shhem sotsial, tertipke khokukly.
29-00	29 statya.
29-01	SHHer keshe zhemgyyat aldynda, uz shekhese irekle shhem tuly useshke ireshken zhemgyyat aldynda burychly.
29-02	Uzenen khokuklaryn shhem irekleren tormyshka ashyrgan chakta, shher keshe demokratik zhemgyyattege gomuni mul tormysh, sotsial tertip, gadel ekhlak talepleren kanegatlendere torgan khokuklarga shhem ireklerge tuly khormet teemin ite torgan zakonly chikleulerge gepe duchar itelerge momkin.
29-03	Bu khokuklarny shhem ireklerne tormyshka ashyru Berleshken Milletler Oeshmasy maksatlaryna shhem printsiplaryna karshy kilerge tiesh tugel.
30-00	30 statya.
30-01	Bu Deklaratsiyadege ber nerse de nindi de bulsa deuletke, ber torkem shekhselerge yaise aerym keshelerge bu Deklaratsiyade yazylgan khokuklarny shhem ireklerne yukka chygaryrga yul kuela dip anlatylyrga tiesh tugel.
