00-00	SA THEMENQI DEKLARACIA E MANUSIKANE HAKAJENQIRI
14-00	Sarkas si les hakaj te rodel thaj te arakhel and-e aver Thema rakhipen mamuj i persekucia.
14-01	Akava hakaj nasti akhardol and-e sure kana o naslo caces kerda nasulipen, savo nanaj politikane karakteresqo ja savo si mamuj-e principe ta resa e Unisarde Themenqere.
15-00	15
15-00	Sarkas si les hakaj te ovel les themutnipen.
15-01	Nikasqe nasti te lel pes zoraca lesqo themutnipen ja lesqo hakaj te paruvel mestes po themutnipen.
16-00	16
16-00	So pherde e bersa pekimnasqe, e murses ta e zuvla si len hakaj te prandinon thaj te temelisaren jekh familia. Si len barabar hakaja karing-o prandipen, and-o prandipen thaj kana phaglilo o prandipen.
16-01	Aaj te phandlol prandipen numaj kaan o zamutro aj i bori, sol duj meste- aj pherde-godaca, mangen te len pen.
16-02	I familia si i naturalo aj bazutni elementa e dostimnasqi thaj si la hakaj te rakhlol tar-o dostipen aj tar-o Them.
17-00	17
17-00	Sarkas si les hakaj, vi zenutnes, vi som averencar, te ovel les theripen.
17-01	Nikasqe nasti te lel pes zoraca ja arbitrar lesqo theripen.
18-00	18
18-01	Sarkas si les hakaj vas-o mesto godisaripen, somzanipen thaj religia aj pacapen; and-o manaipen akala hakajesqo, saj te paruvel mestes pi relegia ja pacapen thaj saj mestes, knrkorro ja som averencar, publik ja privat, te trrdel pi religia ja po pacapen siklarimnaca, praktikaca, kultonencar thaj ritualone acarencar.
19-00	19
19-01	Sarkas si les hakaj vas-i mesti openia thaj mothovipen; and-o manaipen akala hakajesqo, saj bipuchlo te dikarel pe openie thaj te rodel, te lel ta te buxlarel informacia ta idee prdal sarsave media, so mangel, bidikhle e Themnqe barra.
20-00	20
20-00	Sarkas si les hakaj te kidinol averencar aj te kerel lencar asociacie bicingardo.
20-01	Nikon nasti te chivel pes zoraca and-jekh asocircia.
21-00	21
21-00	Sarkas si les hakaj te chivel vast and-o ravipen pesqe Temsqo, ja direkt, ja pal-e bichalde, save si alosarde mestes.
21-01	Sarkas si les hakaj te resel, barbarimnasoe, and-e publuko buta pe Themesqe.
21-02	Odova so mangen e themutne si i baza pe savi besel o avtorite e ravimnasqo thaj si te mothovdol prdal bixoxavde alosarimata, save kerdon periodik, barabar savorrenqe, garavdevasteca ja prdal jekh aver meste-alosarimnasqi procedura.
22-00	22
22-01	Sarkas, sar somdasno e dostimnasqo, si les hakaj te istemal o socialo ristipen; saj te realisarel pe ekonomikane, socialo ta kulturalo hakaja, save si trebutne lesqe demnimnasqe thaj lesqe personalinasqe meste zamavimnasqe. Akaja realizacia kerdol nais e themutne ta maskarthemutne sombutimnasqe, dikhindor sar si i organizacia savorre Themesqi thaj kobor saj te del.
23-00	23
23-00	Sarkas si les hakaj te kerel buti, te alosarel mestes pi buti, te oven les bibange aj basutne kondicie butaqe thaj te ovel rakhlo mamuj-o bibutaripen.
23-01	Savorren si len hakaj, bi nisave diskriminaciaqo, te len barabar pokinipen barabare butaqe.
23-02	Sarkas, savo kerel buti, si les hakaj te ovel pokindo bibange aj basutne chandeca, so te ristarel pesqe aj familiaqe normrlo zivipen and-o manusikano demnipen. O pokinipen lesqo saj te kompletisavel, kana si tebutno, avere xaingenoar kotar-o socialo rakhipen.
23-03	Sarkas si les hakaj te temelisarel sindikata, ja te ovel somdasno anda laoe, te rakhel pe interose.
24-00	24
24-01	Sarkas si les hakaj te dinglol aj te xodinel, viz lesqo ciro e butaqo si te ovel godaver limitisardo thaj si te lel periodik pokindo mesto vaxt.
25-00	25
25-00	Sarkas si les hakaj te zivel adala standardooe, savo si basutno lesqe ta lesqe familiaqe sastimnasqe aj baxtaqe: te oven les xaben, gada uraimnasqe, kher besimnasqe, medikrlo aj socialo mazutipen; si les hakaj vi te ristol lesqe mazutipen and-e sure bibutarimnasqe, nasvalimnasqe, bizoralimnasqe, phivlimnsaqe, phurimnasqe thaj and-e aver sure, kana xasardile lesqe xainga pokinimnasqe tela trujalimata avri lese mangimnasoar.
25-01	E dien thaj e chavorren si len hakaj te mazutisaven special. Sa e chavorre, te oven biande prandime ja biprandime dadesor ta diaoar, si len ikano socalo rakhipen.
26-00	26
26-00	Sarkas si les hakaj pal-o siklopen ta i edukacia, save si dine bi lovenqo, sadorres and-i strautni aj bazutni skola. Edukacia stratutni si dutisardi. Texnikano ta profesionalo siklaripen mangel buxlardo bute manusenqe; o oprutno siklopen si te ovel putardo savorre manusenqe barabarimnasoe ta numaj p-i baza lenqe astimnasqi.
26-01	O res edukaciaqoro si te luludol losales o manusikano personalipen thaj te zorardol i pativ karing-e manuskane hakaja ta bazutne mestimata. Isi te spidel o halaripen, i tolerrncia ta o amalipen maskar savorre nrcie, racialo aj religialo grupe; vipalchande si te zamavel e aktivimata e Unisarde Themenqere vas-o dikaripen e achimnasqo.
26-02	E dades aj e dia si len o angluno hakaj te alosaren savi adukacia si te del pes lenqe chaven.
27-00	27
27-00	Sarkas si les hakaj te del vast aj pikho mestes and-o kulturalo zivipen e khetanimnasqo, te losanol e manusikane kreacioar thaj te lel kotor e zantrimnasqe progresosoar ta lesqe animata.
27-01	Sarkas si les hakaj te oven rakhle moral aj material lesqe interese, save thavden kotar savorri zantrimnasqi, literaturaqi ja aver kreacia lesqe godaqi ja vastenqi.
28-00	28
28-01	Sarkas si les hakaj te ovel and-i lumia asavi socialo ta maskarthemutni sistema, anda savi saj realisaven total e hakaja ta mestimata sar dine anda akaja Deklaracia.
29-00	29
29-00	Sarkas si les duta karing-o khetanipen anda savo ov saj te resel o mesto aj sasto zamavipen pe personalimnasqo.
29-01	And-i realizacia pe hakajenqi ta mestimatenqi, sarkon si te ovel limitisardo numaj pal-i decizia e kanonesqi thaj numaj odobor te prinzardon aj te respektisaven e averenqe hakaja ta mestimata; avec limite saj te thavden numaj kotar-e bixoxavne mangimata e moralaqe, e publikone achimnasqe thaj e generalone lachimnasqe jekhe demokratikone dostimnasoe.
29-02	Akala hakaja ta mestimata nasti nisar te realisaven mamuj-e resa ta principe e Unisarde Themenqere.
30-00	30
30-01	Khanc akala Deklarrcia nasti te interpretisavel sar dispozecia savi mukhel. Them, grupa ja zenes te stratisarel varesavo aktivipen ja te kerel vareso mangindor te ustavel ja phagel e hakaja ta mestimata, save si dine avri akate.
