00-00	BATAAXAL GU MAG GI EMB SAN-SANI DOOMI AADAMA
06-01	Nit ku ne am na san-san nu war kaa nangul darajaam ci wallu yoon.
07-00	7. Juroom benneeli matukaay
07-01	Nepp a yam ci kanamu yoon. Te it amul xeej ak seen, ku ne yoon woowu war na laa aar. Nepp war nanu leen aar ci luy jalgati linu tenk ci bataaxal bii ak bepp yengu-gengu buy indi par-parloo.
08-00	8. Juroom natteelu matukaay
08-01	Nit ku ne am na san-san dem ci berebi atte kaay yi ci reewam saa yoo xamne san-sanam yooyu deppook sarti reewam mba yoon jalgati nanu ko.
09-00	9. Juroom nentteeli matukaay
09-01	Menunoo japp, tej, mbaa genne kenn reewam te tegunu ko ci yoon.
10-00	10. Fukkeeli matukaay
10-01	Ci lu wer, nit kune men naa egg ci berebu atte kaay wax li ko naqari ci anam gu jub, te bana and ak par-parloo, ne danu ko taxal.
11-00	11. Fukkeeli been matukaay ak benn
11-00	Bepp nit bu nu taqal cimbir mu tar jappe nanu ko ku set ba loolu nu ko taxal leer nann ginnaaw bi nu ko attee. Te nu taxawu ko ci lepp lu koy aar ci atte boobule.
11-01	Dunu tej kenn ci ay jefam mbaa lu mu fatte mbete loolu mu jef ci jamono jooju nekkul mbir mu tar ci wallu yoon, ci biir ak bitim reew. Foofu it yoon du ko teg lu dul limengook li mu def ci jamono jooju.
12-00	12. Fukkeeli matukaay ak naar
12-01	Kenn warula xuus ci dundinu doomu aadama, bu njabootam, ci lu jem ci keram mbaa lu mengook moom, di damm it jarajaam. Bunu jalgatee yii nit kune am na san-san nu aar ko ci wallu yoon.
13-00	13. Fukkeeli matukaay ak natt
13-00	Nit kune am na san-san wendeelu ni mu ko neexe, tann it dekkuwaayam ci biir reew bu mu men ti doon.
13-01	Nit kune am na san-san genn reew mu mu men ti doon. Fimu dekk it bokk na ci-ak it dellusi ci reewam.
14-00	14. Fukkeeli matukaay ak nent
14-00	Nit kune bu nu ko mbugalee am na san-san laqu ji, mbaa naan nu laq ko ci yeneni reew.
14-01	Su fekkee ne nit ki danu koy toppu ginnaaw bi mu defee jeyyi, mbaa yengu-yengoon mengoowul ak li mbootaayu xeet yi teral, san-san boobu.
15-00	15. Fukkeeli matukaay ak juroom
15-00	Nit ku ne am na san-san xeetoo cim reew.
15-01	Menunu ne nit ki xeetoowul cim reew te tegunu ko fenn, mbaa nu xan ko san-san su beggee soppi xeetoom ak reewan.m
16-00	16. Fukkeeli matukaay ak juroom benn
16-00	Jigeen mbaa joor saa yu matee amul xaaj ak seen, ak waaso bu mu men ti bokk, reew, mba diine am na san-san sey ak it sos njaboot. Noo yam it san-san, balaa nuy seey, ci biir sey ak it bu seen sey tasee.
16-01	Sey kenn menunuko fas, xanaa lu jiitu ku ne ci way-dencante yi joxe xalaatam.
16-02	Njaboot nekk na menneef gu am solo ci askan wi.
17-00	17. Fukkeeli matukaay ak juroom naar
17-00	Ngay dund yaw doww mbaa ak mbooloo am nga san-san am loo moomal sa bopp.
17-01	Menunoo xan kenn am aman.
18-00	18. Fukkeeli matukaay ak juroom natt
18-01	Nit kune am na san-san xalaat ak sa goom ci wallu diine, soppi it diineem mba ngemam, am na it tawfeex feenal diineem, mbaa ngemam, ak mbooloo, mbaa moom doww, fu adduna daje mbaa deet, jarali ko ci njangale mi, ci ay jef, ci jaamu yi ak xarbaax.
19-00	19. Fukkeeli matukaay ak juroom nent
19-01	Nit ku ne am na san-san wax mbaa bind lu ko soob. Ci waxam yooyule kenn menuko ce bundu xatal. Te it am na san-san di gestu, di jot, di wasare ci anam gu yaa ay xabaaraki xalaat ak ay jumtukaay yu mi Men ti jefandikoo.
20-00	20. Naar fukkeeli matukaay
20-00	Nit kune am na san-san woote ab ndaje, mbaa sos mbootaay ci jamm.
20-01	Menunoo bokk loo kenn ci mbootaay te andu ci.
21-00	21. Naar fukkeeli matukaay ak benn
21-00	Nit ku ne am na san-san bokk ci niy doxal mbiri reewam. Mu teewal fa boppam, mbaa mu yabal ab ndaw mu teewal ko fa.
21-01	Nit ku ne am na san-san, amul xeej ak seen liggeey ci bepp bereb buy doxal mbiri reewam.
21-02	Pas-pasu askan mooy ceslaay buy degeral lepp luy doxal reew. Pas-pas gile war na feen ci palin yu yiw yu nu wara amal leeg-leeg ci tannin gu yaa te am sutura,mbaa topp yoon wu woor wu andak taw feex ci wallu pal.
22-00	22. Naar fukkeeli matukaay ak naar
22-01	Nit ku ne menneefu askan wi am na san-san nu aar ko ci giru dundam. Ci dundam war na ci am xol bu sedd ci san-sanam yooyu, lu aju ci koom-koomam, ci dundinam ak ci lepp lu aju ci aadaam te di ko jox maanaa ak yookkute gu and ak tawfeex ci wallu darajaam, loolu lepp nag ku ne doomu reew mi indi dooleem ak di jokkalante ak bitim reew te mu mengook tererin ak am-amu reew mu ne.
23-00	23. Naar fukk ak natteeli matukaay
23-00	Nit ku ne am na san-san liggeey, tann it ci eanam gu ko neex liggeeyamm te mu deppook ay saart yu yam te baax ci wallu liggeey. Te it nu aar ko ci nakkub liggeey.
23-01	Amul xeej ak seen ku neppam nanu san-san nu fay leen, te loolu mengook li mu aliggeey.
23-02	Keepp kuy liggeey am na san-san nu jox ko pay gi mu yellool, baax te men koo dundal ak njabbotam te mu yellook sagu doomu aadama, mu mottaliku it ak yeneeni pexe su menee am ngir aar dundinam.
23-03	Nit ku ne am na san-san samp mbaa bokk ci ay kurel yu koy taxawu ci wallu liggeeyam.
24-00	24. Naar fukk ak nenteeli matukaay
24-01	Nit ku ne am na san-san noppalu, feexal xolal ak it di yamale diirub liggeeyam ak it leeg-leeg muy per, ber gu and ak xaalis.
25-00	25. Naar fukk ak juroomeeli matukaay
25-00	Nit ku ne am na san-san am dundingu yamamaay ngir degeral wer-gi-yaramam, raataageem ak bu njabootam, lrawatina ci wallu lekk col, dekkuwaay, lepp lu aju ci wallu paj ak bepp yengu-yengu gu am farata ci wallu dundam. Am na it san-san nu aar ko bu liggeeyatul bu feebaree, bu amee laago, nakk saxnaam mbaa serinam, mbaa magget, mbaa mu nakk li muy suturloo ci anam yu dul ci cootareem.
25-01	War nanu beral loxo, dimbali kepp ku tollu ci am doom ak it gune yi. Bepp xale bu juddu ci sey, mbaa bu judduwul ci sey noo bokk benn anam bun leen di aare.
26-00	26. Naar fukk ak juroom benneeli matukaay
26-00	Nit ku ne am na san-san nu jangal ko, njang mi warunu ci fayaku lu mu bon bon ci njang mu suufe mi te am solo. Njang mu suufe mi lu war la. Njang mu xarala mi, te it aju ci wallu liggeey war nanu koo wasaare. Amul xeej ak seen njang mu kawe mi ubbil nanu ko kepp ku ko yelloo.
26-01	Njang war naa indi naataange gu yaa ci ddoomi aadama te it war na degeral nu naw san-sani doomi aadama aki tawfeexam ci anam gu yaa-wat na it rataxal deggoo gi ak yokkute mbootaayu xeet yi ngir jamm sax.
26-02	Waajur yi noo jekk am san-san ci anam gi nuy yare seeni doom.
27-00	27. Naar fukk ak juroom nenteeli matukaay
27-00	Nit ku ne am na san-san bokk ci depp lu aju ci caaday askan wi, di banneexu ci lu cu aju ak it bokk ci lepp luy suqali xarala gi ak lu ciy men.
27-01	Nit ku ne am na san-san nu aaral ko lepp lu aju ci lu mudefar ci wallu la xarala, mbind mbaa lu aju ci wallu caala.
28-00	28. Naar fukk ak juroom natteeli matukaay
28-01	Nit ku ne war naa tawaxu depp lu aju a askan wi, ak lu aju ci bitim reewam ba san-san ak tawfeex yi bataaxalu xeet gi emb men a sax.
29-00	29. Naar fukk ak juroom nenteeli matukaay
29-00	Nit ku ne am na ay wareef yu ko war digganteem ak dekkandoom yi ngir degeral ci anam gu ya darajaam.
29-01	Nit ku ne buy doxal ay san-sanam aki tawfeexam war naa sallook li ko yoon may, ngir mu men a nangu, naw, san-san nawleem ba leepp lu aju ci yiw, teey ak naataange gu yaa sax ci askan wi.
29-02	San-san yeek tawfeex yi menunukoo doxal ci anam gu deppoo-wul li mbootaayu xeet yi miser mbaa taxawal.
30-00	30. Fanweereeli matukaay
30-01	Ci fann gu mu men ti doon ci bataaxal bii, bepp reew, mbootaay mbaa nit, warul doxal mbaa def luy yaq san-san yeek tawfeex.
