00-00	DECLARAZION UNIVERSAL DAI DERITS DAL OM
02-01	A ogni individui i spietin ducj i derits e dutis lis libertats proclamats in cheste Declarazion, cence nissune distinzion par vie di gjernazie, color, mascjo o femine, lenghe, religjon, di impinion politiche o alcaltri, di zoc nazional o social, di ricjece, di nassite o altre condizion.
02-02	E no sara fate nissune distinzion nancje par vie dal Statut politic, juridic o internazional dal pais o de tiare che une persone i parten, tant se che tiare e je indipendent che s’e je sot ministrazion fiduciarie o no autonime o sot cualchi altri limit di sovranitat.
03-00	Articul 3
03-01	Ogni individui al a derit a la vite, a la libertat e a la sigurece de so persone.
04-00	Articul 4
04-01	Nissune persone e po jessi tignude in sclavitut o servitut; la sclavitut e il trafic dai sclafs di cualsisei gjenar a son improibits.
05-00	Articul 5
05-01	No si po tortura nissun, ni dopra par nissune persone trataments o punizions barbars, disumans o vergognos.
06-00	Articul 6
06-01	Ogni individui al a derit, pardut la che si cjate a sei, che i vegni ricognussude la so personalitat juridiche.
07-00	Articul 7
07-01	Denant de les a son ducj compagns e ducj a an derit, cence nissune parzialitat, a la stesse protezion de les. A an ducj derit di jessi vuardats di ogni discriminazion contrarie a cheste Declarazion ch’e je stade fate cuintri cualsisei instigazion a discriminazions di che sorte.
08-00	Articul 8
08-01	Ogni individui al a derit a une real possibilitat di ricori a tribunai competents nazionai cuintri di fats ch’a van cuintri dai derits fondamentai che la constituzion o la les i ricognossin.
09-00	Articul 9
09-01	Nissune persone no po jessi arestade, tignude in preson o mandade in esili cence juste reson.
10-00	Articul 10
10-01	Ogni individui al a derit in plene paritat, a une juste e publiche udience denant di un tribunal indipendent e imparzial, par decidi dai siei derits e doves, e ancje par prova la positivitat di cualsisei acuse penal che i vegni fate.
11-00	Articul 11
11-01	Ogni individui acusat di une malefate al e presumut nocent fintant che la so colpe no sei stade dimostrade par vie legal tun public proces dula che i vein dat ogni garanzie par difindisi.
11-02	Nissun individui nol po vigni condanat par une robe fate o no fate, se, in chel tal moment, che robe no jere considerade une malefate secont il derit local o internazional. Come che no si podara mai da un cjastic plui grant di chel stabilit tal moment de malefate.
12-00	Articul 12
12-01	Nissun individui nol po jessi sogjet a interferencis arbitrariis te so vite privade, te so famee, te so cjase, te so corispuindince, e nancje jessi ufindut tal so onor e te so stime. Ogni individui al a derit di jessi vuardat de les cuintri interferencis o ufesis di cheste fate.
13-00	Articul 13
13-01	Ogni individui al a derit di sta e di movisi dentri i confins di ogni Stat.
13-02	Ogni individui al a derit di la vie di cualsisei pais, ancje dal so, e di torna.
14-00	Articul 14
14-01	Ogni individui al a derit, cuintri lis persecuzions, di ciri e cjata ricet in altris pais.
14-02	Nol podara ricori a chest derit un individui s’al e cirut par malefatis no politichis o par fats contraris ai fins e ai principis des Nazions Unidis.
15-00	Articul 15
15-01	Ogni individui al a derit di ve une citadinance.
15-02	A nissun individui no si po cjoli cence une reson la so citadinance e nancje il derit di cambiale.
16-00	Articul 16
16-01	Oms e feminis in etat adate a an il derit di sposasi e di meti su famee, cence nissune limitazion di gjernazie, citadinance o religjon. A an ducj i stes derits a rivuart dal matrimoni, par tant ch’al dure e cuantche si disfe.
16-02	Il matrimoni si po falu dome cul libar e plen consens dai nuviss deventants.
16-03	La famee e je la fonde natural e fondamental de societat e e a il derit che la difindin la societat e il Stat.
17-00	Articul 17
17-01	Ogni individui al a derit di ve une propietat so personal o comugnal cun altris.
17-02	A nissun individui no si po cjoli la so propietat cence une reson.
18-00	Articul 18
18-01	Ogni individui al a derit a la libertat di pinsir, cussience e religjon; chest derit al vul di ancje libertat di gambia religjon o fede, e libertat di pandi dibessol o cun altris, tant in public che in privat, la so religjon o la so fede tal insegna, tes pratichis, tal cult e te osservance des ceremoniis.
19-00	Articul 19
19-01	Ogni individui al a derit a la libertat di impinion e di espression, dutun cul derit di no jessi lambicat par vie de so idee e il derit di ciri, di ve e di propaganda informazions e ideis cun ogni mies e cence limitazions.
20-00	Articul 20
20-01	Ogni individui al a derit a la libertat di riunion e di associazion pacjifiche.
20-02	No si po oblea nissun a fa part di une associazion.
21-00	Articul 21
21-01	Ogni individui al a derit di partecipa al guvier dal so pais tant di persone che par mies di rapresentants sielzuts liberementri.
21-02	Ogni individui al a derit di pode riva, in condizions di paritat, ai puescj di vore publics dal so pais.
21-03	La volontat popolar e je la fonde de autoritat dai guviers; cheste volontat si a di pandile traviers elezions periodichis e onestis, a sufragjo universal e compagn, cun vot segret o tun altri mut ch’al garantissi la libertat di esprimisi.
22-00	Articul 22
22-01	Ogni individui, come part de societat, al a derit a la sigurece social, e ancje di realiza, cul impegn nazional e la colaborazion internazional e tignint cont de organizazion e des possibilitats di ogni Stat, i derits economics, sociai e culturai indispensabii a la so dignitat e a la libare cressite de so personalitat.
23-00	Articul 23
23-01	Ogni individui al a derit al lavor, a la libare sielte dal puest di vore, a condizions justis e buinis di lavor e a jessi vuardat cuintri la disocupazion.
23-02	Ogni individui, cence parzialitat, al a derit di ve la stesse pae par un lavor compagn.
23-03	Ogni individui ch’al lavore al a derit a une pae juste e buine che i garantissi a lui e a la so famee une vite secont la dignitat umane e staronzade, s’al covente, cun altris miess di protezion social.
23-04	Ogni individui al a derit di meti su sindacats e di faur part par difindi i siei interes.
24-00	Articul 24
24-01	Ogni individui al a derit di polsa e di distraisi, intindint cun chest un just limit des oris di lavor e di feriis periodichis paiadis.
25-00	Articul 25
25-01	Ogni individui al a derit a un sistem di vite bon di garanti la salut e il bonsta so e de so famee, massime pal nudriment, il vestiari, une cjase, la assistence mediche, e ai servizis sociai necessaris; al a derit a la sigurece in cas di disocupazion, malatie, invaliditat, veduance, vecjae o in ogni altri cas di piardite dai miess di sussistence par robis che no dipendin dal so vole.
25-02	La maternitat e la infanzie e an derit a curis specials e assistence. Ducj i fruts nassuts tal matrimoni o fur, a an di gjoldi de stesse protezion social.
26-00	Articul 26
26-01	Ogni individui al a derit a la instruzion. La instruzion e a di jessi a gratis almancul pes classis elementars e fondamentals. La instruzion elementar e a di jessi obligatorie. La instruzion tecniche e professional e a di jessi possibil a ducj e cussi la instruzion superior e a di jessi possibil a ducj daur dal merit.
26-02	La instruzion e a di jessi indresade a une plene incressite de personalitat umane e a un simpri plui grant rispiet dai derits dal om e des libertats fondamentals. La instruzion e a di fa cressi la comprension, il bon cur, la amicizie fra dutis lis Nazions, lis comunitats etnichis e religjosis, e da une man a la vore des Nazions Unidis par mantigni la pas.
26-03	I gjenitors a an prin di ducj derit di sielzi il gjenar de instruzion pai lor fis.
27-00	Articul 27
27-01	Ogni individui al a derit di jessi a part de vite cultural de comunitat, di gjoldi des arts e di da di vore al progres de sience e usufrui dai siei beneficis.
27-02	Ogni individui al a derit a la difese dal interes moral e matereal ch’a divegnin di une produzion sientifiche, leterarie e artistiche che lui al vedi fate.
28-00	Articul 28
28-01	Ogni individui al a derit di cjatasi a vivi tun sistem social e internazional dula che i derits e lis libertats proclamadis in cheste Declarazion a sein metuts in pratiche dal dut.
29-00	Articul 29
29-01	Ogni individui al a doves viers la comunitat, la che lui al po madressi adimplen e cun libertat.
29-02	Tal dopra i siei derits e lis sos libertats, ognun al a di tigni cont dome dai limits prescrits de les par che si ricognossin e che si rispietin pardabon i derits e lis libertats di chei altris e par contenta lis esigjencis justis de moral, dal ordin public e dal benjessi gjeneral di une societat democratiche.
29-03	No si po dopra mal chescj derits e chestis libertats cuintri i fins e i principis des Nazions Unidis.
30-00	Articul 30
30-01	Nissun Stat, grop o persone a puedin cjapa alc di cheste Declarazion par campa derits di meti su trafics o combina voris ch’a cirin di dinea cualchi derit o libertat ch’e je stade metude in clar culi.
