00-00	Declarasion univarsale de i deriti umani
06-01	Onjun el ga el derito, dapartuto, a’l reconosimento de la so parsonalita zuridega.
07-00	Artigolo 7
07-01	Tuti cuanti i ze conpanji davanti a la leze e i ga el derito, sensa nesuna discriminasion, a la stesa protesion da parte de la leze. Tuti cuanti i ga derito a na stesa protesion contro de onji discriminasion che la ghe vaga contro a ’sta Declarasion, e cusi anca par onji istigasion a ’sta dita discriminasion.
08-00	Artigolo 8
08-01	Onjun el ga el derito a na efetiva posibilita de recorso a tribunali conpetenti, contro de ati che no i respeta i so deriti fondamentali reconosui da la costitusion o da la leze.
09-00	Artigolo 9
09-01	Nesun el podara esar aresta, inprezona o ezilia par arbitrio.
10-00	Artigolo 10
10-01	Onjun el ga el derito, in condision conpanja par tuti, a na udiensa justa e publega davanti de un tribunale independente e inparsiale, par la detarminasion de i so deriti, de i so doveri e anca de onji acuzasion criminale contro de lu.
11-00	Artigolo 11
11-01	Onji parsona acuza de un crimene la ze considara inosente fin che la so colpa la sia sta prova par via legale inte un proseso publego ndo’ che la gapia vuo tute le garansie che le ghe vole par la so defension.
11-02	Nesun el sara condana par un conportamento de comision o de omision che, inte’l momento de’l fato, no’l fuse considara crimene drio el derito interno o drio el derito intarnasionale. Isteso, nesuna pena la podara esar sentensia che la sipie suparior a cuela che la jera prevista inte’l momento de la comision de’l crimene.
12-00	Artigolo 12
12-01	Nesun el gavara da subir intarfarense arbitrarie inte la so vita priva, inte la so fameja, inte la so caza, inte la so corespondensa, e njanca da vedare ofendesti el so onor e la so reputasion. Onjun el ga el derito de esar tutela da la leze contro de ’ste intarfarense o ofeze.
13-00	Artigolo 13
13-01	Onjun el ga el derito a la libarta de movarse e de abitar rento i confini de onji Stato.
13-02	Onjun el ga el derito de ndar via da onji paeze, fuse anca el suo, come anca de retornar a’l so paeze.
14-00	Artigolo 14
14-01	Onjun el ga el derito de sercar e de godar, rento de altri paezi, de azilo da le parsecusion.
14-02	’Sto derito no’l podara esar invoca cuando che la parsona la sia par vero reserca par crimeni mia politeghi o par asion contro i fini e i prinsipi de le Nasion Unie.
15-00	Artigolo 15
15-01	Onjun el ga derito a na nasionalita.
15-02	A nesun A podara esarghe cava par arbitrio la so nasionalita e njanca el derito de muarla.
16-00	Artigolo 16
16-01	Omani e femane otemi i ga el derito de maridarse e de fondar na fameja, sensa limitasion de rasa, nasionalita o relijon. I ga deriti conpanji revardo a’l matrimonio, durando el matrimonio e inte l’ato de la so desolusion.
16-02	El matrimonio el podara esar fato solo che co’l libaro e pien consentir de i spozi promesi.
16-03	La fameja la ze el nucleo naturale e fondamentale de la sosieta e la ga el derito a esar protejesta da la sosieta e da’l Stato.
17-00	Artigolo 17
17-01	Onjun el ga el derito de aver na propieta sua parsonale o in comun co altri.
17-02	Nesun el podara esar depriva de la so propieta par arbitrio.
18-00	Artigolo 18
18-01	Onjun el ga el derito a la libarta de pensier, de cosiensa e de relijon; ’sto derito el ciapa rento anca la libarta de muar relijon o credensa, e la libarta de manifestar, izoladamente o in comun, in publego e in priva, la propia relijon o la propia credensa inte l’insenjar, inte’l prategar, inte’l culto e inte l’osarvansa de i riti.
19-00	Artigolo 19
19-01	Onjun el ga el derito a la libarta de opinion e de espresion, ciapa rento anca el derito de no esar molesta par la so opinion, e cuelo de sercar, otenjar e devulgar informasion e idee co onji mezo e sensa revardo par i confini.
20-00	Artigolo 20
20-01	Onjun el ga el derito a la libarta de reunion e de asosiasion pasifega.
20-02	Nesun el pol esar costrenzesto a far parte de na asosiasion.
21-00	Artigolo 21
21-01	Onjun el ga el derito de partesipar a’l governo de’l so paeze, sia par direto che par traverso de raprezentanti libaramente sielti.
21-02	Onjun el ga el derito de intrar a l’inpiego publego de’l so paeze in condision conpanje par tuti.
21-03	La volonta popolar la ze el fondamento de l’autorita de’l governo; ’sta volonta la ga da ndar estarna par traverso de elesion pariodeghe e vere, fate co’l voto univarsale, conpanjo e segreto, o drio na prosedura de tenor gualivo de libara votasion.
22-00	Artigolo 22
22-01	Onjun, sendo menbro de la sosieta, el ga el derito a la segurita sosiale, e anca a la realizasion par traverso de’l sforso nasionale e de la cooparasion intarnasionale e in ligo co l’organizasion e le resorse de onji Stato, de i deriti economeghi, sosiali e culturali indespensabili par la so dinjita e a’l dezvilupo libaro de la so parsonalita.
23-00	Artigolo 23
23-01	Onjun el ga derito al lavoro, a la libara sielta de’l posto de inpiego, a condision de lavoro juste e asetabile e a la protesion contra la dezocupasion.
23-02	Onjun el ga, sensa discriminasion, el derito a na retribusion conpanja par el medezemo laoro.
23-03	Onjun che’l laora el ga derito a na remunarasion justa e co sodisfasion che la ghe segure a lu medezemo e a la so fameja de poder vivar co dinjita umana e integra, se ocor, da altri mezi de protesion sosiale.
23-04	Onjun el ga derito de fondar sindacati e de farghe adezion par la defension de i so intaresi.
24-00	Artigolo 24
24-01	Onjun el ga el derito de sponsar e de straviarse, ciapa rento donca anca na limitasion rasionale de le ore de laoro e ferie pariodeghe pagae.
25-00	Artigolo 25
25-01	Onjun el ga el derito a un tenor de vita che’l baste a garantir la salute e el ben esar suo e de la so fameja, co ocio partegolar par la nutrision, el vestir, la caza, e le cure medeghe e i servisi sosiali che i ocor; e el ga el derito a la segurita in cazo de dezocupasion, malatia, invalidita, vedovansa, ansianita o par onji altro cazo de perdita de i mezi de susistensa par sircostanse independenti da la so volonta.
25-02	La maternita e la infansia le ga el derito a cure e asistense spesiale. Tuti i puteli, nasesti inte’l matrimonio o fora, i ga da godar de la stesa protesion sosiale.
26-00	Artigolo 26
26-01	Onjun el ga el derito a l’istrusion. L’istrusion la ga da esar gratis almanco par cuelo che’l revarda le clase elementar e fondamentale. L’istrusion elementar la ga da esar de obligo. L’istrusion tecnega e profesionale la ga da esarghe mesa a la despozision de tuti e l’istrusion suparior la ga da esar gualiva e a la portada de tuti drio el merito.
26-02	L’istrusion la ga da esar inderisa a’l dezvelupo pien de la parsonalita umana e a’l renforso de’l respeto de i deriti umani e de le libarta fondamentale. La ga da promovar la conprension, la tolaransa, la amighita intra de tute le Nasion, i grupi rasiali e relijozi, e la ga da jovarghe a l’opara de le Nasion Unie par el mantenjimento de la paze.
26-03	I zenidori i ga el derito de priorita inte la sielta de’l tipo de istrusion da darghe a i so fioli.
27-00	Artigolo 27
27-01	Onjun el ga el derito de ciapar parte libaramente a la vita culturale de la comunita, de godar de le arte e de partesipar a’l progreso sientifego e a i so benefisi.
27-02	Onjun el ga derito a la protesion de i intaresi morali e matariali che i vien da onji produsion sientifega, letararia e artistega che’l gapia realiza.
28-00	Artigolo 28
28-01	Onjun el ga el derito a un ordene sosiale e intarnasionale ndo’ che i deriti e le libarta prezentai inte ’sta Declarasion i pose esar realizai in pien.
29-00	Artigolo 29
29-01	Onjun el ga serti oblighi verso de la comunita, che la solo la so parsonalita la cata posibile el so dezvilupo libaro e pien.
29-02	Inte l’ezersitar de i so deriti e de le so libarta, onjun el pol catarse de fronte solo che chele limitasion che le ze stabilie da la leze par segurar el reconosimento e el respeto de i deriti e de le libarta de i altri e par sodisfar le nesesita juste de la morale, de l’ordene publego e de’l ben esar zenarale inte na sosieta democratega.
29-03	’Sti deriti e ’ste libarta no i pol, inte nesuna maniera, esar ezersitai in contrasto co i fini e i prensipi de le Nasion Unie.
30-00	Artigolo 30
30-01	Njente rento de ’sta Declarasion el pol esar intarpreta inte’l senso de conportar un derito de un Stato, grupo o parsona ch’A se voje, de ezersitar na ativita o de conpir un ato mira a la destrusion de calchedun de i deriti e de le libarta cusi declarai.
