00-00	Deklarasyon linivesel Dwa Moun
02-01	Chak grenn moun sou te a fet pou kapab benefisye libete ak dwa ki pwoklame nan Deklarasyon sila a, san okenn diferans, tankou diferans ki baze sou ras, sou koule po, sou si se fanm oswa si se gason. Pa fet pou gen okenn diferans ki baze ni sou lang, ni sou relijyon, ni sou opinyon politik oswa lot fason seten moun panse; ni pa dwe gen diferans ki baze sou nasyonalite moun, klas sosyal yo, riches yo, nan ki kondisyon paran yo te fe yo; ni sou okenn lot rezonman nan jan sa a.
02-02	Pa fet pou gen okenn diferans non plis, ki gen rapo ni ak sitiasyon politik, ni ak kalite rapo relasyon diplomatik ki egziste ant peyi kote moun nan ye a ak peyi kote moun nan soti a, kit se yon peyi oswa yon teritwa endepandan, kit li anba drapo yon lot peyi, ki li gran moun lakay li, oswa t a gen kek regleman ki limite pouvwa peyi sila a pou li pran desizyon poukont li.
03-00	Atik 3
03-01	Se dwa chak moun pou li chache mwayen pou konseve lavi li, konseve libete li epi pwoteje tet li.
04-00	Atik 4
04-01	Pesonn pa gen dwa fe okenn moun tounen esklav ni fose okenn moun fe yon travay. Pa fet pou gen ni esklavaj, ni komes esklav, kelkeswa jan y ap fet la.
05-00	Atik 5
05-01	Yo pa gen dwa bat okenn moun, ni fe li pase mize, ni fe li sibi lot kalite soufrans pou fe li pedi kontwol li oswa fe li sispann konsidere tet li kom moun, fe li tounen zonbi.
06-00	Atik 6
06-01	Chak moun gen yon seri dwa Lalwa ba li. Dwa sila yo fet pou respekte toupatou sou te a.
07-00	Atik 7
07-01	Tout moun egalego devan Lalwa. Lalwa fet pou bay tout moun menm pwoteksyon, san distenksyon. Lalwa fet pou pwoteje tout moun menm jan, kont tout prejije ke deklarasyon sa a pa dako ak yo epi tout pwovokasyon ki ka kreye kalite prejije sa yo tou.
08-00	Atik 8
08-01	Se dwa tout moun pou otorite lajistis nan peyi kote y ap viv la, ba yo bon jan konkou pou anpeche yo viktim move zak ki dozado ak dwa Konstitisyon oswa Lalwa peyi a ba yo eke Dwa sa yo pesonn pa sipoze wete nan men yo.
09-00	Atik 9
09-01	Yo pa gen dwa rete konsa pou yo arete yon moun, ni pou yo femen li nan prizon ni pou yo ekzile li san koz.
10-00	Atik 10
10-01	Se dwa chak moun ki paret devan lajistis, pou yo tande koz li menm jan ak pa tout lot moun. Koz chak moun fet pou jije kle, san paspouki, devan yon tribinal ki pa nan patipri. Se tribinal sa a ki pou fe jijman sou dwa ak responsablite moun nan. Se tribinal la tou ki pou deside si lalwa rekonet te gen ase koz pou yo mennen moun nan devan lajistis.
11-00	Atik 11
11-00	Nenpot ki moun yo ta akize pou move zak, yo dwe konsidere moun nan inosan, jiskaske Lalwa vini rekonet li kom koupab; oubyen apre yo fin tande koz la nan yon tribinal piblik. Tribinal sa a dwe bay moun nan tout mwayen pou li defann tet li.
11-01	Yo pa fet pou kondane okenn moun poutet li te aji yon fason ki pa bon si, le moun nan t ap aji a pat ko gen okenn Lwa nan peyi a, ni okenn Lwa entenasyonal ki te ko deklare moun nan pa gen dwa aji fason sa a. Menm jan an tou, yo pa gen dwa bay okenn moun yon kondanasyon ki pi gwo pase sa Lalwa te fikse pou move zak la, le moun nan t ap komet li a.
12-00	Atik 12
12-01	Pesonn pa fet pou fouye nan lavi prive okenn lot moun, nan zafe fanmi li, ni nan sa k ap pase andedan lakay li. Pesonn pa gen dwa fouye nan let yon lot moun ekri oswa let li resevwa, ni fe anyen ki ka dezonore moun nan oswa fe li pedi repitasyon li. Chak moun gen dwa pou Lalwa ba li pwoteksyon kont zak fouyapot ak medizan-malpalan sa yo.
13-00	Atik 13
13-00	Chak moun gen dwa pou li sikile lib epi pou li chwazi ki bo li vle abite nan peyi kote li'ap viv la.
13-01	Nenpot ki moun fet pou gen dwa pati kite nenpot ki peyi, menm si se peyi pa li. Se dwa moun nan pou li retounen nan peyi li le lide li di li.
14-00	Atik 14
14-00	Le gen pesekisyon, tout moun gen dwa chache refij nan anbasad oswa teritwa yon lot peyi. Se dwa tout moun pou yo benefisye pwoteksyon sa a.
14-01	Dwa sa a pa valab si y'ap pouswiv moun nan pou yon krim Lalwa kondane, oswa pou kek ajisman ki pa ale nan menm sans ak entansyon epi ak prensip Nasyonzini yo.
15-00	Atik 15
15-00	Se dwa chak kretyen-vivan pou li gen yon nasyonalite.
15-01	Pesonn pa ka wete nasyonalite yon moun nan men li, ni retire dwa moun nan pou li chanje nasyonalite li.
16-00	Atik 16
16-00	Depi yon gason ak yon fi maje, kelkeswa ras yo nasyonalite yo oswa relijyon yo, yo gen dwa marye epi fonde yon fanmi. De moun sa yo toujou egalego tout tan yo ansanm epi menm le y ap kite.
16-01	Maryaj la pa sa fet san se pa ak lib konsantman 2 moun ki pral marye yo.
16-02	Maryaj se asosiyasyon ki pi konsekan nan je lasosyete. Li fet pou benefisye pwoteksyon lasosyete ak leta.
17-00	Atik 17
17-00	Se dwa chak moun pou li genyen yon byen, swa poukont li swa nan tet ansanm ak lot moun.
17-01	Pesonn pa ka rete konsa pou li deside wete byen yon moun nan men li.
18-00	Atik 18
18-01	Se dwa chak moun pou li gen fason panse pa li, konviksyon ak relijyon lide li di li. Ak dwa sa a, chak moun sipoze lib chanje relijyon jan li vle, ak konviksyon li tou. Chak moun sanse lib fe antrenman, fe pratik, fe sevis ak seremoni pou manifeste relijyon oswa kwayans li. Li sanse lib fe tout bagay sa yo, swa poukont li swa nan yon gwoup, kit se devan tout piblik la, kit se yon kote apa.
19-00	Atik 19
19-01	Se dwa chak moun pou li gen fason panse pa li. Epi pou li gen dwa lapawol. Sa vle di tou, dwa pou pesonn pa ba li pwoblem poutet jan li panse, epi li ka sevi ak nenpot kalite mwayen pou li mache chache, swa asepte, swa resevwa enfomasyon epi simaye yo tribo-babo, ak tout kalite lide.
20-00	Atik 20
20-00	Tout moun lib fe reyinyon epi pran pa nan asosiyasyon san zam.
20-01	Yo pa gen dvva oblije pesonn vini manm okenn asosiyasyon .
21-00	Atik 21
21-00	Tout moun gen dwa patisipe nan direksyon zafe piblik peyi li. Gen 2 fason moun nan ka patisipe: swa li chache antre li menm-menm nan yon administrasyon Leta; swa li pran pa nan yon eleksyon lib, pou chwazi moun ki pou dirije onon li.
21-01	Tout moun gen dwa chache yon djob epi jwenn nan Leta san parenn, ni piston.
21-02	Se sou volonte pep tout pouvwa ak otorite piblik repoze. Volonte sa a fet pou manifeste nan eleksyon onet, ki ta dwe fet nan yon dat fiks, kote chak sitwayen gen libete vote nan sans li vle. Volonte pep la gen dwa manifeste tou nan nenpot lot demach ki sanble ak eleksyon, kote chak sitwayen lib fe chwa ki nan gou li
22-00	Atik 22
22-01	Se dwa chak moun, kom manm nan sosyete a, pou Leta ba li garanti sekirite sosyal, sa vle di, mwayen pou li satisfe tout bezwen ekonomik, sosyal ak kiltirel ki endispansab pou li pa pedi diyite li kom moun epi pou devlope pesonalite li alez. Demach pou jwenn sekirite sosyal sa a gen dwa fet avek konkou ajans ki tabli nan yon peyi oswa avek konkou kek ajans entenasyonal, selon fom oganizasyon ak resous chak peyi.
23-00	Atik 23
23-00	Chak moun gen dwa travay, dwa pou li deside ki travay li vle fe o li pa vle fe. Se dwa li pou li travay nan bon kondisyon ki pa kont entere li epi ki pwoteje li.
23-01	Se dwa tout moun ki fe menm kalite ak menm kantite travay, pou yo touche menm sale, san paspouki.
23-02	Se dwa chak moun k ap travay pou li touche sale ki koresponn ak travay li ap fe a. Li fet pou touche dekwa pou li menm ak tout fanmi li ka mennen yon vi respektab. Chak fwa gen posiblite yo fet pou ta ajoute tout lot mwayen pwoteksyon sosyal ki genyen sou sale sa a.
23-03	Tout moun gen dwa fe kolonn ak lot moun pou fonde sendika oswa antre nan sendika ki la deja pou defann entere yo.
24-00	Atik 24
24-01	Tout moun gen dwa pran repo epi jwenn tan pou li anmize li. Se dwa moun nan pou li pa travay depase limit epi pou li gen peryod konje peye si li se yon anplwaye.
25-00	Atik 25
25-00	Se dwa chak moun pou li gen ase mwayen pou li bay tet li ak fanmi li tout kalite swen nesese tankou manje, rad, lojman, swen medikal ak tout lot sevis sosyal ki nesese. Se dwa chak moun pou li gen yon api pou ka maladi, donmaj, lanmo mari oswa lanmo madanm, vyeyes, nenpot lot ka oswa sikonstans kalamite ki ta vin fe moun nan pedi mwayen li te genyen pou li viv.
25-01	Se dwa fi k ap akouche ak ti bebe nan kouchet pou yo jwenn asistans ak pwoteksyon espesyal. Tout ti moun, pitit lejitim kou pitit deyo, fet pou benefisye menm pwoteksyon an.
26-00	Atik 26
26-00	Se dwa tout moun pou y'al lekol. Lekol leta fet pou gratis sitou lekol elemante ak lekol fondamantal. Lekol elemante fet pou obligatwa. Lekol teknik ak lekol pwofesyonel fet pou alapote tout moun. Epi posiblite antre nan inivesite ta dwe egziste pou tout moun, selon kapasite etid yo.
26-01	Edikasyon fet pou vize devlopman pesonalite moun epi ranfose respe Dwa Moun ak libete ki endispansab yo. Li fet pou fasilite antant, tolerans ak zanmitay fleri nan mitan tout peyi, tout kalite ras moun tout kalite relijyon. Edikasyon fet pou ede Nasyonzini travay pou mentni lape sou te a.
26-02	Manman ak papa se premye moun ki gen dwa deside ki kalite edikasyon yo ta renmen pitit yo resevwa.
27-00	Atik 27
27-00	Se dwa chak moun pou li deside pran pa nan aktivite kiltirel kominote a, jwi nan sa atis ak atisan ka ofri. Se dwa li tou, pou li patisipe nan pwogre lasyans, ap fe epi pou li benefisye tou nan avantaj aktivite sa yo pote.
27-01	Chak moun gen dwa defann entere lalwa rekonet li genyen ak lot avantaj vizib ki soti nan nenpot ki aktivite lasyans osinon travay atis ak intelektyel k ap ekri liv.
28-00	Atik 28
28-01	Se dwa chak moun pou li fe presyon sou lasosyete, ni nan peyi li, ni nan lot peyi, pou lasosyete ranje zafe yo yon fason, dekwa pou dwa ak libete y ap pale non Deklarasyon Dwa Moun sa a, ka reyalize tout bon vre.
29-00	Atik 29
29-00	Chak kretyen-vivan gen yon seri obligasyon anve kominote kote li ap viv la. Paske kominote a se sel kote li kapab alez pou li devlope pesonalite li tout bon vre.
29-01	Le yon moun ap egzese dwa ak libete li, li pa fet pou gen lot limit ke sa Lalwa fikse, pou anpeche moun nan pilonnen dwa lot moun epi pou fe li obeyi tout prensip ki la pou fe respekte Lalwa, respekte lod piblik epi respekte byennez lot moun nan yon sosyete kote yo pratike demokrasi.
29-02	Kelkeswa sikonstans ki ta prezante, dwa ak libete sa yo pa ka sevi pou fe anyen ki an dezako ak vizyon epi ak prensip Nasyonzini yo.
30-00	Atik 30
30-01	Pa gen youn nan dispozisyon ki nan Deklarasyon sa a, yo ka bay yon sans ki pou ta otorize yon nasyon, yon gwoup moun, oswa yon endividi mennen yon aktivite oswa komet yon zak k ap chache detwi dwa ak libete ki nan Deklarasyon sila a.
