00-00	[Missing]
03-00	ARTICULO 3.
03-01	Rue ngexguma tama tacue rue chixexue naxuexgu i wuexi i duuexue rue taxucueruewa wuexi i aexgacue nuexna nanachuxu i tacue i mexue i nagu naxinuexue rue taxucueruewa naxauxuneacue rue exna napoxcuaxue rue exna yamaaxue.
04-00	ARTICULO 4.
04-01	Rue ngexguma togueaxue napuracuegu i wuexi i duuexue name nixi na nayauxaxue i natanue. Rue tama name na ngetanueacuema na napuracuexeeacue.
05-00	ARTICULO 5.
05-01	Rue tama name na wuexi i aexgacue nuexna na nacuaixcaxue i wuexi i duuexue rue exna chixri namaa naxuepetue wuexi i airuruerue.
06-00	ARTICULO 6.
06-01	Rue marue name na aexgacuepexewa na nanguxue i ngexueruexue i duuexue na norue guxchaxue yaxuxuecax na namexeeaxuecax.
07-00	ARTICULO 7.
07-01	Rue aexgacuepexewa rue guxuema i duuexuegue rue nawuexigu. Rue name nixi i aexgacue na nuexue ruenguexeexue i guxuema. Rue tama name na chixexue namaa naxuexue i wuexi, rue nuexue na nanguexeexue i to, erue guxuema i duuexuegue rue nawuexigu.
08-00	ARTICULO 8.
08-01	Rue ngexguma texe tacue rue chixexue wuexi i duuexuemaa taxuexgu rue name nixi na aexgacuepexewa na naxuexue i ngema duuexue. Rue marue name na aexgacuemaa nuexue na yaxuxue na aexgacue namexeexuecax i ngema.
09-00	ARTICULO 9.
09-01	Rue ngexguma tama tacue rue chixexue naxuexgu i wuexi i duuexue rue taxucueruewa wuexi i aexgacue nanapoxcu. Rue taxucueruewa norue nachiueanewa inanataxuechi.
10-00	ARTICULO 10.
10-01	Rue ngexguma wuexi i duuexue to i duuexuexue ixuaxuegu rue taxucueruewa aexgacue nanapoxcu ega tama mea nuexna nacaxiragu i ngemachiga.
11-00	ARTICULO 11.
11-01	Rue ngexguma wuexi i duuexue to i duuexuexue inaxuaxuegu rue taxucueruewa i aexgacue nuexue nixu na aixcuema wuexi i chixexue na naxuexue ega tama mea nuexna nacaxiragu i noxrix.
11-02	Rue ngexguma tama aexgacue nachuxuxgu i noxrix, rue taxucueruewa i yixcuera rue wuexi i duuexue napoxcu naxcax i ngema. Rue taxucueruewa poraacue nanapoxcu ega tama nataxgu i ngema chixexue i naxuexue i wuexi i duuexue.
12-00	ARTICULO 12.
12-01	Rue ngexguma tacue rue chixexue naxuexgu i wuexi i duuexue rue taxucueruewa i aexgacue nanapoxcu i naxmax rue exna naxacuegue naxcax i ngema. Rue taxucueruewa aexgacue ngema duuexuepatagu naxuecu rue exna ngema duuexuearue carta niwaxna. Rue taxucueruewa aexgacue nuexue nixu i tacue i ore i chixexue i ngema duuexuechiga, erue nachuxu i ngema.
13-00	ARTICULO 13.
13-01	Rue ngexguma chi ngexta naxuxchauegu wuexi i duuexue i nachiueanewatama rue taxucueruewa aexgacue nanachuxu i ngema.
13-02	Rue ngexguma chi to i nachiueanewa naxuxchauegu rue taxucueruewa aexgacue nanachuxu i ngema. Rue taxucueruewa nanachuxu na nataeguxue.
14-00	ARTICULO 14.
14-01	Rue ngexguma wuexi i aexgacue chixexue namaa uexchauegu i wuexi i duuexue rue marue name na ngema aexgacuechaxwa yaxuxue rue to i nachiueanewa naxuxue.
14-02	Natuerue ngexguma aixcuma wuexi i chixexue naxuexgu i ngema duuexue rue marue name i aexgacue nanataeguxee na napoxcuaxuecax.
15-00	ARTICULO 15.
15-01	Marue name na wuexichigue i duuexueaxue na nangexmaxue i norue bupane rue nachiueane.
15-02	Taxucueruewa wuexi i aexgacue nanapu i wuexi i duuexuearue bupane. Natuerue ngexguma nanaxwaxegu i wuexi i duuexue rue marue name na nuexna na yaxuxue i ngema nachiueane na to i nachiueanewa naxuxuecax na ngemaxueax yixixuecax.
16-00	ARTICULO 16.
16-01	Ngexguma nayaxgu i yatue rue marue name na naxamaxue. Rue ngexgumarueue i ngexuegue rue ngexguma nayaxgu rue marue name na naxatexue. Rue nueeta ega tacue rue duuexue yixixgu i nuemague rue exna tacue rue nachiueanegueax yixixgu rue exna tacue rue machiueanecuea yixixgu rue exna nuxacue Tupanaaxue yaxoagu. Rue taxucueruewa texe nuexna tanachuxu i ngema na naxamaxue rue exna naxatexue rue exna naxaxacuexue. Rue ngema yatue rue ngema ngexue rue nawuexigumare.
16-02	Rue ngexguma tama naxatechauegu i wuexi i ngexue rue taxucueruewa texe tanamu na naxatexuecax. Tue ngexgumarueue i yatuexue rue ngexguma tama naxamaxchauegu rue taxucueruewa texe tanamu na naxamaxuecax.
16-03	Rue marue name na naxamaxue rue naxatexue rue naxaxacuexue i duuexuegue. Rue name nixi na aexgacue rue ngema duuexueguexue inapoxuexue rue nuexna na nadauxue.
17-00	ARTICULO 17.
17-01	Rue marue name na wuexichigue i duuexue rue nuexue nangexmaxue ya napata rue norue naane rue norue ngemaxuegue. Rue ngexguma chi to i duuexuuemaa yatoyechaueagu i norue ngemaxuegue gue marue name na yatoyexue.
17-02	Rue taxucueruewa texe wuexi i duuexuena tanapu i norue ngemaxuegue rue napata rue exna tacue i to i nuexue ngexmaxue.
18-00	ARTICULO 18.
18-01	Rue wuexichigue i duuexue rue marue name na nuema nanaxwaxexueaxuema nagu na naxinuexue exna Tupanaaxue na yaxooxue. Natuerue ngexguma toacuema nagu naxinuechauegu rue exna toacuema Tupanaaxue yaxoxchaueagu rue taxucueruewa texe nuexna tanachuxu i ngema. Rue ngexguma toguemaa nuexue yaxuxchauegu i ngema nagu naxinuexue rue exna yaxoxue rue ngema rue ta rue name. Rue ngexguma nuexicatama Tupanaaxue yaxoxchaueagu rue ngema rue name. Natuerue ngexguma toguemaa nangutaquexechauegu na Tupanaxue yacuaxuexueguexuecax rue ngema rue ta name rue taxucueruewa texe tanachuxu i ngema.
19-00	ARTICULO 19.
19-01	Rue wuexichigue i duuexue rue marue name na nuema nanaxwaxexueacuema nagu na naxinuexue rue taxucuema texe nuexna tanachuxu i ngema. Rue taxuacuema texe tanapoxcu naxcax i ngema nagu naxinuexue. Rue taxucueruewa texe tanachuxu na toguemaa nuexue na tixuxue i ngema nagu taruexinuexue.
20-00	ARTICULO 20.
20-01	Rue ngexguma nangutaquexechauegu i wuexi i duuexue rue taxucueruewa texe nuexna tanachuxu i ngema ngutaquexe.
20-02	Taxuema nuexna tanachuxu i wuexi i duuexue ega tama nanaxwaxegu na wuexi i ngutaquexetanuexue nuegue yaxixeexue.
21-00	ARTICULO 21.
21-01	Rue ngema na aexgacuexue yangucuchixeexue i wuexi i duuexue rue guxue i duuexueguemexewa nangexma i ngema.
21-02	Rue name nixi na aexgacue nuexue ruenguexeexue i guxuema i ngema duuexuegue i naxmexwa ngexmaguexue.
21-03	Rue name nixi na nangutaquexeguexue i duuexuegue na mea nuexue naxunetaxuecax i norue aexgacuegue. Rue name nixi na wuexichigue nuxue naxunetaxue i na ngexuerueuexue i aexgacue nanaxwaxeguexue.
22-00	ARTICULO 22.
22-01	Rue name nixi na aexgacue nuxue ruenguexeexue i guxuema i norue duuexuegue na mea namaxexuecax rue taxuma tacue rue chixexue namaa naxueguexuecax i ngema norue duuexuegue.
23-00	ARTICULO 23.
23-01	Rue name nixi na wuexichigue i duuexue nuexue na nangexmaxue i norue puracue. Rue taxucueruewa texe nuexna tanachuxu na napuracuexue nawa i ngema norue puracue i nuema nanaxwaxexue. Rue taxucueruewa texe tanamu nawa i wuexi i puracue i tama nuema nanaxwaxexue.
23-02	Rue name nixi na wuexichigue i duuexue fue nayauxaxue i natanue naxcax i norue puracue. Rue ngexguma nuxre i duuexuegue napuracueegu i wuexi i puracuewa, rue ngexguma nawuexiguxgu i ngema norue puracuewa, rue name nixi na nawuexiguxue i natanue i ngema puracuecax nayauxguexue.
23-03	Rue ngexguma wuexi i duuexue rue to i duuexuena naxaagu i wuexi i puracue rue name nixi na mea nuexue na naxuetanueaxue. Erue name nixi na wuexichigue mea nayaxuxue i natanue na ngemamaa mea nuexna na nadauxuecax i ngema naxmax rue naxacuegue.
23-04	Rue ngexguma nuxre i puracuetanuexuegue wuexigu puracuechauegu na mea nuexue naxuetanuegueaxuecax rue taxucueruewa texe tanachuxu nuexna i ngema.
24-00	ARTICULO 24.
24-01	Rue guxuema i duuexuegue rue name na nangueguexue i nuxguacue na tama guxueguma napuracueexuecax. Rue ngexguma wuexi ya taunecue wuexi i corixuetawa napuracuegu i wuexi i duuexue rue name nixi na ngema cori nuexna na nxaxue i nuxre i ngunexue na nanguexuecax. Rue name nixi na ngema ngunexuegue i nagu nanguexue i ngema cori nuexue na naxuetanuexue naxcax i ngema ngunexuegue i nagu nanguexue i ngema norue duuexue.
25-00	ARTICULO 25.
25-01	Rue name nixi na mea namaxuexue i wuexichigue i duuexue na tama yadaawexuecax i nuema rue naxmax rue exna naxapataxue i wuexichigue i duuexue. Rue ngexguma yadaawexgu rue name nixi na nangexmaxue i norue duturu. Rue ngexguma taxuacuema norue puracuexue iyangauxgu i wuexi i duuexue rue name nixi na aexgacue nuexue ruenguexeexue. Rue ngexguma nayutegu rue exna poraacue nayaxgu i wuexi i duuexue rue nuexue natauxgu i ngema norue nguexeeruue, rue name nixi na aexgacue nuexue ruenguexeexue.
25-02	Rue name nixi na aexgacue nuexue ruenguexeexue i ngema ngexuegue i axaxueguexue. Rue ngexgumarueue ta name nixi na aexgacue nuexue ruenguexeexue i guxuema i buxuegue woo naxanatuegu rue exna nangenatuegu.
26-00	ARTICULO 26.
26-01	Rue name nixi na poperaxue nacuaxguexue i guxuema i duuexuegue. Rue tama name na buxuegue naxuetanueguexue naxcax i ngema na nanguexue. Rue name nixi na guxuema i papague rue norue buxueguexue namuxue na nanguexuecax. Rue ngexguma secundariawa rue exna institutowa rue exna universidawa naxuxchauegu i wuexi i naxacue rue name nixi na ngema naxuxue ega chi aixcuema mexue i buxue i nguxwaxexue yixixgu.
26-02	Rue ngema buxueguearue profesorgue rue name nixi na meama nanguexeeaxue i buxuegue na mea guxue i duuexuegumaa namaxexue. Rue taxuena nachuxaxuecax na nuegue nangechaueguexue i wuexichigue i nachiueane rue exna duuexuegue i to i nagawa idexaguexuemaa rue exna nuexue yaxooxue na ngemaaxue nataaeguexuecax.
26-03	Rue ngexguma wuexi i papa rue wuexi ya escuela ya mexuenewa namuxchaueagu i norue buxue rue ngema rue ta name.
27-00	ARTICULO 27.
27-01	Rue name nixi na wuexichigue i duuexue rue nataaexue namaa i guxuema i mexuegue i norue ianewa ngexmaxue. Rue ngexguma nangexmagu i tacue i mexue i ianearue ixixue rue name nixi na nuexue nacuaxue na guxuearue yiixue i ngema.
27-02	Rue ngexguma texe naxuematuegu i wuexi i popera rue exna wuexi i naxchicuenaxa taxuexgu rue namaa tataxegu, rue name nixi na tanayaxuxue i natanue naxcax i tuemaarue puracue.
28-00	ARTICULO 28.
28-01	Rue taxucueruewa texe tanachuxu na mea naa popera nuexue ixuxuerueue namaxuexue i wuexi i duuexue.
29-00	ARTICULO 29.
29-01	Rue name nixi na wuexichigue i duuexue rue mea norue ianecax napuracuexue rue mea guxue i togue i norue ianecueaxguemaa namaxuexue.
29-02	Rue name nixi na mea namaxexue i guxuema i duuexuegue, natuerue taxucueruewa texe chixri naga taxinue i tuemaarue aexgacue. Rue tama name na wuexi i duuexue rue to i duuexuemaa chixexue naxuexue.
29-03	Rue taxucueruewa texe chixri naga taxinue i ngema nuexue yaxuxue i naa popera erue na nixi i nagu naxinueexue i guxuema i nachiueanegue i wuexigu ruexinueexue.
30-00	ARTICULO 30.
30-01	Rue guxue i nachiueanewa rue taxucueruewa tacue rue aexgacue chixri naga naxinue i naa popera. Rue name nixi na guxuema i togue i duuexuegue rue ta mea naga naxinueexue i naa popera. Erue tanaxwaxe na mea namaxexue i guxuema i duuexuegue i naa popera nuexue ixuxuerueue.
