00-00	Iyen Emwen Etin ne O Kheke Omwan na ya wewe Vbe Uhunmwun oto-agbon hia
16-02	Egbee o re eyoto otu vbe uwu evbo, ne iran ye; kevbe wee o kheke ne evbo kevbe arrioba gha re ugue ne iran.
16-03	Emwen Nogie-Ehairrovbugie
17-00	1.Domwande-omwan mween etin ne o ya yaan awa, yaan oto kevbe emwin ukhu ere hia, kevbe wee, iren kevbe emwan ovbehe setin koko yaan ren kugbe.
17-01	Ai khian loo etin ikpanro ne o ma kheke ya mien omwanikomwan emwin enren (owa, oto, ukhu ere hia), na kha wee ei ghi re oghoe.
17-02	Emwen Nogie-Evairrovbugie
18-00	Domwande-omwan nween etin ne o gha rroo vbe ne o yaan egbe ere vbe rro, kevbe ugamwen; O mween etin oghe a yaan egbe omwan, etin ne o setin ya fi ugamwen ra iyayi ere werrie; kevbe ode ne oya ga werrie, iren okpa ra ke iren ke ivbi otu ovbehe de bare ru afiwerrie nii vbe ekhokho ra vbe azagba; ne o rhiema ode ne o ya ga, ra ode iyayi na ma emwin la, na ru emwin la na ru ugamwen la, kevbe igbaro koto.
18-01	Emwen Nogie-Okpairrovbugie
19-00	Domwande-omwan o re o mween etin a yaan egbe omwan ne o ya ze iro ekhoe ere kevbe emwen obo re; o mween etin ne o ya ta emwen ne o kore ekhoe rre vbe ne ai na ta etafia ye ore kevbe wee oghi gualo emwin ne o ho oghi mie onren oghi vbe ta emwin ne o ha ne o ta ma agbon, la uwu ehe ughughan na la na gue agbon guan, vbe ne i na mwen idobo.
19-01	Emwen Nogie-ugie
20-00	1.Domwande-omwan re o mween etin a yaan gbe omwan oghe arukhuerre vbe uwu asikoko kevbe akoko rroo.
20-01	Ai khian ye etin mu omwanikomwan ne o debaa otu okpa.
20-02	Emwen Nogie-Okpayanugie
21-00	1.Domwande-omwan o re o mween etin ne o ya gha mween oghae vbe arrioba evbo ere le uwu aze emwan ni mien-guan.
21-01	Domwande-omwan o re o mween etin umwon-mwen ne o ya gha re okpa vbe iwinna arrioba evbo ere.
21-02	Aho oghe emwan hia o re o khian gha re eyoto oghe etin arrioba; aho naa o re o khian gha rhiema vbe eghe-keghe aze ne o la uhen ne o gha rre ne emwan hia na mween obo, kevbe we, oghi gha re aze ne a ru vbe ekhokho ra emwanmwan aze ovbehe na ru la urro.
21-03	Emwen Nogie-Evayanugie
22-00	Domwande-omwan zee vbe okpa vbe emwan evbo, o kheke ne o gha re na ru asa gue, kevbe wee ovbe mween oghae vbe uwu akugbe uhunmwan evbo, vbene obo oghe domwande arrioba see na ya ru emwin hia ne o kheke nee, nei mwen amaru ne o miehe na gha re ne o ghae, ne o gha mween alaghodaro vbe orhion.
22-01	Emwen Nogie-Ehayanugie
23-00	1.Domwande-omwan mween etin ne o ya winna, ra etin ne o ya ze aro iwinna ne o gha winna, ne o mween igiode emwanmwan iwinna, ne o gha fu ere egbe rre, kevbe ne o gha rrie ugue ere vbe obo ai mwen iwinna.
23-01	Domwande-omwan o re o kheke na hae osa umwonmwen na, ye umwonmwen ne iran winnae, vbe nai na ze na gha ghae na, kevbe nai ghae na.
23-02	Domwande-omwan ne o winnaen, o kere ne o mien igho ne o khekee ye iwinna ne o winnaen, ne o gha so re ya gbaro ghe egbe ere o re ne o miehe na gha mween ado-gbano vbe arroo, kevbe ne o gha mween ode ovbehe ne o gha ya mien iyobo, deghe o kheke.
23-03	Domwande-omwan mween etin ne o ya deba otu oseghe emwan iwinna, ne o mien ehe na gha mween asa gue iwinna ere.
23-04	Emwen Nogie-Eneyanugie
24-00	Domwande-omwan mween etin ne o ya hewe, deba omwan eghe iwinna kevbe eghe irhiede na hae osa yi.
24-01	Emwen Nogie-Ekesogban
25-00	1.Domwande-omwan mween etin ne o gha ya gha rro vbe isoken, ne o gha rre egberanmwen, ofunmwegbe ne iren kevbe igie-owa ere, deba evbare, ukpon, owa na gha dia, kevbe ukhunmwun na ya gbaro ghe egbe, kevbe ugamwen ovbehe hia ne o kheke, ke emwin ne o gha ye egbe ko degha mien wee eghi mween iwinna, egbe ma rraan ren, setin ghi ru emwin rhokpa, okhionmaen ra emwin ovbehe na ya yin, nei ghi mwen ne obo iren ma se.
25-01	O kere ne iye-omo-kevbe omo gha mween ode kpataki na gha ya gha gbaro ghe iran kevbe na ya ru iyobo ne iran. Emo hia fere na bie vbe oronmwen ra na ma bie uwu oronmwen, khian gha mween orhienrhien ugue okpa ne o kheke na emo hia vbene alughaen i na rro.
25-02	Emwen Nogie-Eneirrovbogban
26-00	1.O kere ne domwande-omwan rue ebe. O kheke ne a mien wee ai ze igho ye iruemwin, agha rre mien wee owa iruemwin ne o koto see o re ai hae osa ye o.
26-01	Emo hia fere, o re a khian yi uhi ere na we ne iran ye owa iruemwin ebe ne o ke oto. A gha kie owa ebe iruemwin ifuero ye oto, kevbe we a gha vbe kie owa iruemwin ne o yo see ye oto ne emo ni ruemwin ebe iran see omwan na ya rhie omwan obo.
26-02	A khian mien wee a dia iruemwin ye ode ne o gha na rrie alaghodaro ne o gbae ne omwan, kevbe ne o ya uyi na rrie ne etin omwan wegbe kevbe ne ayanegbe omwan hia.
26-03	Iruemwin ghi vbe fon irenmwin mu, a kue ne a gha yin kugbe vbe ose vbe adese uhunmwun evbo hia ke otu ugamwen. Osa ughughan, oghi vbe ru iyobo ne Akugbe Uhunmwun Evbo hia ne iran ya da emwanmwan iwinna ofunmwegbe yi ese. Evbi-bie emo mween etin ne iran ya ze aro iruemwin ne a gha rhie ne ivbi iran.
27-00	Emwen Nogie-Ehairrovbogban
27-01	Domwande-omwan mween etin ne o ya mween oghae vbe emwin-arre oghe evbo ne o ye, ne o rrie orhienrhien iwinna ifuezo, kevbe ne o vbe ghae vbe emwin alaghodaro ifuero ke o maa ne o ladian vbo.
27-02	Domwande-omwan o re o mween etin na mien wee a ru asa kevbe ugue ne emwin ifuero ne o ru ra ebe ne o gben ladian.
28-00	Emwen Nogie-Evairrovbogban
28-01	O kheke domwande-omwan ne o gha mween oghae vbe emwanmwan oghe uhunmwun evbo na na gbenne iyen emwin ne o kaen etin ne omwan mween kevbe orhiegbe.
29-00	Emwen Nogie-Okpairrovbogban
29-01	Domwande-omwan o re o mween iwinna ne o ru ne evbo ne o ye ne o na yan uho wan ladian.
29-02	Vbe omwan a gha loo etin ne ore oghoe kevbe ayaan-egbe-omwan ren, emwin ne ilele uhi khara okpa kekan o re o khian na gha gbe uhunmwun koto, rhunmwunda na mien wee a rrie ogho kevbe uyi ne etin kevbe ayaanegbe omwan oghe omwan ovbehe, na mien wee uyinmwen ne o gbae, a ru henne-henne kevbe omaa oghe evbo nii.
29-03	Ai khian gha loo etin na kevbe ayaan-agbe omwan na vbe ode ne ogha na gbe odan ye emwanmwan iruemwin oghe Akugbe Uhunmwun Evbo hia.
30-00	Emwen Nogie-ogban
30-01	Emwin okpa i rro vbe uwu Iyen Emwen emwi na rhaan na ne o rhie etin ne arriobaikarrioba otuikotu omwaikomwan ne o ya ru emwikemwin ne o gha si ofuan ne etin kevbe ayaan-egbe omwan na mwanmwan ye uwu ere.
