00-00	Seehadayti Garwah Baad Kukta
02-01	Kulli num a kuktih addal tan garwaa kee curriyatitte inkih loowitam duudah hebelto baxsa maleh, eddeey samada, bisu, nado, afa, diini, siyaasa tummabulu, hinnay aki akkinnaanih tummabulu, agat otoyno, hinnay ayyuntiinoh otoyno, ubka, hinnay faxe caalatal baxsa maleh.
02-02	Kalah fulah, hebelto baxsay num siyaasa, madqa caalatal, hinnay num kak yan baaxo, hinnay kay rasi baad caddol edde yan caalatal soola baxsi yanu ma duuda ; tohuuy kay baaxo, hinnay kay rasi amo-baxxaqqa le way, dacayri xintoh gubat yani way, adda-xinto aalle waa way, hinnay xinto milkih dagiinha gubat yani way.
03-00	3 Margaqa
03-01	Kulli num manooy, curriyat kee isi nabsih saay geyaamih gar le.
04-00	4 Margaqa
04-01	Hebelto num naqoosannuh, hinnay kaadu, dirkih taamat ma xiina .Naqoosannu kee naqoosa tellemmo inkih waaso le,faxe gurral takkay.
05-00	5 Margaqa
05-01	Hebelto num addaadaruuy, qax-uma digaalaa kee uma-xagoy aliino kinnit xaggiime waama.
06-00	6 Margaqa
06-01	Kulli aracal kulli num kay numiino kaah yaaxigeenimih gar le.
07-00	7 Margaqa
07-01	Madqa foocal sinam inkih missowtaah, hebelto baxsa maleh madqa gamsih gar le. Sinam inkih faxe welu taalay a kuktat booddaah, baxaa baxsa xaltu duddah taniimik missoowa gamsih gar le.
08-00	8 Margaqa
08-01	Doolat-madqa, hinnay madqa kaah ixiggi hayte rakiibo garwat kaak booddu iyyeenik kulli num tohuk agat qadlih caxay duddo let radaamih gar le.
09-00	9 Margaqa
09-01	Hebelto num gita maliinuh yabbixeenim, yaxeenim, hinnay baaxok yayyaaqenim ma duudan.
10-00	10 Margaqa
10-01	Kulli num kay wayto meqe’nnal sinam foocal tantabbuh amo-baxxaqqa leeh, malak-misah tan qadli-caxay kay garwaa kee kay farditte, hinnay kaak waanamih diggal maaqatta beytu dudda geyaamih gar le.
11-00	11 Margaqa
11-00	Umaane elle heen num sadar foocal yakke sifah agaaraday faxxiima yabti-koosa elle geyah addal kaal heenim kaa xabba haytam fan umeyna ma deqsita.
11-01	Hebelto num ma diggalsima, abem kee hawweeneemiy toh edde tekke uddurih addat agat galli garwah addal umaaneh abinah tambulleemik suge waytek. Wonnaah kaadu umaaneh abto edde tekke uddurih addat elle diggalsimak sugteemik fayya itta digaala num ma tabbixa.
12-00	12 Margaqa
12-01	Hebelto num caglita manooy, kay buxah mara, kay dabqa, hinnay kay teeloh addat dulmih culaanam, kay migaq kee ayti-gexxot boodaanamih gadda ma yakka. Kulli num to’nnah taniimik madqa gamsa geyaamih gar le.
13-00	13 Margaqa
13-00	Kulli num angagoyyi curriyat kee baaxoh addal dabqih elle gaca’kke dooritaamih gar le.
13-01	Kulli num isi baaxo edde anuk kulli baaxok yattawaqeeh, hinnay kaadu isi baaxoh wadir gacaamih gar le.
14-00	14 Margaqa
14-00	Umam edde tekke num,kak,elle korsita gub,aki baaxooxal gorrisitaam, geyaamih gar le.
14-01	Qaduk yangalen garih umaaneh katayyu edde aban maraa kee gersi abtootay Galli-Maroh madmoomii kee radmoomi saddat xaggiime uarih caddol a garwa ma solta.
15-00	15 Margaqa
15-00	Kulli seehadayti agattiina gar le.
15-01	Hebelto numuk gita maliinuh, kay agattiina Kaa waysiisanam kee hinnay, kaadu baaxoh agattiina korsamaanih gar kaa waysiisonu ma duudan.
16-00	16 Margaqa
16-00	Labnum kee saynum elle baalukan qumri gufeenik wadir itta rihmisaanaah, xalak qarsa haysitaanamih gar lon faxe diini,hinnay kaadu faxe lago kee agattiina yaalloonu. Qasaala caddol gennaaqot anuk takku, hinnay kaadu itta caban waqdi takku inki gar lon.
16-01	Digib yakku ma duuda qasalah sitta faxa marih fanat raabit kee oggol aneweek.
16-02	Ramad yallih gino kinniih, ayyuntak rakiibo ; doolat kee ayyuntal cakkik le kaa dacarisaanam.
17-00	17 Margaqa
17-00	Numtin amol takku, hinnay sinamlih takku, kulli num ikoyta yaallemih gar le.
17-01	Hebelto numuk baatilih leh yan ikoyta bukkusoonu ma duudan.
18-00	18 Margaqa
18-01	Kulli num isi diini kee kas ke hinnay issih faxe tummabul haysituh gar le. Woo garat edde tan diinik korsitaamaay,isi diini elle faxe gurral yay beleeleqqeemi, dibuk yanu, sinaama’lluk yanu, sasot abu, yayballu, barittol takku, hinnay kaadu qibaada kee fardi abtol takku.
19-00	19 Margaqa
19-01	Kulli num tummabul haysituh,faxe yaabat yaabituh gar le.Isi tummabul yascassem kee oysit abaah,xaagu kee mala ellle duudinnaanih inna,faxe baaxok tabsamih sabbatah bohoy axce waamih gar le.
20-00	20 Margaqa
20-00	Kulli num angaaraw abbaasituh, saayah tan egla xisituh curriyat gar le.
20-01	Hebelto num dirkih eglat culusoonu ma duudan.
21-00	21 Margaqa
21-00	Kulli num is baaxoh addah caagiidah qaaqat massah, hinnay currik doorite marih gubaak yangaleemih gar le.
21-01	Kulli num isih baaxol missow shartil doolat taamoomi geyaamih gar le.
21-02	Ayyunti fayxi doolat reedah rakiibo kinni. Ta fayxi saytun waraaki-qidoy waqdiik waqdi takkey, sinam inkih edde tangalel baxxaq’simtaama.
22-00	22 Margaqa
22-01	Kulli num seehadak numuk teynah anuk ayyuntiino catoh gar le. Usuk madduru, ayyuntiinoo kee sugeet garwah leeday kay karaamat kee kay numiinoh saytun dadalah faxximta, agat macal kee galli ittallukabitih catot geyam faxximta. Tohuuy kulli baaxoh massoynaa kee gaddaliinot axawah anuk takke.
23-00	23 Margaqa
23-00	Kulli num taamitaah, isih faxa taama dooritaamih gar le .Ellle faxximta gurral taamat rufto geyaah, taama-sinnak gamsa geyaamih gar le.
23-01	Sinam inkih hebelto baxsa maleh inki gide takke taamah inki gide takke alsiita geytaamih gar le.
23-02	Taamita num meqe cawalay rufto leeh, kaa kee kay buxah marah meqe manoh caalatay seehadayti karaamatah faxxiima diggoysaah, kalah kaadu yenek gersi ayyuntiino gamsi edde ossimah gar le.
23-03	Kulli num sinam lih isi maslacatah, taamiteynit-egla xisaamih gar le.
24-00	24 Margaqa
24-01	Kulli num oftoyuuy, gaba-geytooy, kaadu taamah udduruy ceelay caddo le kee waqdiik waqdi geytima meklima ruksat geyaamih gar le.
25-00	25 Margaqa
25-00	Kulli num qiishat caddoy dudda leeh, kaa kee kay buxah marih qaafiyat kee assamaaqah faxximta, axcih maaqidda, sartana, dabqa, dayla xiqtaah,kaadu faxximtah tan ayyuntiino ayfaafitte geyaamih gar le. Kalah kaadu kay fayxik akke kal kaa tabbi xeemik, taama-sinna, biyaaka, erkella, gubniinu, idoolanni innah taniimik ayyuntiino gamsa geyaamih gar le.
25-01	Xalay-waqdii kee awkiinol sissin catoo kee qiki geytimam faxximta. Urri inkih gennaaqot yaabakay, mayguudih yaabakay, ayyuntiino gamsih gar le.
26-00	26 Margaqa
26-00	Kulli num baritto gar le. Dagowwu ittek qemboo kee fanti baritto cindah tanim faxximta. Qembo baritto dirki kinni. Mettee-banni baritto kee gaba-taamah baritto inkaafak geyan baritto takkem faxximta. Fayyaitta baritto kulli marah inki gide akkuk ken taamaa kee duddol fakkimtam faxximta.
26-01	Baritto seehadayti nibda wagittaah, seehadayti garwaa kee rakiibo curriyat gablussam faxximta. Baritto kaadu ittin-geyi, ittin-raabit kee qalliinu taysiisem faxximta.
26-02	Xaleyna sinni xayloh faxximta baritto naharsiinol doorittaamih gar le.
27-00	27 Margaqa
27-00	Kulli num ayyuntak sugeet manot currik gaba yassagalleeh,fannit rufto geyaah, qilmi biso-maxcokee is xalte maqaanet yangaleemih gar le.
27-01	Faxe num isih abeynah kak yan fikrat takku, qilmi takku, kutbe takku ,fanni takku, isih abba heemik yewqemurtih faydah dacayri geyam geyaamih gar le.
28-00	28 Margaqa
28-01	Kulli num ayyunti caddoo kee baad caddola kuktih addal tan garwah addal tanim dudda luk geyaamih gar le.
29-00	29 Margaqa
29-00	Seehadaytul kay numiinoh dadalay currik yaniy dudda le addat kak yakku duuda ummatta farditte tan.
29-01	Kulli num Kay garwah leedaa kee curriyatih ruftoh addat garu yaaxaguh, kay garwaa kee curriyatih caddi abuh madqa hayte caddoodat aaqite waamih xintoh gubat yaniih, toh kaadu gexsit maqaaney ayyuntiino saay kee daga raqa meqennah dimokraasi le ummattah addal yagdubem gida.
29-02	Ta garwa kee curriyyatitte, faxe gurral galli-maroh madmoomi kee radmoomal sadu takkem ma xiqta.
30-00	30 Margaqa
30-01	A kuktak hebelto margaqa faxe doolat, faxe egla, hinnay faxe num isih elle faxa’nnal betta heeh, tet addat tan garwa kee curriyatitteh diglot asaamih curriyat isih taceem celsiisam ma faxximta.
