00-00	KIZhININ ERGELERININ BUGU-NIITI UGUULGAZY
13-00	Kizhi buruzu kaiy-bir kurunenin kyzygaarynyn ishtinge khostug choruur bolgash bodunga churttaar cherni shilip alyr ergelig.
13-01	Kizhi buruzu kandyg-daa churttan, oon ishtinde bodunun churtundan baza  unup choruur baza bodunun churtunche eep keer ergelig.
14-00	14 chuul
14-00	Kizhi buruzu istep suruushkunden khorgadaldy oske churttardan dileer baza ol khorgadaldy azhyglaar ergelig.
14-01	Bo erge politiktig eves uulgedig azy Kattyshkan Natsiyalar Organizatsiyazynyn sorulga bolgash printsipteringe udurlanyshkak kyldynyglar deesh istep surup turar tavarylgada azhyglattynmas.
15-00	15 chuul
15-00	Kizhi buruzu khamaaty bolur ergelig.
15-01	Kym-daa  khamaaty ergezinden  azy khamaaty ergezin soluur ergezinden undezin chokka kazytpas uzhurlug.
16-00	16 chuul
16-00	Nazy chetken   er bolgash khereezhen kizhiler yazy-sook, natsionaly  azy chudulgezinin aaiybile kandyg-daa kyzygaarlaashkyn chokka oglenip, bodunun og-bulezin turguzar ergelig. Olar badylanyshkanynga khamaaryshtyr,  badylaldyg turgan uezinde baza onu kush chok dep sanaan uezinde  den ergelerni azhyglaar.
16-01	Badylazhyyshkyn chugle oglenchip turar iyi talanyn khostug bolgash  burun dugurzhulgazybile  boop bolur.
16-02	Og-bule niitileldin  chaigaar bolgash undezin uuru bolur baza niitilel bile kurunenin talazyndan kamgaladyr ergelig.
17-00	17 chuul
17-00	Kizhi buruzu onchu-khorengizin chaaskaan-daa, oskeler-bile kady-daa  edileer ergelig.
17-01	Kym-daa  onchu-khorengizin undezin chokka   khavyrtpas uzhurlug.
18-00	18 chuul
18-01	Kizhi buruzu bodaldyn, aryn-nuurnun bolgash chudulgenin  khostalgazynga ergelig; bo ergege bodunun chudulgezin azy uzelderin   oskertirinin khostalgazy baza  bodunun chudulgezin azy uzelderin chaaskaan-daa, oskeler-bile kady-daa khoige azy angy kyldyngan ooredilge, morgul baza shazhynchy bolgash ritualdyg ezulaldar damchyshtyr nepteredirinin khostalgazy  khamaarzhyp turar.
19-00	19 chuul
19-01	Kizhi buruzu uzeldernin baza olarny khostug ileredirinin khostalgazynga ergelig; bo ergege bodunun uzelderinge moondak chokka buzurep sagyyr baza kurune kyzygaarlaryndan khamaan chokka baza kandyg-daa arga-bile informatsiya bolgash ideyalarny dileer, alyr baza taradyr khostalga khamaarzhyp turar.
20-00	20 chuul
20-00	Kizhi buruzu taibyn chyysh bolgash  kattyzhyyshkynnarnyn khostalgazynga ergelig.
20-01	Kym-daa kaiy-bir kattyzhyyshkynga kireringe chygatpas uzhurlug.
21-00	21 chuul
21-00	Kizhi buruzu bodunun churtunun udurtulgazynga bodu dort azy khostug ezu-bile songutturgan toleelekchilerni damchyshtyr kirzhir ergelig.
21-01	Kizhi buruzu bodunun churtunga kurune albanynga  den kirer ergelig.
21-02	Chonnun kuzel-soruu chazaktyn erge-chagyrgazynyn undezini bolur uzhurlug; bo kuzelsoruk  alban niiti bolgash den  chazhyt badylaashkyn argazy-bile  azy  songuurunun khostalgazyn khandyryp turar  den chergelig oske khevirler duzazy-bile ertken  bolgash khazhydyyshkyn kyldynmaan oilep-oilep bolur  songuldalarga  ilerep  keer uzhurlug.
22-00	22 chuul
22-01	Kizhi buruzu  niitileldin kezhigunu bolganda, natsional kuzhenig bolgash chonnar arazynda kady azhyldazhylganyn achyzynda  kurune buruzunun kurlavyrlary bolgash turguzuunga duushtur kizhi mozuzun baksyratpain tudarynga   baza ekonomika, sotsial bolgash kultura adyrlarynga khostug saizyraarynga ergezhok chugula sotsial khandyrylga alyrynga  baza ergeleri  bottangan turarynga  ergelig.
23-00	23 chuul
23-00	Kizhi buruzu azhyldaar, azhyldy khostug shilip alyr, azhyldaar baidalynyn choptug bolgash taarymchalyg  bolurunga baza azhyl chok choruktan kamgalalga  ergelig.
23-01	Kizhi buruzu kandyg-daa ylgai koruushkun chokka den azhyl deesh den tolevir alyr ergelig.
23-02	Azhyldap turar kizhi buruzu  bodunun bolgash og-bulezinin  kizhi mozuzunge toleptig amydyraldy tudar choptug bolgash setkildi khandyryp turar baza kherek aparganda sotsial khandyrylganyn oske khevirlerinden nemeldelig tolevirni alyr ergelig.
23-03	Kizhi buruzu bodunun ergelerin kamgalaary-bile professionaldyg evilelder turguzar baza professionaldyg evilelderge  kirer ergelig.
24-00	24 chuul
24-01	Kizhi buruzu dyshtanylgaga baza khostug uege ergelig, oon ishtinde  azhyl khunun  shyn kyzygaarlaarynga baza  oilep-oilep  beer tolevirlig  sholeege  ergelig.
25-00	25 chuul
25-00	Kizhi buruzu amydyraldyn, oon ishtinde ash-chemnin, idik-kheptin, churttaar oransavanyn, emchi azhaalgazynyn baza ergezhok chugula sotsial khandyrylganyn oon bodunun bolgash og-bulezinin kadykshylyn baksyratpain tudarynga baza  chaagai baidalyn khandyrarynga  chetchir  denneldig bolurunga ergelig baza azhyl chok artkanda, aaraanda, invalid aparganda, dulguyak kalganda, nazylap kyraanda azy oon khamaaryshpas baidaldarda amydyraar argalaryn chidirgende, khandyrylga alyr ergelig.
25-01	Ie boluru bolgash chash nazyn tuskai azhaal-tezheel bolgash duza alyrynga ergeni berip turar. Bugu uruglar, og-bulege azy suras toruttungeninden khamaan chokka, domei sotsial kamgalaldy alyr uzhurlug.
26-00	26 chuul
26-00	Kizhi buruzu  oorenir ergelig. Ooredilge beti dize ege bolgash niiti ooredilgege khamaaryshtyr khalas bolur uzhurlug. Ege ooredilge alban bolur uzhurlug. Tekhniktig bolgash professionaldyg   ooredilge bugudege belen chedingir bolur uzhurlug baza deedi ooredilge kizhi buruzunun salymnyynyn aaiy-bile  bugudege  bir domei chedingir bolur uzhurlug.
26-01	Ertem-bilig kizhinin dolu saizyralynche bolgash kizhinin ergeleringe baza khostalgalarynga khundutkeldi bediderinche uglangan bolur uzhurlug. Ertem-bilig bugu chonnarnyn, sook-yazy baza shazhyn bolukterinin bot-bottaryn bilchiringe, oskelernin bodaldaryn,  chudulge-suzuglelderin khuleep biliringe,  ep-naiyraldyg chorukka baza Kattyshkan Natsiyalar Organizatsiyazynyn taibynny detkeen azhyl-chorudulgazynga detkimcheni beer uzhurlug.
26-02	Ada-ie ulus bottarynyn nazy chetpeen uruglarynyn ooredilgezinin khevirin chugulalap shiliir ergelig.
27-00	27 chuul
27-00	Kizhi buruzu niitileldin kultura amydyralynga khostug kirzhir, uran chuulden taalal alyr, ertem depshilgezinge kirzhir bolgash oon  kezhikterin azhyglaar ergelig.
27-01	Kizhi buruzu avtoru boop turary ertem, chogaal bolgash uran chuul azhyldarynyn tunneli bolur moraldyg bolgash materialdyg erge-azhyy kamgalattyngan turarynga ergelig.
28-00	28 chuul
28-01	Kizhi buruzu uk Uguulgada aiyttyngan ergeler bolgash khostalgalarny doluzu-bile khandyryp turar sotsial bolgash ulustar arazynyn korum-churumunga ergelig.
29-00	29 chuul
29-00	Kizhi buruzu oon khostug bolgash dolu saizyralyn khandyryp bolur niitileldin murnunga khuleelgelerlig.
29-01	Kizhi buruzu bodunun ergelerin bolgash khostalgalaryn bottandyryp turgash, khooilu ezugaar  oske kizhilernin ergeleri bile khostalgalaryn bolur-choguuru-bile khuleep koorun baza khunduleerin khandyrar baza demokrattyg niitilelge mozu-shynarnyn choptug negeldelerin, khoi-niiti churumun bolgash niiti chaagai baidaldy khandyrar sorulga-bile todarattyngan chugle yndyg kyzygaarlaashkynnarga tavarzhyr uzhurlug.
29-02	Ol ergelernin bolgash khostalgalarnyn bottandyryyshkyny kandyg-daa tavarylgada Kattyshkan Natsiyalar Organizatsiyazynyn sorulga bolgash printsipteringe  udurlanyshkak bolbas uzhurlug.
30-00	30 chuul
30-01	Uk Uguulgada chuu-daa chuve kaiy-bir kurunege, bolukke azy tus kizhilerge uk Uguulgada aiyttyngan ergeler bolgash khostalgalarny uzutkaarynche uglangan azhyldar chorudarynga azy kyldynyglar kylyrynga erge berip turar dep  taiylbyrlattynyp bolbas.
