00-00	DICHIARAZIOUN UNIVERSELA DI DIRET UMEN
20-01	Ogni persouna la a diret ma la liberta 'd riunioun e ad asociazioun pacefica.
20-02	Nisun e po esa custret a fe perta d'una asociazioun.
21-00	ARTICOLO 21
21-01	Ogni persouna la a diret da partecipe m'e' g-verni de propii paiois, sia diretament, sia pri mezi ad rapresentint scilt liberament.
21-02	Ogni persouna la a diret da esa asunta in cundizioun ad parita t'j impiegh poblich de propii paiois.
21-03	La volonta populera la e e' fundament dl'autorita de g-verni; sta volonta la a da esa espresa da elezioun frequenti e leeli, organizedi a sufrag' universel e uguel, a vot segret, opure seguend una procedura ad vutazioun altretent lebra e garantesta:
22-00	ARTICOLO 22
22-01	Ogni persouna, cume perta integrenta dla societa, la a diret mla sicureza suciela, nonche mla realizazioun atravers u sforz naziunel e la cooperazioun internaziunela e in armonia sl'organizazioun e al risoursi ad ogni Sted, di diret economich, suciel e culturil indispensabli m'la su dignita e m'u lebri svilop dla su personalita.
23-00	ARTICOLO 23
23-01	Ogni persouna la a diret m'u lavour, m'la lebra scilta dl'impiegh, ma giosti e dignitousi cundizioun ad lavour e m'la protezioun countra la disocupazioun.
23-02	Ogni persouna, senza nisuna discriminazioun, la a diret m'una uguela retribuzioun in cunfrount m'un uguel lavour.
23-03	Ogni persouna c'la lavoura la a diret ma una pega giosta e dignitousa c'la garantesa ma se stesa e m'la su fameia una vita umena dignitousa e aiuteda, quand l'e niciserii, da d'j ilt mezi ad protezioun suciela.
23-04	Ogni persouna la a diret da funde dli organizazioun sindacheli e dei la propia adesioun pri la difoisa di propii interis.
24-00	ARTICOLO 24
24-01	Ogni persouna la a diret m'u ripos e m'el temp lebri, tnend count ad conseguenza d'una giosta limitazioun dli ouri 'd lavour e ad ferie retribuidi.
25-00	ARTICOLO 25
25-01	Ogni persouna la a diret d'avoi una cundizioun ad vita c'l'ai permeta da garanti la saluta e e' benesri propii e dla su fameia, s'una atenzioun particulera m'l'alimentazioun, m'i vistid, m'la chesa, mli medicini e m'i servizi suciel niciserii, e la a diret m'la sicureza ti ches ad disocupazioun, malati, invalidita, vedovenza, v-ciaia e at tot i ches ch'i duves cumpurte la perdita di mezi ad susistenza a cheusa ad fat indipendint dala su volonta.
25-02	La maternita e l'infanzia agl'i a diret ma curi e asistenza particuleri. Tot i burdill, nid al'interni de matrimonii o fura da e' matrimonii, i a da beneficie dla stesa protezioun suciela.
26-00	ARTICOLO 26
26-01	Ogni persouna la a diret ma l'istruzioun. L'istruzioun la n'a da custe gnint almeno in riferiment mli classi elementeri e fondamenteli. L'istruzioun elementera la a da esa ubligatoria. L'istruzioun tecnica e prufesiunela la a da esa m'la purteda ad tot e l'istruzioun superioura la a da esa altretent acesebla ma tot in cunsiderazioun de merit ad ciascun.
26-02	L'istruzioun la a da esa indirizeda m'e' pin svilop dla personalita umena e m'u rafurzament du rispet di diret umen e dli liberta fondamenteli. Li la a da ricerche u svilop dla comprensioun, dla tolerenza, dl'amicizia fra toti al Nazioun, i grop ad razi diversi, i grop religius, e la a da favuri l'impegn dli Nazioun Unidi pri e' manteniment dla pesa.
26-03	I genitur i a el diret ad priorita tla scilta del tip d'istruzioun da de m'i propii fiull.
27-00	ARTICOLO 27
27-01	Ogni persouna la a diret da partecipe liberament m'la vita culturela dla comunita, la a diret da apreze al belezi dl'arte tli su svariedi fourmi e da contribui m'e' prugres dla scienza e da usufrui di su beneficc.
27-02	Ogni persouna la a diret m'la protezioun d'j interis murel e materiil proveniint da ogni produzioun scientefica, letereria e artestica creeda da la persouna stesa.
28-00	ARTICOLO 28
28-01	Ogni persouna la a diret m'un ourdni suciel e internaziunel te quale i diret e al liberta proclamid tla presenta Dichiarazioun i posa esa completament realizid.
29-00	ARTICOLO 29
29-01	Ogni persouna la a di duvoir ti cunfrunt dla comunita, sna drointa la quale l'e pusebli e' pin e lebri svilop dla su personalita.
29-02	Tl'esercizii di su diret e dli su liberta ogni persouna la a da esa sotoposta sna ma cli limitazioun stabilidi dala legia pri garanti u riconosciment e u rispet di diret e dli liberta ad ch'j ilt e pri sudisfe al giosti necesita dla morale, dl'ourdni poblich e de benesri generel 't una societa democratica.
29-03	Sti diret e stli liberta in po, in nisun ches, esa esercitid in cuntrast sli finalita e s'i principi dli Nazioun Unidi.
30-00	ARTICOLO 30
30-01	Nisuna perta dla presenta Dichiarazioun la po esa interpreteda tu sens da arughes, da perta d'un qualsiasi Sted o grop o persouna, un diret da esercite un'ativita o da meta in at un'azioun c'la epa u scop da prevariche di diret o dli liberta proclamid tla Dichiarazioun stesa.
