00-00	Mvshelo Ma Angfem nga Rvru Ta Vmari Ma Rvwuni Kepet
08-00	8. Vngsekel bekv tamtheresas
08-01	Wuni o wuni o ba vmari kvmv a thonkane ko ta bepi wuni o wuni o kvthi ko vmari mong ka rewuni kepet ketangvne ka vng tho.
09-00	9. Vngsekel bekv tamtherenganle
09-01	A ye teke barkar wuni ka vngfoso. A ye teke bot ko der ofenvne thalom kefitha ko rvthof vtel ka mv te mo yema.
10-00	10. Vngsekel bekv tofot
10-01	A yi teke song wuni o wuni vfere vthenvne suv ko elengs ka vngbare nga vngthonkas gberkethe me te yo vgbvy ka kvgbengben vmari mong yi vnggbethe ngong, yi mvles thalom tvles a pa to yo-e.
11-00	11. Vngsekel bekv tofot ngin
11-01	Owa wuni o wuni a po bot ka vngbare nga vngthonkas be ta mvles a pa mo yo-e, a ye teke gbasi kepa vte a lom kepa to yu-e teteng, hang thas a po gbengbeng yi kelefthi lefthi. Owa a song ko vngfere nga kvthonka kvmv o kvthineka vte a deng ko. Owa thas a bep kepa vte a l m teteng yenka ma wop ko ten.
11-02	Owa a ye tekewop wuni ka vngtho ka mvles vme peyi o bote ri mvta mong, pe ka vngtho nga vngthof ngong-o, thalom vthof vtel ka vloko a yo mvles mati-e. Owa a ye teke thvler wuni pe thas mo to a bot tekethvler wuni meshim vngtho ka vngloko o shim vngtho-o.
12-00	12. Vngsekel bekv tofot mvreng
12-01	A ye teke bot keseng ka vnggbundu, vngbonsho, mvyirv thalom vte mo gbal, owa kesambos ayiki tong yi vnges ngo vfino. Owa wuni o wuni ba vmari ma kv yo vngtho vng chimv ko ka vnge me bot ko keseng-e.
13-00	13. Vngsekel bekv tofot mesas
13-01	Wuni o wuni o ba rvwankom ra kvkone ro o yema yi kebot meyira mong ro o yema-e ra thof o thof.
13-02	Owa wuni o wani o ba vmari ma kvtey hali ro a kom ko-e teke kone ro o yema-e, thalom kekalvne ro o wur-e.
14-00	14. Vngsekel bekv tofot mangle
14-01	Wuni o wuni o ba vmari ma kvgbuke o ko mvnkne rv vthof vlom, kvmv a te dif ko.
14-02	Owa a ye teke noy ko vmari vme ta salata efof eyay yay, thalom re tetek telom te wong rvpolitikis, thalom tetek te leser mvthank ma Vngyunayted Neshon.
15-00	15. Vngsekel bekv tofot tamath
15-01	Wuni o wuni o ba vmari tekng yirv ka vngthof ngong.
15-02	Owa wuni o baye mari teke kvthi okos kong vmari ma kayi ukin ka angthof ngong, thalom kebent ko kvmv o te shinkar kayi ukin ka vngthof o te yema.
16-00	16. Vngsekel bekv tofot tamthrukin
16-01	Angfem aruni yi angfem abom po tena-e, ang ba mvri teke nvntvne mo to ang yema-e; teke te kelene tv vbonsho, vngthof, thalom vngdina kvmv ang tepi tvlek tang.
16-02	Owa a ye teke not wuni ke kone balv ka owe o te yema. Ange menvntvne-e, ang yi teke beng ka mvyema mang.
16-03	Owa mv peyi rvlek ra mvyira rv yi kvboth ka vkeleng keleng ka mvyirane-e, ange ka vkeleng be yi ka vngthofe, a yi teke bum nga de rong o rong mang yema yvtha-e.
17-00	17. Vngsekel bekv tofot tamthedereng
17-01	Wuni o wuni o ba vmari teke ba vkeng kong kon son. Owa o gbeli so kvl ba vkeng yi afem alomng.
17-02	Owa wuni o baye mari teke kvthi ko ki rv foso rekom.
18-00	18. Vngsekel bekv tofot tamthresas
18-01	Wuni o wuni o ba vmari ma rvwankom ra kvtemtemne to o yema, enane yong yi vngdina o yema wop-e. Wa o ba vmari ma kvshinkar vngdina o yema, yi mvlane mong. Owa o ba rvwankom ra kvtheksv, kvbvtho, kvtangvnge yi ketheksv mvlane mong peyi kong son-o, ka vkeleng keleng yi afem alom-o, der ogberkethe-o, thalom ka vng gbundu ngong.
19-00	19. Vngsekel bekv tofot tamthrenganle
19-01	Wuni o wuni o ba rvwankom ra vte o temv yi kvfof vte o yema-e. Owa rvwankom vre o ba ri teke bet vte o nane ke te bot ko ke seng yi kethens, thalom kesakethi tera yi etemtemne de rong o rong ke tekelene ro o yi-e.
20-00	20. Vngsekel bekv kegba
20-01	Wuni o wuni o ba vmari ma kvwop megbane methofel yi kekulune ange o yema-e.
20-02	A ye teke fosar wuni kvmv o kokulune ka vte o te yema-e.
21-00	21. Vngsekel bekv kegba ngin
21-01	Wuni o wuni o ba vmari ma kvgbasi vgbvp ka vngkwament nga angthof ngong, ketvng ka kongong gbeng thalom ka owe o thithe.
21-02	Angkwhament vng yi teketvngvne vte angfem ang yema-e. Owa mvyema vme ang te torine ngv ka kvtente thith ange ang yema-e, ka anggbundu. Owa a ye teke penshane vmari ma wuni o wuni po bek teki thith wuni-e, kama o thith owe o yema o tema ta vtong.
21-03	[Missing?]
22-00	22. Vngsekel bekv kegba mvreng
22-01	Owa mv peyi wuni o wuni o yi ketong ka angfem vkepet-e, o ba vmari ma kvmvrane ko kvmv pefisa ko ketvng ka emar ya angthof, emar ya tvthof tetel, ketvngvne ka mo to o gbeli temv ukolo yi yiki ketong ka angkos ngong.
23-00	23. Vngsekel bekv kegba esas
23-01	Owa wuni o wuni o ba vmari ma kvworek mvpanth, rvwankom ra kvthith ko remvpanth yi ka olompi wati kvmv vte penshane kesong wuni mvpanth.
23-02	Owa wuni o wuni o yi teke ba vrvm vthenvne bepi ang yo mepath methenvne kete to vgbay.
23-03	A yi teke rvm wuni o wuni vrvm vfino me gbeli song ko ayiki tong ka rvlek rong yi kemar mvtvy melom o yi teke yo ka vkeleng keleng oyi-e.
23-04	Wuni o wuni o ba vmari teke kulune, thalom ketepi vnenki me chimv ko kvmv o sotho vrvm vfino ka mapanth mo worek-e.
24-00	24. Vngsekel bekv kegba manle
24-01	Wuni o wuni o ba vmari ma kvfothane kewur kvyo mvpanth to o yema. Owa o ba vmari ma kvsong ko vloko mo fothane vloko o loko.
25-00	25. Vngsekel bekv kegba tamath
25-01	Wuni o wuni o ba vmari ma kayi uyenki meder, yi kvbor kong. Owa ang yi teke ba edi ebeki, eyet ewong, angseth kvyi, tol ebeki, emar ya vngthof. Owa o yi teke sotho vmar ka vngloko mo te yi re mepanth-e, thalom utuy, bepi o seke ulopvne, thalom keseke ubora, ubvki, owa sothelom mv mo te so gbeli worek ka angyethe ngong.
25-02	Angkomrv yi angfeth be a yi teke song nga memari methokong. Angfeth vnge ma kom ka kv te tha nvntane yinkv te tha nvntvneng, a yi teke song nga emar ethenene.
26-00	26. Vngsekel bekv kegba tamthurukin
26-01	Uwath O wath oba vmari ma k vyoko oKarvn A yi teke yo wath o wath o pon kv kvrang ka vtaranthe tefeth. Kere kvthekes tvtol yi kvkvrang keboli rekom a yi teke song ki ka angfeth vnge gbeli thekes yi kvkarang kati.
26-02	Owa kakarang a yi teke yo ki kvmv ke gbeli mar owuni kvmv o ko rodi, te kebvr vyiki tong yi rvwankom rong. Owa keyi teke gbeli kvrv ko kesothrvne emerv, kvmuyvne, ke kvrv reyathki ketong ka tv bona ta vrvru, angfem vkepet, edina egbaske gbaske, owa yi ke kvrv methofel mo to Angyunated Neshon ang yema-e.
26-03	Angkomra ang ba vmari ma kathith ko ke karanng kang yema angfeth ngang ang karang-e.
27-00	27. Vngsekel bekv kegba tamthedereng
27-01	Owa wuni o wuni oba vmari ma kvtvng mvkur ma angfem ngong vme o yema-e, yi ka vkeleng keleng o yi-e. O yi teke yanthene mvtvy vme, owa o yi teke mar kvmv me ko ro di ka moyeng.
27-02	Wuni o wuni o ba vmari ma kebum mvyi, mvyet vme o bempa yi vtafv vte konong o gbal-e.
28-00	28. Vngsekel bekv kegba tamthresas
28-01	Owa wuni o wuni o ba vmari ma kvtvngvne vnge o yema peyi ka angthof ngong rekor-o, thaom re tethof tetel ro mo gbeli sotho vngfere nga ka sotho mvtvy vme be a gbal ka mvsekrvne vme ka rvwvnkom rong keyankang.
29-00	29. Vngsekel bekv kegba tamthrenangle
29-01	Owa wuni o wuni o ba vnggbethe nga teke mar vkeleng keleng o sotho rvwankom be o po tenga yi kewur ngangieng.
29-02	Owa hali ma apa wuni o wuni o ba vmari yi rvwankomrong, ta tvrv ti kepa o yi ro ratha ka v ngtho. Owa o yi teke yikis vmari yi rvwankom ra angkos ngong. Owa o anfem nga rvwankom.
29-03	Owa vmari vme yi rvwankom vre, e song ye wuni mari teke te tvngvne mvbotes ma Angyunayted Neshon.
30-00	30. Vngsekel bekv kegba tofot
30-01	Owa vte yi ka mvsekrane vme be, a ye teke gbasi ti teke sompar vngthof, wuni o wuni, thalom vnenki nga vngfem, thalom teke kasara vmari yi rvwankom yi ka mvsekrane vme.
