00-00	Tuyen ngon toan the gioi ve nhan quyen của Lien Hop Quoc
02-02	Ngoai ra, cung khong co bat cu su phan biet nao ve dia vi chinh tri, phap quyen hay quoc te của quoc gia hay lanh thỏ ma mot nguoi xuat than, cho du quoc gia hay lanh thỏ do duoc doc lap, duoc dat duoi che do uỷ tri, chua tu quản hay co chủ quyen han che.
03-00	Dieu 3:
03-01	Moi nguoi deu co quyen song, tu do va an toan ca nhan.
04-00	Dieu 4:
04-01	Khong ai phải lam no le hay bi cuong buc lam viec nhu no le; moi hinh thuc no le va buon ban no le deu bi ngan cam.
05-00	Dieu 5:
05-01	Khong ai bi tra tan hay bi doi xủ, xủ phat mot cach tan bao, vo nhan dao hay ha thap nhan phảm.
06-00	Dieu 6:
06-01	Moi nguoi deu co quyen duoc thua nhan tu cach la con nguoi truoc phap luat ỏ khap moi noi.
07-00	Dieu 7:
07-01	Tat cả moi nguoi deu binh dảng truoc phap luat va duoc phap luat bảo ve nhu nhau khong co bat cu su phan biet nao. Tat cả moi nguoi deu duoc bảo ve nhu nhau chong lai moi hinh thuc phan biet doi xủ vi pham Bản tuyen ngon nay cung nhu chong lai moi hanh vi xui giuc phan biet doi xủ nhu vay.
08-00	Dieu 8:
08-01	Moi nguoi deu co quyen duoc cac toa an quoc gia co thảm quyen benh vuc theo phap luat truoc nhung hanh vi vi pham cac quyen co bản do hien phap hay luat phap quy dinh.
09-00	Dieu 9:
09-01	Khong ai bi bat, giam giu hay day di noi khac mot cach doc doan.
10-00	Dieu 10:
10-01	Moi nguoi, voi tu cach binh dảng ve moi phuong dien, deu co quyen duoc mot toa an doc lap va vo tu phan xủ cong bang va cong khai dẻ xac dinh quyen, nghia vu hoac bat cu mot loi buoc toi nao doi voi nguoi do.
11-00	Dieu 11:
11-01	Moi nguoi, neu bi quy toi hinh su, deu co quyen duoc coi la vo toi cho den khi mot toa an cong khai, noi nguoi do da co duoc tat cả nhung dảm bảo can thiet dẻ bao chua cho minh, chung minh duoc toi trang của nguoi do dua tren co sỏ luat phap.
11-02	Khong ai bi ket toi hinh su vi mot hanh vi hay su tac trach khong bi coi la mot toi hinh su theo quy dinh của luat phap quoc gia hay quoc te vao thoi diẻm do. Cung nhu khong cho phep ap dung hinh thuc xủ phat doi voi mot toi hinh su nang hon so voi quy dinh của luat phap luc bay gio cho muc do pham toi cu thẻ nhu vay.
12-00	Dieu 12:
12-01	Khong ai bi can thiep mot cach doc doan doi voi cuoc song rieng tu, gia dinh, noi ỏ hay thu tin của ca nhan nguoi do cung nhu khong bi xam pham toi danh du va uy tin. Moi nguoi deu duoc phap luat bảo ve chong lai nhung hanh vi can thiep hoac xam pham nhu vay.
13-00	Dieu 13:
13-01	Moi nguoi deu co quyen tu do di lai va cu tru trong pham vi lanh thỏ của moi quoc gia.
13-02	Moi nguoi deu co quyen roi khỏi bat cu nuoc nao, kẻ cả nuoc minh, cung nhu co quyen trỏ ve nuoc minh.
14-00	Dieu 14:
14-01	Moi nguoi deu co quyen tim kiem va duoc lanh nan ỏ nhung nuoc khac khi bi nguoc dai.
14-02	Quyen nay khong duoc ap dung trong truong hop duong su bi truy to vi nhung toi khong mang tinh chat chinh tri hay vi nhung hanh vi di nguoc lai muc tieu va nguyen tac của Lien Hop Quoc.
15-00	Dieu 15:
15-01	Moi nguoi deu co quyen nhap quoc tich của mot nuoc nao do.
15-02	Khong ai bi tuoc doat quoc tich của minh hay bi khuoc tu quyen duoc thay dỏi quoc tich mot cach doc doan.
16-00	Dieu 16:
16-01	Nam hay nu den tuỏi thanh nien deu co quyen ket hon va xay dung gia dinh ma khong co bat cu mot han che nao ve chủng toc, quoc tich hay ton giao. Ho co quyen binh dảng trong viec ket hon, trong cuoc song vo chong va luc ly hon.
16-02	Viec ket hon chỉ duoc tien hanh khi co su dong y hoan toan va tu nguyen của cả hai ben.
16-03	Gia dinh la mot don vi tu nhien va co bản của xa hoi va duoc xa hoi va nha nuoc bảo ve.
17-00	Dieu 17:
17-01	Moi nguoi deu co quyen sỏ huu tai sản của rieng minh hay chung voi nhung nguoi khac.
17-02	Khong ai bi tuoc doat tai sản của minh mot cach doc doan.
18-00	Dieu 18:
18-01	Moi nguoi deu co quyen tu do suy nghi, y thuc va ton giao, kẻ cả tu do thay dỏi ton giao hay tin nguong, va tu do thẻ hien ton giao hoac tin nguong duoi hinh thuc truyen ba, thuc hanh, tho phung hoac le tiet, voi tu cach ca nhan hay tap thẻ, cong khai hay rieng tu.
19-00	Dieu 19:
19-01	Moi nguoi deu co quyen tu do ngon luan va bay tỏ quan diẻm; kẻ cả tu do bảo luu y kien khong phu thuoc vao bat cu su can thiep nao, cung nhu tu do tim kiem, thu nhan, tryen ba thong tin va y kien bang bat cu phuong tien thong tin dai chung nao va khong gioi han ve bien gioi.
20-00	Dieu 20:
20-01	Moi nguoi deu co quyen tu do hop hanh va tham gia hiep hoi mot cach hoa binh.
20-02	Khong ai bi bat buoc phải tham gia mot hiep hoi nao.
21-00	Dieu 21:
21-01	Moi nguoi deu co quyen tham gia vao chinh quyen của nuoc minh, mot cach truc tiep hay thong qua nhung dai dien duoc tu do lua chon.
21-02	Moi nguoi deu co quyen duoc huỏng cac dich vu cong cong của dat nuoc minh mot cach binh dảng.
21-03	Y chi của nhan dan la co sỏ tao nen quyen luc của chinh quyen; y chi nay duoc thẻ hien qua cac cuoc bau củ dinh ky va thuc su, theo nguyen tac bỏ phieu phỏ thong va binh dảng va duoc thuc hien qua bỏ phieu kin hoac qua cac thủ tuc bỏ phieu tu do tuong tu.
22-00	Dieu 22:
22-01	Voi tu cach la thanh vien của xa hoi, moi nguoi deu co quyen duoc huỏng bảo hiẻm xa hoi cung nhu duoc thuc hien cac quyen ve kinh te, xa hoi va van hoa khong thẻ thieu doi voi nhan phảm va tu do phat triẻn nhan cach của minh, thong qua no luc quoc gia, hop tac quoc te va phu hop voi he thong tỏ chuc va nguon luc của moi quoc gia.
23-00	Dieu 23:
23-01	Moi nguoi deu co quyen lam viec, tu do lua chon cong viec, duoc huỏng dieu kien lam viec cong bang va thuan loi va duoc bảo ve chong lai tinh trang that nghiep.
23-02	Moi nguoi deu co quyen duoc trả cong ngang nhau cho cong viec nhu nhau, khong co bat cu su phan biet doi xủ nao.
23-03	Moi nguoi lao dong deu co quyen duoc huỏng che do thu lao cong bang va thuan loi dảm bảo cho su ton tai của bản than va gia dinh xung dang voi nhan phảm va duoc ho tro them tu cac hinh thuc bảo tro xa hoi khac, neu can thiet.
23-04	Moi nguoi deu co quyen thanh lap va tham gia cac tỏ chuc cong doan dẻ bảo ve quyen loi của minh.
24-00	Dieu 24:
24-01	Moi nguoi deu co quyen nghỉ ngoi va giải tri, kẻ cả quyen duoc han che hop ly ve so gio lam viec va huỏng nhung ngay nghỉ dinh ky duoc trả luong.
25-00	Dieu 25:
25-01	Moi nguoi deu co quyen duoc huỏng muc song dủ dẻ dảm bảo suc khoẻ va phuc loi của bản than va gia dinh, ve cac mat an, mac, ỏ, y te va cac dich vu xa hoi can thiet khac, cung nhu co quyen duoc bảo hiẻm trong truong hop that nghiep, om dau, tan tat, goa bua, gia nua hoac thieu phuong tien sinh song do nhung hoan cảnh khach quan vuot qua khả nang kiẻm soat của minh.
25-02	Cac ba me va trẻ em can duoc cham soc va giup do dac biet. Tat cả trẻ em, sinh ra trong hoac ngoai gia thu, deu duoc huỏng muc do bảo tro xa hoi nhu nhau.
26-00	Dieu 26:
26-01	Moi nguoi deu co quyen duoc hoc hanh. Phải ap dung che do giao duc mien phi, it nhat la ỏ bac tiẻu hoc va giao duc co sỏ. Giao duc tiẻu hoc la bat buoc. Giao duc ky thuat va nganh nghe phải mang tinh phỏ thong, va giao duc cao hoc phải theo nguyen tac cong bang cho bat cu ai co dủ khả nang.
26-02	Giao duc phải huong toi muc tieu giup con nguoi phat triẻn day dủ nhan cach va thuc dảy su ton trong doi voi cac quyen va tu do co bản của con nguoi. Giao duc phải tang cuong su hiẻu biet, long vi tha va tinh bang huu giua tat cả cac dan toc, cac nhom ton giao va chủng toc, cung nhu phải dảy manh cac hoat dong của Lien Hop Quoc vi muc dich gin giu hoa binh.
26-03	Cha, me co quyen uu tien lua chon loai hinh giao duc cho con cai.
27-00	Dieu 27:
27-01	Moi nguoi deu co quyen tu do tham gia vao doi song van hoa của cong dong, duoc thuỏng thuc nghe thuat va chia xẻ nhung thanh tuu va loi ich của tien bo khoa hoc.
27-02	Moi nguoi deu co quyen duoc bảo ho doi voi nhung quyen loi ve vat chat va tinh than xuat phat tu cong trinh khoa hoc, van hoc va nhge thuat ma nguoi do la tac giả.
28-00	Dieu 28:
28-01	Moi nguoi deu co quyen duoc huỏng trat tu xa hoi va trat tu quoc te trong do cac quyen va tu do neu trong Bản tuyen ngon nay co thẻ duoc thuc hien day dủ.
29-00	Dieu 29:
29-01	Moi nguoi deu co nghia vu doi voi cong dong la noi duy nhat nguoi do co thẻ phat triẻn nhan cach của minh mot cach tu do va day dủ.
29-02	Khi thuc hien cac quyen va tu do của minh, moi nguoi chỉ chiu nhung han che do luat dinh, nham muc dich duy nhat la dảm bảo su cong nhan va ton trong thich dang doi voi cac quyen va tu do của nguoi khac cung nhu dap ung nhung yeu cau chinh dang ve dao duc, trat tu xa hoi va phuc loi chung trong mot xa hoi dan chủ.
29-03	Trong bat cu truong hop nao, viec thuc hien nhung quyen va tu do nay cung knong duoc di nguoc lai voi nhung muc tieu va nguyen tac của Lien Hop Quoc.
30-00	Dieu 30:
30-01	Khong duoc phep dien giải bat ky dieu khoản nao trong Bản tuyen ngon nay theo huong ngam y cho phep bat ky quoc gia, nhom nguoi hay ca nhan nao duoc quyen tham gia vao bat ky hoat dong nao hay thuc hien bat ky hanh vi nao nham pha hoai bat ky quyen va tu do nao neu trong Bản tuyen ngon nay.
