00-00	UNIVERSAL NA DECLARASION I DERECHO SIHA PARA I TAOTAO
14-01	Todo man gai derecho na ualigao yan para ugosa gi otro tano siha asilo (linihen) gine kastigo.
14-02	Este na derecho ti debe umainvoka gi kaso pot persucusion (kastigo) siha naturalmente dumoko ginen ti political na isao siha pat ginen finatinas siha ni acocontra i intension yan principal siha i Unidos Nasion siha.
15-00	Articulo l5.
15-01	Todo man gai derecho nu un nasionalidad.
15-02	Taya ni uno sina maarbitariomente maamot nu i nasionalidadna oset marenuncia ni derecho para utulaika i nasionalidadna.
16-00	Articulo l6.
16-01	Lalahe yan famalauan ni kabales idad niha, sin nihafa na restriksion kauso pot rasa, nationalidad pat relihion, man gai derecho na ufan asagua yan para ufan gai familia. Mangai derecho siha pot kasamento, duranten umasaguan niha, yan inadespatan i kasamento.
16-02	Kasamento debe de umahatme solo que gi libertao yan kabales na consentimenton i para ufan asagua na persona siha.
16-03	I familia guiya i natural yan i fundamental na gurupon dinanna i sociedad yan gai derecho gui nui proteksion ginen i sociedad yan i stados (lugana).
17-00	Articulo 17.
17-01	Todo persona man gai derecho para ugai properdad namaisa yan loque gi associasion yan otro siha.
17-02	Taya ni uno sina arbitariomente ma amot nui properdadna.
18-00	Articulo 18.
18-01	Todo man gai derecho para ufan man haso gi libertad, consciencia yan relihion; este na derecho ha inklulusa libertad para utulaika i relihionna pat hinengenna, yan libertad maseha guiya namaisa pat gi dinanna yan otro siha gi publico pat privado, para umanifesta i relihionna pat hinengenna gi finanague, mapractica, inadora yan guinadda.
19-00	Articulo 19.
19-01	Todo man gai derecho para libertad na opinion yan expresasion; este na derecho ha inklulusa i libertad para usustiene opinion sin nihafa na inentalo yan para uespia, uresibe yan ulaknos informasion yan idea siha gi maseha hafa na media yan sin considerasion pot nuebon niha siha.
20-00	Articulo 20.
20-01	Todo man gai derecho para libertad na assemblia yan asociasion ni pacifico.
20-02	Taya sina maobliga para uhalong gi un asociasion.
21-00	Articulo 21.
21-01	Todo man gai derecho para ufan naonao gi i gobiernamenton i tanona, derektamente pat ginen i libertad ni maayek na representante.
21-02	Todo man gai derecho nui pareho na accesso (entrada) para i servicion publico i tanona.
21-03	I minalago i taotao debe de i fundamental i autoridad i gobiernamento; este na minalago debe de umanaanok gi tempo-pot-tempo yan magahet na election siha ni debe ginen i universal yan pareho na boto yan debe de umaconsige gi secreto na botasion pat gi ekuivalenten libertao na manera siha para man bota.
22-00	Articulo 22.
22-01	Todo, como membron i sociedad, man gai derecho para i social na seguridad yan gai derecho para managuahan i seguridad, ginen i nasional na prenekura yan internasional na co-operasion yan gi acondancia yan i organisasion yan guinahan i kada uno na stado, i economia, social yan cultural na derecho siha ni tisina machanda i dignidadna yan i libertao na inadelantan i personalidadna.
23-00	Articulo 23
23-01	Todo man gai derecho para ufachocho, para libertao na enaye empleo, para virtuoso yan faborable na condision i checho yan para proteksion kontra ti empleado.
23-02	Todo, sin nihafa na discriminasion, man gai derecho nui pareho na apas para i pareho na chocho.
23-03	Todo man machochocho man gai derecho para virtuoso yan faborable na compensensia asiguridot para guiya mismo yan i familiana un linala bale yan humano (taotao) na dignidad, yan maumentaye (masaplemente) yangin necesario, nui otro medio siha na proteksion social.
23-04	Todo man gai derecho para uforma yan usaonao gi inetnon comercio siha para i proteksion i interesna siha.
24-00	Articulo 24.
24-01	Todo man gai derecho para udeskansa yan tai ocupasion, incluso mididao na oran choch siha, yan tempo-pot-tempo na haanen gupot ni maapase.
25-00	Articulo 25.
25-01	Todo man gai derecho para un standar na linala ni nahong para i hinemlo yan felicidadna yan para i familiana, incluso nenkano, magago, guma yan estiman medico yan necesario na servicion social siha, yan i derecho para seguridad inkaso na tiempleao, minalango, ininutet, biudo pat biuda, inamko pat otro ni fatan i linala gi circumstancia ni tangue gi sisinana.
25-02	Maternida (humana) yan infancia (neni) mangai derecho para special na inistema yan ayudo. Todo famaguon, maseha mafango gi estao kasamento pat ahe, debe de ugosa i pareho na proteksion social.
26-00	Articulo 26.
26-01	Todo man gai derecho nui educasion. Educasion debe de sin apas, polomenos gi elmentario yan i fundamental na eskalera siha. Elementario na educasion debe de obligao. Teknical yan profesional na educasion debe umana guaha heneralmente yan i latakilo na educasion debe de kabales na hatmiyon para todo sigun i mireto.
26-02	I educasion debe de umaderihe para i kabales yan i manametgot i respeto pot derechon humano siha yan fundamental na libertad siha. I educasion debe unadelanta inakumprende, siningon, yan inamigo entalo todo i tano siha, rasa pat gurupon relihion siha, yan debe uomenta i checho i Unidas Nasion siha para i masuseten i pas.
26-03	I mManaina man gai primet derecho para uayek i klasen educasion ni para umanae i famaguon niha.
27-00	Articulo 27.
27-01	Todo man gai derecho libertao para usaonao gi i cultural na linala i comunidad, para ugosa i arto siha para usaonao gi sientifico na adelantamente yan i beneficiona siha.
27-02	Todo man gai derecho pot i proteksion i moral yan material na interes siha umuhuyon ginen todo sientifico, literario (tinige) pat producsion artistico ni eso guiya autor (fumatinas).
28-00	Articulo 28.
28-01	Todo man gai derecho para un social yan internasional na arreglo anai i derecho yan i libertad siha ni man mapolo guine na Declarasion usina marealisa kabales.
29-00	Articulo 29.
29-01	Todo man gai obligasion para i comunidad anai solamente i libertad yan kabales na adelanto i personalidadna sina makonsige.
29-02	Gi i ninaseben i derechona yan libertadna siha, todo ufan sometado (tokante) nui restriksion siha ni man madetermina gi lai solamente pot i intensiom i ma aseguran i ginagagao na recognision yan respeto para i derecho yan libertad i pumalo siha yan i inafacha i virtuoso na ginagao moral, areglao na publico yan i heneral na prosperidad ni un democratico na sociedad.
29-03	I derecho yan libertad siha tidebe umausa gi kautkuet manero ni contrario yan i intension yan i motibon i Unidas Nasion siha.
30-00	Articulo 30.
30-01	Taya gi este na Declarasion usina mainterpete como haimplilika (hasasangan) para kuatkuet stado, gurupo pat persona kuatkuet derecho ni para usaonao gi kuatkuet actividad (chocho) pat para ufatinas kuatkuet acto madesigna para i destruksion i kuatkuet derecho yan libertad siha ni man mapolo guine na tinige.
