00-00	jierenquanxuanyan
24-01	renrenyouxiaotinghezirdequanli, baokuogongzuoshijianyouhelixianzhihedingqigeixinxiujiadequanli. 
25-00	di25tiao
25-01	renrenyouquanxiangshouweiweichitazijigerhejialirendejiankanghefulisuoxudeshenghuoshuizhun, baokuochiher, yishang, zhufang, zhibahebiyaodeshehuifuwu;zaizaodaoshiye, jibing, canfei, dangjiadelisuole, shuailaohuozaiqitabunengkongzhideshitouxiasangshimoushengnenglishi, youquanxiangshoubaozhang. 
25-02	muqinhertongyouquanxiangshoutebiezhaoguhezhiba. shifanrtong, wulunhunshenghuosihaizi, douyingxiangshoutongyangdeshehuibaohu. 
26-00	di26tiao
26-01	shifanrendouyoushoujiaoyudequanli, jiaoyuyingdangmianfei, zhishaozaichujihejibenjieduanyingdangzhemede. chujijiaoyuyingshuyiwuxingzhi. jishuhezhiyejiaoyuyingpubiansheli. gaodengjiaoyuyinggenjuchengjierdui1qierenpingdengkaifang. 
26-02	jiaoyudemudezaiyuchongfenfazhanrendegexingbingjiaqiangduirenquanhejibenziyoudezunzhong. jiaoyuyingcujingeguo, gezhongzuhuogezongjiaojituanjiandelekuang, rongrenheyouyi, bingyingcujinlianheguoweihuhepingdegexianghuodong. 
26-03	fumuduiqizinusuoyingshoudejiaoyudezhonglei, youxianbuxianxuanzedequanli. 
27-00	di27tiao
27-01	shifanrendouyouquanziyoucanjiashehuidewenhuashenghuo, xiangshouyishu, bingfenxiangkexuejinbujiqichanshengdefuli. 
27-02	shifanrendouduiyouyutasuochuangzuoderenhekexue, wenxuehuomeishuzuopinerchanshengdejingshendehewuzhideliyi, youxiangshoubaohudequanli. 
28-00	di28tiao
28-01	shifanrendouyouquanyaoqiu1zhongshehuideheguojidezhixu, zaizhezhongzhixuzhong, benxuanyansuozaidequanliheziyounenghuodechongfenshixian. 
29-00	di29tiao
29-01	renrenduishehuifuyouyiwu, yinweizhiyouzaishehuizhongtadegexingcaikenengdedaoziyouhechongfendefazhan. 
29-02	shifanrenzaixingshitadequanliheziyoushi, douzhishoufalusuoquedingdexianzhi, quedingcizhongxianzhidewei1mudezaiyubaozhengduipangrendequanliheziyougeiyuyingyoudechengrenhezunzhong, bingzai1geminzhudeshehuizhongshiyingdaode, gonggongzhixuhepubianfulidezhengdangxuyao. 
29-03	zhexiequanliheziyoudexingshi, wulunzaishaqingxingxiajunbudeweibeilianheguodezongzhiheyuanze. 
30-00	di30tiao
30-01	shifanbenxuanyandetiaowen, doubudejieshiweimoxurenheguojia, jituanhuogerenyouquanjinxingrenhezhizaipohuaibenxuanyansuozaiderenhequanliheziyoudehuodonghuoxingwei. 
