00-00	[missing]
11-02	Sokuon waii nalle wiel diteluo el ichuomerukundagha eiuulghane, tetkhane kinuollelk suutngin el tadiyuol-morawne. Tet nalle wieiuol iedeidaghaneng, tang nallegha eiuuiuol-moraw miereghat purenbande miereghe el eiuuiuol-morawneiek.
12-00	Kunil kii-burische istachiyaa
12-01	Kfde kedel-nimedaghane kinuollelk el antasuol-morawne, kode kedel-edildagha kinuollelk el sewnuiuol-morawne, kode chiesteghane tadaate reputatsiyadaghane kinuollelk el lotilesuol-morawne.
13-00	Kunil ialmische istachiyaa
13-01	Tude leweinburebegha kodeng khadaadeng ewrienuiuol-morawnei, khadaadeng ennuiuol-morawnei.
13-02	Tude leweinburebeghat wiede keweil-bunde kodeng me keweitei, tude leweinburebien pengeil-bunde me pengeitei.
14-00	Kunil ieleklesche istachiyaa
14-01	Chiin tangudulgha eiuure, kodeng wien leweinburebegha ennuiuol-moraw iawule wangchiyuol-moraw parawaanei.
14-02	Tung parawaa maarkhuon OON tselpedagha tadaate printsippedagha elkodinbanderukune wielelde chiingin el panaat.
15-00	Kunil imdaldische istachiyaa
15-01	Kode iawnar me khadi suktuul (gosudarstvo) grazhdaningi noluol-moraw parawaanei.
15-02	Kinghateng grazhdanstvedaghane werwelek el tinghareinunngu uuri el wiedegurchiisienunngu.
16-00	Kunil maaliyische istachiyaa
16-01	Keipepul tadaate paipepul-titte naachen sureghat, omoghat uuri ereliigiyeghat el mooiuochuon-naghagurchiireng, maarkhan nimendii ngolaaiuol-moraw parawaanengi.
16-02	Naghagurchiil-bunil maalagharut ledagha maarkhuon, keipe paipeneng nimennunnga.
16-03	Maarkhan nimendii ngolaaierukunpele suktuul mer oghoniiyuol-morawnei.
17-00	Kunil puskiyische istachiyaa
17-01	Kode iawnar ewie tude kedelle ngode tetchieneiuol nemeneiuol-moraw parawaanei.
17-02	Kodegha kedelle ngoderukune kinuollelk werwelek el tinghareeiuol morawne.
18-00	Kunil maalailekesche istachiyaa
18-01	Kode iawnar ewie tude kedel-chungdeni, suobasnei tadaate ereliigiyenei. Kode tude ereliigiyeghane tadaate warul chungdeghane (ubezhdenie) wielle ngolaasulgi, tangun suodede tangnepulghane wien chii chungdegha sewrel-bunilgi el maaluiuol-morawne.
19-00	Kunil walgharumkuruosche istachiyaa
19-01	Kode warul chungdegi (ubezhdenie) nemeledeng el lalwiiyuol-morawne, kode tangunghane khobo kiseiuol-moraw parawaanei. Kinghateng el ingiechuon informatsiyapele tadaate ideyapele wangchireng nuurelek, tangunpeghane suktuul granitsapedaghat el iguuiichuon chiingin mordiiyuol-morawgi el maaluu.
20-00	Kingunilische istachiyaa
20-01	Kode iawnar el lainulnei solghadilpele wieiuol uuri taatbande solghadilpegha ewreiuol-moraw parawaanei.
20-02	Me khadi guruuppegha uuri organizatsiyagha kodele werwelek el sewrienunngu.
21-00	Kingunil maarkha-burische istachiyaa
21-01	Kode iawnar tude meduoluol leweinburebe edildaghane-iawuldaghane wagharechilgha "tude chaldeghane me paruol-morawnei".
21-02	Kodegha iawnaidagha tude meduoluol leweinburebe suktuulgin suluuspedagha chaghadeiuol-moraw parawaagi wien chiinleghat el okhoichen.
21-03	Iawnai omo chungdegi parawiechel dii (pravitelstvo) chaghadelpegin para ngoluol-morawnei. Lemlepulgi nemeledeng el khorpiilnei vyborpegha elkhobo bande kuolastaal chambelek nuuiuolnunngi.
22-00	Kingunil kii-burische istachiyaa
22-01	Kode iawnar sotsialnei chambale meduol-moraw parawaanei. Tadaate lichnost dite warumulngin, kode iawnar ekonomicheskei, sotsialnei tadaate kulturnei uobalaspeghe tolieiuol-morawnei.
23-00	Kingunil kii-burische istachiyaa
23-01	Kode iawnar tude chaghadel-bunil chaghadelgha chaghadeiuol-moraw parawaanei. Tang chaghadelgi amuche usuluobuiagha uuiuol-morawnei tadaate kodegha el chaghadechuon ponaateieng monul chungde anmolghin ewleiuol-morawnei.
23-02	Kode iawnar tude chaghaderen wieiuolneng kodinbande poghodele-nemele meduol-moraw parawaanei.
23-03	Kode tude wieiuol waledaghat el okhoichenderukuneng meduol-morawnei. Tangnegi tude kedel tadaate nimendiigin naadiimerukunpedagha me peluol-morawnei.
23-04	Kode iawnar tude interiespe chongnulngin profsoyuzle wiereng, tadaa chilien ngoluol-moraw parawaanei.
24-00	Kingunil ieleklesche istachiyaa
24-01	Kode iawnar uttegewren-chaileni tadaate elchaghadelnei elemwieie periemeni. Tadaate lie chaghadaanube chailegin chichirkegi me monneruol-morawnei, tan uoppuskagi me walenei.
25-00	Kingunil imdaldische istachiyaa
25-01	Kode iawnar tude kedelghane tadaate tude nimendiighane amutneng endiiyuol-morawlek, kodinbande tetchieneiuol-morawnei.
25-02	Uoniyie ngolnureng tadaate ingiyiduo ngolnureng osuobei chambele mennunngumle. Uongoderukunpe iawnar nidite bande sotsialnei chongnulgha lienunngi.
26-00	Kingunil maaliyische istachiyaa
26-01	Kode iawnar nimelegha uraaiuol-morawnei. Nachalnei tadaate uopsai iskuolagha uraal el walene. Nachalnei iskuolagha kode iawnar uraaiuol-morawnei, tan tekhnicheskei tadaate professionalnai uraanubepe uraalgha el engeneng iklaiuol-morawnengi.
26-02	Uraal-kode lichnost dite warumuldagha chambiinunum. Tadaate-omope nichungdeghan ennulpedagha, niwalbiyil ngolaalngudagha chambiinunum.
26-03	Chiipegi titte uorpeghane khadi uraanubegha sewreiuol-morawle titteilek kuriliinunnga.
27-00	Kingunil puskiyische istachiyaa
27-01	Kode iawnar iskusstvo wieiuoldaghane amutneng iuonureng-mornureng, nauchnai progress iedeildagha "chaldele parnureng", tadaate tangneng iawnai amudedaghane tude edilgha mornureng, ennuiuol-moraw parawaanei.
27-02	Nauchnei, literaturnei tadaate khudozhestvennei chaghadelpegha avtor ngode kode, tang tude wieiuolgha kodinbande poghodele-nemele meduol-moraw parawaanei.
28-00	Kingunil maalaileklesche istachiyaa
28-01	Kode iawnar tude parawaapeghane chongnutei-oghoniitei sotsialnei tadaate mezhdunarodnei pereedeknei edilgha ennuiuol-moraw parawaanei.
29-00	Kingunil walgharumkuruosche istachiyaa
29-01	Kode iawnar tude obshchestvo kieiie me nemen mer ebeeghinesnei.
29-02	Me khadi kode uuri chiipe parawaapedaghane okhoiches nunde parawaa kinghaneng ewle.
29-03	Kode wangchirime parawaapegi OON tselpedaghat tadaate printsippedaghat saideng el panuol-morawne.
30-00	[missing]
30-01	[missing]
