00-00	ADAMA XAFE RAFALE SARIYEE DENTEGE
05-01	Naxankate nun tore mu sama ndende fari. Xanamu yayixare naxan mulan ibunadama be.
06-00	Sariye senninde (6)
06-01	Kankan xa adamaya daxa axa kolon yire birin.
07-00	Sariye soloferende (7)
07-01	Adamadi birin lan sariyee kui e man birin lan e xun xa magaga sariyee yi kena keren.
08-00	Sariye solomasaxande (8)
08-01	Booxi sariye banxidee lan eka ibunadama keren keren ma xun magaga fee ma naxe bara tuxunsan.
09-00	Sariye solomananinde (9)
09-01	Ndende mulan a suxu tonege kui, amakankan xanamu boxi ma xandi ama.
10-00	Sariye funde (10)
10-01	Awayibiyaxi ibunadama xafe xa yaxandi alaxinera, alankenemaya kiti banxi tinxinyira, ayo nun ayalagi waxan naba.
11-00	Sariye fu nun keren nde (11)
11-00	Xa sikenteya bara rasiga adamadi ndema fe kobi rabafe nde xunma, naxankate yo mu daxa a be sinden fo na fe yegi.
11-01	Mixi yo mulan axa makankan fendema naxan murotonxi boxi sariyee kui. Naxankete gbete fan mu doxo ama naxan dangi yi fera ba temui naxankatera.
12-00	Sariye fu nun firinde (12)
12-01	Birin nun a yetekan xafe ranereki nara. Mixi niya mu naxan yama. A na findi axa denbaya xafera, a lingira xa fera, xanamu a hayie xafera naxan a ninema axa xoreya nun a xa lasiriya nu mabere. Awayibiyaxi ibunadama be, sariye xa a xun magaga na fee ma.
13-00	Sariye fu nun saxannde (13)
13-00	Awayibixi mixi be axa a sabatide sugandi anun axa nere a sagora.
13-01	Adamadi birin noma kelide a baride a sa sabati boxi gbete ma. A man gbilen xa ma gbilenfe.
14-00	Sariye fu nun naninde (14)
14-00	Xoro roe kui, daxa adamadi birin be, axa siga boxi gbete ma naxan noma arasene de alako axa axun na kisi.
14-01	Na sariye daxa exa raba tinxinyi fari, kirae fari naxan aninema adamadi mulu tonege kui O.N.U. sariye tonyi doxi naxe ra.
15-00	Sariye fu nun sulinde (15)
15-00	Adaxa adamadi birin be soto de fe ya xa i mini a be.
15-01	Ndende mu daxa ixa raton i soto de xa fera, xanamu iratonfe sotode masara fera.
16-00	Sariye fu nun senninde (16)
16-00	Xa gine nun xame bara suda kamali, adaxa e xa futi raso e tagi, na mufa sinoxoya ma, baride fema, xanamu dine fema. A man daxa e be, e yete xa denbaya rasabati. E man lan sariye kima futi kui nun futi galife kui.
16-01	Futi mu noma sode fo gine nun xame lan fe keren ma.
16-02	Nama xunde singe lanxi denbaya nan ma, adaxa na denbaya xun xa makanta nama nun mangasanyi yira.
17-00	Sariye fu nun solofere nde (17)
17-00	Mixi nalu a keren ma xanamu nama nde kui, awayibiya xi a sotode xa lu a sago.
17-01	Funmalaya nde yo mulan axa adamadi sotose yira.
18-00	Sariye fu nun soloma saxan nde (18)
18-01	Adamadi birin lan axa axa manoxunyi masen a sagora, a xaxili rawali, a so dine a sagora. Na sariyee noma a ninede adamadi dine masara, a noma denxeniya de a keren xanamu nama yama lonni nun namunyie sabura.
19-00	Sariye fu nun solomanani nde (19)
19-01	Adaxa adamadi birin be axa afondo fe masen. Nakui a mulan axa tone mafixe nde soto. Na fondo fe masenyi nomo rabade naninyi yo mulu ama, a fa findi xibaru fenfera, amasotofera, xanamu ara wundan fera kena moli birin na.
20-00	Sariye moxenennde (20)
20-00	Adaxa adamadi birin be axa lan malanyi, xanamu malanyi xunde nde bone sa naxan kui.
20-01	Ndende mu karaxan ma sofera lanxunde nde yama.
21-00	Sariye moxenennun keren nde (21)
21-00	Adaxa adamadi birin niya xalu axa boxi ranerefe kui, a findi i yetera xanamu mixi gbete naxan sugandixi.
21-01	Adaxa adamadi birin be axa mangasanyi wali soto a bari boxi ma ta girasa yo mu naxe.
21-02	Nama waxonfe lanma axa masen sugandi tinxinxi kui, naxan nabama temui-temui ma, birin lan sugandi naxan kui, kundo sugandi xanamu sugandi lankene maya xi matexetenyi mu naxan kui.
22-00	Sariye moxonen nun firin nde (22)
22-01	Wayibiya nara namane mixi birin xun xa makanta, na findixi daxamuife, doxoboreya nun lonni ratinme sabu nan na. Na fee birin fatanma boxi diexa duruxotoe nun xanunteya luti naxan na e nun boxi gbetee safera boxi yayilanki fari nun a daxamuie.
23-00	Sariye moxonen nun saxan nde (23)
23-00	Wali, nun mixi waxon wali sugandi fe wayibiya xi birin be. Birin ma lan wali munafanyi kui, aman daxa a xun xa makanta wali sototareya ma.
23-01	Adaxa birin be fisamanteya mu naxan yama, a mu sundi soto axa wali bere ma.
23-02	Ndende walima, awayibiyaxi a be axa musundi soto naxan noma axa denbaya bun tide, a yigi nun binye sa ma, a man no a malide sabu gbetee soto fera naxan ibunadama xafe makanta ma.
23-03	Adaxa adamadi birin be axa walikee xa lanxunde nde yayilan e xa munafanyi xun magaga fera.
24-00	Sariye moxenen nun naninde (24)
24-01	Malabui nun naxe-naxe daxa adamadi birin be a man daxa a be axa wali temui xa sugandi, malabui waxatie xa lu a be a naxee sare sotoma.
25-00	Sariye moxenen nun suli nde (25)
25-00	Adaxa adamadi birin be axa sabati soto alako axa santeya xa makanta. A tan nun axa denbaya xa yiriwe soto donse fe kima, sosefe, lingirafe, saribafe anun ibunadama xafe yayiba fe nax an fan a be. A xun xa makanta xa bara fura, xa lanyuri bara a soto, xa bara fori, xa muna walide, xa kane gine nora xanamu fere yo muna ayi naxan axa mantoroli bama.
25-01	Mali wayibiyaxi ne dingeya be nun dimediya be. Dimedi birin lan axa meni kena keren, a fa soto futi kui xanamu a fari ma.
26-00	Sariye moxenen nun seni nde (26)
26-00	Adamadi daxa axa matinxin; na matinxinyi daxa axa sa birin sago naxan findi dimedi xunxurie nun a matexie xaran fera. Xarande banxi xunde singe sofe findixi teku non na. Yamakota xaranyi nun yirawali xaranyi lanma axa rayiriwa. Lonni banxinde xungbe wayibiya xi birin be, birin nun a xaxili bere.
26-01	Lonni lan axa senbe fi adamayama amakenen, a senbe fi ibunadama xa wayibiyae ma. Alan, axa faxamui, di ne, marafanyi rasoneya namanee tagi, sie birin tagi, dine xundee tagi nun O.N.U. malanyi xa walie rasabati fe bone sa kui.
26-02	Adaxaxine di kanyie be e xa xuri sugandi e naxan fima e xadie ma.
27-00	Sariye moxenen nun solofere nde (27)
27-00	Adaxa adamadi birin be a so nama xa lonni yayibafe a yetera. Abelexe rawalie tone soto yamakota walie nun munafanyie naxe minima a kui.
27-01	Adaxa birin be axa xaxili rawali, a belexe rawali nun yamakota walie munafanyi xun magaga naxee yayilan fe fatanxi atan na.
28-00	Sariye moxenen nun solomasaxan nde (28)
28-01	Adaxa adamadi birin be axa a fondo rasiga yi sariyee ratinme fe xon namane kui nun a farima.
29-00	Sariye moxenen nun solomanani nde (29)
29-00	Lanle rakamali daxi na ibunadama be axa nama kui, nama naxan findi axa adamaya a nun axa yeteralui sabura.
29-01	Sarieye dande saxine adamadi birin be axa maraba, a nun axa yeteralui rasabati kui, na nan aninema axa na maraba anun axa yeteralui mabanban sadoxofe mixi gbete ra alako taxasi nun yiriwe sabati ma nama kui kinaxe naxan a yete ra.
29-02	Na wayibiyae nun na yete ralui mu noma rabade muku O.N.U. waxonfe nun axa sariye saxie xanbi.
30-00	Sariye tongosaxan nde (30)
30-01	Sariye nun wayibiya yo muna yi masenyi xungbe kui naxan kiraya nde masenxi namane be, malanyi xanamu mixi nde be naxan aninema axa kewali nde raba naxan sabui noma mayibiya e nun sariyee naxee masen xi nee xunnakanade.
