00-00	Declaracio Universal de Drets Humans
07-01	Tots son iguals davant la llei i tenen dret, sense cap distincio, a igual proteccio per la llei. Tots tenen dret a igual proteccio contra qualsevol discriminacio que violi aquesta Declaracio i contra qualsevol incitacio a una tal discriminacio.
08-00	Article 8
08-01	Tota persona te dret a un recurs efectiu prop dels tribunals nacionals competents que l’empari contra actes que violin els seus drets fonamentals reconeguts per la constitucio o per la llei.
09-00	Article 9
09-01	Ningu no sera detingut, pres o desterrat arbitrariament.
10-00	Article 10
10-01	Tota persona te dret, en condicions de plena igualtat, a ser escoltada publicament i amb justicia per un tribunal independent i imparcial, per a la determinacio dels seus drets i obligacions o per a l’examen de qualsevol acusacio contra ella en materia penal.
11-00	Article 11
11-01	Tots els acusats d’un delicte tenen el dret que hom presumeixi la seva innocencia fins que no es provi la seva culpabilitat segons la llei en un judici public, en que hom li hagi assegurat totes les garanties necessaries per a la seva defensa.
11-02	Ningu no sera condemnat per actes o omissions que en el moment que varen esser comesos no eren delictius segons el dret nacional o internacional. Tampoc no s’imposara cap pena superior a l’aplicable en el moment de cometre el delicte.
12-00	Article 12
12-01	Ningu no sera objecte d’intromissions arbitraries en la seva vida privada, la seva familia, el seu domicili o la seva correspondencia, ni d’atacs al seu honor i reputacio. Tothom te dret a la proteccio de la llei contra tals intromissions o atacs.
13-00	Article 13
13-01	Tota persona te dret a circular lliurement i a triar la seva residencia dins les fronteres de cada Estat.
13-02	Tota persona te dret o sortir de qualsevol pais, adhuc el propi, i a retornar-hi.
14-00	Article 14
14-01	En cas de persecucio, tota persona te dret a cercar asil en altres paisos i a beneficiar-se’n.
14-02	Aquest dret no podra ser invocat contra una persecucio veritablement originada per delictes comuns o per actes oposats als objectius i principis de les Nacions Unides.
15-00	Article 15
15-01	Tota persona te dret a una nacionalitat.
15-02	Ningu no sera privat arbitrariament de la seva nacionalitat, ni del dret de canviar de nacionalitat.
16-00	Article 16
16-01	Els homes i les dones, a partir de l’edat nubil, tenen dret, sense cap restriccio per motius de rasa, nacionalitat o religio, a casar-se i a fundar una familia. Gaudiran de drets iguals pel que fa al casament, durant el matrimoni i en la seva dissolucio.
16-02	Nomes es realitzara el casament amb el lliure i ple consentiment dels futurs esposos.
16-03	La familia es l’element natural i fonamental de la societat i te dret a la proteccio de la societat i de l’Estat.
17-00	Article 17
17-01	Tota persona te dret a la propietat, individualment i col·lectiva.
17-02	Ningu no sera privat arbitrariament de la seva propietat.
18-00	Article 18
18-01	Tota persona te dret a la llibertat de pensament, de consciencia i de religio; aquest dret inclou la llibertat de canviar de religio o de creensa, i la llibertat, individualment o col·lectivament, en public o en privat, de manifestar la seva religio o creensa per mitja de l’ensenyament, la practica, el culte i l’observansa.
19-00	Article 19
19-01	Tota persona te dret a la llibertat d’opinio i d’expressio; aquest dret inclou el de no ser molestat a causa de les propies opinions i el de cercar, rebre i difondre les informacions i les idees per qualsevol mitja i sense limit de fronteres.
20-00	Article 20
20-01	Tota persona te dret a la llibertat de reunio i d’associacio pacifiques.
20-02	Ningu no pot ser obligat a pertanyer a una associacio.
21-00	Article 21
21-01	Tota persona te dret a participar en el govern del seu pais, directament o per mitja de representants lliurement elegits.
21-02	Tota persona te dret, en condicions d’igualtat, a accedir a les funcions publiques del seu pais.
21-03	La voluntat del poble es el fonament de l’autoritat de l’Estat; aquesta voluntat ha d’expressar-se mitjansant eleccions autentiques, que hauran de fer-se periodicament per sufragi universal i igual i per vot secret o per altre procediment equivalent que garanteixi la llibertat del vot.
22-00	Article 22
22-01	Tota persona, com a membre de la societat, te dret a la seguretat social i a obtenir, mitjansant l’esfors nacional i la cooperacio internacional, segons l’organitzacio i els recursos de cada pais, la satisfaccio dels drets economics, socials i culturals indispensables per a la seva dignitat i el lliure desenvolupament de la seva personalitat.
23-00	Article 23
23-01	Tota persona te dret al treball, a la lliure eleccio de la seva ocupacio, a condicions equitatives i satisfactories de treball, i a la proteccio contra l’atur.
23-02	Tota persona, sense cap discriminacio, te dret a salari igual per igual treball.
23-03	Tothom que treballa te dret a una remuneracio equitativa i satisfactoria que asseguri per a ell i la seva familia una existencia conforme a la dignitat humana, completada, si cal, amb altres mitjans de proteccio social.
23-04	Tothom te dret a constituir sindicats per a la defensa dels seus interessos i a afiliar-s’hi.
24-00	Article 24
24-01	Tota persona te dret al descans i al lleure i, particularment, a una limitacio raonable de la jornada de treball i a vacances periodiques pagades.
25-00	Article 25
25-01	Tota persona te dret a un nivell de vida que asseguri, per a ell i la seva familia, la salut i el benestar, especialment quant a alimentacio, vestir, habitatge, assistencia medica i als serveis socials necessaris; tambe te dret a la seguretat en cas d’atur, malaltia, incapacitat, viduitat, vellesa o altra manca de mitjans de subsistencia independent de la seva voluntat.
25-02	La maternitat i la infantesa tenen dret a una cura i a una assistencia especials. Tots els infants, nascuts d’un matrimoni o fora d’un matrimoni, gaudeixen d’igual proteccio social.
26-00	Article 26
26-01	Tota persona te dret a l’educacio. L’educacio sera gratuita, si mes no, en la instruccio elemental i fonamental. La instruccio elemental sera obligatoria. L’ensenyament tecnic i professional es posara a l’abast de tothom, i l’acces a l’ensenyament superior sera igual per a tots en funcio dels merits respectius.
26-02	L’educacio tendira al ple desenvolupament de la personalitat humana i a l’enfortiment del respecte als drets humans i a les llibertats fonamentals; promoura la comprensio, la tolerancia i l’amistat entre totes les nacions i grups etnics o religiosos, i fomentara les activitats de les Nacions Unides per al manteniment de la pau.
26-03	El pare i la mare tenen dret preferent d’escollir la mena d’educacio que sera donada als seus fills.
27-00	Article 27
27-01	Tota persona te dret a participar lliurement en la vida cultural de la comunitat, a gaudir de les arts i a participar i beneficiar-se del progres cientific.
27-02	Tota persona te dret a la proteccio dels interessos morals i materials derivats de les produccions cientifiques, literaries o artistiques de que sigui autor.
28-00	Article 28
28-01	Tota persona te dret a un ordre social i internacional en que els drets i llibertats proclamats en aquesta Declaracio puguin ser plenament efectius.
29-00	Article 29
29-01	Tota persona te deures envers la comunitat, ja que nomes en aquesta li es possible el lliure i ple desenvolupament de la seva personalitat.
29-02	En l’exercici dels drets i les llibertats, tothom estara sotmes nomes a les limitacions establertes per la llei i unicament amb la finalitat d’assegurar el reconeixement i el respecte deguts als drets i llibertats dels altres i de complir les justes exigencies de la moral, de l’ordre public i del benestar general en una societat democratica.
29-03	Aquests drets i llibertats mai no podran ser exercits en oposicio als objectius i principis de les Nacions Unides.
30-00	Article 30
30-01	Res en aquesta Declaracio no podra interpretar-se en el sentit que doni cap dret a un Estat, a un grup o a una persona a emprendre activitats o a realitzar actes que tendeixin a la supressio de qualsevol dels drets i llibertats que s’hi enuncien.
