00-00	Mehen oiktuziden uhthine deklaracii
09-01	Nikeda ei sa melenvaldal turmata, pidaetada vai kuksta, ajada manpagoho.
10-00	10. kirjutez
10-01	Jogahizel mehel, mise maerita iceze oiktuzid i velguzid i sada todistust ezitadud haenele kriminalizes vaerituses, om oiktuz’ haenen azjan tarkistelendaha taeuden uhtenarvokahuden pohjal ripmatomal objektivizel sudal avoin, pidaedes oiktuden kuzuid.
11-00	11. kirjutez
11-01	Pahas tegos vaeritud mehel om oiktuz’ lugetas vaerutomaks sihesai, kuni haenen vaer ei linne tedistadud zakonan jael’gendusel avoin sudan tarkistelusel, konz haenel oma kaik voimused kaicendan taeht.
11-02	Nikeda ei sa sudida pahas tegos, tehtud vai tehmatomudes, kudamb ei olend pahan tegon rahvahaliziden zakonoiden moedhe vai rahvazkeskeizen oiktuden moedhe. Mugazo ei voi olda ustavzoitand kovemb, mi se, kudamb voizi olda sen aigan, konz oli tehtud paha tego.
12-00	12. kirjutez
12-01	Ei sa melenvaldal lictas nikenen personalizehe eloho i kanzan eloho, haenen kodi, poctoigendused i haenen arvostuz oma koskmatomad. Jogahizel om oiktuz’ zakonan kaicendaha mugoizes licendaspaei i kosketandaspaei.
13-00	13. kirjutez
13-01	Jogahizel mehel om oiktuz’ sirdeltas joudajas i valita iceleze elaendsija kaikuccen valdkundan sudaeimes.
13-02	Jogahizel om oiktuz’ laehtta maspaei, mugazo iceze maspaei, i poerttas iceze maha.
14-00	14. kirjutez
14-01	Jogahizel mehel om oiktuz’ ectae kaicuzsija mokicijoispaei toizis mais i olda sigae.
14-02	Necil oiktudel ei voi olda vaeged, konz kuzund om todeks ei politizes pahas tegos vai Uehthizrahvazkundan paetegendoid i principoid vastkaroicijas tegos.
15-00	15. kirjutez
15-01	Jogahizel mehel om oiktuz’ rahvahudehe, olda valdkundan rahvahanikan.
15-02	Nikenel ei sa melenvaldal anastada rahvahut vai oiktut vajehtada rahvahut.
16-00	16. kirjutez
16-01	Taeuz’igaeizil muzikoil i naizil om oiktuz’ naida, maenda mehele i tehta kanz kacmata rassan, rahvahuden vai uskondan eroihe. Heil oma uhtejicced oiktuded naindaha i mehele maenendaha, olendaha i erigandusen jael’ghe.
16-02	Naida i maenda mehele voib vaise molembiden poliden taeudenke i joudajanke tahtonke.
16-03	Kanz om uhthizkundan londuseline augonpanii jouk i sil om oiktuz’ uhthizkundan i valdkundan kaicendaha.
17-00	17. kirjutez
17-01	Jogahizel mehel om oiktuz’ pidaeda elomiston uks’naeze vai toizidenke.
17-02	Nikenel ei sa melenvaldal anastada haenen elomistod.
18-00	18. kirjutez
18-01	Jogahizel mehel om meletusen, mel’tundon i uskondan vald, neche oiktudehe mulub vald uskondan vai kacmusiden vajehtamizehe, mugazo vald uskondan vai kacmusiden pidaemaha uks’naeze i mugazo uhtes toizidenke, kaikiden naehtes vai uks’naeze opendamal, uskondradol, uskondan i ritualizis tegois.
19-00	19. kirjutez
19-01	Jogahizel mehel om oiktuz’ kacmusiden valdha i niiden ezitamizehe, neche mulub oiktuz’ telustamata pidaeda iceze mel’pidod, mugazo oiktuz’ ripumata valdkundan roeunoispaei ectae, sada i levitada tedoid i meletusid kaikiden maneroiden abul.
20-00	20. kirjutez
20-01	Jogahizel om oiktuz’ kozmuseliziden suimiden i uhtenzoitusiden kogomuzvaldaha.
20-02	Nikeda ei sa kaeskta uhtneda miccehe-ni uhtenzoitusehe.
21-00	21. kirjutez
21-01	Jogahizel mehel om oiktuz’ uhtneda iceze man ohjandamizehe kohtha vai valitud ezitajiden kal’t.
21-02	Jogahizel om oiktuz’ paezuda iceze man valdkundalizele radole.
21-03	Rahvahan taht om valdkundmehiston alandusen; nece taht tarbiz ezitada aigkeskustoin tehtud oiktois, ei vaerenzoitusis valicusis, kudambis kaikil om uhthine i uhtejitte aenenoiktuz’ peitaenestamizen abul vai toiziden aenestamizvaldan pidijoiden maneroiden abul.
22-00	22. kirjutez
22-01	Jogahizel mehel, kut uhthizkundan uhtnikal, om oiktuz’ socializehe holistoho, mugazo oiktuz’ rahvahalizen tegoiden i keskrahvahalizen uhthizradon kal’t, ottes homaitusehe kaikuccen valdkundan jaergenduz i varad, antta haenen mez’arvokahudele i personan joudajale kehitoitusele tarbhaizid ekonomizid, socializid i kul’turizid oiktuzid.
23-00	23. kirjutez
23-01	Jogahizel om oiktuz’ radoho, radsijan joudajaha valicusehe, oiktoihe melevuzihe radon oloihe, mugazo kaicendaha radotomudespaei.
23-02	Jogahizel mehel om oiktuz’ micceta-ni alenzoituseta sada uhtejiccen paukan uhtejicces rados.
23-03	Jogahizel radajal mehel om oiktuz’ oiktaha i taeudubaha paukaha, kudamb andab haenele i haenen kanzale mehen arvoizen olendan i kudamban, ku tarbiz, taeutaba toized socializen holiston manerad.
23-04	Jogahizel mehel om oiktuz’ tehta eloradolizid uhtistusid i muluda niihe iceze azjoid polestamha.
24-00	24. kirjutez
24-01	Jogahizel mehel om oiktuz’ lebuhu i joudajaha aigaha, radpaeivaen melevaha roeunatusehe i makstud maeraigalizehe lebupaestusehe.
25-00	25. kirjutez
25-01	Jogahizel mehel om oiktuz’ elon korktusehe, kudambaha mulub soend, sobad, kodi, tervhuz’holitand i pidab socialine holituz, mitte tariz haenen i haenen kanzan tervhuden i huvinvoindan taeht. Jogahizel om oiktuz’ holistoho mugomas azjas kut radotomuz’, laezund, invalidan olend, lesken olend, vanhuden tulend vai toizis haenen tahtospaei ripumatomis radvoindan, elovaroiden kadotusen azjois.
25-02	Mamoil i lapsil om oiktuz’ erasehe holistoho i abuhu. Kaikil lapsil, oma-ik hoe sundnuded naidud kanzas vai ei, oma uhtejicced socialized holituzoiktuded.
26-00	26. kirjutez
26-01	Jogahizel mehel om oiktuz’ sada opendust. Opendusele, kaikense augotizopendusele i keskopendusele tarbiz olda maksutoman. Augotizopendusele tarbiz olda tarbhaizen. Tehnizele i tedomahtoizele opendusele tarbiz olda kaikile kozujan, ulaeopendusele tarbiz olda uhtejiccin avoin kaikile heiden mahtoiden moedhe.
26-02	Opendusele tarbiz olda oigetud mehen personalizuden kehitoitamizehe, mugazo mehen oiktuziden i paevaldoiden arvostandan vahvistamizehe. Opendusele tarbiz abutada kesknaeizele el’gendusele, tirpandamizele i sebrastusele kaikiden rahvahiden, rass- i uskondgruppiden keskes, mugazo abutada Uehthizrahvazkundan kozmusen pidaendan tegois.
26-03	Vanhembil om ezmaeisijaine oiktuz’ valita iceze lapsile opendusen ladud.
27-00	27. kirjutez
27-01	Jogahizel mehel om oiktuz’ joudajas uhtneda uhthizkundan kul’turizehe eloho, sada ihastust taidehes, mugazo uhtneda tedoprogressaha i kaevutada sen satusid.
27-02	Jogahizel mehel om oiktuz’ haenen moraliziden azjoiden i materializiden satusiden kaicendaha, kudambad oma haenen tedo-, literatur- vai taidehtoeiden satusen i haen om niiden tegii.
28-00	28. kirjutez
28-01	Jogahizel mehel om oiktuz’ mugoizehe socializehe i rahvazkeskeizehe jaergendusehe, konz necis deklaracijas ezitadud oiktuded i valdad voiba taeudes todenzoittas.
29-00	29. kirjutez
29-01	Jogahizel mehel om velguzid uhthizkundan edes, vaise sis voib olda haenen personan joudai i taeuz’ kehitoituz.
29-02	Kaevutades iceze oiktuzid i valdoid jogahizel mehel voiba olda vaise mugomad roeunatused, kudambad oma vahvistadud zakonan moedhe, mise tundustada i arvostada toiziden oiktuded i valdad, mugazo moralin, kundalizen jaergendusen i ueleizen huevinvoindan demokratizes uehthizkundas.
29-03	Nenid oiktuzid i valdoid nikonz ei sa kaevutada Uehthizrahvazkundan paetegendoiden i principoiden vastkaroites.
30-00	30. kirjutez
30-01	Nimidae necis deklaracijas ei sa el’geta muga, mise mitte-ni valdkund, mehiden grupp vai ueks’ mez’ voib oiktuziden pohjal tehta mugomid tegoid, kudambad om oigetud heitmaha ezitadud necis deklaracijas oiktuzid i valdoid.
