00-00	Declarasao dos Direitos Humanos
11-01	Ninguem podera ser culpado por qualquer asao ou omissao que, no momento, nao constituiam delito perante o direito nacional ou internacional. Tambem nao sera imposta pena mais forte do que aquela que, no momento da pratica, era aplicavel ao ato delituoso.
12-00	Artigo XII.
12-01	Ninguem sera sujeito a interferencia em sua vida privada, em sua familia, em seu lar ou em sua correspondencia, nem a ataque a sua honra e reputasao. Todo ser humano tem direito a protesao da lei contra tais interferencias ou ataques.
13-00	Artigo XIII.
13-00	Todo ser humano tem direito a liberdade de locomosao e residencia dentro das fronteiras de cada Estado.
13-01	Todo ser humano tem o direito de deixar qualquer pais, inclusive o proprio, e a este regressar.
14-00	Artigo XIV.
14-00	Todo ser humano, vitima de perseguisao, tem o direito de procurar e de gozar asilo em outros paises.
14-01	Este direito nao pode ser invocado em caso de perseguisao legitimamente motivada por crimes de direito comum ou por atos contrarios aos objetivos e principios das Nasoes Unidas.
15-00	Artigo XV.
15-00	Todo homem tem direito a uma nacionalidade.
15-01	Ninguem sera arbitrariamente privado de sua nacionalidade, nem do direito de mudar de nacionalidade.
16-00	Artigo XVI.
16-00	Os homens e mulheres de maior idade, sem qualquer restrisao de rasa, nacionalidade ou religiao, tem o direito de contrair matrimonio e fundar uma familia. Gozam de iguais direitos em relasao ao casamento, sua durasao e sua dissolusao.
16-01	O casamento nao sera valido senao com o livre e pleno consentimento dos nubentes.
16-02	A familia e o nucleo natural e fundamental da sociedade e tem direito a protesao da sociedade e do Estado.
17-00	Artigo XVII.
17-00	Todo ser humano tem direito a propriedade, so ou em sociedade com outros.
17-01	Ninguem sera arbitrariamente privado de sua propriedade.
18-00	Artigo XVIII.
18-01	Todo ser humano tem direito a liberdade de pensamento, consciencia e religiao; este direito inclui a liberdade de mudar de religiao ou crensa e a liberdade de manifestar essa religiao ou crensa, pelo ensino, pela pratica, pelo culto e pela observancia, em publico ou em particular.
19-00	Artigo XIX.
19-01	Todo ser humano tem direito a liberdade de opiniao e expressao; este direito inclui a liberdade de, sem interferencia, ter opinioes e de procurar, receber e transmitir informasoes e ideias por quaisquer meios e independentemente de fronteiras.
20-00	Artigo XX.
20-00	Todo ser humano tem direito a liberdade de reuniao e associasao pacifica.
20-01	Ninguem pode ser obrigado a fazer parte de uma associasao.
21-00	Artigo XXI.
21-00	Todo ser humano tem o direito de fazer parte no governo de seu pais diretamente ou por intermedio de representantes livremente escolhidos.
21-01	Todo ser humano tem igual direito de acesso ao serviso publico do seu pais.
21-02	A vontade do povo sera a base da autoridade do governo; esta vontade sera expressa em eleisoes periodicas e legitimas, por sufragio universal, por voto secreto ou processo equivalente que assegure a liberdade de voto.
22-00	Artigo XXII.
22-01	Todo ser humano, como membro da sociedade, tem direito a seguransa social, a realizasao pelo esforso nacional, pela cooperasao internacional e de acordo com a organizasao e recursos de cada Estado, dos direitos economicos, sociais e culturais indispensaveis a sua dignidade e ao livre desenvolvimento da sua personalidade.
23-00	Artigo XXIII.
23-00	Todo ser humano tem direito ao trabalho, a livre escolha de emprego, a condisoes justas e favoraveis de trabalho e a protesao contra o desemprego.
23-01	Todo ser humano, sem qualquer distinsao, tem direito a igual remunerasao por igual trabalho.
23-02	Todo ser humano que trabalha tem direito a uma remunerasao justa e satisfatoria, que lhe assegure, assim como a sua familia, uma existencia compativel com a dignidade humana e a que se acrescentarao, se necessario, outros meios de protesao social.
23-03	Todo ser humano tem direito a organizar sindicatos e a neles ingressar para protesao de seus interesses.
24-00	Artigo XXIV.
24-01	Todo ser humano tem direito a repouso e lazer, inclusive a limitasao razoavel das horas de trabalho e a ferias remuneradas periodicas.
25-00	Artigo XXV.
25-00	Todo ser humano tem direito a um padrao de vida capaz de assegurar-lhe, e a sua familia, saude e bem-estar, inclusive alimentasao, vestuario, habitasao, cuidados medicos e os servisos sociais indispensaveis, e direito a seguransa em caso de desemprego, doensa, invalidez, viuvez, velhice ou outros casos de perda dos meios de subsistencia em circunstancias fora de seu controle.
25-01	A maternidade e a infancia tem direito a cuidados e assistencia especiais. Todas as criansas, nascidas dentro ou fora do matrimonio gozarao da mesma protesao social.
26-00	Artigo XXVI.
26-00	Todo ser humano tem direito a instrusao. A instrusao sera gratuita, pelo menos nos graus elementares e fundamentais. A instrusao elementar sera obrigatoria. A instrusao tecnico-profissional sera acessivel a todos, bem como a instrusao superior, esta baseada no merito.
26-01	A instrusao sera orientada no sentido do pleno desenvolvimento da personalidade humana e do fortalecimento do respeito pelos direitos humanos e pelas liberdades fundamentais. A instrusao promovera a compreensao, a tolerancia e a amizade entre todas as nasoes e grupos raciais ou religiosos, e coadjuvara as atividades das Nasoes Unidas em prol da manutensao da paz.
26-02	Os pais tem prioridade de direito na escolha do genero de instrusao que sera ministrada a seus filhos.
27-00	Artigo XXVII.
27-00	Todo ser humano tem o direito de participar livremente da vida cultural da comunidade, de fruir das artes e de participar do progresso cientifico e de seus beneficios.
27-01	Todo ser humano tem direito a protesao dos interesses morais e materiais decorrentes de qualquer produsao cientifica literaria ou artistica da qual seja autor.
28-00	Artigo XXVIII.
28-01	Todo ser humano tem direito a uma ordem social e internacional em que os direitos e liberdades estabelecidos na presente Declarasao possam ser plenamente realizados.
29-00	Artigo XXIX.
29-00	Todo ser humano tem deveres para com a comunidade, na qual o livre e pleno desenvolvimento de sua personalidade e possivel.
29-01	No exercicio de seus direitos e liberdades, todo ser humano estara sujeito apenas as limitasoes determinadas pela lei, exclusivamente com o fim de assegurar o devido reconhecimento e respeito dos direitos e liberdades de outrem e de satisfazer as justas exigencias da moral, da ordem publica e do bem-estar de uma sociedade democratica.
29-02	Esses direitos e liberdades nao podem, em hipotese alguma, ser exercidos contrariamente aos objetivos e principios das Nasoes Unidas.
30-00	Artigo XXX.
30-01	Nenhuma disposisao da presente Declarasao pode ser interpretada como o reconhecimento a qualquer Estado, grupo ou pessoa, do direito de exercer qualquer atividade ou praticar qualquer ato destinado a destruisao de quaisquer dos direitos e liberdades aqui estabelecidos.
