00-00	TSpykhu Khuefashchekhem Teukhua Duneipso Dzhepsale
15-02	Detkhene zy tspykhur zitsIykhuu shchyt keralym shchkheusyguensheu khebgekI e negueshchI keralym i tsIykhu khunu iIe khuitynygem khebgen khunukym.
16-00	16-ne pychygue
16-01	Zi nybzh irikua detkhene zy tspykhukhumi tsIykhubzmi khuitynyge iIeshch kyzykhekIa lepkym, zi tsIykhuu shchyt keralym e dinu iIygym kykhekI peryuegu kykhuemyuvu, khuitu kishenu, dekIuenu, unague iukhuenu.
16-02	Zeryshen-zedekIuenym teukhua zezegnyger (nechykhyr), zeryshenu-zedekIuenukhem ezym ya shchkhekhuitynyge pezhre ya fIefInyge ikurekIe yaukhuer.
16-03	Unaguer, zhylague-lepk pseukIem i labzhe nekhyshchkheshchi, zhylemi keralmi kekhumer.
17-00	17-ne pychygue
17-01	Detkhene zy tspykhum khuitynyge iIeshch ezym i uneiue e negueshchIkher iIekheguue mylku zrigeIenu.
17-02	Detkhene zy tsIykhur shchkheusyguensheu i mylku peIeshchIe e lymyIesyf pshchIy khunukym.
18-00	18-ne pychygue
18-01	Detkhene zy tspykhum gupsyse, zekhashchIe ikIi din khuitynyge iIeshch. My khuitynygem kyzeshchIeubyder i zakueu e gupu, nakhueu e uneiue (shchekhuu) i tkhekhueIueryshchIenkher, i dinkIe shchIapkhekher nerylaguu yarigeshchIen, igezeshchIen khuitynygeri.
19-00	19-ne pychygue
19-01	Detkhene zy tspykhum khuitynyge iIeshch zerykhueiue gupsysenu, i gupsysekher kiIuetenu. My khuitynygem khetshch tsIykhur i gupsysekhem kykhekIkIe zymi kimygegumeshchIynu, keralygue gunapkekhem emylytaue shchIenygekher, gupsysekher syt khuederei guegukIi kekhuten-kepshchyten, zyIerygekhen khuitynygeri.
20-00	20-ne pychygue
20-01	Kheti khuitynyge iIeshch Ieshchensheu, zaue-banensheu zekhuesynu, khase iukhuenu, ukhua khasem khykhenu.
20-02	Kheti zy khase khykhenu ebgez khunukym.
21-00	21-ne pychygue
21-01	Detkhene zy tspykhum khuitynyge iIeshch zanshchIeu ezym e khuitu kykhikha i lIykIuekhem ya IekIe keralym i zegekIuen Iuekhukhem khykhenu, kheIebenu.
21-02	Detkhene zy tspykhum khuitynyge ipeshch i keralym tspykhubem kykhuzerigepeshch amalkher zekhegezhynsheu, psom khuedeu zykhuigeshchkhepenu.
21-03	Khykumet peshchkhetetnygem i labzher keralym i tspykhubem i fIeiguenygershch. A fpeiguenyger utyku kokher shchekhu shchpykpem tet khekhynyge khuit zakhuekheu e tspykhukhem ya fpeiguenygekher shchkhekhuit-psekhuitu kyzerageleguefynu gepsa negueshchp shchpykpekheu, zi nybzh irikua tspykhu psomi yakhuzepukhaue, ya pepetkhemi zekhuede guashchpe yapeue, ppale genekhuakpe kytragezezhkhemkpe.
22-00	22-ne pychygue
22-01	TSpykhube zhylaguem zeryshchyshchym elytaue detkhene zy tspykhum khuefashcheshch sotsialne kekhumenyge. Keral guashchpekpe e keralyguekhem ya zedepepykunygekpe ikpi detkhene zy keralym ezym i gepsykpemre i amalkhemre elytaue detkhene zy tspykhum khuitynyge ipeshch i napere i tspykhugerekpe tynshu zeryziuzhynu ekonomike, sotsialne ikpi shchpenkhabze puekhukpe zykhuenykuenu amalkher irageguetynu.
23-00	23-ne pychygue
23-01	Detkhene zy tspykhum khuitynyge iIeshch lezhenu, i puekhur khuitu kykhikhynu, zakhuagekpe ikpi khuefp amalkhemkpe lezhenu ikpi puekhunshagem kyshchakhumenu.
23-02	Detkhene zy tspykhum khuitynyge ipeshch zekhegezhynsheu zekhuede puekhu papshchpe zekhuede lezhapshchpe kratynu.
23-03	Detkhene zy tspykhum khuitynyge ipeshch ezyri i unagueri tspykhum khuefeshchen pseukpe ipeu zygepseun, shchykhueim dezh zylypesyfynu sotsialne khumenygekhemkpe shchpegebydaue zy pseukpe amal kezytyn zy lezhapshchpe khuefp kyperykhenu.
23-04	Detkhene zy tspykhum khuitynyge ipeshch ezym i fpage papshchpe khase (profsoyuz, sendike) zekhishenu, apkhuede zekhesham khykhenu, khetynu.
24-00	24-ne pychygue
24-01	Detkhene zy tspykhum khuitynyge iIeshch zigepesekhunu, i negu zrigeuzhynu, psom khuemydeu i lezhegue ppaler tspykhu khuefashche shchapkhem itu kykhuagepsynu, ppale genekhuakpe i lezhapshchperi krature gepsekhuakpue dekpynu.
25-00	25-ne pychygue
25-01	Detkhene zy tspykhum khuitynyge iIeshch ezyri i unagueri uzynshen, tkhegue khuefashche ipeu pseun papshchpe shkhynygue, fashche, une ikpi meditsinske depepykunyge iguetynu. Kheti khuitynyge ipeshch, puekhunshage, symadzhage, khukuage, lpyguabage, fyzabage, zhyge ikpi ezym imypeshchpage puekhuguekhem kykhekp amalynshage, tkhemyshchkpage kylysu shchytme kyshchakhumenu, kragelynu.
25-02	Anekhemre sabiykhemre khuitynyge yapeshch khekhaue kykpelyplynkheu, kydepepykunkheu. Zerysha zelp-zefyz i bynui zemyshchkhegusekhem kalkhuaui shchyrret, saby psomi ya zekhuedeu, zekhegezhynsheu khuageshchkheper a zy sotsialne kekhumenyge amalkher.
26-00	26-ne pychygue
26-01	Detkhene zy tspykhur khuitshch gesenyge zerigeguetynu. Gesenyger, nekh mashchpe dydeu kapshchteme ikpi labzhe gesenyger akhshensheshch. Peshchpedze gesenyger zumygepenkIe amal zimyIeue egezygueshch. Tekhnike ikpi peshchpage gesenyger kheti khuzepukhagenushch. Ipshche gesenyger zekhegezhynsheu kheti khuzepukhaue shchytyn khueishch ezym i senaush (talant) elytaue.
26-02	Gesenyger tspykhum i tspykhugem ikuu zrigeuzhynym khuefpyu gepsaue ikpi tspykhu khuefashchekhemre khuitynyge nekhyshchkhekhemre khuashchp shchpykhyr, lytenyger igeleshchynym, shchpigebydenym khueunetpaue shchytyn khueishch. Gesenygem tspykhukher khushchpigekun khueishch rase psomi, lepk psomi, din gup psomi ya zekhuakum gulyte, zegurypue, zekhuefpnyge, zenybzheguge delynu ikpi mamyrnyger kikhumen papshchpe Duneipso Keral Zegukhenygem irigekpuekp lezhygem zrigeuzhu shchytyn khueishch.
26-03	Sabiykhem irageguetynu gesenyger zykhuedenur kykhezykhynu khuityr, psom yaperaue i ane-adershch.
27-00	27-ne pychygue
27-01	Kheti khuitynyge iIeshch tsIykhubem i shchpenkhabze gashchpem khuitu nykhykhenu, guazdzher zykhuigeshchkhepenu, shchpenyge zyuzhynygem khetynu ikpi ar zykhuigeshchkhepenu.
27-02	Kheti khuitynyge ipeshch ezym kigeshchpa shchpenyge, zhabze (literature), guazdzhe peshchpagekhem mylkuu, pshchpeue, shchpykhue kypekpueu khuar kykhuakhumenu.
28-00	28-ne pychygue
28-01	Kheti khuefashcheshch my dzhepsalem kyshchykheshch tspykhu khuefashchekhemre khuitynygekhemre shchagezeshchpefynu zy sotsialne ikpi duneipso gepsykpe sisteme shchypenu.
29-00	29-ne pychygue
29-01	Kheti ezym i tspykhugem khuitu ikpi ikuu zrigeuzhynu amal kezyt tspykhube zhylaguemi keralmi khuishchpezhypkhe pshcherylkher ipeshch.
29-02	Kheti i khuefashchekher zyshchykhuigeshchkhepekpe ikpi i khuitynygekher shchyzerikhekpe, negueshchpkhem ya khuefashchekhemre ya khuitynygekhemre khuegepezhyn, abykhem shchpykh, lytenyge kykhuegeshchpyn ikpi demokraticheske zhylaguem zedashchte shchenkhabzer (etiker), zhylague gepsykper, shchypekper egefpekpuenym i amalkher kekhuma khun papshchpe khekhaue keral khabzekpe genekhua gunapkekhem epkhaue shchytshch.
29-03	Daui irrekhu, my tspykhu khuefashchekhemre khuitynygekhemre zykhuebgeshchkhepe, zepkhe khunukym Duneipso Keral Zegukham i guryl-guryshchpekhemre i bzypkhekhemre (printsipkhemre) kemyzegyu.
30-00	30-ne pychygue
30-01	My dzhepsalem kykhiubyde detkhene zy khabze geuvar zygurybgapue khunukym myby kyshchipuetykpa khabze geuvakhem shchyshch guer ipetynu, iukuenu detkhene zy kerali, gupi, nerybgi khuitynyge irit khuedeu.
