00-00	TNU'U SAJA NI NAYIVI JA NATU NA SA'A NDEVA'TNA'A
04-01	Ni iin nayi ma ku kunukechi ka'anga-i nu iika nayi, te sumi ma ku sa'a ndeva'na-i nayi jinukuechi nu-i.
05-00	Articulo 5
05-01	Natu na ja'a tnu'u ja kusa'ndeva'tna nayi, kukanitna-i kuquendetna-i ji'in kuka'ndeva-i.
06-00	Articulo 6
06-01	Taka tu'u ma nayi jikondava nayivi, chi iyo iin tutu ka'a ja natu na sa'a ndeva'na'a.
07-00	Articulo 7
07-01	Taka tu'u ma nayi inuni kakui, inuni kande-i nu te tnia nu te suni ku chindena'te nu natu kuechii iyo.
08-00	Articulo 8
08-01	Taka tu'u ma nayi ku nduku-i iin nayi chindena'a nu iyo iin kuechi ja kui'i, ve'e kaa, xi na inka tnundo'o iyo-i.
09-00	Articulo 9
09-01	Ni iin nayi ma ku kuivi ve'e kaa, xi kutana-i nu-i nu natu na ki'echi iyo.
10-00	Articulo 10
10-01	Taka tu'u ma nayi ku chinde-i ma-i nu ve'e tninu nu kaa kuechi ja'a-i nava'a kundaa na kuechi sa'a-i o natu na kuechi iyo.
11-00	Articulo 11
11-00	Taka nayi kaa chuechi ja'a-i ma ku ki'in ve'e kaa nu natu kundaa kuechi tna ka'a titu ja ma ku sa'a ndeva'atna-o.
11-01	Te suni ma ku ki'in kani-i ve'e kaa, nu masu kuechi xeen sa'a-i.
12-00	Articulo 12
12-01	Ni iin nayi ma ku ka'a tnu'u ja ku inka nayi nu najini na tninu ku, chi suni kuechi sikava ja'a-i nu ka'a tnu'u-i.
13-00	Articulo 13
13-00	Taka ma nayi, chi sumi kuu kondava-i, ndenga kuini-i, te suni ku kaji-i ndee kuu koo ve'e-i ini nu-i.
13-01	Taka nayi ku ke-i numa-i, te suni ku ndakokuini-i.
14-00	Articulo 14
14-00	Nu iyo iin nayi jika jinu-i nu-i chi ku nduku-i iin nu nu ko-i.
14-01	Nu jako-i iin nu chi ma kuu kundakuekana'a nayi nu-i, suka ka'an tutu ya ma sa'a ndeva'sa tna-o.
15-00	Articulo 15
15-00	Na nayi kuini ja xisama-i nu-i chi ku sa'a-i.
15-01	Natu ma naku kasi, nu kuini iin ja xisama-i nu, teyu-i.
16-00	Articulo 16
16-00	Te ji'in Na'a chi ku kutnanda'ate nu ja kajo kuiya-te, te suni iyo ja inu kuchindena'ai.
16-01	Ku kutna'anda'a-i nu suka kakuini ma-i.
16-02	Nayi, so'a-i jiin taka nayi nu iyo ja koto na'a nu nava'a ku keko va'a-i
17-00	Articulo 17
17-00	Taka tu'u nayi jininu'u ja koo nu kava ve'ei.
17-01	Ni iin nayi ma ku kinde-i nu kaa ve'e nayi ji'in nu chi'i itu.
18-00	Articulo 18
18-01	Taka tu'u ma nayi ku kani-ini taka ma ja kuini-i, suni ku kuinindiaja-i nu kuimi-i, suni ku xisama-i iyandiosi-i, te sumi ku ndakani-i nu nayi ja kuinindiaja-i ndiuxi.
19-00	Articulo 19
19-01	Taka tu'u ma nayi, iyo ja ku kundutu'tu-i te kundatnu-i, te kuka'a-i iin iin naxi ja-ini-i. Suka iyo ja natu na kasi yu'u nayi ka'am, ku saja-i tnu'u, naxi kuini ma-i.
20-00	Articulo 20
20-00	Taka tu'u ma nayi, iyo ja ku kustutu-i, tna'i, te kundututu-i.
20-01	Ma ku kuxitetu-tna'i ja kundututu-i nu natu kuini nayi.
21-00	Articulo 21
21-00	Taka tu'u ma nayi, iyo ja ku kunetninu-i ini nu te ku kuini ma-i, xi ku kani-i inka nayi.
21-01	Taka tu'u ma nayi, iyo ja ku kukunukuechi-i nu-i.
21-02	Nayi nu, kaji te sikuko-i nayi kutni nu. Ndututu nayi nija'anu te kakajin uni nayi, te nu ku ja ka'an na jiko tninu.
22-00	Articulo 22
22-01	Taka nayi nu iyo ja te katni tninu na'anu, iyo ja chindete nayi nu tna'va ku kuko va'a-i, te suni kuchinde tna'te ju'in inka nu na'nu tna'va ku kutavate nayi ndo'o tnu'ndo'o.
23-00	Articulo 23
23-00	Taka tu'u ma nayi, iyo ja kuko tninu-i nu kakuini, te tninu ku kusa'ai, te suni iyo ja ke ya'avi-i. Nu natu trinu-i, chi iyo ja ku chindena'a te tninu.
23-01	Taka tu'u ma nayi sa'atninu inu, te suni inu ke xu'u-i
23-02	Taka tu'u ma nayi sa'atninu, chi suni inu ke xu'u-i chi kajiyo tna'a-i ve'ei, te kuini ja chinde na'a te nee trinu ka'anu nu nuko'oyo.
23-03	Taka ma nayi iyo ja ku kundututu-i te kukaji-i nayi kuchinde-na'a na tnundo'o kajiyo nu kasa'tninu-i.
24-00	Articulo 24
24-01	Taka nayi sa'a tninu, iyo ja ku ndetatu-i nu jinu tninu-i, te suni ku ndetatu-i, nu kanika ndetatu-i te suni ke ya'avi-i.
25-00	Articulo 25
25-00	Taka ma nayi jininu'u ja kuko va'ai ji'in tna'ai, tnava'a ko ja kuka-i, ve'ei, sa'ama-i, nu ku-i tatna, nu sa'a trinu-i, nu ku'a-i, nu ji'i yi-i xi na'a si'i-i. Nu ngu-nija'nu-i, xi kuana tninui.
25-01	Nayi nu'un sa'a chi suni iyo ja kusa'anu na'a nu. Taka ma suchi lule kakaku ve'e nayi ngatna'nda'a, xi sa'a nda'vi chi iyo ja inu kukoto va'a na'a nayi Nu.
26-00	Articulo 26
26-00	Taka tu'u ma nayi jininu ja sikua-i. Nayi sikua chi natu iyo ja tnu'ya'vi-i. Kanukun te jini'nu ja sikua'a nayi iin kuiya. Nayi kikua'a ntsi. iin kuiya, chi suni ku sikua-i nu kuini ma-i.
26-01	Ve'e sikua chi iyo-i ja chindei iin iin nayi tna va'a kukutu'unai te ku, kuchinde tna'i ku kukutu'uvai ja ma kusa'a ndeva'atnai, ndatnu'u mani-i, taka ma nayi nu kuechi, nu na'nu ni jika ka'anu tna va'a ku kukue'enu va'a taka ma nu, te natu ma na kukana.
26-02	Taka tu'u ma tata kajiyo sa'a, iyo ja ku kukajite nu kusikua'a sa'ate.
27-00	Articulo 27
27-00	Takatu'u ma nayi jininu'u ja ku kivindu taka ma ja iyo ini nu, kui na iin tninu, iin viko, te suni ku sikua nayi tna va'a chindei nuu.
27-01	Taka nayi iyo ja nu koto va'a taka iin tninu sa'ai tnava'a natu na su'u tninu sa'ai.
28-00	Articulo 28
28-01	Taka nayi ndetu taka ja ka'an tutu ja natu na sa'andeva'a tna'a, ku jiko nu iin, iin nu teyu.
29-00	Articulo 29
29-00	Kata ma nayi iyo ja sa'ai tninu nu tnava'a chindei nui te sa'a ka'anui.
29-01	Taka nayi chi iyo ja kuatnu'i nu-i tna va'a ku kukuatnu'u tna'ai jiu iin, iin nayi nu.
29-02	Taka tnu'u ya'a ma ku ja ma sa'anuo chi sui tnina'a tna va'a una ku kusa'a ndeva'a tna'ao.
30-00	Articulo 30
30-01	Ni iin nu, ni iin, nayi ma ku, sikaka yatai taka tnu'u ka'an naxi kukoto tna nayi.
