00-00	ADA ASSIMATURUSENG NASENGNGE HAK-HAK SIMULAJAJINNA PADATTA RUPA TAU
11-01	Degaga seddi rupa tau wedding ripassa mappigau assalang hukung nasaba pangkaukang ye dee'panatama mencaji assalang hukung menuru Undang Undang Nasionale arega internasionale, narekko ye pangkaukangnge ri pigau . Deto wedding ripettu hukumanna lebbih matane pole hukung ye sitinajae pappada riwettunna assalangnge ri pigau.
12-00	Passaleng 12
12-01	Sininna rupa tau de' wedding riganggu urusang alena, keluargana, ruma ranggana, na de wedding diteru terusi sure surena. Na lebbipi de wedding ri halangi na ri keccaki riaseng siri'na tauwe. Nasaba pura nappunai hak riasengnge sanreseng hukung.
13-00	Passaleng 13
13-00	Sininna rupa tau nappunai riasengnge kebebasang monro rilalenna seddi negara.
13-01	Sininna rupa tau nappunai hak monro ri sininna negarae', makkotoro ko maeloi monro ri negarana arega maelo lisu ri negarana.
14-00	Passaleng 14
14-00	Sininna rupa tau nappunai hak massapa na napaneddingi riaseng akkituoreng ri negara laingnge narekko maelo nasalamakkangngi alena pole passappana.
14-01	Iyana ye hak'e dewedding ri pake riwettu ri peppeng narisappa nasaba tongeng tongeng napigau aggaukeng salae' ye dee' gaga hubunganna sibawa politik, arega napigau pangkaukangnge nasaba denaseddi laleng sibawa tujuang ammulangenna Asseddingenna Bangsa Bangsae'.
15-00	Passaleng 15
15-00	Sininna rupa tauwe nappuna hak mancaji riaseng warga negara.
15-01	Degaga seddi tau wedding riteru terusi palukai kewarga negaraanna arega de diterimai haknya sellei kewarga negaraanna.
16-00	Passaleng 16
16-00	Sininna rupa tau urane na makkunraie ye maggangkani ballege umuruna, temmangki ri batasi assaleng bangsana, warga negarana arega agamana nappunai hak riasengnge nikkah na napunnai seddi seddi keluarga. Ianatu pada napunnai hak ye e' teddipasilaingeng ri laleng perkawinanna, na riwettu na lalengi perkawinanna na riwettunna maeloi sitellereng.
16-01	Degaga riaseng passang rilalenna perkawinangnge, pappilenapi, elonapi na situjuipi makkunraie na urane.
16-02	Riasengnge keluarga ripasseddi riasengnge appaseddiang marilaleng pole masyaraka'e nanapunnai hak sanreseng pole masyarakae na negarae.
17-00	Passaleng 17
17-00	Sininna rupa tauwe nappunai hak riasengnge assugireng na warangparang, mo nappunnangi seddi tau arega nappunnangi sibawa tau laingnge.
17-01	Degaga seddi rupa tau wedding ripassa malai assugirenna na warangparanna.
18-00	Passaleng 18
18-01	Sininna rupa tau nappunai hak riasengnge kebebasang ri laleng mappikkiri, pattennang atinna na agamana, arega lecce agama na atteppereng, na kebebasang panessai agama na atteprenna arega napagguruangngi na nalalengi. Arega naola manengngi ajarang agamana mo cuale alena arega massamangngi sibawa tau laingnge. Ri olona tau maegae arega cuale alena.
19-00	Passaleng 19
19-01	Sininna rupa tauwe nappunai maneng riasengnge hak na kebebasang mampau ada nasengnge tongeng. Ianaro hak e' muttama toni rilalenna kebebasang nappunai pendapat tenriganggu mo ripau rilalenna sininna beritae.
20-00	Passaleng 20
20-00	Sininna rupa tauwe nappunai riasengnge hak na kebebasang sipulung na pada tudang sipulung.
20-01	Degaga seddi tau weddi dipassangangi tama rilalenna seddi assipulungenge.
21-00	Passaleng 21
21-00	Sininna rupa tau nappunai hak maccue rilalenna pemerintahan negarana, langsungne arega pole wakkele wakkele purae napilei.
21-01	Sininna rupa tau pada nappunai hak na kesempatang ripaenre pangka'na pole pemerintahan negarana.
21-02	Akkelorenna taumegae sibole bolena mancaji sanreseng akkuasana pemerintae, akkelorengnge yede sibole bole ripalebbangi rilaleng Pemilihan Umum ye ripigau ri wettu purae ripatentungi nahadere maneng na naisseng maneng tau maegae. Arega engka cara ye weddingengngi rijamingngi kebebasanna mappile.
22-00	Passaleng 22
22-01	Sininna rupa tau, riasengnge anggota masarakae' nappunai hak appunangeng, assalasurengeng, ade na allebireng ye napurennuang maneng riasengnge rupa tau, wedding riola riasengnge makkuraga ri laleng bangsata mo'ribangsa laingnge ri linoe. Sibawa ye dee' nasisalang riaseng peraturanna seddi negara.
23-00	Passaleng 23
23-00	Sininna rupa tauwe nappunai hak riaseng ajjamang, nappunai hak mappile jamang , nappunai hak ye rilalenna syara' syara' jamangnge ye adelee' ye mappisaroe nasibole bolena engka nattoangeng ko de gaga jama jamanna.
23-01	Sininna rupa tau tewwedding dipasilaingeng, nappunai maneng hak runtu wassele papada egana narekko pappada jamang jamanna.
23-02	Sininna rupa tau majjamae nappunai hak peneddingiwi wassele adele'e na mappisaroe, ye weddingi padacengi na palebbiri attuwongena ri alena na keluargana, narekko parellu napunnai riasengnge assanreseng addecengeng ye weddingnge nattoangang ri laleng laingnge.
23-03	Sininna rupa tau nappunnai hak patettongi arega muttama rilalenna erikat serikat pekerjae' koeloi nalindungi kepentinganna.
24-00	Passaleng 24
24-01	Sininna rupa tau nappunai hak riaseng attennangeng na pakansi sibawa ripattentui wettunna ajamangnge na wettu pakansie ,na tette natarima gajinna.
25-00	Passaleng 25
25-00	Sininna rupa tau nappunai hak paneddingi e riaseng addecengeng tuwo rilinoe, attennangeng ri laleng alena sibawa keluargana. Muttama toni riaseng hak ri si ninna wedding napake'e, pakeanna, bolana, nasininna pabburana ko malasai arega sininna pajjampa ye napareluangengngi , na nappunai to hak riasengnge jaminan narekko degaga jamang jamanna, narekko malasai, narekko sala salangangi arega sininna wettu ye mappancajie kuranna wassele'na assaleng tenniya ye nattungkaiye.
25-01	Indona na ana' ana'e nappunai hak lolonganngi riasengnge pammase na bantuang malebbie, sininna ana' ana'e ye rijajiangngi ri lalenna keluarga madecengnge arega ri jajiang mencaji ana' bule. Parellu riasengngi addecengeng tuwong na teddipasilaingeng.
26-00	Passaleng 26
26-00	Sininna rupa tau nappunai hak paneddingi riasengnge massikola. Riasengnge massappa paddissengeng ri lalenna assikolangnge dena parellu di waja sibole bole riwettunna mappamula sikola na pendidikan dasar'e .
26-01	Ammulangenna massikolae parellu ri wajibkan. Ye assikolang tekni'e na kejuruangnge parellu natamaki maneng tauwe mappakkotoro riasengnge assikolang matanre koparellu natamaki maneng sininna tauwe narekko wedding coco. Assikolangnge parellu ripattuju nasaba ianatu addecengeng rialena seddi tau na pada mita deceng. Paddisengeng ye riappue riassikolange ianarito pancaji rupa tauwe pada sipakalebbireng, pada sipakamase ripadanna sinna bangsae.
26-02	Ia naro riasengnge tau matoa nappunai hak na parellu na pileangangngi sikola ye kira kira cocongngi nolae pada ana anana'.
27-00	Passaleng 27
27-00	Sininna rupa tau nappunai hak molai laleng abbiasang ade ri lalenna masyarakae, napaneddingiwi riaseng elong kelong, na napaneddingi toi riasengnge addeeecengeng na gunana assikolangnge.
27-01	Ia naro rupa tau nappunai hak riasengnge lolongan perlindunganng na addecengngeng riasengnge attuong ri linoe na ri aherae.
28-00	Passaleng 28
28-01	Sininna rupa tau nappunai hak ri asengnge addecengeng tuwo ri linoe na sininna hak kebebasan pura taruki maneng ri laleng na ada assaturuseng na sibole bolena riala sanreseng.
29-00	Passaleng 29
29-00	Sininna rupa tau nappunai riaseng kewajiban ri masyaraka onrongna monro tuwe pawekkemaneng sininna alebbireng rialena.
29-01	Rilaleleng ri paddupana riasengnge hak-hakna kebebasangnge sininna rupa tauwe paerlu tunru ribatasang tanrang purae ripatentuang ri undang-undangnge ye tujuanna na jaming maneng ri asengngnge ada tongngeng na allabbireng ri hak-hakna kebebasanna to laingnge.
29-02	Ia naritu ri asengnge hak-hak na kebebasangnge temmaka weddingi riola narekko de'na si maturu sibawa tujuaanna na peinsipna Assimaturusenna bangsa-bangsae.
30-00	Passaleng 30
30-01	Degaga mo seddi rilalenna ada assamaturusengnge napalalo ri tafsir nasenggnge dibukkang laleng seddi negara, kelompk, iya ga seddi rupa tau nappunai hak nateru terrusi nasengnge mappigau pangkaukang salae ye wedding na solangi riasengnge allebbirirenna hak-hakna kebebasang kebebasang ye tarukie ri lalenna ada assaturusengnge.
