00-00	DECLARATIONEM HOMINIS IURIUM UNIVERSAM
16-01	Viri et feminae ius est ut, matrimonio aetate idonea, iungantur et familiam habeant, nullo modo generi, civitati, religioni imposito. Quibus de nuptiis, per nuptias, nuptiis dirimendis, paria iura.
16-02	Nuptiae constitui possunt ipsis futuris coniugibus libere planeque consentientibus.
16-03	Familia, societatis nucleus naturalis et praecipuus, ius utendi praesidio habet societatis et Rei Publicae.
17-00	XVII
17-01	Sui quisque ipsius patrimonii atque inter alios communis potestatem habet.
17-02	Homo nemo suis bonis ex arbitrio potest demi.
18-00	XVIII
18-01	Suae quisque libertatis potestatem habet, cogitationis conscientiae religionis; ita ut religionem vel sententiam mutet, atque, solus vel communiter, in sacris docendis, exercendis, observandis, publice et privatim, ea possit colere.
19-00	XIX
19-01	Suae quisque ipsius libertatis potestatem habet, et opinandi et loquendi, de sua sententia nulla molestia affectus, atque nuntios et opiniones indagandi accipiendi divulgandi omnibus modis et nullis impedimentis.
20-00	XX
20-01	Suae quisque ipsius libertatis potestatem habet, et iure et honeste conveniendi et congregandi.
20-02	Homo nemo, ut congregationi intersit, potest cogi.
21-00	XXI
21-01	Suae quisque rei publicae imperio intersit et per personam ipsam et per legatos sua sponte electos, legibus ferendis.
21-02	Sui quisque aditus potestatem habet ad rei publicae officia, exaequatis condicionibus.
21-03	Populi consensus principium est publicae potestatis; qui consensus certis temporibus veridicis et paribus omnium suffragiis, per tabellam est declarandus, vel pari iudicio liberi suffragii.
22-00	XXII
22-01	Suae quisque ipsius incolumitatis vitae, in hominum societate, potestatem habet etiamque civium conatu et gentium auxilio pro singularum rerum publicarum temperatione et opibus, operis ad rei familiaris et civilis curam et ad doctrinam pertinentis, necessarii ad propriae personae dignitatem et maturitatem.
23-00	XXIII
23-01	Suae quisque ipsius industriae potestatem habet, optionis munus solvendi, aequis condicionibus oblatis atque nulla opera intermissa.
23-02	Suae quisque mercedis, nullo discrimine, cum pari opera convenientis potestatem habet.
23-03	Quicumque in opera est, aequae et idoneae remunerationis ius habet ita ut sibi et familiae pro humana dignitate tutam vitam prospiciat, quae, si oporteat, aliis tutelae et fidei modis cumuletur.
23-04	Suae quisque constitutionis propriae potestatem habet, collegiorum operarum, atque accessionis commoda defendendi causa.
24-00	XXIV
24-01	Sui quisque corporis et animi relaxationis ius habet, aliquot horis profestis ennumeratis et diebus feriatis, mercede persoluta.
25-00	XXV
25-01	Suae quisque ipsius rationis vivendae ius habet, quod bonae et integrae valetudini caveat, commodo suo et familiae, singulari cura victus, vestis, domicilii, et curationis munerum et societatis vitae officiorum utilium; praeterea ius habet eiusdem tutelae, si sine opere fuerit, si in morbo inciderit, si infirmus, viduus, senex aut defectus a copiis, invitus.
25-02	Gignendi tempus et puerilis aetas maxima cura custodienda sunt. Omnibus pueris, et matrimonium et extra idem natis, eadem est humanae societatis tutela.
26-00	XXVI
26-01	Suae quisque ipsius doctrinae ius habet, quae de classibus puerilibus est gratuita et praecipua; praeterea doctrina primaria verum necessaria; doctrina, ad artem et munus pertinens, ab omnibus intellegi debet; denique ad ordinem superiorem aeque omnibus pro merito patens.
26-02	Toti personae maturitati disciplina est dicanda, iurum et libertatum confirmationi et rationi, qua disciplina omnes gentes, omnia genera, omnes religiones intelligenda, observanda, amanda sunt, atque officiis Coniunctarum Gentium favendum ad pacem servandam.
26-03	Parentium potestas est ut disciplinas, quibus liberi imbuantur, elegant.
27-00	XXVII
27-01	Sui quisque ipsius arbitrii ita potestatem habet ut vitae ad societatis doctrinam pertinenti particeps sit et artibus perfruatur, cum scientiae incrementis beneficiisque vehementer studeat.
27-02	Suae quisque tutelae ius habet morum rationis utilitatis quae ex suis studiis scientiae litterarum artium efficiantur.
28-00	XXVIII
28-01	Suae quisque ipsius disciplinae societatis et gentium qua eiusdem DECLARATIONIS iura et libertates plane fieri possint, potestatem habet.
29-00	XXIX
29-01	Omnibus hominibus ad sodalicium officium est praestandum, quo modo mentes animique excoli possint.
29-02	Sua quisque ipsius iura exercens et libertates derogationibus lege decretis afficiatur ad iurium aliorum et libertatum cognitionem et obsequium praestanda et ad morum legitimas necessitates explendas atque rei publicae tranquillitatis et communis commodi in populari societate.
29-03	Contra Coniunctarum Gentium proposita et principia numquam haec iura et hae libertates exerceri possunt.
30-00	XXX
30-01	Cuius DECLARATIONIS nulla res ita potest putari ut quoddam ius exercendae operae vel faciendi facinoris detur cuivis civitati, aliquot hominibus vel uni e multis, ut aliquot iurium et aliquot libertatum eiusdem labefactentur.
