00-00	DEARBHU UILE-CHOITEANN CEARTA AN DUINE
26-01	Ta ag gach uile dhuine an ceart chun an oideachais. Bhearfar an t-oideachas in aisce, sna ceimeanna tosaigh agus bunaidh ach go hairithe. Beidh an bun-oideachas eigeantach. Cuirfear an t-oideachas teicniuil agus gairmiuil ar fail go comhchoiteann; beidh combrochtain do reir fiuntais ag gach uile dhuine ar an ard-oideachas.
26-02	Beidh de chuspoir ag an oideachas pearsantacht an duine d'fhorbairt ina hiomlainte agus urraim a neartu do chearta an duine agus do no saoirsi bunaidh. Cothoidh se an chomhthuiscint, an caonfhulaing agus and caradas idir an naisiuin agus na cini agus na haicmi creidimh uile, agus cabhroidh se le bearta na Naisiun Aontuithe do chaomhnadh na siochana.
26-03	Ta ag na tuismitheoiri, i dtosach ar chach eile, an ceart chun an cineal oideachais a thoghadh a bhearfar da leanai
27-00	Airteagal 27.
27-01	Ta ag gach uile dhuine an ceart chun pairt a ghlachadh gan cosc i saol culturtha an phobail, aineas na n-ealaion a bheith aige agus pairtiu in ascnamh agus is sochair na heolaiochta.
27-02	Ta ag gach uile dhuine an ceart go gcosnofai na leasa moralta agus abhartha a leanas as aon tsaothar eolaiochta, litriochta no ealaion arb e is udar do.
28-00	Airteagal 28.
28-01	Is dligh do gach uile dhuine go mbeadh eagras soisialach agus e adarnaisiunta i reim a bhearfadh go bhfeadfai na cearta agus na saoirsi ata leagtha amach sa Dearbhu seo a chur i gerich go hiomlan.
29-00	Airteagal 29.
29-01	Ta dualgais ar an uile dhuine i leith an phobail arb ann amhain is feidir a phearsantacht d'fhobairt go saor agus go hiomlan.
29-02	Ag feidhmiu a cheart agus a shaorisi dho ni bheidh de shriantacht ar dhuine ar bith ach pe sriantachta a bheas ceaptha do reir dli d'aon toisc chun aitheantas agus urraim mar is cui d'airithiu do chearta agus saoirsi daoine eile agus chun freagairt do riachtanais chora na moraltachta, an oird phoibli agus soileasa na coitiantacnta i gcomhdhaonnacnt daonfhlathach.
29-03	Ni cead i gcas ar bith na cearta na na saoirsi seo d'fheidhmiu contrartha do chuspoiri agus do bhuntreora na Naisiun Aontaithe.
30-00	Airtegal 30.
30-01	Ni cead aon ni sa Dearbhu seo a leiriu mar ni a bheir don Stat grupa no duine ceart ar bith chun pairt a ghlacadh in aon ghniomhacht na aon ghniomh a dheanamh d'fhonn aon cheart no saoirse da luaitear anseo a dhithiu.
