00-00	NKUWUWAPUTA UWA NILE BANYERE IKIKE MMADU NWEGASIRI
10-01	Onye o bula nwere ntozu oke nha anya icho ikpe ziri ezi n'ihu oha nke ulo ikpe nwere onwe ya ma kwurukwa n'ezi okwu, na mkepebi ikike ndi o nwegasiri na ihe ndi o tosiri ime nakwa ebubo imebi iwu o bula e boro ya.
11-00	Nkeji edemede11
11-01	Onye o bula e boro ebubo ida iwu nwere ntaramahuhu tosiri ka e kwenye na o nweghi uta tutu a choputa na uta diri ya n'usoro iwu, n'ikpe e kpere n'ihu oha, ebe e nyere ya ohere nile di mkpa maka iji zara onu ya.
11-02	O dighi onye a ga-ama ikpe ida iwu o bula nwere ntaramahuhu maka ihe o mere ma o bu ihe o hapuru ime nke n'abughi ida iwu nwere ntaramahuhu n'oge e mere ya, ma o bu n'usoro iwu obodo ma o bu nke di, n'etiti mba na mba. N'otu aka ahu, a gaghi enye mmadu ntaramahuhu kariri nke a na-enye n'oge a dara iwu ahu nwere ntaramahuhu.
12-00	Nkeji edemede12
12-01	O dighi onye a ga-akwagide na nnyonye anya ezighi ezi n'ihe o-coghi ka oha mara, ezinulo ya, ulo ya ma o bu nzikorita ozi ya, ma o bukwa na mbuso agha megide ugwu na ezi aha ya. Onye o bula newere ikike icho nchedo iwu megide nnyonye anya ma o bu mbuso agha ndi a.
13-00	Nkeji edemede 13
13-01	Onye o bula nwere ikike ohere ngaghari na nke obibi n'ime oke ala nke Steti o bula.
13-02	Onye o bula nwere ikike ihapu ala o bula, tiyere ala nke ya, ma nweekwa ikike iloghachi n'ala ya.
14-00	Nkeji edemede 14
14-01	Onye o bula nwere ikike icho ma nwetakwa n'ala ozo gasi ebe mgbanahu mkpagbu.
14-02	A gaghi akpoku ikike a n'ihe gbasara agbamakwukwo sitere ezie na mmebi iwu n'abughi nke ndorondoro ochichi ma o bu omume megidere ebumnuche na usoro nke United Nations.
15-00	Nkeji edemede 15
15-01	Onye o bula nwere ikike ibu nwa afo n'ala ya.
15-02	O dighi onye a ga-esi n'uzo na-edoghi anya napu obubu nwa afo ya ma o bu napu ikike igbanwe ala o nwa afo na ya.
16-00	Nkeji edemede 16
16-01	Umu nwoke na umu nwanyi toruru ogo, n'enweghi ihe njigide o bula site n'agburu, obubu nwa afo ma o bu okpukpere chi, nwere iki ilu nwunye ma o bu di nakwa imalite ezi na ulo nwere ikike nha anya n'ihe gbasara olulu di na nwunye, obibi di na nwunye na mgbasa ya.
16-02	Olulu di na nwunye ga-aburiri ma e nwere nkwekorita si n'obi zuru oke nke ndi choro ilu onwe ha.
16-03	Ezi na ulo bu nkeji ntaoala site n'okike nke ndi no n'obodo o bula; n'ihi ya, o kwesiri inwe nchedo ndi obodo na nke Steti.
17-00	Nkeji edemede 17
17-01	Onye o bula nwere ikike inwe ihe nke aka ya ma o bu ya na ndi ozo inwekorita ihe.
17-02	O dighi onye a ga-esi n'uzo na-edoghi any napu ihe o nwere.
18-00	Nkeji edemede18
18-01	Onye o bula nwere ikike echiche, mmuo na okpukpere chi masiri ya; ikike a gbakwunyere ohere igbanwe okpukpere chi ma o bu nkwenye ya, na ohere nke soso ya ma o bu ya na ndi ozo nwere n'ogbo oha ma o bu na nzuzo, igosiwaputa okpukpere chi ma o bu nkwenye ya site na nkuzi, omume, ofufe na ndebe iwu.
19-00	Nkeji edemede19
19-01	Onye o bula nwere ohere uche aka ya na nkwuputa uche ya: ikike a gbakwunyere ohere ikwudo n'echiche n'enweghi nnyonye anya na nke icho, inata na igbasa ozi na echiche site n'uzo o bula n'agbanyeghi oke ala.
20-00	Nkeji edemede 20
20-01	Onye o bula nwere ikike iji aka ya soro n'ogbako na otu.
20-02	O dighi onye a da-amanye isoro n'otu o bula.
21-00	Nkeji edemede 21
21-01	Onye o bula nwere ikike iso n'ochichi obodo ya, n'onwe ya ma o bu site na ndi nnochite anya a hoputara n'enweghi mmanye.
21-02	Onye o bula nwere ike nha anya inwete oru obodo na ala ya.
21-03	Uche oha na eze ga-abu ihe mgbakwasi ukwu nke ike ochichi obodo; A ga-egosiputa uche nke a site n'ezi ntuli aka a ga na-eme kwa mgbe nke onye o bula nwere ikike nha anya iso mee n'uzo nzuzo ma o bu n'uzo ndi ozo ga-enyekwa ya ohere ituliri onye masiri ya aka.
22-00	Nkeji edemede 22
22-01	Onye o bulan,n'onodu ya di ka onye obodo, nwere ikike inweta nchedo obodo ma tozukwa oke inweta, site n'agbamdo obodo ya na enyemaka mba ndi ozo di ka nhazi na aku na uba Steti o bula siri di, ikike sitere n'aku na uba, onodu n'obodo na omenala, bu ikike ndi di oke mkpa mu ugwu ya na ohere ntozu oke ya di ka mmadu.
23-00	Nkeji edemede 23
23-01	Onye o bula nwere ikike iru oru, iji aka ya horo oru o ga-aru, ino n'onodu oru ndi ruuru ya ma dikwa mma, na inweta nchedo site n'onodu enweghioru.
23-02	Onye o bula, n'enweghi ikpa oke o bula, nwere ikike inata ugwo nha anya kwesiri oru ya.
23-03	Onye o bula na-aru oru nwere ikike inata akwumugwo ruuru ya ma dikwa mma nke ga-eme ka ya na ezi na ulo ya nwee obidi ndu kwesiri ugwu mmadu, nke a gbakwunyere, ma o di mkpa, ihe ndi ozo e ji echedo ndu n'obodo.
23-04	Onye o bula nwere ikike imalite na ibanye n'otu ndi oru maka nchedo ihe ndi gbasara ya.
24-00	Nkeji edemede 24
24-01	Onye o bula nwere ikike ezumike na oge ezumike, tinyere mkpebi doro anya nke oge oru ya na oge ezumike n'afo nke ikwu ugwo ga-esokwa.
25-00	Nkeji edemede 25
25-01	Onye o bula nwere ikike ino n'obibi ndu tosiri etosi maka ahu ike na odimma nke ya na nke ezi na ulo ya tinyere nri, uwe, ebe obibi na nlekota ahu ike na enyemaka di iche iche nke obodo, ya na ikike inwe nlekota obodo n'onodu enweghi oru, oria, nkwaru, isi mkpe, nka ma o bu onodu ezughi oke ozonke o na-apughi igbochite.
25-02	Onodu nne na nke nwata kwesiri inwe mkpachapuru anya na enyemaka puru iche. Umuaka nile, ma a muru ha n'alumdi na nwuye ma a mughi, ga-enwe otu udi nchedo obodo a.
26-00	Nkeji edemede 26
26-01	Onye o bula nwere ikike inweta ozuzu. Ozuzu ga-abu n'efu, o kacha n'oge mmalite bukwa oge ntoala ya. Ozuzu umuntakiri ga-abu manye. Ozuzu nka na uzu na nke oru aka ga-adi maka onye o bula choro ha; ozuzu di elu ga-erukwa onye o bula aka n'usoro onye jiri tozuo maka ya.
26-02	Ozuzu ka a ga-eji sogide nkwalite ntozu oke nke mmadu na kwadosi ike nke nsopuru maka ikike na ohere ntoala mmadu nwegasiri. O ga-akwalite nghota, ndidi na adimnamma n'etiti mba, agburu ma o bu otu okpukpere chi nile, ma kwalitekwa emereme nile nke United Nations na-eme ka udo diri.
26-03	Nne na nna nwere ikike izizi ihoro udi ozuzu a ga-enye umu ha.
27-00	Nkeji edemede 27
27-01	Onye o bula nwere ikike iji aka ya soro n'emume odinala nke obodo, iri uru nke mmuta nka nakwa iketa oke n'oganihu na uru nke mmuta sayensi.
27-02	Onye o bula nwere ikike nchedo uru ndi a huru anya na ndi a hughi anya sitere na mmeputa nke sayensi, edemede ma o bu nka, nke e si n'aka ya nweta.
28-00	Nkeji edemede 28
28-01	Onye o bula tozuru oke inwe nbazi ime obodo na nke jikotara mba na ibe ya, nke ga-ekwe ka ikike na ohere ndi e gosiputara na Nkuwuwaputa a zuo ezuo.
29-00	Nkeji edemede 29
29-01	Onye o bula nwere oru ndi o tosiri iruru obodo ya bu nani ebe ntozu oke mmadu nke o choro ga-esi puta.
29-02	Na ngosiputa ikike na ohere ndi o nwegasiri, onye o bula ga-enwe nrube isi nye soso mmachi ndi sitere n'usoro iwu a mara iji mee ka e nweta ezi nghota na nsopuru ikike na ohere ndi ozo nwegasiri na iji nweta ezi ihe mgnakwasi ukwu maka ezi mkparamagwa, ndebe iwu oha na odi mma mmadu nile no n'obodo onye kwuo uche-ya.
29-03	A gaghi egosiputa ikike na ohere ndi a n'uzo o bula ha ga-esi megide ebumnuche na usoro iwu nke United Nations.
30-00	Nkeji edemede 30
30-01	Onweghi ihe no na Nkuwuwaputa nke a a ga-akowa di ka ihe nyere Steti, otu ma o bu mmadu o bula ikike o bula itinye aka na emereme o bula ma o bu ime omume o bula iji mebi ikike na ohere o bula ndi a kowaputara n'ebe a.
