00-00	Hattak Moma Iholisso
18-01	Kanahaat nanna aayimmikat ittimilayyokha biyyi'kahookya, nannaho ayoppachi bannakmat ayoppacha'ni.
19-00	AnompaKanihmo'si19
19-01	Nannaho anokfilli chibannakmat ishanokfilla'ni. Nannaho holissochi chibannakmat ishholissocha'ni. Holisso nannaho ittimanompoli chibannakmat istimanompola'ni.
20-00	Anompa Kanihmo'si20
20-00	Nannaho ishtittanahaat ayya'shcha ittibaanokfillika ibaafoyyokha chibannakmat ishibaafoyyokha'ni.
20-01	Nanna ishtayya'shaka ibaafokha ikchibannokmat ishibaafokha' ki'yo.
21-00	AnompaKanihmo'si21
21-00	Ittibaachaffahookmat hattak momakat naalhpisa' ikba'ni.
21-01	Kanahaat naalhtoka' nannaho malili bannakmat malila'ni.
21-02	Hattak momakat kanaho naalhtoka' atookoli bannakmat imvoota'chi.
22-00	AnompaKanihmo'si22
22-01	Kanihmit anta chibannakat ishahanta'ni. Kanaho ishhottopacha' ki'yo.
23-00	AnompaKanihmo'si23
23-00	Aatoksali' chokmakillaho hattakat aatoksala'ni.
23-01	Kaniya'o ishaatoksalikat hattakat toksalikat kanihmi imalhtobahookma ittillawwihoot chimalhtoba'ni.
23-02	Ta'osso lawaho ishikbihookmakoot aa-atta ishhayocha'chi.
23-03	Uniono ibaafokha chibannakmat ishibaafokha'ni.
24-00	AnompaKanihmo'si24
24-01	Ishtoksali biyyi'kaka hashi' kanalli kanihmika chimahookmako ishfoha'ni.
25-00	AnompaKanihmo'si25
25-00	Nanna momaka ishatahlihookmaka'chi — ishimpa'chi; naafokha; ishaa-atta'chi; alikchi' ishimayya'chi — momaka ishatahlihookmaka'chi. Nannahoot chikanihmihookma kanahmat achipilakmaka'chi.
25-01	Chipotaat kaniya'o aamintihoot ayya'shahookya kanahmat apilakmaka'chi. Ishki' momaho apilakmaka'chi.
26-00	AnompaKanihmo'si26
26-00	Chipota momakat holissaapisa' aya'nikat imalhpi'sa, ta'osso nannikimikshohookya. Kana momakat nanna aaithana' aya bannakmat aya'ni.
26-01	Hattakat nanna aaithana' ayakma nannakat alhpi'saho imanolikma chokma'ni.
26-02	Chipota ayya'shakma ishki' inki' tawwa'akoot holissaapisa' kaniya'o ayachi bannakmat ayacha'ni.
27-00	AnompaKanihmo'si27
27-00	Kaniya'o nanna ishtayya'shakma kanahoot ayyacha ibaayahmi bannakmat yahma'ni.
27-01	Kanahookya nanna ikbicha kanchi bannakmat kancha'ni, ta'osso isha'chikat.
28-00	AnompaKanihmo'si28
28-01	Anompa kanihmo'si yappa hattakat haklocha kanihchit anokfilli bannakmat anokfilla'ni. Nannaho kanihmi bannakmat yahma'ni.
29-00	AnompaKanihmo'si29
29-00	Kana momakat ittapilakmakilla.
29-01	Hattakat naalhpisa' ikbi, hattak apila bannahoot. Naalhpisa' kobaffa' ki'yo.
29-02	Anompa kanihmo'si yappat alhkaniya' ki'yo.
30-00	AnompaKanihmo'si30
30-01	Holisso tobattooko kanahookya ikimalhkaniyyoka'ni.
