00-00	KUDITEJA CHA KAYI KEJIMA HA NSHIMBI JA WUNTU
08-01	Muntu wejima wekala nang'ovu jakudiking'a munyilong'a yidi yejima mukulondela inshimbi jakuking'a muntu.
09-00	Chikunku 9
09-01	Kosi muntu akakasawu chakadi kulondela inshimbi hela kutumewa mwitung'a dacheng'i chakadi kulondela inshimbi.
10-00	Chikunku 10
10-01	Muntu wejima wenkewa ing'ovu jakumona nindi anasompi nyilong'a yindi chiwahi mu chota chanyilong'a mukulondela inshimbi nakudiking'a omweni munyilong'a.
11-00	Chikunku 11
11-01	Muntu wejima anawani namulong'a atela kumuhemba neyi muntu walong'a ninichi chakumusompeshawu nakumuwana namulong'a.
11-02	Kosi kwinka muntu mulong'a chakadi wunsahu walalaku. Muntu neyi nazati mulong' dichi enza nakumusompesha henohu inshimbi jamatung'a jinahimpewi, iwu muntu atela kumukasa kulondela impinji yamuweniwu namulong'a bayi neyi kulondela inshimbi jajihaku.
12-00	Chikunku 12
12-01	Kosi muntu akalung'esahwu muchihandilu chindi hela inshakaminu yindi nachisaka chindiku hela kutamisha ijina dindiku. Muntu wejima watela kuking'ewa muyuma yamuchidiwu.
13-00	Chikunku 13
13-01	Muntu wejima watela kwenda munakukeng'elayi omweni nikushakama kwilug'a kunakuke'a omwenindi.
13-02	Muntu wejima natweshi kuya kwitung'a dacheng'i nikufunta mwitung'a dindi chakadi kuwana kukala mukwenda kwindi.
14-00	Chikunku 14
14-01	Muntu wejima wenkewa ing'ovu jakuya nakushaka mwitung'a dacheng'i kuchina nyilong'a mwitung'a dindi.
14-02	Ilang'a iyi nshimbi hiyinatweshi kuzata kudi muntu nazati mulong'a wadikuma mukutamisha nfulumendi yetung'a dinaku hela nabuli kulondela inshimbi jawaka United Nations.
15-00	Chikunku 15
15-01	Muntu wejima natweshi kusemukila kwitung'a kudi kwejima.
15-02	Kosi muntu akayandishawu mulong'a wakwiilung'a kwasemukilayi hela kuhimpa.
16-00	Chikunku 16
16-01	Mayala ni ambanda akula dhim enkewa ing'ovu jakusakula muntu wakusumbula chakadi kusakula ikowa muchidi chakala nakenji omwendindi. Awa enkewa ing'ovu jakushakama muntu namuketala didindi ninichi chacadisengawi.
16-02	Antu akadisumbula mukukeng'a kwawu.
16-03	Chisaka hichuma chanentesha neyi kwikali kushakama hamu mwitung'a dichi chisaka chatela kuking'ewa.
17-00	Chikunku 17
17-01	Muntu wekala nang'ovu jakwikala namaheta inkawindi hela nawakwawu antu.
17-02	Kosi muntu akatambulawu maheta chakadi kuchikeng'a omweni.
18-00	Chikunku 18
18-01	Muntu wejima wenkewa ing'ovu jakuditong'ojokela nikusakula kuchachi kunakukeng'ayi omweni, natweshi kuya kuchachi yacheng'i neyi nachimoni nindi chalo'a mukuzatila hamu ni akwawu, kutang'isha nikulondela inshimbi mukulombela kwindi.
19-00	Chikunku 19
19-01	Muntu wejima wenkewa ing'ovu yakutong'ojoka nikuhosha hansang'a yidi yejima chakadi kutiya womaku mukukeng'a kwiluka wunsahu walala hansang'u yinakuleng'ayi kwiluka chiwahi.
20-00	Chikunku 20
20-01	Muntu wejima wenkewa ing'ovu jakudiwana nawakwawu muyipompelu.
20-02	Kosi muntu akakanjikijawu kwikala membala muchipompelu chidi chejima.
21-00	Chinkuku 21
21-01	Muntu wejima wenkewa ing'ovu jakuzatila nfulumendi hela kuhitila mudi akwawu mukukeng'a kwindi.
21-02	Muntu wejima wenkewa ing'ovu jakuzata nyidimu yanfulumendi mwitung'a dindi.
21-03	Itung'a dikayulewa mukukeng'a kwawantu hanyima yakusakula kwawantu akuyiemenaku chikekalang'a hampinji hampinji.
22-00	Chikunku 22
22-01	Muntu wejima wenkew ing'ovu jakudiking'a muchihandilu chindi kuhitila muku zatila hamu nikulondela maheta etung'a chihandilu chamuntu nichisemwa mulong'a chakadi yena kwikala wakashinshi hikunatweshi kutwala chihandilu chindi kumbidiku.
23-00	Chikunku 23
23-01	Muntu wejima wenkewa ing'ovu jakuzata mudimu tinakukeng'ayi nikumona nindi ndiking'a hanyidimu yindi.
23-02	Muntu wejima chakadi kusakula hela kunentahu chambu watela kutambula infwetu jindi kwesekana nanyidimu yinakuzatayi.
23-03	Muntu wejima watela kumona nindi infwetu jindi jinatweshi kukwasha yena hamu nichisaka chindi muchihandilu chawu.
23-04	Muntu wejima natweshi kwikala membala wachibalu chatalang'a hadi ankong'i mukuyikwasha mumakabi awu.
24-00	Chikunku 24
24-01	Muntu wejima watela kunoka nikuzata mumpinji yatela nikuya nakunooka ninfwetu jindi. Muntu wejima wenkewa ing'ovu jakumona hanyidimu yindi nikumona nindi natambuli infwetu jindi impinji achidiyi nakunoka.
25-00	Chikunku 25
25-01	Muntu wejima wenkewa ing'ovu jakumona nindi chisaka chindi chinakuhanda chiwahi, anakuda chiwahi anakukama mwitala dadiwahi, anakutambula yitumbu yalong'a kuchipatela nikumona nindi mumpinji yakuleka nyidimu iwu muntu anamuking'i mulong'a hadaha wakata, chifwayi nakuli nankashi dichi hanatweshi kutwalekahu nakuzataku hela wafwisha hela kudi chuma chinanenteshi nawu abuli kutwalekahu nakuzata nyidimu.
25-02	Mukweyayai hamu nimwana atela kuking'ewa nikuhembewa chiwahi nikumona nawu anakuyikwasha. Anyana ejima asemuka muwujila hela achidi kushakama nawanvwali jawu atela kuking'ewa munjila yidi yejima.
26-00	Chikunku 26
26-01	Muntu wejima amwinka ing'ovu jakuya kushikola nakutang'a. Kosi muntu wakafwetang mali hakutang'isha kumasikola anyanya. Muntu wejima natweshi kutwalekahu kutang'a kulondela maana adiyi nawu amweni.
26-02	Kutang'a kukekalang'a koku kulonda chikakwashi muntu muchihandilu chindi nikumona nindi anakumulemesha kulondela inshimbi jamuntu. Chikakwasha antu kutiyang'ana hakachi kamatung'a, nyichidi nikumona nawu anakushakama mwilung'a mudi chiwunda kulondela inshimbi jawaka United Nations.
26-03	Anvwali ekala nang'ovu jakusakula mashikola awanyaanawu.
27-00	Chikunku 27
27-01	Muntu wejima wenkewa ing'ovu jakuzatila hamu mukutwala chisemwa cawu kumbidi mwilung'a nunakushakamawu nikunoma nawu chinakuyikwasha.
27-02	(missing)
28-00	Chikunku 28
28-01	Muntu wejima wenkewa ing'ovu muchihandilu chindi mwitung'a. Muntu wejima wenkewa ing'ovu jakumona nindi ichi chitiyang'enu chamukayi kejima anachinjikiji muchihandilu chindi.
29-00	Chikunku 29
29-01	Muntu wejima wekala namudimu wakumona nindi yuma yinakuya kumbidi mwilung'a munakushakamayi.
29-02	Mukuzatisha ing'ovu jamwinkawu muntu, muntu wejima wakazatila hamu ni antu lenkawu ing'ovu jakuyula akwawu mukuking'a nikulemesha inshimbi jawuntu mwilung'a dawu.
29-03	Iji nshimbi hijatela kuzatishewa munjila yabula kulong'a nakwesekana nanshimbi jawaka United Nations.
30-00	Chikunku 30
30-01	Iji nshimbi hijatela kuluwang'eshaku mwitung'a hela muntu mukukeng'a kujikisa muijila yidi yejima.
